"A diagnosis algorithm for constant degree structures and its application to VLSI circuit testing,""Kaiyuan Huang"; V. K. Agarwal; L. LaForge;" K. Thulasiraman"",""Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada"; Microelectronics and Computer Systems Laboratory, McGill University, Montreal, QUE, Canada; Department of Electrical Engineering, University of Nevada, Reno, NV, USA;" Department of Electrical and Computer Engineering, Concordia University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""363"",""372"",""A simple diagnosis algorithm is presented for constant degree systems such as rectangular grids connected as tori. The algorithm determines the status of a unit according to the size of its faction, a cluster of units that call each other fault-free but outsiders faulty. Almost all units are correctly identified with this algorithm under a binomial failure distribution even when the probability of failure is rather high. The complexity of the algorithm is O(n), where n is the number of units in a constant degree system. The application of the algorithm to production testing of VLSI chips is also considered. With a test board that houses a large number of chips to be tested, all the chips can be tested in parallel in a way that they test each other and the test outcomes, not necessarily correct, are reported to a host system for analysis. The actual status of each chip is determined by using this new diagnosis algorithm. The above chip screening process can be repeated for higher accuracy. It is shown that no more than two steps are needed in most real situations. Compared with testing by test equipment that usually tests only one chip at a time, the saving of test time and the test equipment cost could be significant with our approach.<>"",""1558-2183"","""",""10.1109/71.372790"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372790"","""",""Very large scale integration";Circuit testing;System testing;Clustering algorithms;Fault diagnosis;Microelectronics;Circuit faults;Test equipment;Production;"Costs"","""",""19"",""1"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Performance characterization of the tree quorum algorithm,""Her-Kun Chang";" Shyan-Ming Yuan"",""Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer and Information Science, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""658"",""662"",""The tree quorum algorithm, which logically organizes the sites in a system to a tree structure, is an efficient and fault-tolerant solution for distributed mutual exclusion. In this paper, the performance characteristics of the tree quorum algorithm is analyzed. A refinement algorithm is proposed to refine a logical tree structure by eliminating nodes or subtrees which do not improve the performance. Thus the refined tree performs better than the original.<>"",""1558-2183"","""",""10.1109/71.388047"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388047"","""",""Costs";Tree data structures;Centralized control;Distributed algorithms;Performance analysis;Algorithm design and analysis;Decision making;Fault tolerant systems;Availability;"Computer networks"","""",""2"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Performance considerations of shared virtual memory machines,""Xian-He Sun";" Jianping Zhu"",""Department of Computer Science, Louisiana State University, Baton Rouge, LA, USA";" NSF Engineering Research Center, Department of Mathematics and Statistics, Mississippi State University, MS, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1185"",""1194"",""Generalized speedup is defined as parallel speed over sequential speed. In this paper the generalized speedup and its relation with other existing performance metrics, such as traditional speedup, efficiency, scalability, etc., are carefully studied. In terms of the introduced asymptotic speed, we show that the difference between the generalized speedup and the traditional speedup lies in the definition of the efficiency of uniprocessor processing, which is a very important issue in shared virtual memory machines. A scientific application has been implemented on a KSR-1 parallel computer. Experimental and theoretical results show that the generalized speedup is distinct from the traditional speedup and provides a more reasonable measurement. In the study of different speedups, an interesting relation between fixed-time and memory-bounded speedup is revealed. Various causes of superlinear speedup are also presented."",""1558-2183"","""",""10.1109/71.476190"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476190"","""",""Concurrent computing";Scalability;Parallel processing;Sun;Velocity measurement;Hardware;Distributed computing;Application software;Government;"Industrial relations"","""",""15"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Performance of barrier synchronization methods in a multiaccess network,""Shun Yan Cheung";" V. S. Sunderam"",""Department of Mathematics and Computer Science, Emory University, Atlanta, CA, USA";" Department of Mathematics and Computer Science, Emory University, Atlanta, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""890"",""895"",""Barrier synchronization is a commonly used primitive in parallel processing. In this paper, we present different algorithms for barrier synchronization on the widely prevalent multiaccess bus network, and derive analytical performance metrics for each of the proposed schemes, which are then compared against simulation results.<>"",""1558-2183"","""",""10.1109/71.406967"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406967"","""",""Intelligent networks";Costs;Size measurement;Distributed computing;Parallel processing;Councils;Fault tolerance;Voting;Taxonomy;"Concurrency control"","""",""1"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Prefix computations on a generalized mesh-connected computer with multiple buses,""Kun-Liang Chung"",""Department of Information Management, National Taiwan Institute of Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""196"",""199"",""The mesh-connected computer with multiple buses (MC-CMB) is a well-known parallel organization, providing broadcast facilities in each row and each column. In this paper, we propose a 2D generalized MCCMB (2-GMCCMB) for the purpose of increasing the efficiency of executing some important applications of prefix computations such as solving Linear recurrences and tridiagonaI systems, etc. A k/sub 1/n/sub 1spl times/k/sub 1/n/sub 2/ 2-GMCCMB is constructed from a k/sub 1/n/sub 1spl times/k/sub 1/n/sub 2/ mesh organization by enhancing the power of each disjoint n/sub 1spl times/n/sub 2/ submesh with multiple buses (sub-2-MCCMB). Given n data, a prefix computation can be performed in O(n/sup 1/10/) time on an n/sup 3/5spl times/n/sup 2/5/ 2-GMCCMB, where each disjoint sub-2-MCCMB is of size n/sup 1/2spl times/n/sup 3/10/. This time bound is faster than the previous time bound of O(n/sup 1/8/) for the same computation on an n/sup 5/8spl times/n/sup 3/8/ 2-MCCMB. Furthermore, the time bound of our parallel prefix algorithm can be further reduced to O(n/sup 1/11/) if fewer processors are used. Our result can be extended to the d-dimensional GMCCMB, giving a time bound of O(n/sup 1/(d2(d)+d)/) for any constant d";" here, we omit the constant factors. This time bound is less than the previous time bound of O(n/sup 1/(d2(d))/) on the d-dimensional MCCMB.<>"",""1558-2183"","""",""10.1109/71.342133"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342133"","""",""Broadcasting";Concurrent computing;Parallel algorithms;Application software;Computer applications;Nearest neighbor searches;Parallel machines;Image processing;Computational geometry;"Very large scale integration"","""",""20"","""",""30"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Prevention of congestion in packet-switched multistage interconnection networks,""Jyh-Charn Liu"; K. G. Shin;" C. C. Chang"",""Department of Computer Science, Texas A and M University, College Station, TX, USA"; Real-rime Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA;" Department of Electrical Engineering, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""535"",""541"",""This paper proposes a simple, yet effective scheme to prevent congestion in a packet-switched multistage interconnection network (MIN) caused by hot spots. In this scheme, switches in the second and third stages of the MIN monitor their buffer occupancy to detect any notable nonuniform access behavior. When a switch detects congestion, packets generated by processors will be blocked from entering the congested switch until the congestion is cleared. Our scheme is compared with two well known schemes and shown to exhibit significantly better performance than these two.<>"",""1558-2183"","""",""10.1109/71.382322"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382322"","""",""Intelligent networks";Multiprocessor interconnection networks;Switches;Packet switching;Monitoring;Telecommunication traffic;Communication channels;Throughput;Vents;"Computer science"","""",""11"",""1"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Processor allocation in hypercube multicomputers: fast and efficient strategies for cubic and noncubic allocation,""D. Das Sharma";" D. K. Pradhan"",""General Systems Lab, Hewlett Packard Company, Roseville, CA, USA";" Department of Computer Science, Texas A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""10"",""1108"",""1123"",""A new approach for dynamic processor allocation in hypercube multicomputers which supports a multi-user environment is proposed. A dynamic binary tree is used for processor allocation along with an array of free lists. Two algorithms are proposed based on this approach, capable of efficiently handling cubic as well as noncubic allocation. Time complexities for both allocation and deallocation are shown to be polynomial, a significant improvement over the existing exponential and even super-exponential algorithms. Unlike existing schemes, the proposed strategies are best-fit strategies within their search space. Simulation results indicate that the proposed strategies outperform the existing ones in terms of parameters such as average delay in honoring a request, average allocation time, average deallocation time, and memory overhead.<>"",""1558-2183"","""",""10.1109/71.473519"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=473519"","""",""Hypercubes";Binary trees;Delay effects;Polynomials;Operating systems;"Equations"","""",""16"","""",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Processor allocation in hypercube multiprocessors,""S. Rai"; J. L. Trahan;" T. Smailus"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"; Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA;" Robotics Research Laboratory Department of Computer Science and Remote Sensing and Image Processing Laboratory, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""6"",""606"",""616"",""The processor allocation problem requires recognizing and locating a free subcube that can accommodate a request for a subcube of a specified size for an incoming task. Methods reported in the literature fall into two strategies: bottom-up or bit mapped technique (BMT) and top-downer available cube technique (ACT). Our algorithm that solves the allocation problem in faulty hypercubes falls into the category of ACT's which offer the advantage over BMT's of quickly recognizing whether or not a requested subcube is available in the list of fault-free subcubes. We introduce new algebraic functions and the concept of separation factor to select a subcube for allocation. The notion of overlap-syndrome, defined in the text, quantifies the overlap among free subcubes. Our technique has full subcube recognition ability and thus recognizes more subcubes as compared to bit mapped techniques: Buddy, Gray code and its variants. The advantages of our approach over some of the existing ACT's in terms of fragmentation and overall completion time are described in the text and in simulation results.<>"",""1558-2183"","""",""10.1109/71.388041"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=388041"","""",""Hypercubes";Laboratories;Reflective binary codes;Circuit faults;Resilience;Scalability;Focusing;Network topology;Multiprocessor interconnection networks;"Multidimensional systems"","""",""7"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Processor mapping techniques toward efficient data redistribution,""E. T. Kalns";" L. M. Ni"",""IBM POWER pafallel Systems, Poughkeepsie, NY, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1234"",""1247"",""Run-time data redistribution can enhance algorithm performance in distributed-memory machines. Explicit redistribution of data can be performed between algorithm phases when a different data decomposition is expected to deliver increased performance for a subsequent phase of computation. Redistribution, however, represents increased program overhead as algorithm computation is discontinued while data are exchanged among processor memories. In this paper, we present a technique that minimizes the amount of data exchange for BLOCK to CYCLIC(c) (or vice-versa) redistributions of arbitrary number of dimensions. Preserving the semantics of the target (destination) distribution pattern, the technique manipulates the data to logical processor mapping of the target pattern. When implemented on an IBM SP, the mapping technique demonstrates redistribution performance improvements of approximately 40% over traditional data to processor mapping. Relative to the traditional mapping technique, the proposed method affords greater flexibility in specifying precisely which data elements are redistributed and which elements remain on-processor."",""1558-2183"","""",""10.1109/71.476166"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476166"","""",""Computer Society";Runtime;System performance;Computer science;"Costs"","""",""45"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Products of networks with logarithmic diameter and fixed degree,""K. Efe";" A. Fernandez"",""Center for Advanced amputer studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Departmento de Arquitectura y Tecnologia deComputadores, Universidad Politecnica de Madrid, Madrid, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""963"",""975"",""Analyzes some general properties of product networks that are pertinent to parallel architectures and then focuses on three case studies. These are products of complete binary trees, shuffle-exchange and de Bruijn networks. It is shown that all of these are powerful architectures for parallel computation, as evidenced by their ability to efficiently emulate numerous other architectures. In particular, r-dimensional grids and r-dimensional meshes of trees can be embedded efficiently in products of these graphs, i.e. either as a subgraph or with small constant dilation and congestion. In addition, the shuffle-exchange network can be embedded in an r-dimensional product of shuffle-exchange networks with dilation cost 2r and congestion cost 2. Similarly, the de Bruijn network can be embedded in an r-dimensional product of de Bruijn networks with dilation cost r and congestion cost 4. Moreover, it is well known that shuffle-exchange and de Bruijn graphs can emulate the hypercube with a small constant slowdown for """"normal"""" algorithms. This means that their product versions can also emulate these hypercube algorithms with constant slowdown. Conclusions include a discussion of many open research areas.<>"",""1558-2183"","""",""10.1109/71.466633"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466633"","""",""Binary trees";Costs;Hypercubes;Grid computing;Bandwidth;Computer networks;Parallel architectures;Computer architecture;Concurrent computing;"Multiprocessor interconnection networks"","""",""39"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Properties of generalized Branch and Combine clock networks,""A. El-Amawy";" P. Kulasinghe"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""541"",""546"",""In a recent development a new clock distribution scheme has been introduced. The scheme called Branch-and-Combine or BaC, is the first to guarantee constant skew bound regardless of network size. In this paper we generalize and extend the work on BaC networks. Our study takes the approach of defining a general graph theoretic model which is then utilized to define a general network model taking into account node function. We use the models to establish some interesting results on clocking paths, node input sequences, node inputs' relative timings, and skew bound. We prove that a network adhering to our general model is stable (will not oscillate) despite its cyclic nature. We also prove that no tree of any kind can be used to distribute the clock in two or more dimensions such that skew bound is constant. The paper then exploits the derived properties to describe the inherent interplay between topology, timing, node function, and skew bound.<>"",""1558-2183"","""",""10.1109/71.382323"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382323"","""",""Clocks";Timing;Network topology;Very large scale integration;Propagation delay;Stability;Synchronization;Wires;Threshold voltage;"Upper bound"","""",""2"","""",""14"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Reconfigurable buses with shift switching: concepts and applications,""R. Lin";" S. Olariu"",""Department of Computer Science, State University New York, Geneseo, NY, USA";" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""1"",""93"",""102"",""We propose to enhance traditional broadcast buses by the addition of a new feature that we call shift switching. We show that on a linear array of processors enhanced with shift switching, the prefix sums of n bits can be computed in [log(n+1)/log w] broadcasts, each over n switches, assuming a global bus of width w. Next our prefix sums algorithm is used in conjunction with broadcasting on short buses to obtain several efficient architectural designs for the following fundamental problems: 1) ranking linked lists, 2) counting the number of 1's in a sequence of n bits, and 3) sorting small sets. We see our main contribution in showing that the new bus feature leads to designs that are both theoretically interesting and practically relevant.<>"",""1558-2183"","""",""10.1109/71.363407"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=363407"","""",""Broadcasting";Parallel machines;Delay;Sorting;Computer science;Optical switches;Very large scale integration;Algorithm design and analysis;Parallel architectures;"Counting circuits"","""",""39"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Relaxing synchronization in distributed simulated annealing,""Chul-Eui Hong";" B. M. McMillin"",""Electronics and Telecommunications Research Institute, Taejon, South Korea";" Department of Computer Science, University of Missouri, Rolla, Rolla, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""2"",""189"",""195"",""This paper presents a cost error measurement scheme and relaxed synchronization method, for simulated annealing on a distributed memory multicomputer, which predicts the amount of cost error that an algorithm will tolerate. An adaptive error control method is developed and implemented on an Intel iPSC/2.<>"",""1558-2183"","""",""10.1109/71.342132"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=342132"","""",""Simulated annealing";Costs;Error correction;Solid modeling;Temperature;Predictive models;Programmable control;Adaptive control;Parallel processing;"State-space methods"","""",""8"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Resource placement with multiple adjacency constraints in k-ary n-cubes,""P. Ramanathan";" S. Chalasani"",""Dept. of Electr. & Comput. Eng., Wisconsin Univ., Madison, WI, USA";" Dept. of Electr. & Comput. Eng., Wisconsin Univ., Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""5"",""511"",""519"",""The problem of placing resources in a k-ary n-cube (k>2) is considered in this paper. For a given j/spl ges/1, resources are placed such that each nonresource node is adjacent to j resource nodes. We first prove that perfect j-adjacency placements are impossible in k-ary n-cubes if n<j<2n. Then, we show that a perfect j-adjacency placement is possible in k-ary n-cubes when one of the following two conditions is satisfied: (1) if and only if j equals 2n and k is even, or (2) if 1/spl les/j/spl les/n and there exist integers q and r such that q divides k and q/sup r/-1=2n/j. In each case, we describe an algorithm to obtain perfect j-adjacency placements. We also show that these algorithms can be extended under certain conditions to place j distinct types of resources in a such way that each nonresource node is adjacent to a resource node of each type. For the cases when perfect j-adjacency placements are not possible, we consider approximate j-adjacency placements. We show that the number of copies of resources required in this case either approaches a theoretical lower bound on the number of copies required for any j-adjacency placement or is within a constant factor of the theoretical lower bound for large k.<<ETX>>"",""1558-2183"","""",""10.1109/71.382319"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=382319"","""",""Multiprocessing systems";Hypercubes;Resource management;Computer networks;Multiprocessor interconnection networks;Hardware;Printers;Software libraries;Performance loss;"Costs"","""",""22"",""3"",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Resource-constrained software pipelining,""A. Aiken"; A. Nicolau;" S. Novack"",""Electrical Engineering and Computer Science, University of California Berkeley, Berkeley, CA, USA"; Department of Information and Computer Science, University of California, Irvine, Irvine, CA, USA;" Department of Information and Computer Science, University of California, Irvine, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1248"",""1270"",""This paper presents a software pipelining algorithm for the automatic extraction of fine-grain parallelism in general loops. The algorithm accounts for machine resource constraints in a way that smoothly integrates the management of resource constraints with software pipelining. Furthermore, generality in the software pipelining algorithm is not sacrificed to handle resource constraints, and scheduling choices are made with truly global information. Proofs of correctness and the results of experiments with an implementation are also presented."",""1558-2183"","""",""10.1109/71.476167"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476167"","""",""Pipeline processing";Job shop scheduling;Software algorithms;Processor scheduling;Parallel processing;VLIW;Scheduling algorithm;Hardware;Computer aided manufacturing;"Computer science"","""",""41"",""8"",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Ring-connected networks and their relationship to cubical ring connected cycles and dynamic redundancy networks,""I. Y. . -Y. Lee";" Sheng-De Wang"",""Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan";" Department of Electrical Engineering, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""9"",""988"",""996"",""Reviews a 1-fault-tolerant (1-ft) hypercube model with degree 2r: the ring-connected network (RCN), which has the lowest degree among all 1-ft, one-spare node, r-dimensional hypercube architectures yet discovered. Then, we propose a constant-time reconfiguration algorithm via an add-and-modulo automorphism. Furthermore, by introducing the equivalence from hypercubes to cube-connected cycles (CCCs) and to butterflies (BFs), we find that there is also a corresponding equivalence from RCNs to cubical ring-connected cycles (CRCCs) and to dynamic redundancy networks (DRNs). From this fact, we find that once a symmetric fault-tolerant structure has been discovered for one of the three models, then it can be applied directly to the other hypercubic networks. Applying the technique, we find a degree-6, 1-ft Benes network. We think that more attention should be paid to the strong relationship between hypercubes, CCCs and BFs. Finally, from this equivalence relationship we propose three new bounded-degree k-ft models: k-ft CCCs, k-ft BFs and k-ft Benes networks.<>"",""1558-2183"","""",""10.1109/71.466635"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=466635"","""",""Hypercubes";Vehicle dynamics;Redundancy;Fault tolerance;Computer Society;Computer networks;Concurrent computing;Computer architecture;"Multiprocessor interconnection networks"","""",""4"",""2"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Routing in modular fault-tolerant multiprocessor systems,""M. S. Alam";" R. G. Melhem"",""AT and T Bell Laboratories, Inc., Redhill, NJ, USA";" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""11"",""1206"",""1220"",""In this paper, we consider a class of modular multiprocessor architectures in which spares are added to each module to cover for faulty nodes within that module, thus forming a fault-tolerant basic block (FTBB). In contrast to reconfiguration techniques that preserve the physical adjacency between active nodes in the system, our goal is to preserve the logical adjacency between active nodes by means of a routing algorithm which delivers messages successfully to their destinations. We introduce two-phase routing strategies that route messages first to their destination FTBB, and then to the destination nodes within the destination FTBB. Such a strategy may be applied to a variety of architectures including binary hypercubes and three-dimensional tori. In the presence of f faults in hypercubes and tori, we show that the worst case length of the message route is min {/spl sigma/+f, (K+1)/spl sigma/}+c where /spl sigma/ is the shortest path in the absence of faults, K is the number of spare nodes in an FTBB, and c is a small constant. The average routing overhead is much lower than the worst case overhead."",""1558-2183"","""",""10.1109/71.476192"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476192"","""",""Routing";Fault tolerant systems;Multiprocessing systems;Fault tolerance;Hypercubes;Degradation;Topology;Computer Society;Computer architecture;"Real time systems"","""",""2"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Runtime support and compilation methods for user-specified irregular data distributions,""R. Ponnusamy"; J. Saltz; A. Choudhary; Yuan-Shin Hwang;" G. Fox"",""Northeast Parallel Architectures Center, Syracuse University, Syracuse, NY, USA"; UMIACS and Computer Science Department, University of Maryland, College Park, MD, USA; Northeast Parallel Architectures Center, Syracuse University, Syracuse, NY, USA; UMIACS and Computer Science Department, University of Maryland, College Park, MD, USA;" Northeast Parallel Architectures Center, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""8"",""815"",""831"",""This paper describes two new ideas by which a High Performance Fortran compiler can deal with irregular computations effectively. The first mechanism invokes a user specified mapping procedure via a set of proposed compiler directives. The directives allow use of program arrays to describe graph connectivity, spatial location of array elements, and computational load. The second mechanism is a conservative method for compiling irregular loops in which dependence arises only due to reduction operations. This mechanism in many cases enables a compiler to recognize that it is possible to reuse previously computed information from inspectors (e.g., communication schedules, loop iteration partitions, and information that associates off-processor data copies with on-processor buffer locations). This paper also presents performance results for these mechanisms from a Fortran 90D compiler implementation.<>"",""1558-2183"","""",""10.1109/71.406958"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=406958"","""",""Runtime";Costs;Distributed computing;Concurrent computing;Computational fluid dynamics;Computer science;Parallel architectures;Prefetching;Computer Society;"High performance computing"","""",""41"","""",""45"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Sequential hardware prefetching in shared-memory multiprocessors,""F. Dahlgren"; M. Dubois;" P. Stenstrom"",""The Department of Computer Engineering, Lund University, Lund, Sweden"; The Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA;" The Department of Computer Engineering, Lund University, Lund, Sweden"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""7"",""733"",""746"",""To offset the effect of read miss penalties on processor utilization in shared-memory multiprocessors, several software- and hardware-based data prefetching schemes have been proposed. A major advantage of hardware techniques is that they need no support from the programmer or compiler. Sequential prefetching is a simple hardware-controlled prefetching technique which relies on the automatic prefetch of consecutive blocks following the block that misses in the cache, thus exploiting spatial locality. In its simplest form, the number of prefetched blocks on each miss is fixed throughout the execution. However, since the prefetching efficiency varies during the execution of a program, we propose to adapt the number of pre-fetched blocks according to a dynamic measure of prefetching effectiveness. Simulations of this adaptive scheme show reductions of the number of read misses, the read penalty, and of the execution time by up to 78%, 58%, and 25% respectively.<>"",""1558-2183"","""",""10.1109/71.395402"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=395402"","""",""Hardware";Prefetching;Delay;Costs;Protocols;Computer Society;Programming profession;Program processors;"Runtime"","""",""94"",""8"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Some new designs of 2-D array for matrix multiplication and transitive closure,""Jong-Chuang Tsay";" Pen-Yuang Chang"",""Institute of Computer Science and Information Engineering College of Engineering, National Chiao Tung University, Hsinchu, Taiwan";" Institute of Computer Science and Information Engineering College of Engineering, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""4"",""351"",""362"",""We present some new regular iterative algorithms for matrix multiplication and transitive closure. With these algorithms, by spacetime mapping the 2-D arrays with 2N-1 and upper bound [(3N-1)/2] execution times for matrix multiplication can be obtained. Meanwhile, we can derive a 2-D array with 4N-2 execution rime for transitive closure based on the sequential Warshall-Floyd algorithm. All these new 2-D arrays for matrix multiplication and transitive closure have the advantages of faster and more regular than other previous designs.<>"",""1558-2183"","""",""10.1109/71.372789"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=372789"","""",""Processor scheduling";Iterative algorithms;Systolic arrays;Vectors;Very large scale integration;Space technology;Design methodology;Equations;Councils;"Computer science"","""",""8"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Sorting n/sup 2/ numbers on n/spl times/n meshes,""M. Nigam";" S. Sahni"",""Computer and Information SciencesDepartment, University of Florida, Gainesville, FL, USA";" Computer and Information SciencesDepartment, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1995"",""6"",""12"",""1221"",""1225"",""We show that by folding data from an n/spl times/n mesh onto an n/spl times/(n/k) submesh, sorting on the submesh, and finally unfolding back onto the entire n/spl times/n mesh it is possible to sort on bidirectional and strict unidirectional meshes using a number of routing steps that is very close to the distance lower bound for these architectures."",""1558-2183"","""",""10.1109/71.476164"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=476164"","""",""Sorting";Computer architecture;Routing;Concurrent computing;"Distributed computing"","""",""6"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
