"(ε, δ)-Approximate Aggregation Algorithms in Dynamic Sensor Networks,""J. Li";" S. Cheng"",""School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China";" School of Computer Science and Technology, Harbin Institute of Technology, Harbin, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""385"",""396"",""Aggregation operations are important in WSN applications. Since large numbers of applications only require approximate aggregation results rather than the exact ones, some approximate aggregation algorithms have been proposed to save energy. However, the error bounds of these algorithms are fixed and it is impossible to adjust the error bounds automatically, so they cannot meet the requirement of arbitrary precision required by various users. Thus, a uniform sampling-based algorithm was proposed by the authors of this paper to satisfy arbitrary precision requirement. Unfortunately, this uniform sampling-based algorithm is only suitable for static sensor networks. To overcome the shortcoming of the uniform sampling-based algorithm, this paper proposes four Bernoulli sampling-based and distributed approximate aggregation algorithms to process the snapshot and continuous aggregation queries in dynamic sensor networks. Theoretical analysis and experimental results show that the proposed algorithms have high performance in terms of accuracy and energy consumption."",""1558-2183"","""",""10.1109/TPDS.2011.193"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5953593"",""Wireless sensor network";approximate aggregation;"Bernoulli sampling."",""Approximation algorithms";Clustering algorithms;Entropy;Heuristic algorithms;Monitoring;Wireless sensor networks;"Algorithm design and analysis"","""",""30"","""",""25"",""IEEE"",""14 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Online System for Grid Resource Monitoring and Machine Learning-Based Prediction,""L. Hu"; X. -L. Che;" S. -Q. Zheng"",""College of Computer Science and Technology, Jilin University, Changchun, China"; College of Computer Science and Technology, Jilin University, Changchun, China;" Department of Computer Science, University of Texas at Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Nov 2011"",""2012"",""23"",""1"",""134"",""145"",""Resource allocation and job scheduling are the core functions of grid computing. These functions are based on adequate information of available resources. Timely acquiring resource status information is of great importance in ensuring overall performance of grid computing. This work aims at building a distributed system for grid resource monitoring and prediction. In this paper, we present the design and evaluation of a system architecture for grid resource monitoring and prediction. We discuss the key issues for system implementation, including machine learning-based methodologies for modeling and optimization of resource prediction models. Evaluations are performed on a prototype system. Our experimental results indicate that the efficiency and accuracy of our system meet the demand of online system for grid resource monitoring and prediction."",""1558-2183"","""",""10.1109/TPDS.2011.108"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5740869"",""Grid resource";monitoring and prediction;neural network;support vector machine;genetic algorithm;"particle swarm optimization."",""Monitoring";Predictive models;Information services;Registers;Data models;Computer architecture;"Containers"","""",""20"","""",""33"",""IEEE"",""5 Apr 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Optimal Allocation of Interconnecting Links in Cyber-Physical Systems: Interdependence, Cascading Failures, and Robustness,""O. Yagan"; D. Qian; J. Zhang;" D. Cochran"",""Department of Electrical and Computer Engineering and CyLab, Carnegie Mellon University, Pittsburgh, PA, USA"; School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA; School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA;" School of Electrical, Computer and Energy Engineering, Arizona State University, Tempe, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2012"",""2012"",""23"",""9"",""1708"",""1720"",""We consider a cyber-physical system consisting of two interacting networks, i.e., a cyber network overlaying a physical network. It is envisioned that these systems are more vulnerable to attacks since node failures in one network may result in (due to the interdependence) failures in the other network, causing a cascade of failures that would potentially lead to the collapse of the entire infrastructure. The robustness of interdependent systems against this sort of catastrophic failure hinges heavily on the allocation of the (interconnecting) links that connect nodes in one network to nodes in the other network. In this paper, we characterize the optimum inter-link allocation strategy against random attacks in the case where the topology of each individual network is unknown. In particular, we analyze the “regular” allocation strategy that allots exactly the same number of bidirectional internetwork links to all nodes in the system. We show, both analytically and experimentally, that this strategy yields better performance (from a network resilience perspective) compared to all possible strategies, including strategies using random allocation, unidirectional interlinks, etc."",""1558-2183"","""",""10.1109/TPDS.2012.62"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6148227"",""Resource management";Power system faults;Power system protection;Robustness;Bidirectional control;Steady-state;Joining processes;random graph theory.;Interdependent networks;cascading failures;robustness;"resource allocation"",""Resource management";Power system faults;Power system protection;Robustness;Bidirectional control;Steady-state;"Joining processes"","""",""163"","""",""18"",""IEEE"",""7 Feb 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Optimal Construction of All Shortest Node-Disjoint Paths in Hypercubes with Applications,""C. -N. Lai"",""Department of Information Management, National Kaohsiung Marine University, Kaohsiung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1129"",""1134"",""Routing functions had been shown effective in constructing node-disjoint paths in hypercube-like networks. In this paper, by the aid of routing functions, m node-disjoint shortest paths from one source node to other m (not necessarily distinct) destination nodes are constructed in an n-dimensional hypercube, provided the existence of such node-disjoint shortest paths which can be verified in O(mn^{1.5}) time, where {m} \leq {n}. The construction procedure has worst case time complexity O(mn), which is optimal and hence improves previous results. By taking advantages of the construction procedure, m node-disjoint paths from one source node to other m (not necessarily distinct) destination nodes in an n-dimensional hypercube such that their total length is minimized can be constructed in O(mn^{1.5} + {m}^3{n}) time, which is more efficient than the previous result of O(m^2 {n}^{2.5} + {mn}^3) time. Besides, their maximal length is also minimized in the worst case."",""1558-2183"","""",""10.1109/TPDS.2011.261"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060808"",""Hypercube";node-disjoint paths;matching;"optimization problem."",""Routing";Complexity theory;Hypercubes;Sufficient conditions;Network topology;Program processors;"Fault tolerance"","""",""27"","""",""30"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Optimal Frequency-Temporal Opportunity Exploitation for Multichannel Ad Hoc Networks,""B. Li"; P. Yang; J. Wang; Q. Wu; S. -J. Tang; X. -Y. Li;" Y. Liu"",""Institute of Communications Engineering, People's Liberation Army University of Science and Technology, Nanjing, Jiangsu, China"; Institute of Communications Engineering, People's Liberation Army University of Science and Technology, Nanjing, Jiangsu, China; Institute of Communications Engineering, People's Liberation Army University of Science and Technology, Nanjing, Jiangsu, China; Institute of Communications Engineering, People's Liberation Army University of Science and Technology, Nanjing, Jiangsu, China; CS Department, Illinois Institute of Technology, Chicago, IL, USA; CS Department, Illinois Institute of Technology, Chicago, IL, USA;" Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Oct 2012"",""2012"",""23"",""12"",""2289"",""2302"",""In multichannel system, user could keep transmitting over an instantaneous “on peak” channel by opportunistically accessing and switching among channels. Previous studies rely on constant transmission duration, which would fail to leverage more opportunities in time and frequency domain. In this paper, we consider opportunistic channel accessing/releasing scheme in multichannel system with Rayleigh fading channels. Our main goal is to derive a throughput-optimal strategy for determining when and which channel to access and when to release it. We formulate this real-time decision-making process as a two-dimensional optimal stopping problem. We prove that the two-dimensional optimal stopping rule can be reduced to a simple threshold-based policy. Leveraging the absorbing Markov chain theory, we obtain the optimal threshold as well as the maximum achievable throughput with computational efficiency. Numerical and simulation results show that our proposed channel utilization scheme achieves up to 140 percent throughput gain over opportunistic transmission with a single channel and up to 60 percent throughput gain over opportunistic channel access with constant transmission duration."",""1558-2183"","""",""10.1109/TPDS.2012.84"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6165270"",""Opportunistic channel access/release";optimal stopping;time-frequency diversity;"finite-state Markov channel"",""Throughput";Time frequency analysis;Fading channels;Frequency domain analysis;Markov processes;Data communication;"Receivers"","""",""14"","""",""22"",""IEEE"",""6 Mar 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Optimal Power Management of Residential Customers in the Smart Grid,""Y. Guo"; M. Pan;" Y. Fang"",""Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"; Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA;" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2012"",""2012"",""23"",""9"",""1593"",""1606"",""Recently intensive efforts have been made on the transformation of the world's largest physical system, the power grid, into a “smart grid” by incorporating extensive information and communication infrastructures. Key features in such a “smart grid” include high penetration of renewable and distributed energy sources, large-scale energy storage, market-based online electricity pricing, and widespread demand response programs. From the perspective of residential customers, we can investigate how to minimize the expected electricity cost with real-time electricity pricing, which is the focus of this paper. By jointly considering energy storage, local distributed generation such as photovoltaic (PV) modules or small wind turbines, and inelastic or elastic energy demands, we mathematically formulate this problem as a stochastic optimization problem and approximately solve it by using the Lyapunov optimization approach. From the theoretical analysis, we have also found a good tradeoff between cost saving and storage capacity. A salient feature of our proposed approach is that it can operate without any future knowledge on the related stochastic models (e.g., the distribution) and is easy to implement in real time. We have also evaluated our proposed solution with practical data sets and validated its effectiveness."",""1558-2183"","""",""10.1109/TPDS.2012.25"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127869"",""Batteries";Electricity;Renewable energy resources;Smart grids;Real time systems;Pricing;real-time pricing.;Smart grid;optimal power management;Lyapunov optimization;energy storage;"renewable energy generation"",""Batteries";Electricity;Renewable energy resources;Smart grids;Real time systems;"Pricing"","""",""187"","""",""30"",""IEEE"",""10 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Optimally Maximizing Iteration-Level Loop Parallelism,""D. Liu"; Y. Wang; Z. Shao; M. Guo;" J. Xue"",""Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong, China"; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong, China; Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong, China; Department of Computer Science and Engineering, Shanghai Jiaotong University, Shanghai, China;" Programming Languages and Compilers Group, School of Computer Science and Engineering, University of New South Wales, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2012"",""2012"",""23"",""3"",""564"",""572"",""Loops are the main source of parallelism in many applications. This paper solves the open problem of extracting the maximal number of iterations from a loop to run parallel on chip multiprocessors. Our algorithm solves it optimally by migrating the weights of parallelism-inhibiting dependences on dependence cycles in two phases. First, we model dependence migration with retiming and formulate this classic loop parallelization into a graph optimization problem, i.e., one of finding retiming values for its nodes so that the minimum nonzero edge weight in the graph is maximized. We present our algorithm in three stages with each being built incrementally on the preceding one. Second, the optimal code for a loop is generated from the retimed graph of the loop found in the first phase. We demonstrate the effectiveness of our optimal algorithm by comparing with a number of representative nonoptimal algorithms using a set of benchmarks frequently used in prior work and a set of graphs generated by TGFF."",""1558-2183"","""",""10.1109/TPDS.2011.171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5887315"",""Loop parallelization";loop transformation;retiming;data dependence graph;"iteration-level parallelism."",""Parallel processing";Kernel;Law;Indexes;Optimization;"Polynomials"","""",""10"","""",""40"",""IEEE"",""16 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Optimization of Parallel Particle-to-Grid Interpolation on Leading Multicore Platforms,""K. Madduri"; J. Su; S. Williams; L. Oliker; S. Ethier;" K. Yelick"",""Pennsylvania State University, University Park, PA, USA"; University of California, Berkeley, Milpitas, CA, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Lawrence Berkeley National Laboratory, Berkeley, CA, USA; Princeton Plasma Physics Laboratory, Princeton, NJ, USA;" Lawrence Berkeley National Laboratory, University of California, Berkeley, Berkeley, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2012"",""2012"",""23"",""10"",""1915"",""1922"",""We are now in the multicore revolution which is witnessing a rapid evolution of architectural designs due to power constraints and correspondingly limited microprocessor clock speeds. Understanding how to efficiently utilize these systems in the context of demanding numerical algorithms is an urgent challenge to meet the ever growing computational needs of high-end computing. In this work, we examine multicore parallel optimization of the particle-to-grid interpolation step in particle-mesh methods, an inherently complex optimization problem due to its low computation intensity, irregular data accesses, and potential fine-grained data hazards. Our evaluated kernels are derived from two important numerical computations: a biological simulation of the heart using the Immersed Boundary (IB) method, and a Gyrokinetic Particle-in-Cell (PIC)-based application for studying fusion plasma microturbulence. We develop several novel synchronization and grid decomposition schemes, as well as low-level optimization techniques to maximize performance on three modern multicore platforms: Intel's Xeon X5550 (Nehalem), AMD's Opteron 2356 (Barcelona), and Sun's UltraSparc T2+ (Niagara). Results show that our optimizations lead to significant performance improvements, achieving up to a 5.6× speedup compared to the reference parallel implementation. Our work also provides valuable insight into the design of future autotuning frameworks for particle-to-grid interpolation on next-generation systems."",""1558-2183"","""",""10.1109/TPDS.2012.28"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6133280"",""Particle mesh";particle-to-grid interpolation;multicore performance tuning;synchronization;atomic;"lock free"",""Heart";Synchronization;Optimization;Interpolation;Multicore processing;Kernel;"Computational modeling"","""",""2"","""",""15"",""IEEE"",""17 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Optimizing Information Credibility in Social Swarming Applications,""B. Liu"; P. Terlecky; A. Bar-Noy; R. Govindan; M. J. Neely;" D. Rawitz"",""Department of Computer Science, University of Southern California, Los Angeles, CA, USA"; CUNY Graduate Center, Yonkers, NY, USA; Computer Science Department, CUNY Brooklyn College and Graduate Center, NY, USA; Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Electrical Engineering Department, University of Southern California, Los Angeles, CA, USA;" School of Electrical Engineering, Tel-Aviv University, Tel-Aviv, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1147"",""1158"",""With the advent of smartphone technology, it has become possible to conceive of entirely new classes of applications. Social swarming, in which users armed with smartphones are directed by a central director to report on events in the physical world, has several real-world applications: search and rescue, coordinated fire-fighting, and the DARPA balloon hunt challenge. In this paper, we focus on the following problem: how does the director optimize the selection of reporters to deliver credible corroborating information about an event. We first propose a model, based on common notions of believability, about the credibility of information. We then cast the problem posed above as a discrete optimization problem, prove hardness results, introduce optimal centralized solutions, and design an approximate solution amenable to decentralized implementation whose performance is about 20 percent off, on average, from the optimal (on real-world data sets derived from Google News) while being three orders of magnitude more computationally efficient. More interesting, a time-averaged version of the problem is amenable to a novel stochastic utility optimization formulation, and can be solved optimally, while in some cases yielding decentralized solutions. To our knowledge, we are the first to propose and explore the problem of extracting credible information from a network of smartphones."",""1558-2183"","""",""10.1109/TPDS.2011.281"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095523"",""Discrete optimization";stochastic optimization;"corroboration."",""Heuristic algorithms";Approximation algorithms;Optimization;Noise;Dynamic programming;Complexity theory;"Approximation methods"","""",""15"","""",""20"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Optimizing Techniques for Parallel Digital Logic Simulation,""S. Meraji";" C. Tropper"",""School of Computer Science, McGill University, Montreal, QUE, Canada";" School of Computer Science, McGill University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1135"",""1146"",""A major part of the design process for Integrated Circuits (IC) is the process of circuit verification, in which the correctness of a circuit's design is evaluated. Discrete event simulation is a central tool in this effort. As proscribed by Moore's law, the number of transistors which can be placed on an IC doubles every 18 months. As a result, simulation has become the major bottleneck in the circuit design process. To alleviate this difficulty, it is possible to make use of parallel (or distributed) circuit simulation. In this paper, we make use of a parallel gate-level simulator which we developed and which is based upon Time Warp. Gate-level simulations exhibit two characteristics which can easily result in either instability or severely degraded simulation performance. Because of the low computational granularity of a gate-level simulation and because the computational load varies throughout the course of the simulation, the performance of Time Warp can be either severely degraded or be unstable. Restraining the optimism of Time Warp via a bounded window and utilizing dynamic load balancing are approaches to deal with these difficulties. In this paper, we make use of learning techniques from artificial intelligence (multiagent Q-learning, simulated annealing) to develop a combined bounded window and dynamic load balancing algorithm for parallel digital logic simulation. We evaluated the performance of these algorithms on open source Sparc and Leon designs and on two Viterbi decoder designs. We observed up to 60 percent improvement in simulation time of one of the decoders using this approach."",""1558-2183"","""",""10.1109/TPDS.2011.246"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6035695"",""Parallel digital logic simulation";Verilog;dynamic load balancing;Q-learning;simulated annealing;"time warp."",""Program processors";Heuristic algorithms;Load management;Integrated circuit modeling;Hardware design languages;Load modeling;"Logic gates"","""",""11"","""",""34"",""IEEE"",""6 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Payments for Outsourced Computations,""B. Carbunar";" M. V. Tripunitara"",""School of Computing and Information Sciences, Florida International University, Miami, FL, USA";" Department of Electrical and Computer Engineering (ECE), University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Dec 2011"",""2012"",""23"",""2"",""313"",""320"",""With the recent advent of cloud computing, the concept of outsourcing computations, initiated by volunteer computing efforts, is being revamped. While the two paradigms differ in several dimensions, they also share challenges, stemming from the lack of trust between outsourcers and workers. In this work, we propose a unifying trust framework, where correct participation is financially rewarded: neither participant is trusted, yet outsourced computations are efficiently verified and validly remunerated. We propose three solutions for this problem, relying on an offline bank to generate and redeem payments";" the bank is oblivious to interactions between outsourcers and workers. We propose several attacks that can be launched against our framework and study the effectiveness of our solutions. We implemented our most secure solution and our experiments show that it is efficient: the bank can perform hundreds of payment transactions per second and the overheads imposed on outsourcers and workers are negligible."",""1558-2183"","""",""10.1109/TPDS.2011.163"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5871601"",""Distributed applications";"security and privacy protection."",""Tin"","""",""18"","""",""15"",""IEEE"",""9 Jun 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Performance Analysis of Cloud Computing Centers Using M/G/m/m+r Queuing Systems,""H. Khazaei"; J. Misic;" V. B. Misic"",""Department of Computer Science, University of Manitoba, Winnipeg, MAN, Canada"; Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada;" Department of Computer Science, George Vari Engineering and Computing Centre, Ryerson University, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2012"",""2012"",""23"",""5"",""936"",""943"",""Successful development of cloud computing paradigm necessitates accurate performance evaluation of cloud data centers. As exact modeling of cloud centers is not feasible due to the nature of cloud centers and diversity of user requests, we describe a novel approximate analytical model for performance evaluation of cloud server farms and solve it to obtain accurate estimation of the complete probability distribution of the request response time and other important performance indicators. The model allows cloud operators to determine the relationship between the number of servers and input buffer size, on one side, and the performance indicators such as mean number of tasks in the system, blocking probability, and probability that a task will obtain immediate service, on the other."",""1558-2183"","""",""10.1109/TPDS.2011.199"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5959161"",""Cloud computing";performance analysis;response time;queuing theory;semi-Markov process;"embedded Markov chain."",""Markov processes";Servers;Time factors;Equations;Approximation methods;Cloud computing;"Steady-state"","""",""291"","""",""28"",""IEEE"",""21 Jul 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Performance and Reliability of Non-Markovian Heterogeneous Distributed Computing Systems,""J. E. Pezoa";" M. M. Hayat"",""Department of Electrical Engineering, Center for Optics and Photonics, Universidad de Concepciòn, Concepcion, Chile";" Department of Electrical and Computer Engineering, Center for High Technology Materials, University of New Mexico, Albuquerque, NM, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2012"",""2012"",""23"",""7"",""1288"",""1301"",""Average service time, quality-of-service (QoS), and service reliability associated with heterogeneous parallel and distributed computing systems (DCSs) are analytically characterized in a realistic setting for which tangible, stochastic communication delays are present with nonexponential distributions. The departure from the traditionally assumed exponential distributions for event times, such as task-execution times, communication arrival times and load-transfer delays, gives rise to a non-Markovian dynamical problem for which a novel age dependent, renewal-based distributed queuing model is developed. Numerical examples offered by the model shed light on the operational and system settings for which the Markovian setting, resulting from employing an exponential-distribution assumption on the event times, yields inaccurate predictions. A key benefit of the model is that it offers a rigorous framework for devising optimal dynamic task reallocation (DTR) policies systematically in heterogeneous DCSs by optimally selecting the fraction of the excess loads that need to be exchanged among the servers, thereby controlling the degree of cooperative processing in a DCSs. Key results on performance prediction and optimization of DCSs are validated using Monte-Carlo (MC) simulation as well as experiments on a distributed computing testbed. The scalability, in the number of servers, of the age-dependent model is studied and a linearly scalable analytical approximation is derived."",""1558-2183"","""",""10.1109/TPDS.2011.285"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6095655"",""Renewal theory";non-Markovian processes;distributed queuing theory;reliability;distributed computing;"load balancing."",""Servers";Reliability;Measurement;Stochastic processes;Analytical models;Vectors;"Load modeling"","""",""5"","""",""37"",""IEEE"",""6 Dec 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"pGraph: Efficient Parallel Construction of Large-Scale Protein Sequence Homology Graphs,""C. Wu"; A. Kalyanaraman;" W. R. Cannon"",""Xerox Research Center, Webster, NY, USA"; School of Electrical Engineering and Computer Science, Washington State University, Pullman, WA, USA;" Pacific Northwest National Laboratory, Richland, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Aug 2012"",""2012"",""23"",""10"",""1923"",""1933"",""Detecting sequence homology between protein sequences is a fundamental problem in computational molecular biology, with a pervasive application in nearly all analyses that aim to structurally and functionally characterize protein molecules. While detecting the homology between two protein sequences is relatively inexpensive, detecting pairwise homology for a large number of protein sequences can become computationally prohibitive for modern inputs, often requiring millions of CPU hours. Yet, there is currently no robust support to parallelize this kernel. In this paper, we identify the key characteristics that make this problem particularly hard to parallelize, and then propose a new parallel algorithm that is suited for detecting homology on large data sets using distributed memory parallel computers. Our method, called pGraph, is a novel hybrid between the hierarchical multiple-master/worker model and producer-consumer model, and is designed to break the irregularities imposed by alignment computation and work generation. Experimental results show that pGraph achieves linear scaling on a 2,048 processor distributed memory cluster for a wide range of inputs ranging from as small as 20,000 sequences to 2,560,000 sequences. In addition to demonstrating strong scaling, we present an extensive report on the performance of the various system components and related parametric studies."",""1558-2183"","""",""10.1109/TPDS.2012.19"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127863"",""Parallel protein sequence homology detection";parallel sequence graph construction;hierarchical master-worker paradigm;"producer-consumer model"",""Protein sequence";Computational modeling;Amino acids;DNA;Image edge detection;"Dynamic programming"","""",""24"","""",""48"",""IEEE"",""10 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Precise, Scalable, and Online Request Tracing for Multitier Services of Black Boxes,""B. Sang"; J. Zhan; G. Lu; H. Wang; D. Xu; L. Wang; Z. Zhang;" Z. Jia"",""Department of Computer Science, Purdue University, West Lafayette, IN, USA"; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Department of Computer Science, College of William and Mary, Williamsburg, VA, USA; Department of Computer Science, Purdue University, West Lafayette, IN, USA; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China;" Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2012"",""2012"",""23"",""6"",""1159"",""1167"",""As more and more multitier services are developed from commercial off-the-shelf components or heterogeneous middleware without source code available, both developers and administrators need a request tracing tool to (1) exactly know how a user request of interest travels through services of black boxes and (2) obtain macrolevel user request behaviors of services without manually analyzing massive logs. This need is further exacerbated by IT system “agility,” which mandates the tracing tool to provide online performance data since offline approaches cannot reflect system changes in real time. Moreover, considering the large scale of deployed services, a pragmatic tracing approach should be scalable in terms of the cost in collecting and analyzing logs. In this paper, we introduce a precise, scalable, and online request tracing tool for multitier services of black boxes. Our contributions are threefold. First, we propose a precise request tracing algorithm for multitier services of black boxes, which only uses application-independent knowledge. Second, we present a microlevel abstraction, component activity graph, to represent causal paths of each request. On the basis of this abstraction, we use dominated causal path patterns to represent repeatedly executed causal paths that account for significant fractions, and we further present a derived performance metric of causal path patterns, latency percentages of components, to enable debugging performance-in-the-large. Third, we develop two mechanisms, tracing on demand and sampling, to significantly increase the system scalability. We implement a prototype of the proposed system, called PreciseTracer, and release it as open source code. In comparison with WAP5-a black-box tracing approach, PreciseTracer achieves higher tracing accuracy and faster response time. Our experimental results also show that PreciseTracer has low overhead, and still achieves high tracing accuracy even if an aggressive sampling policy is adopted, indicating that PreciseTracer is a promising tracing tool for large-scale production systems."",""1558-2183"","""",""10.1109/TPDS.2011.257"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060804"",""Multitier service";black boxes;precise request tracing;micro- and macrolevel abstractions;online analysis;performance debugging;"scalability."",""Context";Debugging;Kernel;Message systems;Middleware;Engines;"Correlators"","""",""25"","""",""40"",""IEEE"",""25 Oct 2011"","""","""",""IEEE"",""IEEE Journals""";;
"Privacy-Preserving Decentralized Key-Policy Attribute-Based Encryption,""J. Han"; W. Susilo; Y. Mu;" J. Yan"",""College of Science, Hohai University, HHU, Nanjing, China"; Centre for Computer and Information Security Research, School of Computer Science and Software Engineering, University of Wollongong, Wollongong, NSW, Australia; Centre for Computer and Information Security Research, School of Computer Science and Software Engineering, University of Wollongong, Wollongong, NSW, Australia;" School of Information Systems and Technology, University of Wollongong, Wollongong, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Sep 2012"",""2012"",""23"",""11"",""2150"",""2162"",""Decentralized attribute-based encryption (ABE) is a variant of a multiauthority ABE scheme where each authority can issue secret keys to the user independently without any cooperation and a central authority. This is in contrast to the previous constructions, where multiple authorities must be online and setup the system interactively, which is impractical. Hence, it is clear that a decentralized ABE scheme eliminates the heavy communication cost and the need for collaborative computation in the setup stage. Furthermore, every authority can join or leave the system freely without the necessity of reinitializing the system. In contemporary multiauthority ABE schemes, a user's secret keys from different authorities must be tied to his global identifier (GID) to resist the collusion attack. However, this will compromise the user's privacy. Multiple authorities can collaborate to trace the user by his GID, collect his attributes, then impersonate him. Therefore, constructing a decentralized ABE scheme with privacy-preserving remains a challenging research problem. In this paper, we propose a privacy-preserving decentralized key-policy ABE scheme where each authority can issue secret keys to a user independently without knowing anything about his GID. Therefore, even if multiple authorities are corrupted, they cannot collect the user's attributes by tracing his GID. Notably, our scheme only requires standard complexity assumptions (e.g., decisional bilinear Diffie-Hellman) and does not require any cooperation between the multiple authorities, in contrast to the previous comparable scheme that requires nonstandard complexity assumptions (e.g., q-decisional Diffie-Hellman inversion) and interactions among multiple authorities. To the best of our knowledge, it is the first decentralized ABE scheme with privacy-preserving based on standard complexity assumptions."",""1558-2183"","""",""10.1109/TPDS.2012.50"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6143930"",""Attribute-based encryption";multiauthority;privacy-preserving extract protocol;access control;"privacy"",""Encryption";Protocols;Access control;Polynomials;"Educational institutions"","""",""118"","""",""39"",""IEEE"",""31 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
