"A novel channel-adaptive uplink access control protocol for nomadic computing,""Yu-Kwong Kwok";" V. K. N. Lau"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China";" Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1150"",""1165"",""We consider the uplink access control problem in a mobile nomadic computing system, which is based on a cellular phone network in that a user can use the mobile device to transmit voice or file data. This resource management problem is important because an efficient solution to uplink access control is critical for supporting a large user population with a reasonable level of quality of service (QoS). While there are a number of recently proposed protocols for uplink access control, these protocols possess a common drawback in that they do not adapt well to the burst error properties, which are inevitable in using wireless communication channels. We propose a novel TDMA-based uplink access protocol, which employs a channel state dependent allocation strategy. Our protocol is motivated by two observations: (1) when channel state is bad, the throughput is low due to the large amount of FEC (forward error correction) or excessive ARQ (automatic repeated request) that is needed and (2) because of item 1, much of the mobile device's energy is wasted. The proposed protocol works closely with the underlying physical layer in that, through observing the channel state information (CSI) of each mobile device, the MAC protocol first segregates a set of users with good CSI from requests gathered in the request contention phase of an uplink frame. The protocol then judiciously allocates channel bandwidth to contending users based on their channel conditions. Simulation results indicate that the proposed protocol considerably outperforms five state-of-the-art protocols in terms of packet loss, delay, and throughput."",""1558-2183"","""",""10.1109/TPDS.2002.1058098"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058098"","""",""Access control";Access protocols;Mobile computing;Quality of service;Wireless application protocol;Throughput;Forward error correction;Computer networks;Cellular networks;"Resource management"","""",""18"","""",""23"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Optional and responsive fine-grain locking in Internet-based collaborative systems,""Chengzheng Sun"",""School of Computing and Information Technology, Griffith University, Brisbane, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""994"",""1008"",""Locking is a standard technique used in distributed computing and database systems to ensure data integrity by prohibiting concurrent conflicting updates on shared data objects. Internet-based collaborative systems are a special class of distributed applications which support human-to-human interaction and collaboration over the Internet. In this paper, a novel optional and responsive fine-grain locking scheme is proposed for consistency maintenance in Internet-based collaborative editors. In the proposed scheme, locking is made optional in the sense that a user may update any part of the document without necessarily requesting a lock. In the face of high communication latency in the Internet environment, responsive locking is achieved by granting the permit to the user for updating the data region immediately after issuing a locking request. Moreover, multiple fine-grain locks can be placed on different regions inside a document to allow concurrent and mutually exclusive editing on the same document. Protocols and algorithms for locking conflict resolution and consistency maintenance are devised to address special technical issues involved in optional and responsive fine-grain locking. The proposed locking scheme and supporting techniques were implemented in an Internet-based collaborative editor to demonstrate its feasibility and usability."",""1558-2183"","""",""10.1109/TPDS.2002.1036072"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036072"","""",""Internet";Collaboration;Distributed computing;Delay;Database systems;Real time systems;Collaborative work;Sun;Protocols;"Usability"","""",""38"",""3"",""26"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Orthogonal striping and mirroring in distributed RAID for I/O-centric cluster computing,""Kai Hwang"; H. Jin;" R. S. C. Ho"",""Department of Electrical Engineering Computer Science, University of Southern California, Los Angeles, CA, USA"; Department of Computer Science, Huazhong University of Science and Technology, Wuhan, China;" Department of Computer Science and Information Systems, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""26"",""44"",""This paper presents a new distributed disk-array architecture for achieving high I/O performance in scalable cluster computing. In a serverless cluster of computers, all distributed local disks can be integrated as a distributed-software redundant array of independent disks (ds-RAID) with a single I/O space. We report the new RAID-x design and its benchmark performance results. The advantage of RAID-x comes mainly from its orthogonal striping and mirroring (OSM) architecture. The bandwidth is enhanced with distributed striping across local and remote disks, while the reliability comes from orthogonal mirroring on local disks at the background. Our RAID-x design is experimentally compared with the RAID-5, RAID-10, and chained-declustering RAID through benchmarking on a research Linux cluster at USC. Andrew and Bonnie benchmark results are reported on all four disk-array architectures. Cooperative disk drivers and Linux extensions are developed to enable not only the single I/O space, but also the shared virtual memory and global file hierarchy. We reveal the effects of traffic rate and stripe unit size on I/O performance. Through scalability and overhead analysis, we find the strength of RAID-x in three areas: 1) improved aggregate I/O bandwidth especially for parallel writes, 2) orthogonal mirroring with low software overhead, and 3) enhanced scalability in cluster I/O processing. Architectural strengths and weakness of all four ds-RAID architectures are evaluated comparatively. The optimal choice among them depends on parallel read/write performance desired, the level of fault tolerance required, and the cost-effectiveness in specific I/O processing applications."",""1558-2183"","""",""10.1109/71.980025"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980025"","""",""Distributed computing"","""",""34"",""12"",""35"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"P-3PC: a point-to-point communication model for automatic and optimal decomposition of regular domain problems,""F. J. Seinstra";" D. Koelma"",""Faculty of Science, University of Amsterdam, Amsterdam, Netherlands";" Faculty of Science, University of Amsterdam, Amsterdam, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""7"",""758"",""768"",""One of the most fundamental problems automatic parallelization tools are confronted with is to find an optimal domain decomposition for a given application. For regular domain problems (such as simple matrix manipulations), this task may seem trivial. However, communication costs in message-passing programs often depend significantly on the memory layout of data blocks to be transmitted. As a consequence, straightforward domain decompositions may be non-optimal. In this paper, we introduce a new point-to-point communication model, called P-3PC (Parameterized model based on the Three Paths of Communication), that is specifically designed to overcome this problem. In comparison with related models (e.g. LogGP), P-3PC is similar in complexity, but more accurate in many situations. Although the model is aimed at MPI's standard point-to-point operations, it is applicable to similar message-passing definitions as well. The effectiveness of the model is tested in a framework for automatic parallelization of low-level image processing applications. Experiments are performed on two Beowulf-type systems, each having a different interconnection network and a different MPI implementation. The results show that, where other models frequently fail, P-3PC correctly predicts the communication costs related to any type of domain decomposition."",""1558-2183"","""",""10.1109/TPDS.2002.1019863"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019863"","""",""Costs";Message passing;Image processing;Matrix decomposition;Automatic testing;Multiprocessor interconnection networks;Predictive models;Optimization;Software performance;"Software design"","""",""11"","""",""28"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Performance analysis of a distributed question/answering system,""M. Surdeanu"; D. I. Moldovan;" S. M. Harabagiu"",""Language Computer Corporation, Dallas, TX, USA"; Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA;" Department of Computer Science, University of Texas, Dallas, Richardson, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""579"",""596"",""The problem of question/answering (Q/A) is to find answers to open-domain questions by searching large collections of documents. Unlike information retrieval systems very common today in the form of Internet search engines, Q/A systems do not retrieve documents, but instead provide short, relevant answers located in small fragments of text. This enhanced functionality comes with a price: Q/A systems are significantly slower and require more hardware resources than information retrieval systems. This paper proposes a distributed Q/A architecture that enhances the system throughput through the exploitation of interquestion parallelism and dynamic load balancing and reduces the individual question response time through the exploitation of intraquestion parallelism. Inter and intraquestion parallelism are both exploited using several scheduling points: one before the Q/A task is started and two embedded in the Q/A task. An analytical performance model is introduced. The model analyzes both the interquestion parallelism overhead generated by the migration of questions and the intraquestion parallelism overhead generated by the partitioning of the Q/A task. The analytical model indicates that both question migration and partitioning are required for a high-performance system."",""1558-2183"","""",""10.1109/TPDS.2002.1011413"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011413"","""",""Performance analysis";Parallel processing;Information retrieval;Load management;Analytical models;Data mining;Search engines;Throughput;Delay;"Content based retrieval"","""",""24"",""1"",""37"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Performance guarantees for Web server end-systems: a control-theoretical approach,""T. F. Abdelzaher"; K. G. Shin;" N. Bhatti"",""Department of Computer Science, University of Virginia, Charlottesville, VA, USA"; Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA;" Hewlett Packard Laboratories, Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""1"",""80"",""96"",""The Internet is undergoing substantial changes from a communication and browsing infrastructure to a medium for conducting business and marketing a myriad of services. The World Wide Web provides a uniform and widely-accepted application interface used by these services to reach multitudes of clients. These changes place the Web server at the center of a gradually emerging e-service infrastructure with increasing requirements for service quality and reliability guarantees in an unpredictable and highly-dynamic environment. This paper describes performance control of a Web server using classical feedback control theory. We use feedback control theory to achieve overload protection, performance guarantees, and service differentiation in the presence of load unpredictability. We show that feedback control theory offers a promising analytic foundation for providing service differentiation and performance guarantees. We demonstrate how a general Web server may be modeled for purposes of performance control, present the equivalents of sensors and actuators, formulate a simple feedback loop, describe how it can leverage on real-time scheduling and feedback-control theories to achieve per-class response-time and throughput guarantees, and evaluate the efficacy of the scheme on an experimental testbed using the most popular Web server, Apache. Experimental results indicate that control-theoretic techniques offer a sound way of achieving desired performance in performance-critical Internet applications. Our QoS (Quality-of-Service) management solutions can be implemented either in middleware that is transparent to the server, or as a library called by server code."",""1558-2183"","""",""10.1109/71.980028"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=980028"","""",""Web server";Feedback control;Quality of service;Web and internet services;Business communication;Web sites;Protection;Performance analysis;Sensor phenomena and characterization;"Actuators"","""",""370"",""22"",""53"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Performance of CORBA-based client-server architectures,""I. Abdul-Fatah";" S. Majumdar"",""Innovance Networks, Ottawa, Canada";" Department of Systems and Computer Engineering, Carleton University, Ottawa, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""111"",""127"",""Middleware has been introduced to provide interoperability as well as transparent location of servers in heterogeneous client-server environments. Although such benefits accrue from the use of middleware, careful consideration of system architecture is required to achieve high performance. Based on implementation and measurements made on the system, this paper is concerned with the impact of client-server interaction architecture on the performance of CORBA Systems. CORBA or Common Object Request Broker Architecture, proposed by the Object Management Group, is one of the commonly used standards for middleware architectures. Using a commercially available CORBA compliant ORB software called ORBeline, four different architectures were designed and implemented for client-server interaction on a network of workstations. In the Handle-Driven ORB (H-ORB) architecture, the client gets the address of the server from the agent and communicates with the server directly. In the Forwarding ORB (F-ORB) architecture the client request is automatically forwarded by the agent to the appropriate server which then returns the results of the computations to the client directly. In the Process Planner (P-ORB) architecture, the agent combines request forwarding with concurrent invocation of multiple servers for complex requests that require the services of multiple servers. The Adaptive ORB (A-ORB) combines the functionalities of both the H-ORB and the F-ORB and can switch dynamically from an H-ORB mode to an F-ORB mode and vice versa, depending on the load condition. Our measurements show that the differences among the performances of these architectures change with a change in the workload. The paper will report on the relative performances of these four architectures under different workload conditions. The results provide insights into system behavior for designers as well as users of systems. In particular, the impact of internode delays, message size, and request service times on the latency and scalability attributes of these architectures is analyzed. A discussion of how agent cloning can improve system performance is also included."",""1558-2183"","""",""10.1109/71.983940"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983940"","""",""Computer architecture";Middleware;Network servers;Switches;Delay;Workstations;Performance evaluation;Scalability;Cloning;"System performance"","""",""19"",""4"",""30"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Performance optimization problem in speculative prefetching,""N. J. Tuah"; M. Kumar; S. Venkatesh;" S. K. Das"",""Faculty of Science, Universiti Brunei Darussalam, Gadong, Brunei Darussalam"; Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA; Department of Computer Science and Engineering, University of Texas, Arlington, Arlington, TX, USA;" School of Computing, Curtin University of Technology, WA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""5"",""471"",""484"",""Speculative prefetching has been proposed to improve the response time of network access. Previous studies in speculative prefetching focus on building and evaluating access models for the purpose of access prediction. This paper investigates a complementary area which has been largely ignored, that of performance modeling. We analyze the performance of a prefetcher that has uncertain knowledge about future accesses. Our performance metric is the improvement in access time, for which we derive a formula in terms of resource parameters (time available and time required for prefetching) and speculative parameters (probabilities for next access). We develop a prefetch algorithm to maximize the improvement in access time. The algorithm is based on finding the best solution to a stretch knapsack problem, using theoretically proven apparatus to reduce the search space. An integration between speculative prefetching and caching is also investigated."",""1558-2183"","""",""10.1109/TPDS.2002.1003857"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1003857"","""",""Optimization";Prefetching;Predictive models;Performance analysis;Tree graphs;Intelligent networks;Delay;Measurement;Operating systems;"Frequency"","""",""4"","""",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Performance-effective and low-complexity task scheduling for heterogeneous computing,""H. Topcuoglu"; S. Hariri;" Min-You Wu"",""Computer Engineering Department, Marmara University, Istanbul, Turkey"; Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA;" Department of Electrical and Computer Engineering, University of New Mexico, Albuquerque, NM, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""260"",""274"",""Efficient application scheduling is critical for achieving high performance in heterogeneous computing environments. The application scheduling problem has been shown to be NP-complete in general cases as well as in several restricted cases. Because of its key importance, this problem has been extensively studied and various algorithms have been proposed in the literature which are mainly for systems with homogeneous processors. Although there are a few algorithms in the literature for heterogeneous processors, they usually require significantly high scheduling costs and they may not deliver good quality schedules with lower costs. In this paper, we present two novel scheduling algorithms for a bounded number of heterogeneous processors with an objective to simultaneously meet high performance and fast scheduling time, which are called the Heterogeneous Earliest-Finish-Time (HEFT) algorithm and the Critical-Path-on-a-Processor (CPOP) algorithm. The HEFT algorithm selects the task with the highest upward rank value at each step and assigns the selected task to the processor, which minimizes its earliest finish time with an insertion-based approach. On the other hand, the CPOP algorithm uses the summation of upward and downward rank values for prioritizing tasks. Another difference is in the processor selection phase, which schedules the critical tasks onto the processor that minimizes the total execution time of the critical tasks. In order to provide a robust and unbiased comparison with the related work, a parametric graph generator was designed to generate weighted directed acyclic graphs with various characteristics. The comparison study, based on both randomly generated graphs and the graphs of some real applications, shows that our scheduling algorithms significantly surpass previous approaches in terms of both quality and cost of schedules, which are mainly presented with schedule length ratio, speedup, frequency of best results, and average scheduling time metrics."",""1558-2183"","""",""10.1109/71.993206"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993206"","""",""Processor scheduling"","""",""2281"",""7"",""31"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Permutation-based range-join algorithms on N-dimensional meshes,""Shao Dong Chen"; Hong Shen;" R. Topor"",""Hutchison Telecommunications Limited, Kowloon, Hong Kong, China"; Graduage School of Information Science, Japan Advanced Institute of Science and Technology, Tatsunokuchi, Ishikawa, Japan;" School of Computing and Information Technology, Griffith University, Nathan, QLD, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""4"",""413"",""431"",""We present four efficient parallel algorithms for computing a nonequijoin, called range-join, of two relations on N-dimensional mesh-connected computers. Range-joins of relations R and S are an important generalization of conventional equijoins and band-joins and are solved by permutation-based approaches in all proposed algorithms. In general, after sorting all subsets of both relations, the proposed algorithms permute every sorted subset of relation S to each processor in turn, where it is joined with the local subset of relation R. To permute the subsets of S efficiently, we propose two data permutation approaches, namely, the shifting approach which permutes the data recursively from lower dimensions to higher dimensions and the Hamiltonian-cycle approach which first constructs a Hamiltonian cycle on the mesh and then permutes the data along this cycle by repeatedly transferring data from each processor to its successor. We apply the shifting approach to meshes with different storage capacities which results in two different join algorithms. The basic shifting join (BASHJ) algorithm can minimize the number of subsets stored temporarily at a processor, but requires a large number of data transmissions, while the buffering shifting join (BUSHJ) algorithm can achieve a high parallelism and minimize the number of data transmissions, but requires a large number of subsets stored at each processor."",""1558-2183"","""",""10.1109/71.995821"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=995821"","""",""Buffer storage";Concurrent computing;Data communication;Parallel algorithms;Sorting;"Parallel processing"","""",""4"","""",""19"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"RAPID-Cache-A reliable and inexpensive write cache for high performance storage systems,""Yiming Hu"; T. Nightingale;" Qing Yang"",""Department of Electrical & Computer Engineering and Computer Science, University of Cincinnati, Cincinnati, OH, USA"; Sun Microsystems, Santa Clara, CA, USA;" Department of Electrical and Computer Engineering, University of Rhode Island, Kingston, RI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""3"",""290"",""307"",""Modern high performance disk systems make extensive use of nonvolatile RAM (NVRAM) write caches. A single-copy NVRAM cache creates a single point of failure while a dual-copy NVRAM cache is very expensive because of the high cost of NVRAM. This paper presents a new cache architecture called RAPID-Cache for Redundant, Asymmetrically Parallel, and Inexpensive Disk Cache. A typical RAPID-Cache consists of two redundant write buffers on top of a disk system. One of the buffers is a primary cache made of RAM or NVRAM and the other is a backup cache containing a two-level hierarchy: a small NVRAM buffer on top of a log disk. The small NVRAM buffer combines small write data and writes them into the log disk in large sizes. By exploiting the locality property of I/O accesses and taking advantage of well-known Log-structured File Systems, the backup cache has nearly equivalent write performance as the primary RAM cache. The read performance of the backup cache is not as critical because normal read operations are performed through the primary RAM cache and reads from the backup cache happen only during error recovery periods. The RAPID-Cache presents an asymmetric architecture with a fast-write-fast-read RAM being a primary cache and a fast-write-slow-read NVRAM-disk hierarchy being a backup cache. The asymmetrically parallel architecture and an algorithm that separates actively accessed data from inactive data in the cache virtually eliminate the garbage collection overhead, which are the major problems associated with previous solutions such as Log-structured File Systems and Disk Caching Disk. The asymmetric cache allows cost-effective designs for very large write caches for high-end parallel disk systems that would otherwise have to use dual-copy, costly NVRAM caches. It also makes it possible to implement reliable write caching for low-end disk I/O systems since the RAPID-Cache makes use of inexpensive disks to perform reliable caching. Our analysis and trace-driven simulation results show that the RAPID-Cache has significant reliability/cost advantages over conventional single NVRAM write caches and has great cost advantages over dual-copy NVRAM caches. The RAPID-Cache architecture opens a new dimension for disk system designers to exercise trade-offs among performance, reliability, and cost."",""1558-2183"","""",""10.1109/71.993208"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=993208"","""",""Cache storage"","""",""18"",""3"",""26"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Rate-based borrowing scheme for QoS provisioning in multimedia wireless networks,""M. Ei-Kadi"; S. Olariu;" H. Abdel-Wahab"",""Dept. of Comput. Sci., Old Dominion Univ., Norfolk, VA, USA"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""156"",""166"",""Now that cellular networks are being called upon to support real-time interactive multimedia traffic such as video teleconferencing, these networks must be able to provide their users with quality-of-service (QoS) guarantees. Although the QoS provisioning problem arises in wireline networks as well, mobility of hosts, scarcity of bandwidth, and channel fading make QoS provisioning a challenging task in wireless networks. It has been noticed that multimedia applications can tolerate and gracefully adapt to transient fluctuations in the QoS that they receive from the network. The management of such adaptive multimedia applications is becoming a new research area in wireless networks. As it turns out, the additional flexibility afforded by the ability of multimedia applications to tolerate and adapt to transient changes in the QoS parameters can be exploited by protocol designers to significantly improve the overall performance of wireless systems. The main contribution of this paper is to propose a novel, rate-based, borrowing scheme for QoS provisioning in high-speed cellular networks carrying multimedia traffic. Our scheme attempts to allocate the desired bandwidth to every multimedia connection originating in a cell or being handed off to the cell. The novelty of our scheme is that, in case of insufficient bandwidth, in order not to deny service to requesting connections (new or hand-off), bandwidth will be borrowed, on a temporary basis, from existing connections. Our borrowing scheme guarantees that no connection gives up more than its fair share of bandwidth, in the sense that the amount of bandwidth borrowed from a connection is proportional to its tolerance to bandwidth loss. Importantly, our scheme ensures that the borrowed bandwidth is promptly returned to the degraded connections. Extensive simulation results show that our rate-based QoS provisioning scheme outperforms the best previously known schemes in terms of call dropping probability, call blocking probability, and bandwidth utilization."",""1558-2183"","""",""10.1109/71.983943"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983943"","""",""Bandwidth";Land mobile radio cellular systems;Telecommunication traffic;Wireless networks;Teleconferencing;Quality of service;Fading;Fluctuations;Multimedia systems;"Wireless application protocol"","""",""97"","""",""20"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Real-time concurrency control in a multiprocessor environment,""Tei-Wei Kuo"; Jun Wu;" Hsin-Chia Hsih"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan;" Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""6"",""659"",""671"",""Although many high-performance computer systems are now multiprocessor-based, little work has been done in real-time concurrency control of transaction executions in a multiprocessor environment. Real-time concurrency control protocols designed for uniprocessor or distributed environments may not fit the needs of multiprocessor-based real-time database systems because of a lower concurrency degree of transaction executions and a larger number of priority inversions. This paper proposes the concept of a priority cap to bound the maximum number of priority inversions in multiprocessor-based real-time database systems to meet transaction deadlines. We also explore the concept of two-version data to increase the system concurrency level and to explore the abundant computing resources of multiprocessor computer systems. The capability of the proposed methodology is evaluated in a multiprocessor real-time database system under different workloads, database sizes and processor configurations. It is shown that the benefits of the priority cap in reducing the blocking time of urgent transactions are far greater than the losses involved in committing less urgent transactions. The idea of two-version data also greatly improves the system performance because of a much higher concurrency degree in the system."",""1558-2183"","""",""10.1109/TPDS.2002.1011418"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1011418"","""",""Concurrency control";Real time systems;Database systems;Concurrent computing;Transaction databases;System performance;Distributed databases;Hardware;Access protocols;"Timing"","""",""9"","""",""25"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Recursive array layouts and fast matrix multiplication,""S. Chatterjee"; A. R. Lebeck; P. K. Patnala;" M. Thottethodi"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"; Department of Computer Science, Duke University, Durham, USA; Department of Computer Science, Duke University, Durham, NC, USA;" Nexsi Corporation, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""11"",""1105"",""1123"",""The performance of both serial and parallel implementations of matrix multiplication is highly sensitive to memory system behavior. False sharing and cache conflicts cause traditional column-major or row-major array layouts to incur high variability in memory system performance as matrix size varies. This paper investigates the use of recursive array layouts to improve performance and reduce variability. Previous work on recursive matrix multiplication is extended to examine several recursive array layouts and three recursive algorithms: standard matrix multiplication and the more complex algorithms of Strassen (1969) and Winograd. While recursive layouts significantly outperform traditional layouts (reducing execution times by a factor of 1.2-2.5) for the standard algorithm, they offer little improvement for Strassen's and Winograd's algorithms. For a purely sequential implementation, it is possible to reorder computation to conserve memory space and improve performance between 10 percent and 20 percent. Carrying the recursive layout down to the level of individual matrix elements is shown to be counterproductive";" a combination of recursive layouts down to canonically ordered matrix tiles instead yields higher performance. Five recursive layouts with successively increasing complexity of address computation are evaluated and it is shown that addressing overheads can be kept in control even for the most computationally demanding of these layouts."",""1558-2183"","""",""10.1109/TPDS.2002.1058095"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1058095"","""",""Linear algebra";Parallel processing;Data structures;Matrix decomposition;System performance;Interference;"Robust control"","""",""56"",""1"",""58"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Scalable stability detection using logical hypercube,""R. Friedman"; S. Manor;" K. Guo"",""Department of Computer Science, Technion-Israel Institute of Technology, Haifa, Israel"; Intel, Inc., Haifa, Israel;" Bell Laboratories Networking Research Laboratories, Holmdel, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Nov 2002"",""2002"",""13"",""9"",""972"",""984"",""This paper proposes to use a logical hypercube structure for detecting message stability in distributed systems. In particular, a stability detection protocol that uses such a superimposed logical structure is presented, and its scalability is compared with other known stability detection protocols. The main benefits of the logical hypercube approach are scalability, fault-tolerance, and refraining from overloading a single node or link in the system. These benefits become evident both by an analytical comparison and by simulations. Another important feature of the logical hypercube approach is that the performance of the protocol is in general not sensitive to the topology of the underlying physical network."",""1558-2183"","""",""10.1109/TPDS.2002.1036070"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1036070"","""",""Stability";Hypercubes;Scalability;Network topology;Multicast protocols;Telecommunication network reliability;Middleware;Analytical models;Intersymbol interference;"Communication standards"","""",""8"","""",""36"",""IEEE"",""7 Nov 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Sequential and parallel cellular automata-based scheduling algorithms,""F. Seredynski";" A. Y. Zomaya"",""Polish Japanese Institute of Information Technology, Warsaw, Poland";" School of Information Technologies, University of Sydney, Sydney, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Dec 2002"",""2002"",""13"",""10"",""1009"",""1023"",""We present an approach to designing cellular automata-based multiprocessor scheduling algorithms in which extracting knowledge about the scheduling process occurs. We consider the simplest case when a multiprocessor system is limited to two-processors. To design cellular automata corresponding to a given program graph, we propose a generic definition of program graph neighborhood, transparent to the various kinds, sizes, and shapes of program graphs. The cellular automata-based scheduler works in two modes: learning mode and operation mode. Discovered rules are typically suitable for sequential cellular automata working as a scheduler, while the most interesting and promising feature of cellular automata are their massive parallelism. To overcome difficulties in evolving parallel cellular automata rules, we propose using coevolutionary genetic algorithm. Discovered this way, rules enable us to design effective parallel schedulers. We present a number of experimental results for both sequential and parallel scheduling algorithms discovered in the context of a cellular automata-based scheduling system."",""1558-2183"","""",""10.1109/TPDS.2002.1041877"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1041877"","""",""Scheduling algorithm";Processor scheduling;Quantum computing;Genetic algorithms;Computer networks;Algorithm design and analysis;Parallel processing;Neural networks;Simulated annealing;"Multiprocessing systems"","""",""39"","""",""40"",""IEEE"",""10 Dec 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"SMT layout overhead and scalability,""J. Burns";" J. . -L. Gaudiot"",""Intel, Santa Clara, CA, USA";" Department of Electrical and Computer Engineering, University of California, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2002"",""13"",""2"",""142"",""155"",""Simultaneous Multi-Threading (SMT) is a hardware technique that increases processor throughput by issuing instructions simultaneously from multiple threads. However, while SMT can be added to an existing microarchitecture with relatively low overhead, this additional chip area could be used for other resources such as more functional units, larger caches, or better branch predictors. How large is the SMT overhead and at what point does SMT no longer pay off for maximum throughput compared to adding other architecture features? This paper evaluates the silicon overhead of SMT by performing a transistor/interconnect-level analysis of the layout. We discuss microarchitecture issues that impact SMT implementations and show how the Instruction Set Architecture (ISA) and microarchitecture can have a large effect on the SMT overhead and performance. Results show that SMT yields large performance gains with small to moderate area overhead."",""1558-2183"","""",""10.1109/71.983942"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=983942"","""",""Surface-mount technology";Scalability;Microarchitecture;Throughput;Hardware;Silicon;Performance evaluation;Performance analysis;"Instruction sets"","""",""41"","""",""29"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
