"A dynamic information-structure mutual exclusion algorithm for distributed systems,""M. Singhal"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""1"",""121"",""125"",""A dynamic information-structure mutual exclusion algorithm is presented for distributed systems whose information-structure evolves with time as sites learn about the state of the system through messages. An interesting feature of the algorithm is that it adapts itself to heterogeneous or fluctuating traffic conditions to optimize the performance (the number of messages exchanged). The performance of the algorithm is studied by simulation technique and compared to the performance of a well-known mutual exclusion algorithm. The impact message loss and site failures on the algorithm is discussed and methods to tolerate these failures are proposed.<>"",""1558-2183"","""",""10.1109/71.113087"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=113087"","""",""Communication networks";Algorithm design and analysis;Traffic control;Performance loss;Message passing;Propagation delay;Telecommunication network reliability;Computer crashes;Fault tolerance;"Permission"","""",""55"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Performance analysis of synchronized iterative algorithms on multiprocessor systems,""V. D. Agrawal";" S. T. Chakradhar"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA";" Department of Computer Science, Rutgers University, New Brunswick, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""739"",""746"",""A statistical model of parallel processing and a performance evaluation technique are introduced. A task is characterized by the number of atoms and by activity. An atom is the smallest part of computation that cannot be distributed to multiple processors and all atoms of a task are assumed to be equal in computational effort. Furthermore, atoms of the task became active with a fixed probability a called the activity. The task is equally divided among processors and the computation is synchronized at periodic instances when the results can be shared. The amount of computational activity of a processor within the period between synchronizations is assumed to be a binomial random variable. The performance of the multiprocessor system is derived from the maximum order-statistic of these random variables. The theoretical performance predicted by the analysis agrees well with the reported experimental performance of logic simulation of production VLSI chips, and several observed phenomena are explainable.<>"",""1558-2183"","""",""10.1109/71.180628"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180628"","""",""Performance analysis";Iterative algorithms;Distributed computing;Random variables;Parallel processing;Multiprocessing systems;Logic;Computational modeling;Analytical models;"Predictive models"","""",""27"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance analysis of the communication architecture of the Connection Machine,""A. K. Ahluwalia";" M. Singhal"",""Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA";" Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""728"",""738"",""The performance of the interprocessor communication architecture of the CM-2 is analyzed. A discrete-time Markov chain model of its network architecture is developed to compute the message delay introduced by the network architecture. Due to the synchronous time-division multiplexing nature of the network operation, it is amenable to a discrete-time Markov chain modeling. The analysis yields formulas for response time and several other related performance measures, showing how the performance of the network degrades with the message arrival rate and other parameters. Since the communication delays affect interprocess communication, knowledge of the sensitivity of the delays to the parameters can be a useful aid in designing a high performance parallel system. To keep the analysis tractable, an approximate Markov model is used that requires the use of fixed-point iteration for its solution. Validation of the results against a simulation study reveals that the analysis predicts the performance of the network with high accuracy.<>"",""1558-2183"","""",""10.1109/71.180627"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180627"","""",""Performance analysis";Computer architecture;Parallel processing;Parallel machines;Delay;Computer networks;Communication networks;Computational modeling;Analytical models;"Parallel algorithms"","""",""3"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance analysis pf parallelizing compilers on the Perfect Benchmarks programs,""W. Blume";" R. Eigenmann"",""Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA";" Center for Supercomputing Research and Development, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""6"",""643"",""656"",""The speedups of the Perfect Benchmarks codes that result from automatic parallelization are reported. The performance gains caused by individual restructuring techniques have also been measured. Specific reasons for the successes and failures of the transformations are discussed, and potential improvements that result in measurably better program performance are analyzed. The most important findings are that available restructurers often cause insignificant performance gains in real programs and that only few restructuring techniques contribute to this gain. However, it can be shown that there is potential for advancing compiler technology so that many of the most important loops in these programs can be parallelized.<>"",""1558-2183"","""",""10.1109/71.180621"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=180621"","""",""Performance analysis";Program processors;Performance gain;Failure analysis;Parallel architectures;Automatic testing;US Department of Energy;Costs;Performance loss;"Velocity measurement"","""",""79"",""1"",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance evaluation of circuit switched multistage interconnection networks using a hold strategy,""S. . -H. Hsiao";" C. Y. R. Chen"",""School of Computer and Information Science, Syracuse University, Syracuse, NY, USA";" Department of Electrical and Computer Engineering, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""632"",""640"",""The performance evaluation of processor-memory communications for multiprocessor systems using circuit switched interconnection networks with a hold strategy is performed. Message size and processor processing time are considered and shown to have a significant effect on the overall system performance. A closed queuing network model is proposed such that only (n+2) states are required by the proposed model, in contrast to (n/sup 2/+3n+4)/2 states needed in previous studies, where n is the number of stages of the multistage interconnection network. Since a closed-form solution is obtained, the behavior of a complete cycle of memory access through multistage interconnection networks can be accurately analyzed and various performance bounds can be obtained.<>"",""1558-2183"","""",""10.1109/71.159047"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159047"","""",""Switching circuits";Multiprocessor interconnection networks;Multiprocessing systems;Performance analysis;System performance;Queueing analysis;Synchronous generators;Performance evaluation;Closed-form solution;"Signal resolution"","""",""10"","""",""7"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance measurement and trace driven simulation of parallel CAD and numeric applications on a hypercube multicomputer,""J. . -M. Hsu";" P. Banerjee"",""IBM Research Division, Yorktown Heights, NY, USA";" Center for Reliable and High-Performance, Computing Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""451"",""464"",""The performance evaluation, workload characterization, and trace-driven simulation of a hypercube multicomputer running realistic workloads are presented. Eleven representative parallel applications were selected as benchmarks. Software monitoring techniques were then used to collect execution traces. Based on the measurement results, both the computation and communication behavior of these parallel programs were investigated. The various time interval distributions were modeled by statistical functions which were verified by a nonlinear regression technique using the empirical data. The temporal and spatial localities of message destinations were also studied. A model for the temporal locality of message length was introduced and used to analyze the communication traces. A trace-drive simulation environment, which uses the communication patterns of the parallel programs as inputs, was developed to study the behavior of the communication hardware under real workload. Simulation results on DMA and link utilizations are reported.<>"",""1558-2183"","""",""10.1109/71.149963"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149963"","""",""Hypercubes";Concurrent computing;Application software;Computational modeling;Monitoring;Length measurement;Distributed computing;Statistical distributions;Joining processes;"Message passing"","""",""20"",""1"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance measurement intrusion and perturbation analysis,""A. D. Malony"; D. A. Reed;" H. A. G. Wijshoff"",""Department of Computer and Information Science, University of Oregon, Eugene, OR, USA"; Department of Computer Science, University of Illinois, Urbana, IL, USA;" Department of Computer Science, Leiden University, Leiden, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""433"",""450"",""The authors study the instrumentation perturbations of software event tracing on the Alliant FX/80 vector multiprocessor in sequential, vector, concurrent, and vector-concurrent modes. Based on experimental data, they derive a perturbation model that can approximate true performance from instrumented execution. They analyze the effects of instrumentation coverage, (i.e., the ratio of instrumented to executed statements), source level instrumentation, and hardware interactions. The results show that perturbations in execution times for complete trace instrumentations can exceed three orders of magnitude. With appropriate models of performance perturbation, these perturbations in execution time can be reduced to less than 20% while retaining the additional information from detailed traces. In general, it is concluded that it is possible to characterize perturbations through simple models. This permits more detailed, accurate instrumentation than traditionally believed possible.<>"",""1558-2183"","""",""10.1109/71.149962"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149962"","""",""Performance analysis";Instruments;Hardware;Testing;Computer science;Physics;Optimizing compilers;Time measurement;Registers;"Military computing"","""",""61"",""4"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Performance tradeoffs in multithreaded processors,""A. Agarwal"",""Laboratory for Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""525"",""539"",""An analytical performance model for multithreaded processors that includes cache interference, network contention, context-switching overhead, and data-sharing effects is presented. The model is validated through the author's simulations and by comparison with previously published simulation results. The results indicate that processors can substantially benefit from multithreading, even in systems with small caches, provided sufficient network bandwidth exists. Caches that are much larger than the working-set sizes of individual processes yield close to full processor utilization with as few as two to four contexts. Smaller caches require more contexts to keep the processor busy, while caches that are comparable in size to the working-sets of individual processes cannot achieve a high utilization regardless of the number of contexts. Increased network contention due to multithreading has a major effect on performance. The available network bandwidth and the context-switching overhead limits the best possible utilization.<>"",""1558-2183"","""",""10.1109/71.159037"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159037"","""",""Multithreading";Delay;Switches;Performance analysis;Bandwidth;Parallel processing;Synchronization;Process design;"Pipelines"","""",""98"",""4"",""43"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Reduction operations on a distributed memory machine with a reconfigurable interconnection network,""S. Miguet";" Y. Robert"",""Ecole Normale Supérieure de Lyon, Lyon, France";" Ecole Normale Supérieure de Lyon, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""500"",""505"",""Performing reduction operations with distributed memory machines whose interconnection networks are reconfigurable is considered. The focus is on machines whose interconnection graph can be configured as any graph of maximum degree d. The best way of interconnecting the p processors as a function of p,d and some problem- and machine-dependent parameters that characterize the ratio communication/arithmetic for the reduction operation are discussed. Experiments on transputer-based networks are in good accordance with the theoretical results.<>"",""1558-2183"","""",""10.1109/71.149967"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149967"","""",""Multiprocessor interconnection networks";Scattering;Broadcasting;Arithmetic;Concurrent computing;Pipelines;Kernel;Parallel architectures;Parallel algorithms;"Binary trees"","""",""1"",""1"",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Reliability analysis of distributed systems based on a fast reliability algorithm,""Deng-Jyi Chen";" Tien-Hsiang Huang"",""Computer Science and Information Engineering Department, National Chiao Tung University, Hsinchu, Taiwan";" Computer Science and Information Engineering Department, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""139"",""154"",""The reliability of a distributed processing system (DPS) can be expressed by the analysis of distributed program reliability (DPR) and distributed system reliability (DSR). One of the good approaches to formulate these reliability performance indexes is to generate all disjoint file spanning trees (FSTs) in the DPS graph such that the DPR and DSR can be expressed by the probability that at least one of these FSTs is working. In the paper, a unified algorithm to efficiently generate disjoint FSTs by cutting different links is presented, and the DPR and DSR are computed based on a simple and consistent union operation on the probability space of the FSTs. The DPS reliability related problems are also discussed. For speeding up the reliability evaluation, nodes merged, series, and parallel reduction concepts are incorporated in the algorithm. Based on the comparison of number of subgraphs (or FSTs) generated by the proposed algorithm and by existing evaluation algorithms, it is concluded that the proposed algorithm is much more economic in terms of time and space than the existing algorithms.<>"",""1558-2183"","""",""10.1109/71.127256"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127256"","""",""Algorithm design and analysis";Computer network reliability;Tree graphs;Reliability theory;Distributed processing;Performance analysis;Graph theory;Resource management;Throughput;"Fault tolerant systems"","""",""40"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Reliability of a class of multistage interconnection networks,""X. Cheng";" O. C. Ibe"",""Aeronomics, Inc., Fayetteville, GA, USA";" GTE Laboratories, Inc., Waltham, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""241"",""246"",""The reliability of extra-stage interconnection networks is discussed. Three types of reliability are analyzed: terminal reliability, which is the probability that at least one fault-free path exists between a given input-output pair: network reliability, which is the probability that at least one fault-free path exists between every input-output pair";" and broadcast reliability, which is the probability that at least one fault-free path exists between a given input and all outputs. A recursive expression for the broadcast reliability is obtained. Tight bounds are derived for the network reliability. The numerical results indicate that for practical networks (i.e. when network reliability is at least 0.5) the difference between the upper bound and the lower bound is no more than 2% of the lower bound.<>"",""1558-2183"","""",""10.1109/71.127263"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127263"","""",""Multiprocessor interconnection networks";Broadcasting;Identity-based encryption;Packet switching;Computer networks;Upper bound;Communication switching;Fabrics;Communication networks;"Fault tolerance"","""",""19"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Reliable distributed sorting through the application-oriented fault tolerance paradigm,""B. M. McMillin";" L. M. Ni"",""Department Computer Science, University of Missouri, Rolla, Rolla, MO, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""411"",""420"",""A fault-tolerant parallel sorting algorithm developed using the application-oriented fault tolerance paradigm is presented. The algorithm is tolerant of one processor/link failure in an n-cube. The addition of reliability to the sorting algorithm results in a performance penalty. Asymptotically, the fault-tolerant algorithm is less costly than host sorting. Experimentally it is shown that fault-tolerant sorting quickly becomes more efficient that host sorting when the bitonic sort/merge is considered. The main contribution is the demonstration that the application-oriented fault tolerance paradigm is applicable to problems of a noniterative-convergent nature.<>"",""1558-2183"","""",""10.1109/71.149960"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149960"","""",""Sorting";Fault tolerance;Testing;Peer to peer computing;Application software;Performance evaluation;Algorithm design and analysis;Hardware;Fault detection;"Parallel algorithms"","""",""14"",""1"",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Requirements for optimal execution of loops with tests,""A. K. Uht"",""Department of Computer Science and Engineering, University of California, San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""573"",""581"",""Both the efficient execution of branch intensive code and knowing the bounds on the same are important issues in computing in general and supercomputing in particular. In prior work, it has been suggested that the hardware needed to execute code with branches optimally is exponentially dependent on the total number of dynamic branches executed, this number of branches being proportional at least to the number of iterations of the loop. For classes of code taking at least one cycle per iteration to execute, this is not the case. For loops containing one test (normally in the form of a Boolean recurrence of order one), it is shown that the hardware necessary varies from exponential to polynomial in the length of the dependence cycle L, while execution time varies from one time cycle per iteration to less than L time cycles per iteration";" the variation depends on specific code dependences. These results bring the eager evaluation of imperative code closer to fruition.<>"",""1558-2183"","""",""10.1109/71.159040"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159040"","""",""Testing";Hardware;Optimal control;Supercomputers;Concurrent computing;Parallel machines;Application software;Computer science;Timing;"Pipelines"","""",""8"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Rollback recovery in distributed systems using loosely synchronized clocks,""Z. Tong"; R. Y. Kain;" W. T. Tsai"",""Bit 3 Computer Corporation, Minneapolis, MN, USA"; Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA;" Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""246"",""251"",""A rollback recovery scheme for distributed systems is proposed. The state-save synchronization among processes is implemented by bounding clock drifts such that no state-save synchronization messages are required. Since the clocks are only loosely synchronized, the synchronization overhead can be negligible in many applications. An interprocess communication protocol which encodes state-save progress information within message frames is introduced to checkpoint consistent system states. A rollback recovery algorithm that will force a minimum number of nodes to roll back after failures is developed.<>"",""1558-2183"","""",""10.1109/71.127264"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127264"","""",""Synchronization";Clocks;Protocols;Fault detection;Fault tolerant systems;Concrete;Delay;Computer science;"Checkpointing"","""",""26"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Rotator graphs: an efficient topology for point-to-point multiprocessor networks,""P. F. Corbett"",""T. J. Watson Research Center, IBM, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""622"",""626"",""Rotator graphs, a set of directed permutation graphs, are proposed as an alternative to star and pancake graphs. Rotator graphs are defined in a way similar to the recently proposed Faber-Moore graphs. They have smaller diameter, n-1 in a graph with n factorial vertices, than either the star or pancake graphs or the k-ary n-cubes. A simple optimal routing algorithm is presented for rotator graphs. The n-rotator graphs are defined as a subset of all rotator graphs. The distribution of distances of vertices in the n-rotator graphs is presented, and the average distance between vertices is found. The n-rotator graphs are shown to be optimally fault tolerant and maximally one-step fault diagnosable. The n-rotator graphs are shown to be Hamiltonian, and an algorithm for finding a Hamiltonian circuit in the graphs is given.<>"",""1558-2183"","""",""10.1109/71.159045"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159045"","""",""Network topology";Routing;Fault tolerance;Multicast algorithms;Circuit faults;Computer networks;Distributed computing;Hypercubes;Sorting;"Broadcasting"","""",""83"","""",""9"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"SNAP: a market-propagation architecture for knowledge processing,""D. Moldovan"; W. Lee;" C. Lin"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"; Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA;" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""397"",""410"",""The semantic network array processor (SNAP), a highly parallel architecture targeted to artificial intelligence applications, and in particular natural language understanding, is presented. The knowledge is represented in a form of the semantic network. The knowledge base is distributed among the elements of the SNAP array, and the processing is performed locally where the knowledge is stored. A set of powerful instructions specific to knowledge processing is implemented directly in hardware. SNAP is packaged into 256 custom-designed chips assembled on four printed circuit boards and can store a 16 K node semantic network. SNAP is a marker propagation architecture in which the movement of markers between cells is controlled by propagation rules. Various reasoning mechanisms are implemented with these marker propagation rules.<>"",""1558-2183"","""",""10.1109/71.149959"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149959"","""",""Artificial intelligence";Computer architecture;Humans;Natural languages;Mechanical factors;Parallel architectures;Hardware;Packaging;Assembly;"Printed circuits"","""",""9"",""1"",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Sorting in mesh connected multiprocessors,""P. F. Corbett";" I. D. Scherson"",""IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA";" Department of Information and Computer Science, University of California, Irvine, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""626"",""632"",""A sorting algorithm, dubbed MeshSort, for multidimensional mesh-connected multiprocessors is introduced. Bitonic Sort and ShearSort are shown to be special cases of MeshSort. MeshSort thus provides some insight into the operation of parallel sorting. It requires operations only along orthogonal vectors of processors, simplifying the control of the multiprocessor. This allows MeshSort to be used on any reduced architecture where a multidimensional memory structure is interconnected with a lower dimensional structure of processors. A modified version of MeshSort, called FastMeshSort, is presented. This algorithm applies the same basic principle as MeshSort, and is almost as simple to implement, but achieves much better performance. The modified algorithm is shown to be very efficient for reasonably sized meshes. FastMeshSort is presented as a practical sorting and routing algorithm for real multidimensional mesh-connected multiprocessors. The algorithms can easily be extended to other multiprocessor structures.<>"",""1558-2183"","""",""10.1109/71.159046"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159046"","""",""Sorting";Routing;Circuit faults;Fault tolerance;Integrated circuit interconnections;Fault diagnosis;Multidimensional systems;Network topology;Circuit topology;"Hypercubes"","""",""14"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Synchronization and communication costs of loop partitioning on shared-memory multiprocessor systems,""R. Gupta"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""4"",""505"",""512"",""The author presents strategies for static loop decomposition and scheduling as well as computer-assisted run-time scheduling that take into account, in addition to the cost of performing operations, the overhead costs associated with a decomposition and schedule. An algorithm for static decomposition of multidimensional loops based on the operation execution costs, communication costs, and synchronization costs is discussed. Synchronization instructions are introduced to ensure correct program execution following program decomposition. An algorithm for determining the explicit synchronization instruction that should be introduced to ensure correct execution of a program with arbitrarily nested loops is presented. Techniques for reducing run-time scheduling and communication and synchronization costs due to self-scheduling of multidimensional loops are also presented. Experiments performed on the Encore multiprocessor system demonstrate that the techniques developed can reduce overhead costs.<>"",""1558-2183"","""",""10.1109/71.149968"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=149968"","""",""Costs";Multiprocessing systems;Processor scheduling;Runtime;Multiprocessor interconnection networks;Hypercubes;Multidimensional systems;Concurrent computing;Network topology;"Arithmetic"","""",""7"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Systems with low distributed simulation overhead,""D. Kumar"",""Department of Computer Engineering and Science, Case Western Reserve University, Cleveland, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""155"",""165"",""Distributed simulation often involves a large number of overhead messages. This may lead to severe performance degradation of the simulator as pointed out in several previous works. In this work special classes of systems which can be simulated with low overhead-in most systems identified here the total number of overhead messages on any given communication line is at most one, irrespective of the time up to which the physical system is to be simulated-are presented. This includes acyclic systems, some closed queuing networks, some open cyclic queuing networks, and other special types of cyclic networks. Distributed simulation algorithms specially tailored to these systems are given. By isolating these classes of systems and designing distributed simulation algorithms specifically geared for them, a large number of overhead messages can be avoided. By contrast, other distributed simulation algorithms are usually designed for more general systems and they usually require too many overhead messages, even in simulating these special classes of systems.<>"",""1558-2183"","""",""10.1109/71.127257"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127257"","""",""System recovery";Discrete event simulation;Degradation;Algorithm design and analysis;Event detection;Petri nets;Clocks;Synchronization;Military computing;"Discrete event systems"","""",""8"",""1"",""56"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"The adaptive-hash join algorithm for a hypercube multicomputer,""E. Omiecinski";" E. T. Lin"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA";" IBM, Corporation, San Jose, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""3"",""334"",""349"",""The cube adaptive-hash join algorithm, which combines the merits of nested-loop and hybrid-hash, is presented. The performance of these algorithms is compared through analytical cost modeling. The nonuniform data value distribution of the inner relation is shown to have a greater impact than that of the outer relation. The cube adaptive-hash algorithm outperforms the cube hybrid-hash algorithm when bucket overflow occurs. In the worst case, this algorithm converges to the cube nested-loop-hash algorithm. When there is no hash table overflow, the cube adaptive-hash algorithm converges to the cube hybrid-hash algorithm. Since the cube adaptive-hash algorithm adapts itself depending on the characteristics of the relations, it is relatively immune to the data distribution.<>"",""1558-2183"","""",""10.1109/71.139207"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=139207"","""",""Hypercubes";Algorithm design and analysis;Relational databases;Clustering algorithms;Costs;Distributed databases;Transaction databases;Performance analysis;Analytical models;"Multiprocessing systems"","""",""12"",""1"",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"The crossed cube architecture for parallel computation,""K. Efe"",""The Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""513"",""524"",""The construction of a crossed cube which has many of the properties of the hypercube, but has diameter only about half as large, is discussed. This network is self-routing, in the sense that there is a simple distributed routing algorithm which guarantees optimal paths between any pair of vertices. This fact, together with other properties such as regularity, symmetry, high connectivity, and a simple recursive structure, suggests that the crossed cube may be an attractive alternative to the ordinary hypercube for massively parallel architectures, SIMD algorithms, which utilize the architecture are developed, and it is shown that the CQ/sub n/ architecture can profitably emulate the ordinary hypercube. It is also shown that addition of simple switches can improve the capabilities of the system significantly. For instance, the dynamic reconfiguration capability allows hypercube algorithms to be executed on the proposed architecture. The use of these switches also improves the embedding properties of the system.<>"",""1558-2183"","""",""10.1109/71.159036"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159036"","""",""Computer architecture";Concurrent computing;Hypercubes;Switches;Communication switching;Network topology;Routing;Sorting;Parallel architectures;"Computational modeling"","""",""317"","""",""11"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"The power test for data dependence,""M. Wolfe";" C. . -W. Tseng"",""Department of Computer Science and Engineering, Oregon Graduate Institute, Beaverton, OR, USA";" Department of Computer Science, Rice University, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""5"",""591"",""601"",""A data dependence decision algorithm called the power test is introduced. The power test is a combination of the extended GCD algorithm and the Fourier-Motzkin method to eliminate variables in a system of inequalities. This is the first test that can generate the information needed for some advanced transformations, and that can handle complex simultaneous loop limits. Previous work in data dependence decision algorithms is reviewed. Some examples which motivated the development of this test are examined, including those which demonstrate the additional power of the power test. Although it may be too expensive for use as a general-purpose dependence test in a compiler, the power test has proved useful in an interactive program restructuring environment.<>"",""1558-2183"","""",""10.1109/71.159042"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=159042"","""",""System testing";Program processors;Computer science;Optimizing compilers;Supercomputers;Parallel processing;Cache memory;Law;Legal factors;"Equations"","""",""85"","""",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Virtual-channel flow control,""W. J. Dally"",""Artificial Intelligence Laboratory and Laboratory for Computer Science, Massachusetts Institute of Technology, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1992"",""3"",""2"",""194"",""205"",""Network throughput can be increased by dividing the buffer storage associated with each network channel into several virtual channels. Each physical channel is associated with several small queues, virtual channels, rather than a single deep queue. The virtual channels associated with one physical channel are allocated independently but compete with each other for physical bandwidth. Virtual channels decouple buffer resources from transmission resources. This decoupling allows active messages to pass blocked messages using network bandwidth that would otherwise be left idle. The paper studies the performance of networks using virtual channels using both analysis and simulation. These studies show that virtual channels increase network throughput, by a factor of four for 10-stage networks, and reduce the dependence of throughput on the depth of the network.<>"",""1558-2183"","""",""10.1109/71.127260"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=127260"","""",""Multiprocessor interconnection networks";Routing;Throughput;Bandwidth;Computer networks;Concurrent computing;Network topology;Resource management;Buffer storage;"Coupling circuits"","""",""1020"",""75"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
