"A Comment on “A Necessary and Sufficient Condition for Deadlock-Free Adaptive Routing in Wormhole Networks”,""F. Verbeek";" J. Schmaltz"",""School of Computer Science, Open University, Netherlands, Netherlands";" School of Computer Science, Open University, Netherlands, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1775"",""1776"",""The purpose of this comment is to show that Duato's condition for deadlock freedom is only sufficient and not necessary. We propose a fix to keep the condition necessary. The issue is subtle but essential: in a wormhole network worms necessarily do not intersect."",""1558-2183"","""",""10.1109/TPDS.2011.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680895"",""General";"Miscellaneous"",""System recovery";Routing;Law;Multiprocessor interconnection;Grippers;"Adaptive systems"","""",""16"","""",""4"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"OptiTuner: On Performance Composition and Server Farm Energy Minimization Application,""J. Heo"; P. Jayachandran; I. Shin; D. Wang; T. Abdelzaher;" X. Liu"",""VMware, Inc., CA"; IBM Research-India, Bangalore, India; Department of Computer Science, KAIST, Daejeon, South Korea; Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL; Department of Computer Science, University of Illinois at Urbana-Champaign, Urbana, IL;" Department of Computer Science and Engineering, University of Nebraska-Lincoln, Lincoln, NE"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Sep 2011"",""2011"",""22"",""11"",""1871"",""1878"",""This paper develops a software service for dynamic performance optimization and control in performance-sensitive systems. The next generation of performance-sensitive systems is expected to be more distributed and dynamic. They will have multiple """"knobs” that affect performance and resource allocation. However, relying on the conglomeration of independent knob controls can become increasingly suboptimal. The problem lies in performance composability or lack thereof";" a challenge that arises because individual optimizations in performance-sensitive systems generally do not compose well when combined. Performance adaptation in such systems needs to be carefully designed and implemented by holistically considering performance composability in order to achieve desired system performance. A flexible supporting software layer is therefore needed to easily apply different holistic performance management techniques. In this paper, we develop a software service, called OptiTuner, that monitors the current performance and the resource availability in performance-sensitive systems and allows easy implementation of different performance management schemes based on theoretical concepts of constrained optimization and feedback control. In order to show the efficacy of OptiTuner, we apply it to implement three holistic energy minimization techniques in a real-time web server farm comprising 18 machines. Using an industry standard e-Business benchmark, TPC-W, we demonstrate that the three approaches save up to 40 percent of total energy cost compared to the baseline approaches that do not holistically optimize the cost."",""1558-2183"","""",""10.1109/TPDS.2011.52"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5703092"",""Performance composability";software service;energy minimization;data center;"server farm."",""Optimization";Minimization;Software;Web server;Mathematical model;"Equations"","""",""24"","""",""18"",""IEEE"",""28 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Parallel Frequent Item Set Mining with Selective Item Replication,""E. Ozkural"; B. Ucar;" C. Aykanat"",""Department of Computer Engineering, Bilkent University, Ankara, Turkey"; LIP, ENS Lyon, Lyon, France;" Department of Computer Engineering, Bilkent University, Ankara, Turkey"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Aug 2011"",""2011"",""22"",""10"",""1632"",""1640"",""We introduce a transaction database distribution scheme that divides the frequent item set mining task in a top-down fashion. Our method operates on a graph where vertices correspond to frequent items and edges correspond to frequent item sets of size two. We show that partitioning this graph by a vertex separator is sufficient to decide a distribution of the items such that the subdatabases determined by the item distribution can be mined independently. This distribution entails an amount of data replication, which may be reduced by setting appropriate weights to vertices. The data distribution scheme is used in the design of two new parallel frequent item set mining algorithms. Both algorithms replicate the items that correspond to the separator. NoClique replicates the work induced by the separator and NoClique2 computes the same work collectively. Computational load balancing and minimization of redundant or collective work may be achieved by assigning appropriate load estimates to vertices. The experiments show favorable speedups on a system with small-to-medium number of processors for synthetic and real-world databases."",""1558-2183"","""",""10.1109/TPDS.2011.32"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5703072"",""Parallel data mining";frequent item set mining;mining methods and algorithms;selective data replication;"graph partitioning by vertex separator."",""Itemsets";Data mining;Particle separators;Program processors;"Equations"","""",""18"","""",""26"",""IEEE"",""28 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Parallel Implementation of the Irregular Terrain Model (ITM) for Radio Transmission Loss Prediction Using GPU and Cell BE Processors,""Y. Song";" A. Akoglu"",""Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA";" Department of Electrical and Computer Engineering, University of Arizona Tucson, Tucson, AZ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2011"",""2011"",""22"",""8"",""1276"",""1283"",""The Irregular Terrain Model (ITM), also known as the Longley-Rice model, predicts long-range average transmission loss of a radio signal based on atmospheric and geographic conditions. Due to variable terrain effects and constantly changing atmospheric conditions which can dramatically influence radio wave propagation, there is a pressing need for computational resources capable of running hundreds of thousands of transmission loss calculations per second. Multicore processors, like the NVIDIA Graphics Processing Unit (GPU) and IBM Cell Broadband Engine (BE), offer improved performance over mainstream microprocessors for ITM. We study architectural features of the Tesla C870 GPU and Cell BE and evaluate the effectiveness of architecture-specific optimizations and parallelization strategies for ITM on these platforms. We assess the GPU implementations that utilize both global and shared memories along with fine-grained parallelism. We assess the Cell BE implementations that utilize direct memory access, double buffering, and SIMDization. With these optimization strategies, we achieve less than a second of computation time on each platform which is not feasible with a general purpose processor, and we observe that the GPU delivers better performance than Cell BE in terms of total execution time and performance per watt metrics by a factor of 2.3x and 1.6x, respectively."",""1558-2183"","""",""10.1109/TPDS.2011.21"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680900"",""IBM cell broadband engine";Longley-Rice model;multicore;NVIDIA GPU;"parallel computing."",""Instruction sets";Graphics processing unit;Computer architecture;Mathematical model;Propagation losses;Microprocessors;"Computational modeling"","""",""7"","""",""14"",""IEEE"",""6 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Parameter Exploration in Science and Engineering Using Many-Task Computing,""D. Abramson"; B. Bethwaite; C. Enticott; S. Garic;" T. Peachey"",""Faculty of Information Technology, Monash University, Clayton, Australia"; Faculty of Information Technology, Monash University, Clayton, Australia; Faculty of Information Technology, Monash University, Clayton, Australia; Faculty of Information Technology, Monash University, Clayton, Australia;" Faculty of Information Technology, Monash University, Clayton, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""960"",""973"",""Robust scientific methods require the exploration of the parameter space of a system (some of which can be run in parallel on distributed resources), and may involve complete state space exploration, experimental design, or numerical optimization techniques. Many-Task Computing (MTC) provides a framework for performing robust design, because it supports the execution of a large number of otherwise independent processes. Further, scientific workflow engines facilitate the specification and execution of complex software pipelines, such as those found in real science and engineering design problems. However, most existing workflow engines do not support a wide range of experimentation techniques, nor do they support a large number of independent tasks. In this paper, we discuss Nimrod/K—a set of add in components and a new run time machine for a general workflow engine, Kepler. Nimrod/K provides an execution architecture based on the tagged dataflow concepts, developed in 1980s for highly parallel machines. This is embodied in a new Kepler """"Director” that supports many-task computing by orchestrating execution of tasks on on clusters, Grids, and Clouds. Further, Nimrod/K provides a set of """"Actors” that facilitate the various modes of parameter exploration discussed above. We demonstrate the power of Nimrod/K to solve real problems in cardiac science."",""1558-2183"","""",""10.1109/TPDS.2010.177"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611495"",""Scientific workflows";parameter exploration;Kepler;"many-task computing."",""Engines";Optimization;Computational modeling;Pipelines;Object oriented modeling;Algorithm design and analysis;"Mathematical model"","""",""18"","""",""57"",""IEEE"",""28 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"PARTIC: Power-Aware Response Time Control for Virtualized Web Servers,""Y. Wang"; X. Wang; M. Chen;" X. Zhu"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA"; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, TN, USA;" VMware, Inc., Palo Alto, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""323"",""336"",""Both power and performance are important concerns for enterprise data centers. While various management strategies have been developed to effectively reduce server power consumption by transitioning hardware components to lower power states, they cannot be directly applied to today's data centers that rely on virtualization technologies. Virtual machines running on the same physical server are correlated because the state transition of any hardware component will affect the application performance of all the virtual machines. As a result, reducing power solely based on the performance level of one virtual machine may cause another to violate its performance specification. This paper proposes PARTIC, a two-layer control architecture designed based on well-established control theory. The primary control loop adopts a multi-input multi-output control approach to maintain load balancing among all virtual machines so that they can have approximately the same performance level relative to their allowed peak values. The secondary performance control loop then manipulates CPU frequency for power efficiency based on the uniform performance level achieved by the primary loop. Empirical results demonstrate that PARTIC can effectively reduce server power consumption while achieving required application-level performance for virtualized enterprise servers."",""1558-2183"","""",""10.1109/TPDS.2010.79"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445098"",""Power management";response time;virtualization;web servers;data centers;"feedback control."",""Delay";Web server;Virtual machining;Energy consumption;Hardware;Energy management;Technology management;Control theory;Load management;"Frequency"","""",""28"","""",""39"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Passive Network Performance Estimation for Large-Scale, Data-Intensive Computing,""J. Kim"; A. Chandra;" J. B. Weissman"",""Lawrence Berkeley National Laboratory, USA"; University of Minnesota, Minneapolis, MN, US;" Computer Science, University of Minnesota, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2011"",""2011"",""22"",""8"",""1365"",""1373"",""Distributed computing applications are increasingly utilizing distributed data sources. However, the unpredictable cost of data access in large-scale computing infrastructures can lead to severe performance bottlenecks. Providing predictability in data access is, thus, essential to accommodate the large set of newly emerging large-scale, data-intensive computing applications. In this regard, accurate estimation of network performance is crucial to meeting the performance goals of such applications. Passive estimation based on past measurements is attractive for its relatively small overhead compared to relying on explicit probing. In this paper, we take a passive approach for network performance estimation. Our approach is different from existing passive techniques that rely either on past direct measurements of pairs of nodes or on topological similarities. Instead, we exploit secondhand measurements collected by other nodes without any topological restrictions. In this paper, we present Overlay Passive Estimation of Network performance (OPEN), a scalable framework providing end-to-end network performance estimation based on secondhand measurements, and discuss how OPEN achieves cost-effective estimation in a large-scale infrastructure. Our extensive experimental results show that OPEN estimation can be applicable for replica and resource selections commonly used in distributed computing."",""1558-2183"","""",""10.1109/TPDS.2010.201"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5629337"",""Network performance estimation";secondhand estimation;data-intensive computing;replica selection;"resource selection."",""Estimation";Servers;Extraterrestrial measurements;Optimization;Peer to peer computing;"Distributed databases"","""",""4"","""",""34"",""IEEE"",""11 Nov 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Performance Analysis of Cloud Computing Services for Many-Tasks Scientific Computing,""A. Iosup"; S. Ostermann; M. N. Yigitbasi; R. Prodan; T. Fahringer;" D. Epema"",""Parallel and Distributed Systems Group, Faculty EEMCS, Delft University of Technnology, Delft, Netherlands"; Distributed and Parallel Systems Group, Institute for Computer Science, University of Innsbruck, Innsbruck, Austria; Parallel and Distributed Systems Group, Faculty EEMCS, Delft University of Technnology, Delft, Netherlands; Distributed and Parallel Systems Group, Institute for Computer Science, University of Innsbruck, Innsbruck, Austria; Distributed and Parallel Systems Group, Institute for Computer Science, University of Innsbruck, Innsbruck, Austria;" Parallel and Distributed Systems Group, Faculty EEMCS, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""931"",""945"",""Cloud computing is an emerging commercial infrastructure paradigm that promises to eliminate the need for maintaining expensive computing facilities by companies and institutes alike. Through the use of virtualization and resource time sharing, clouds serve with a single set of physical resources a large user base with different needs. Thus, clouds have the potential to provide to their owners the benefits of an economy of scale and, at the same time, become an alternative for scientists to clusters, grids, and parallel production environments. However, the current commercial clouds have been built to support web and small database workloads, which are very different from typical scientific computing workloads. Moreover, the use of virtualization and resource time sharing may introduce significant performance penalties for the demanding scientific computing workloads. In this work, we analyze the performance of cloud computing services for scientific computing workloads. We quantify the presence in real scientific computing workloads of Many-Task Computing (MTC) users, that is, of users who employ loosely coupled applications comprising many tasks to achieve their scientific goals. Then, we perform an empirical evaluation of the performance of four commercial cloud computing services including Amazon EC2, which is currently the largest commercial cloud. Last, we compare through trace-based simulation the performance characteristics and cost models of clouds and other scientific computing platforms, for general and MTC-based scientific computing workloads. Our results indicate that the current clouds need an order of magnitude in performance improvement to be useful to the scientific community, and show which improvements should be considered first to address this discrepancy between offer and demand."",""1558-2183"","""",""10.1109/TPDS.2011.66"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5719609"",""Distributed systems";distributed applications;performance evaluation;metrics/measurement;"performance measures."",""Cloud computing";Computational modeling;Production;Performance evaluation;Kernel;"Supercomputers"","""",""571"",""1"",""74"",""IEEE"",""24 Feb 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Performance Analysis of Real-Time Detection in Fusion-Based Sensor Networks,""R. Tan"; G. Xing; J. Wang;" B. Liu"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"; Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA; Department of Computer Science, City University of Hong Kong, Hong Kong, China;" Department of Computer Science, University of Massachusetts, Lowell, Lowell, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""21 Jul 2011"",""2011"",""22"",""9"",""1564"",""1577"",""Real-time detection is an important requirement of many mission-critical wireless sensor network applications such as battlefield monitoring and security surveillance. Due to the high network deployment cost, it is crucial to understand and predict the real-time detection capability of a sensor network. However, most existing real-time analyses are based on overly simplistic sensing models (e.g., the disc model) that do not capture the stochastic nature of detection. In practice, data fusion has been adopted in a number of sensor systems to deal with sensing uncertainty and enable efficient collaboration among resource-limited sensors. However, real-time performance analysis of sensor networks designed based on data fusion has received little attention. In this paper, we bridge this gap by investigating the fundamental real-time detection performance of large-scale sensor networks under stochastic sensing models. In particular, we consider two basic data fusion schemes, i.e., value fusion and decision fusion. Our results show that data fusion is effective in achieving stringent performance requirements such as short detection delay and low false alarm rates. Moreover, value fusion and decision fusion are suitable for low and high signal-to-noise ratio scenarios, respectively. Our results help understand the impact of data fusion and provide important guidelines for the design of real-time wireless sensor networks for intrusion detection. Our analyses are verified through extensive simulations based on both synthetic data sets and data traces collected in a real deployment for vehicle detection. The results show that data fusion can reduce the network density by about 60 percent compared with the disc model while detecting any intruder within one detection period at a false alarm rate lower than five percent."",""1558-2183"","""",""10.1109/TPDS.2011.38"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5703078"",""Data fusion";real-time intrusion detection;performance limits;"wireless sensor networks."",""Delay";Real time systems;Sensors;Noise;Data models;Stochastic processes;"Analytical models"","""",""23"","""",""28"",""IEEE"",""28 Jan 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Performance Evaluation of Convolution on the Cell Broadband Engine Processor,""L. Ismail";" D. Guerchi"",""College of Information Technology, United Arab Emirates University, Al-Ain, UAE";" College of Information Technology, United Arab Emirates University, Al-Ain, UAE"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Dec 2010"",""2011"",""22"",""2"",""337"",""351"",""Convolution represents a major computational load for many scientific and engineering applications, including seismic surface simulations and seismic imaging. Since convolution presents a heavy computational load, increasing its efficiency can significantly enhance the performance of associated applications. In this work, we present an in-depth analysis of the convolution algorithm and its complexity in order to develop adequate parallel algorithms. The implementation of these algorithms and their evaluation on the IBM Cell Broadband Engine (BE) processor reveals the gains and losses achieved by parallelizing the direct convolution. The performance results show that despite the complexity of the convolution processing, a speedup gain of at least 71.4 is obtained. The parallel vectorized algorithm requires the development effort of considering three independent vectorization strategies. Given the wide availability of Cell processors, the proposed parallelization approach can be widely adopted by any convolution-based application."",""1558-2183"","""",""10.1109/TPDS.2010.70"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5445090"",""Parallel computing";IBM Cell BE;convolution;"performance."",""Convolution";Engines;Signal processing algorithms;Geophysics computing;Fast Fourier transforms;Lubricating oils;Image processing;Deconvolution;Computational modeling;"Algorithm design and analysis"","""",""9"","""",""20"",""IEEE"",""8 Apr 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Performance of Acyclic Stochastic Networks with Network Coding,""Y. Yuan"; K. Wu; W. Jia;" Y. Jiang"",""Department of Computer Science, National University of Defense Technology, China"; Department of Computer Science, University of Victoria, BC, Canada; Department of Computer Science, City University of Hong Kong, Hong Kong, China;" Norwegian University of Science and Technology, Norway"",""IEEE Transactions on Parallel and Distributed Systems"",""23 May 2011"",""2011"",""22"",""7"",""1238"",""1245"",""Network coding allows a network node to code the information flows before forwarding them. While it has been theoretically proved that network coding can achieve maximum network throughput, the theoretical results usually do not consider the burstiness of data traffic, delays, and the stochastic nature in information processing and transmission. There is currently no theory to systematically model and evaluate the performance of network coding, especially when node's capacity (i.e., coding and transmission) becomes stochastic. Without such a theory, the performance of network coding under various system settings is far from clear. To fill the vacancy, we develop an analytical approach by extending the stochastic network calculus theory to tackle the special difficulties in the evaluation of network coding. We prove the new properties of the stochastic network calculus and design an algorithm to obtain the performance bounds for acyclic stochastic networks with network coding. The tightness of theoretical bounds is validated with simulation."",""1558-2183"","""",""10.1109/TPDS.2010.192"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5629328"",""Network calculus";stochastic networks;"network coding."",""Stochastic processes";Network coding;Encoding;Delay;Calculus;Throughput;"Analytical models"","""",""15"","""",""18"",""IEEE"",""11 Nov 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Predictable High-Performance Computing Using Feedback Control and Admission Control,""S. -M. Park";" M. Humphrey"",""Department of Computer Science, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA";" Department of Computer Science, School of Engineering and Applied Science, University of Virginia, Charlottesville, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jan 2011"",""2011"",""22"",""3"",""396"",""411"",""Historically, batch scheduling has dominated the management of High-Performance Computing (HPC) resources. One of the most significant limitations using this approach is an inability to predict both the start time and end time of jobs. Although existing researches such as resource reservation and queue-time prediction partially address this issue, a more predictable HPC system is needed, particularly for an emerging class of adaptive real-time HPC applications. This paper presents a design and implementation of a predictable HPC system using feedback control and admission control. By creating a virtualized application layer and opportunistically multiplexing concurrent applications through the application of formal control theory, we regulate a job's progress such that the job meets its deadline without requiring exclusive access to resources even in the presence of a wide class of unexpected events. Admission control regulates access to resources when oversubscribed. Our experimental results using five widely used applications show that the feedback and admission controller achieves highly predictable HPC system. The designed feedback controller regulates the HPC job's progress accurately, close to the prediction by theory, thereby, showing the successful application of classic control theory to HPC workloads. In week-long experiments, over 90 percent of jobs met deadlines and the jobs missing deadlines still finished close to the requested deadlines (12.4 percent error)."",""1558-2183"","""",""10.1109/TPDS.2010.100"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5467065"",""Multiprocessor systems";parallel systems;scheduling;"control theory."",""High performance computing";Feedback control;Admission control;Control theory;Processor scheduling;Resource management;Real time systems;Application virtualization;Resource virtualization;"Control systems"","""",""21"","""",""40"",""IEEE"",""20 May 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Prediction of Optimal Parallelism Level in Wide Area Data Transfers,""E. Yildirim"; D. Yin;" T. Kosar"",""Department of Computer Science and Engineering, State University of New York, Buffalo, Buffalo, NY, USA"; Department of Computer Science and Center of Computation and Technology, Louisiana State University, Baton Rouge, LA, USA;" Department of Computer Science and Engineering, State University of New York, Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Oct 2011"",""2011"",""22"",""12"",""2033"",""2045"",""Wide area data transfer may be a major bottleneck for the end-to-end performance of distributed applications. A practical way of increasing the wide area throughput at the application layer is using multiple parallel streams. Although increased number of parallel streams may yield much better performance than using a single stream, overwhelming the network by opening too many streams may have an inverse effect. The congestion created by excess number of streams may cause a drop down in the throughput achieved. Hence, it is important to decide on the optimal number of streams without congesting the network. Predicting this """"optimum” number is not straightforward, since it depends on many parameters specific to each individual transfer. Generic models that try to predict this number either rely too much on historical information or fail to achieve accurate predictions. In this paper, we present a set of new models which aim to approximate the optimal number with least history information and lowest prediction overhead. An algorithm is introduced to select the best combination of historic information to do the prediction for evaluation purposes as well as optimizing prediction by reducing error rate. We measure the feasibility and accuracy of the proposed prediction models by comparing to actual GridFTP data transfer by using little historical information and have seen that we could predict the throughput of parallel streams accurately and find a very close approximation of the optimal stream number."",""1558-2183"","""",""10.1109/TPDS.2011.228"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6018962"",""Distributed applications";modeling and prediction;parallelism and concurrency;"network protocols."",""Distributed processing";Mathematical model;Concurrency control;Predictive models;Parallel processing;Network protocols;"Data models"","""",""39"","""",""18"",""IEEE"",""15 Sep 2011"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Prediction or Not? An Energy-Efficient Framework for Clustering-Based Data Collection in Wireless Sensor Networks,""H. Jiang"; S. Jin;" C. Wang"",""Huazhong University of Science and Technology, China"; Case Western Reserve University, OH, USA;" NEC Laboratories of America, Inc., Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Apr 2011"",""2011"",""22"",""6"",""1064"",""1071"",""For many applications in wireless sensor networks (WSNs), users may want to continuously extract data from the networks for analysis later. However, accurate data extraction is difficult-it is often too costly to obtain all sensor readings, as well as not necessary in the sense that the readings themselves only represent samples of the true state of the world. Clustering and prediction techniques, which exploit spatial and temporal correlation among the sensor data provide opportunities for reducing the energy consumption of continuous sensor data collection. Integrating clustering and prediction techniques makes it essential to design a new data collection scheme, so as to achieve network energy efficiency and stability. We propose an energy-efficient framework for clustering-based data collection in wireless sensor networks by integrating adaptively enabling/disabling prediction scheme. Our framework is clustering based. A cluster head represents all sensor nodes in the cluster and collects data values from them. To realize prediction techniques efficiently in WSNs, we present adaptive scheme to control prediction used in our framework, analyze the performance tradeoff between reducing communication cost and limiting prediction cost, and design algorithms to exploit the benefit of adaptive scheme to enable/disable prediction operations. Our framework is general enough to incorporate many advanced features and we show how sleep/awake scheduling can be applied, which takes our framework approach to designing a practical algorithm for data aggregation: it avoids the need for rampant node-to-node propagation of aggregates, but rather it uses faster and more efficient cluster-to-cluster propagation. To the best of our knowledge, this is the first work adaptively enabling/disabling prediction scheme for clustering-based continuous data collection in sensor networks. Our proposed models, analysis, and framework are validated via simulation and comparison with competing techniques."",""1558-2183"","""",""10.1109/TPDS.2010.174"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5601711"",""Sensor networks";algorithm/protocol design;clustering;"adaptive prediction."",""Clustering algorithms";Prediction algorithms;History;Correlation;Algorithm design and analysis;Adaptive systems;"Wireless sensor networks"","""",""142"",""1"",""28"",""IEEE"",""14 Oct 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Privacy in VoIP Networks: Flow Analysis Attacks and Defense,""M. Srivatsa"; A. Iyengar; L. Liu;" H. Jiang"",""IBM Thomas J. Watson Research Center, Hawthorne, NY, USA"; IBM Thomas J. Watson Research Center, Hawthorne, NY, USA; College of Computing, Georgia Technology Research Institute, Atlanta, GA, USA;" Department of Electronics and Information Engineering, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Feb 2011"",""2011"",""22"",""4"",""621"",""633"",""(A short version of this paper appears in IEEE INFOCOM 2009: http://www.research.ibm.com/people/i/iyengar/INFOCOM2009-kanon.pdf.) Peer-to-peer VoIP (voice over IP) networks, exemplified by Skype, are becoming increasingly popular due to their significant cost advantage and richer call forwarding features than traditional public switched telephone networks. One of the most important features of a VoIP network is privacy (for VoIP clients). Unfortunately, most peer-to-peer VoIP networks neither provide personalization nor guarantee a quantifiable privacy level. In this paper, we propose novel flow analysis attacks that demonstrate the vulnerabilities of peer-to-peer VoIP networks to privacy attacks. We then address two important challenges in designing privacy-aware VoIP networks: Can we provide personalized privacy guarantees for VoIP clients that allow them to select privacy requirements on a per-call basis? How to design VoIP protocols to support customizable privacy guarantee? This paper proposes practical solutions to address these challenges using a quantifiable k-anonymity metric and a privacy-aware VoIP route setup and route maintenance protocols. We present detailed experimental evaluation that demonstrates the performance and scalability of our protocol, while meeting customizable privacy guarantees."",""1558-2183"","""",""10.1109/TPDS.2010.122"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5482573"",""VoIP networks";privacy;k-anonymity;mix networks;"flow analysis attacks."",""Privacy";Peer to peer computing;Routing;Delay;Quality of service;Telecommunication traffic;Transport protocols;Internet telephony;Proposals;"Educational institutions"","""",""7"","""",""36"",""IEEE"",""7 Jun 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Privacy Preserving Collaborative Enforcement of Firewall Policies in Virtual Private Networks,""A. X. Liu";" F. Chen"",""Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA";" Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Mar 2011"",""2011"",""22"",""5"",""887"",""895"",""The widely deployed Virtual Private Network (VPN) technology allows roaming users to build an encrypted tunnel to a VPN server, which, henceforth, allows roaming users to access some resources as if that computer were residing on their home organization's network. Although VPN technology is very useful, it imposes security threats on the remote network because its firewall does not know what traffic is flowing inside the VPN tunnel. To address this issue, we propose VGuard, a framework that allows a policy owner and a request owner to collaboratively determine whether the request satisfies the policy without the policy owner knowing the request and the request owner knowing the policy. We first present an efficient protocol, called Xhash, for oblivious comparison, which allows two parties, where each party has a number, to compare whether they have the same number, without disclosing their numbers to each other. Then, we present the VGuard framework that uses Xhash as the basic building block. The basic idea of VGuard is to first convert a firewall policy to nonoverlapping numerical rules and then use Xhash to check whether a request matches a rule. Comparing with the Cross-Domain Cooperative Firewall (CDCF) framework, which represents the state-of-the-art, VGuard is not only more secure but also orders of magnitude more efficient. On real-life firewall policies, for processing packets, our experimental results show that VGuard is three to four orders of magnitude faster than CDCF."",""1558-2183"","""",""10.1109/TPDS.2010.155"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5557862"",""Virtual private networks";privacy;"network security."",""Protocols";Virtual private networks;IP networks;Computers;Privacy;Servers;"Encryption"","""",""17"",""3"",""16"",""IEEE"",""26 Aug 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
