"A design methodology for efficient application-specific on-chip interconnects,""W. H. Ho";" T. M. Pinkston"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Jan 2006"",""2006"",""17"",""2"",""174"",""190"",""As the level of chip-integration continues to advance at a fast pace, the desire for efficient interconnects - whether on-chip or off-chip - is rapidly increasing. Traditional interconnects like buses, point-to-point wires, and regular topologies may suffer from poor resource sharing in the time and space domains, leading to high contention or low resource utilization. In this paper, we propose a design methodology for constructing networks for special-purpose computer systems with well-behaved (known) communication characteristics. A temporal and spatial model is proposed to define the sufficient condition for contention-free communication. Based upon this model, a design methodology using a recursive bisection technique is applied to systematically partition a parallel system such that the required number of links and switches is minimized while achieving low contention. Results show that the design methodology can generate more optimized on-chip networks with up to 60 percent fewer resources than meshes or tori while providing blocking performance closer to that of a fully connected crossbar."",""1558-2183"","""",""10.1109/TPDS.2006.15"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1566595"",""On-chip interconnects";communication model;low-contention communication;network partitioning;"irregular topology."",""Design methodology";Resource management;Wires;Network topology;Computer networks;Sufficient conditions;Switches;Communication switching;Design optimization;"Network-on-a-chip"","""",""23"","""",""30"",""IEEE"",""3 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Performance models for network processor design,""T. Wolf";" M. A. Franklin"",""Department of Electrical and Computer Engineering, University of Massachusetts, Amherst, MA, USA";" Department of Computer Science and Engineering, Washington University of Saint Louis, Saint Louis, MO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 May 2006"",""2006"",""17"",""6"",""548"",""561"",""To provide a variety of new and advanced communications services, computer networks are required to perform increasingly complex packet processing. This processing typically takes place on network routers and their associated components. An increasingly central component in router design is a chip-multiprocessor (CMP) referred to as """"network processor"""" or NP. In addition to multiple processors, NPs have multiple forms of on-chip memory, various network and off-chip memory interfaces, and other specialized logic components such as CAMs (content addressable memories). The design space for NPs (e.g., number of processors, caches, cache sizes, etc.) is large due to the diverse workload, application requirements, and system characteristics. System design constraints relate to the maximum chip area and the power consumption that are permissible while achieving defined line rates and executing required packet functions. In this paper, an analytic performance model that captures the processing performance, chip area, and power consumption for a prototypical NP is developed and used to provide quantitative insights into system design trade offs. The model, parameterized with a networking application benchmark, provides the basis for the design of a scalable, high-performance network processor and presents insights into how best to configure the numerous design elements associated with NPs"",""1558-2183"","""",""10.1109/TPDS.2006.75"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626221"",""Network processor design";performance model;design optimization;power optimization;"network processor benchmark."",""Process design";Energy consumption;Power system modeling;Computer networks;Network-on-a-chip;Logic design;Cams;Associative memory;Performance analysis;"Prototypes"","""",""20"","""",""35"",""IEEE"",""1 May 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Performance of a beacon enabled IEEE 802.15.4 cluster with downlink and uplink traffic,""J. Misic"; S. Shafi;" V. B. Misic"",""Department of Computer Science, University of Manitoba, Winnipeg, MAN, Canada"; Department of Computer Science, University of Manitoba, Winnipeg, MAN, Canada;" Department of Computer Science, University of Manitoba, Winnipeg, MAN, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Mar 2006"",""2006"",""17"",""4"",""361"",""376"",""The performance of an IEEE 802.15.4 compliant network operating in the beacon enabled mode with both downlink and uplink traffic is analyzed through discrete time Markov chains and the theory of M/G/1 queues. The model considers acknowledged transmissions and includes the impact of different network and traffic parameters such as the packet arrival rate, packet size, inactive period between the beacons, and the number of stations. We investigate the nonsaturation region and outline the conditions under which the network abruptly goes to saturation. The analysis of stability of the network queues shows that the stability of the downlink queue at the coordinator is the most critical for network operation. Due to the abruptness with which the switch from nonsaturation to saturation occurs, the network operating point has to be carefully chosen according to the volume of downlink traffic. Furthermore, our model shows that certain features prescribed by the standard actually limit the performance of 802.15.4 networks."",""1558-2183"","""",""10.1109/TPDS.2006.54"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1603519"",""IEEE Std 802.15.4";CSMA-CA;Medium Access Control (MAC) protocols;"queuing analysis."",""Downlink";Traffic control;Telecommunication traffic;Queueing analysis;Switches;Wireless sensor networks;Analytical models;Stability analysis;Network topology;"Media Access Protocol"","""",""105"","""",""8"",""IEEE"",""6 Mar 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Policies for Caching OLAP Queries in Internet Proxies,""T. Loukopoulos";" I. Ahmad"",""Department of Computer and Communication Engineering, University of Thessaly, Volos, Greece";" University of Texas at Arlington, Arlington, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1124"",""1135"",""The Internet now offers more than just simple information to the users. Decision makers can now issue analytical, as opposed to transactional, queries that involve massive data (such as, aggregations of millions of rows in a relational database) in order to identify useful trends and patterns. Such queries are often referred to as Online-analytical processing (OLAP). Typically, pages carrying query results do not exhibit temporal locality and, therefore, are not considered for caching at Internet proxies. In OLAP processing, this is a major problem as the cost of these queries is significantly larger than that of the transactional queries. This paper proposes a technique to reduce the response time for OLAP queries originating from geographically distributed private LANs and issued through the Web toward a central data warehouse (DW) of an enterprise. An active caching scheme is introduced that enables the LAN proxies to cache some parts of the data, together with the semantics of the DW, in order to process queries and construct the resulting pages. OLAP queries arriving at the proxy are either satisfied locally or from the DW, depending on the relative access costs. We formulate a cost model for characterizing the respective latencies, taking into consideration the combined effects of both common Web access and query processing. We propose a cache admittance and replacement algorithm that operates on a hybrid Web-OLAP input, outperforming both pure-Web and pure-OLAP caching schemes"",""1558-2183"","""",""10.1109/TPDS.2006.143"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687882"",""Distributed systems";data communication aspects;Internet applications databases;Web caching;"OLAP."",""Internet";Costs;Delay;Network servers;Relational databases;Data warehouses;Local area networks;Query processing;Telecommunication traffic;"Material storage"","""",""1"","""",""39"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Practically Realizable Efficient Data Allocation and Replication Strategies for Distributed Databases with Buffer Constraints,""Xin Gu"; Wujuan Lin;" B. Veeravalli"",""Siemens Limited, Beijing, China"; Data Storage Institute, Singapore;" Department of Electrical and Computer Engineering, National University of Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""1001"",""1013"",""In this paper, we address the performance of distributed database systems with buffer constraints. Specifically, our objective is to design and analyze efficient data allocation and replication strategies to minimize the total servicing cost for an arbitrary read/write request sequence, under finite buffer constraints of the nodes in the system. When the available buffer space in a node is not enough to store a copy of an object, the decision has to be made on whether or not we should evict one or more objects in use to give room for the new object copy. In this paper, we design and analyze the data replication strategies with the model of dynamic window mechanism (DWM) algorithm jointly implemented with different types of object replacement strategies (no replacement, LRU, and LFU) commonly found in practice. We consider situations wherein the object sizes are identical as well as heterogeneous. We will show the impact on the performance of the allocation and replication strategies due to the limited local database buffer capacities. We analyze and quantify theoretically (using competitive analysis) the performances of all the proposed algorithms. Further, we perform rigorous simulation experiments to validate the findings with respect to several influencing parameters. Several useful conclusions are drawn based on the experimental results and we highlight the usefulness of the algorithms under different situations"",""1558-2183"","""",""10.1109/TPDS.2006.127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668064"",""Object allocation";distributed database system;competitiveness;replacement algorithms;caching;"communication cost."",""Distributed databases";Costs;Database systems;Algorithm design and analysis;Data analysis;Buffer storage;Performance analysis;Availability;Communication system control;"System performance"","""",""9"",""1"",""26"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Predictor@Home: A ""Protein Structure Prediction Supercomputer' Based on Global Computing,""M. Taufer"; Chahm An; A. Kerstens;" C. L. Brooks III"",""Department of Computer Science, University of Texas, El Paso, El Paso, TX, USA"; Department of Molecular Biology, Scripps Research Institute, La Jolla, CA, USA; Department of Computer Science, University of Texas, El Paso, El Paso, TX, USA;" Department of Molecular Biology, Scripps Research Institute, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""786"",""796"",""Predicting the structure of a protein from its amino acid sequence is a complex process, the understanding of which could be used to gain new insight into the nature of protein functions or provide targets for structure-based design of drugs to treat new and existing diseases. While protein structures can be accurately modeled using computational methods based on all-atom physics-based force fields including implicit solvation, these methods require extensive sampling of native-like protein conformations for successful prediction and, consequently, they are often limited by inadequate computing power. To address this problem, we developed Predictor@Home, a """"structure prediction supercomputer” powered by the Berkeley Open Infrastructure for Network Computing (BOINC) framework and based on the global computing paradigm (i.e., volunteered computing resources interconnected to the Internet and owned by the public). In this paper, we describe the protocol we employed for protein structure prediction and its integration into a global computing architecture based on public resources. We show how Predictor@Home significantly improved our ability to predict protein structures by increasing our sampling capacity by one to two orders of magnitude."",""1558-2183"","""",""10.1109/TPDS.2006.110"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652942"",""Global computing paradigm";public resources;protein conformational sampling;Monte Carlo simulations;"molecular dynamics."",""Proteins";Supercomputers;Computer networks;Home computing;Physics computing;Sampling methods;Amino acids;Drugs;Diseases;"Computational modeling"","""",""35"","""",""34"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Processor array architectures for deep packet classification,""F. Gebali";" A. N. M. E. Rafiq"",""Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada";" Department of Electrical and Computer Engineering, University of Victoria, Victoria, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Jan 2006"",""2006"",""17"",""3"",""241"",""252"",""This paper presents a systematic technique for expressing a string search algorithm as a regular iterative expression to explore all possible processor arrays for deep packet classification. The computation domain of the algorithm is obtained and three affine scheduling functions are presented. The technique allows some of the algorithm variables to be pipelined while others are broadcast over system-wide buses. Nine possible processor array structures are obtained and analyzed in terms of speed, area, power, and I/O timing requirements. Time complexities are derived analytically and through extensive numerical simulations. The proposed designs exhibit optimum speed and area complexities. The processor arrays are compared with previously derived processor arrays for the string matching problem."",""1558-2183"","""",""10.1109/TPDS.2006.39"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1583572"",""Processor array";string search;deep packet classification;"parallel hardware."",""Iterative algorithms";Hardware;Search engines;Numerical simulation;Search problems;Very large scale integration;Switches;Quality of service;Payloads;"Computer architecture"","""",""12"","""",""37"",""IEEE"",""30 Jan 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Providing service guarantees in high-speed switching systems with feedback output queuing,""V. Firoiu"; X. Zhang; E. Gunduzhan;" N. Christin"",""BAE Systems, Advanced Information Technologies, Burlington, MA, USA"; Airvana, Chelmsford, MA, USA; Nortel Limited, Canada;" Information Networking Institute, CYLab Japan, Carnegie Mellon University, Kobe, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2006"",""2006"",""17"",""5"",""434"",""447"",""We consider the problem of providing per-customer service guarantees in a high-speed packet switch typically situated at the edge between a set of customers and a service provider network. As basic requirements, the switch should be scalable to high speeds per port, a large number of ports, and a large number of customers (macroflows) with independent guarantees. Existing scalable solutions are based on virtual output queuing, which is computationally complex when required to provide service guarantees for a large number of macroflows. We present a novel architecture for packet switching that provides support for such service guarantees. A cost-effective fabric with small external speedup is combined with a feedback mechanism that enables the fabric to be virtually lossless, thus avoiding packet drops indiscriminate of macroflows' behavior. Through analysis and simulation, we show that this architecture provides accurate support for service guarantees, has low computational complexity, and is scalable to very high port speeds."",""1558-2183"","""",""10.1109/TPDS.2006.64"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613852"",""Computer networks";packet switching;quality of service;feedback control;"congestion control."",""Switching systems";Output feedback;Switches;Packet switching;Quality of service;Traffic control;Telecommunication traffic;Computer architecture;Fabrics;"Costs"","""",""1"","""",""27"",""IEEE"",""3 Apr 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"QoS and energy trade off in distributed energy-limited mesh/relay networks: a queuing analysis,""A. Fallahi"; E. Hossain;" A. S. Alfa"",""Department of Electrical and Computer Engineering, University of Manitoba, Winnipeg, Canada"; Department of Electrical and Computer Engineering, University of Manitoba, Winnipeg, Canada;" Department of Electrical and Computer Engineering, University of Manitoba, Winnipeg, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""1 May 2006"",""2006"",""17"",""6"",""576"",""592"",""In a distributed multihop mesh/relay network (e.g., wireless ad hoc/sensor network, cellular multihop network), each node acts as a relay node to forward data packets from other nodes. These nodes are often energy-limited and also have limited buffer space. Therefore, efficient power saving mechanisms (e.g., sleeping mechanisms) are required so that the lifetime of these nodes can be extended while at the same time the quality of service (QoS) requirements (e.g., packet delay and packet loss rate) for the relayed packets can be satisfied. In this paper, we present a novel queueing analytical framework to study the tradeoff between the energy saving and the QoS at a relay node. Specifically, by modeling the bursty traffic arrival process as a MAP (Markovian arrival process) and the packet service process as having a phase-type (PH) distribution, we model each node as a MAP/PH/1 nonpreemptive priority queue. The relayed packets and the node's own packets form two priority classes and the medium access control (MAC)/physical (PHY) layer protocol in the transmission protocol stack acts as the server process. Moreover, we use a phase-type vacation model for the energy-saving mechanism in a node when the MAC/PHY protocol refrains from transmitting in order to save battery power. Two different power saving mechanisms due to the standard exhaustive and the number-limited exhaustive vacation models (both in multiple vacation cases) are analyzed to study the tradeoff between the QoS performance of the relayed packets and the energy saving at a relay node. Also, an optimization formulation is presented to design an optimal wakeup strategy for the server process under QoS constraints. We use matrix-geometric method to obtain the stationary probability distribution for the system states from which the performance metrics are derived. Using phase-type distribution for both the service and the vacation processes and combining the priority queueing model with the vacation queueing model make the analysis very general and comprehensive"",""1558-2183"","""",""10.1109/TPDS.2006.76"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626223"",""Wireless ad hoc/sensor networks";quality of service;energy efficiency;queuing analysis;matrix-geometric method;Markovian arrival process;phase-type distribution;priority queues;"vacation queuing model."",""Relays";Queueing analysis;Quality of service;Media Access Protocol;Access protocols;Spread spectrum communication;Wireless sensor networks;Physical layer;Power system relaying;"Cellular networks"","""",""15"",""2"",""36"",""IEEE"",""1 May 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;
"QoS Driven Parallelization of Resources to Reduce File Download Delay,""S. Sohail"; S. K. Jha; S. S. Kanhere;" Chun Tung Chou"",""School of Computer Science and Engineering, University of New South Wales, Sydney, Australia"; School of Computer Science and Engineering, University of New South Wales, Sydney, Australia; School of Computer Science and Engineering, University of New South Wales, Sydney, Australia;" School of Computer Science and Engineering, University of New South Wales, Sydney, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1204"",""1215"",""In this paper, we propose a novel approach for reducing the download time of large files over the Internet. Our approach, known as Parallelized File Transport Protocol (P-FTP), proposes simultaneous downloads of disjoint file portions from multiple file servers. P-FTP server selects file servers for the requesting client on the basis of a variety of QoS parameters, such as available bandwidth and server utilization. The sensitivity analysis of our file server selection technique shows that it performs significantly better than random selection. During the file transfer, P-FTP client monitors the file transfer flows to detect slow servers and congested links and adjusts the file distributions accordingly. P-FTP is evaluated with simulations and real-world implementation. The results show at least 50 percent reduction in download time when compared to the traditional file-transfer approach. Moreover, we have also carried out a simulation-based study to investigate the issues related to large scale deployment of our approach on the Internet. Our results demonstrate that a large number of P-FTP users has no adverse effect on the performance perceived by non-P-FTP users. In addition, the file servers and network are not significantly affected by large scale deployment of P-FTP."",""1558-2183"","""",""10.1109/TPDS.2006.144"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687888"",""Distributed applications";performance measurements;"Internet."",""File servers";Web server;Internet;Quality of service;Network servers;Delay effects;Mirrors;Bandwidth;Large-scale systems;"Transport protocols"","""",""5"",""5"",""52"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Random coverage with guaranteed connectivity: joint scheduling for wireless sensor networks,""C. Liu"; K. Wu; Y. Xiao;" B. Sun"",""Department of Computer Science, University of Victoria, Victoria, BC, Canada"; Department of Computer Science, University of Victoria, Victoria, BC, Canada; Department of Computer Science, University of Memphis, Memphis, TN, USA;" Department of Computer Science, Lamar University, Beaumont, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""1 May 2006"",""2006"",""17"",""6"",""562"",""575"",""Sensor scheduling plays a critical role for energy efficiency of wireless sensor networks. Traditional methods for sensor scheduling use either sensing coverage or network connectivity, but rarely both. In this paper, we deal with a challenging task: without accurate location information, how do we schedule sensor nodes to save energy and meet both constraints of sensing coverage and network connectivity? Our approach utilizes an integrated method that provides statistical sensing coverage and guaranteed network connectivity. We use random scheduling for sensing coverage and then turn on extra sensor nodes, if necessary, for network connectivity. Our method is totally distributed, is able to dynamically adjust sensing coverage with guaranteed network connectivity, and is resilient to time asynchrony. We present analytical results to disclose the relationship among node density, scheduling parameters, coverage quality, detection probability, and detection delay. Analytical and simulation results demonstrate the effectiveness of our joint scheduling method"",""1558-2183"","""",""10.1109/TPDS.2006.77"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1626222"",""Wireless sensor networks";scheduling algorithms;"performance analysis."",""Wireless sensor networks";Energy efficiency;Processor scheduling;Fires;Event detection;Sun;Delay;Analytical models;Scheduling algorithm;"Performance analysis"","""",""154"","""",""26"",""IEEE"",""1 May 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Replicated Server Placement with QoS Constraints,""G. Rodolakis"; S. Siachalou;" L. Georgiadis"",""INRIA Rocquencourt, Le Chesnay, France"; Electrical and Computer Engineering, Telecommunications Department, Aristotle University of Thessaloniki, Greece;" Electrical and Computer Engineering, Telecommunications Department, Aristotle University of Thessaloniki, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Sep 2006"",""2006"",""17"",""10"",""1151"",""1162"",""The network planning problem of placing replicated servers with QoS constraints is considered. Each server site may consist of multiple server types with varying capacities and each site can be placed in any location among those belonging to a given set. Each client can be served by more than one location as long as the round-trip delay of data requests satisfies predetermined upper bounds. Our main focus is to minimize the cost of using the servers and utilizing the link bandwidth, while serving requests according to their delay constraint. This is an NP-hard problem. A pseudopolynomial and a polynomial algorithm that provide guaranteed approximation factors with respect to the optimal for the problem at hand are presented"",""1558-2183"","""",""10.1109/TPDS.2006.145"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1687884"",""Algorithm design and analysis";constrained optimization;applications;distributed file systems;"client/server."",""Network servers";Costs;Delay;Web server;Mirrors;Bandwidth;Polynomials;File systems;Upper bound;"NP-hard problem"","""",""30"","""",""31"",""IEEE"",""6 Sep 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Resource Allocation for Session-Based Two-Dimensional Service Differentiation on e-Commerce Servers,""Xiaobo Zhou"; Jianbin Wei;" Cheng-Zhong Xu"",""Department of Computer Science, University of Colorado, Colorado Springs, Colorado Springs, CO, USA"; Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA;" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jul 2006"",""2006"",""17"",""8"",""838"",""850"",""A scalable e-commerce server should be able to provide different levels of quality of service (QoS) to different types of requests based on clients' navigation patterns and the server capacity. E-commerce workloads are composed of sessions. In this paper, we propose a session-based two-dimensional (2D) service differentiation model for online transactions: intersession and intrasession. The intersession model aims to provide different levels of QoS to sessions from different customer classes, and the intrasession model aims to provide different levels of QoS to requests in different states of a session. A primary performance metric of online transactions is slowdown. It measures the waiting time of a request relative to its service time. We present a processing rate allocation scheme for 2D proportional slowdown differentiation. We then introduce service slowdown as a systemwide QoS metric of an e-commerce server. It is defined as the weighted sum of request slowdown in different sessions and in different session states. We formulate the problem of 2D service differentiation as an optimization of processing rate allocation with the objective of minimizing the service slowdown of the server. We prove that the derived rate allocation scheme based on the optimization guarantees client requests' slowdown to be square-root proportional to their prespecified differentiation weights in both intersession and intrasession dimensions. We evaluate this square-root proportional rate allocation scheme and a proportional rate allocation scheme via extensive simulations. Results validate that both schemes can achieve predictable, controllable, and fair 2D service differentiation on e-commerce servers. The square-root proportional rate allocation scheme provides 2D service differentiation at a minimum cost of service slowdown"",""1558-2183"","""",""10.1109/TPDS.2006.111"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1652946"",""Two-dimensional service differentiation";session;slowdown;rate allocation;"resource management."",""Resource management";Quality of service;Navigation;Computer Society;Time measurement;Costs;Admission control;Protection;Impedance;"Computer science"","""",""20"","""",""31"",""IEEE"",""10 Jul 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Robust Computation of Aggregates in Wireless Sensor Networks: Distributed Randomized Algorithms and Analysis,""Jen-Yeu Chen"; G. Pandurangan;" Dongyan Xu"",""School of Electrical and Computer Engineering, Purdue University, West Lafayette, IN, USA"; Department of Computer Science, Purdue University, West Lafayette, IN, USA;" Department of Computer Science, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2006"",""2006"",""17"",""9"",""987"",""1000"",""A wireless sensor network consists of a large number of small, resource-constrained devices and usually operates in hostile environments that are prone to link and node failures. Computing aggregates such as average, minimum, maximum and sum is fundamental to various primitive functions of a sensor network, such as system monitoring, data querying, and collaborative information processing. In this paper, we present and analyze a suite of randomized distributed algorithms to efficiently and robustly compute aggregates. Our distributed random grouping (DRG) algorithm is simple and natural and uses probabilistic grouping to progressively converge to the aggregate value. DRG is local and randomized and is naturally robust against dynamic topology changes from link/node failures. Although our algorithm is natural and simple, it is nontrivial to show that it converges to the correct aggregate value and to bound the time needed for convergence. Our analysis uses the eigenstructure of the underlying graph in a novel way to show convergence and to bound the running time of our algorithms. We also present simulation results of our algorithm and compare its performance to various other known distributed algorithms. Simulations show that DRG needs far fewer transmissions than other distributed localized schemes"",""1558-2183"","""",""10.1109/TPDS.2006.128"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1668063"",""Probabilistic algorithms";randomized algorithms;distributed algorithms;sensor networks;fault tolerance;graph theory;aggregate;data query;"stochastic processes."",""Robustness";Computer networks;Distributed computing;Aggregates;Wireless sensor networks;Algorithm design and analysis;Distributed algorithms;Convergence;Sensor systems;"Condition monitoring"","""",""60"","""",""30"",""IEEE"",""7 Aug 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Routing table partitioning for speedy packet lookups in scalable routers,""M. . -F. Tzeng"",""Center for Advanced Computer Studies, University of Louisiana, Lafayette, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2006"",""2006"",""17"",""5"",""481"",""494"",""Most of the high-performance routers available commercially these days equip each of their line cards (LCs) with a forwarding engine (FE) to perform table lookups locally. This work introduces and evaluates a technique for speedy packet lookups, called SPAL, in such routers. The BGP routing table under SPAL is fragmented into subsets which constitute forwarding tables for different FEs so that the number of table entries in each FE drops as the router grows. This reduction in the forwarding table size drastically lowers the amount of SRAM (e.g., L3 data cache) required in each LC to hold the trie constructed according to the prefix matching algorithm. SPAL calls for caching the lookup result of a given IP address at its home LC (denoted by LC/sub ho/, using the LR-cache), such that the result can satisfy the lookup requests for the same address from not only LC/sub ho/, but also other LCs quickly. Our trace-driven simulation reveals that SPAL leads to improved mean lookup performance by a factor of at least 2.5 (or 4.3) for a router with three (or 16) LCs, if the LR-cache contains 4K blocks. SPAL achieves this significant improvement, while greatly lowering the SRAM (i.e., the L3 data cache plus the LR-cache combined) requirement in each LC and possibly shortening the worst-case lookup time (thanks to fewer memory accesses during longest-prefix matching search) when compared with a current router without partitioning the routing table. It promises good scalability (with respect to routing table growth) and exhibits a small mean lookup time per packet. With its ability to speed up packet lookup performance while lowering overall SRAM substantially, SPAL is ideally applicable to the new generation of scalable high-performance routers."",""1558-2183"","""",""10.1109/TPDS.2006.65"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1613855"",""Caches";forwarding engines;interconnects;line cards;prefix matching search;routers;routing table lookups;"tries."",""Routing";Random access memory;Table lookup;Iron;Spine;Search engines;Internet;Fabrics;Switches;"Scalability"","""",""15"",""4"",""42"",""IEEE"",""3 Apr 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Sapphire: Statistical Characterization and Model-Based Adaptation of Networked Applications,""A. Bose"; M. El Gendy;" K. G. Shin"",""Michigan Grid Research and Infrastructure Development, 2356D Duderstadt Center, University of Michigan, Ann Arbor, MI, USA"; Cisco Systems, Inc., San Jose, CA, USA;" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2006"",""2006"",""17"",""12"",""1512"",""1525"",""Many modern networked applications require specific levels of service quality from the underlying network. Moreover, next-generation networked applications are expected to adapt to changes in the underlying network, services, and user interactions. While some applications have built-in adaptivity, the adaptation itself requires specification of a system model. This paper presents Sapphire, an experimental approach for systematic model generation for application adaptation within a target network. It employs a nearly-automated, statistical design of experiments to characterize the relationships of both application and network-level parameters. First, it applies the Analysis of Variance (ANOVA) method to identify the most significant parameters and their interactions that affect performance. Next, it generates a model of application performance with respect to these parameters within the ranges of measurements. The key benefit of the framework is the integration of several well-established concepts of statistical modeling and distributed systems in the form of simple APIs so that existing applications can take advantage of it. We demonstrate the usefulness and flexibility of Sapphire by generating a performance model of an audio streaming application. We show that many existing multimedia and QoS-sensitive applications can exploit a statistical modeling approach such as Sapphire to incorporate application adaptivity. The approach can also be used for feedback control of distributed applications, tuning network and application parameters to achieve service levels in a target network."",""1558-2183"","""",""10.1109/TPDS.2006.177"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1717411"",""Application-aware adaptation";measurements;statistical analysis;"performance analysis."",""Adaptation model";Multimedia systems;Telecommunication traffic;Quality of service;Analysis of variance;Streaming media;Statistical analysis;Bandwidth;Jitter;"Monitoring"","""",""1"","""",""38"",""IEEE"",""30 Oct 2006"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
