"2PASS: Bandwidth-Optimized Location Cloaking for Anonymous Location-Based Services,""H. Hu";" J. Xu"",""Department of Computer Science, Hong Kong Baptist University, Hong Kong, China";" Department of Computer Science, Hong Kong Baptist University, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1458"",""1472"",""Protection of users' location privacy is a critical issue for location-based services. Location cloaking has been proposed to blur users' accurate locations with cloaked regions. Although various cloaking algorithms have been studied, none of the prior work has explored the impact of cloaking on the bandwidth usage of requested services. In this paper, we develop an innovative result-aware location cloaking approach, called 2PASS. Based on the notion of Voronoi cells, 2PASS minimizes the number of objects to request, and hence, the bandwidth while meeting the same privacy requirement. The core component of 2PASS is a lightweight WAG-tree index, based on which efficient and secure client and server procedures are designed. Through threat analysis and experimental results, we argue that 2PASS is robust and outperforms state-of-the-art approaches in terms of various metrics, such as query response time and bandwidth consumption. We also enclose a case study of 2PASS in a real-life application."",""1558-2183"","""",""10.1109/TPDS.2010.26"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5406506"",""Mobile applications";distributed applications;security;integrity;"protection."",""Privacy";Bandwidth;Robustness;Protection;Network servers;Neural networks;Delay;Information security;Medical conditions;"Law"","""",""15"",""2"",""33"",""IEEE"",""5 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Reliable Broadcast in Radio Networks with Locally Bounded Failures,""V. Bhandari";" N. H. Vaidya"",""Google, Inc., New York, NY, USA";" Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Aug 2010"",""2010"",""21"",""6"",""801"",""811"",""This paper studies the reliable broadcast problem in a radio network with locally bounded failures. We present a sufficient condition for achievability of reliable broadcast in a general graph subject to Byzantine/crash-stop failures. We then consider the problem of reliable broadcast in an infinite grid (or finite toroidal) radio network under Byzantine and crash-stop failures. We present bounds on the maximum number of failures that may occur in any given neighborhood without rendering reliable broadcast impossible. For the Byzantine failure model, we describe an algorithm which is optimal for the grid network model, as it tolerates faults up to a previously established upper bound for this model. Our results indicate that it is possible to achieve reliable broadcast if slightly less than one-fourth fraction of nodes in any neighborhood are faulty. We also show that reliable broadcast is achievable with crash-stop failures if slightly less than half the nodes in any given neighborhood may be faulty."",""1558-2183"","""",""10.1109/TPDS.2009.82"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5010434"",""Byzantine failure";crash-stop failure;broadcast;fault tolerance;"radio network."",""Radio broadcasting";Radio network;Computer crashes;Sufficient conditions;Fault tolerance;Telecommunication network reliability;Public key cryptography;Authentication;Upper bound;"Robustness"","""",""13"","""",""22"",""IEEE"",""29 May 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Representation of a Stochastic Traffic Bound,""M. Li";" W. Zhao"",""School of Information Science and Technology, East China Jiao Tong University, Shanghai, China";" University of Macau, Taipa, Macao, China"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1368"",""1372"",""This paper presents a theoretical representation of a stochastic traffic bound (σ',ρ') that consists of two items, the burstiness bound σ' and the bound of long-term average rate ρ'. The novelty of the suggested representation is that the burstiness bound and the bound of long-term average rate are separately connected to the fractal dimension D that is the measure of the local self-similarity together with the small-scale factor r and the Hurst parameter H that is the measure of the long-range dependence (LRD) together with the large-scale factor a of traffic. More precisely, we obtain σ' = r2D-5σ and ρ' = a-H ρ, where σ is the conventional bound of burstiness and ρ the conventional bound of long-term average rate, respectively. Thus, the present bound (σ',ρ') takes the conventional bound, say (σ,ρ), as a special case when r = 1 and a = 1. Hence, the proposed representation provides us with a flexible way to tighten a traffic bound. Since we study the stochastically bounded modeling of traffic by taking into account the parameters in stochastic modeling, namely, D, H, r, and a, as well as the parameters in the deterministic modeling of traffic, i.e., σ and ρ, a new outlook regarding the stochastically bounded modeling of traffic is revealed. In addition, we open a problem to estimate r and a with respect to the possible applications of the proposed bound to the practice."",""1558-2183"","""",""10.1109/TPDS.2009.162"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5342414"",""Traffic modeling";traffic bound;burstiness;long-term average rate;local self-similarity;"long-range dependence."",""Stochastic processes";Traffic control;Fractals;Quality of service;Equations;Large-scale systems;Routing;Intrusion detection;Genetic expression;"Upper bound"","""",""68"","""",""31"",""IEEE"",""1 Dec 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Reputation-Based Resource Allocation in P2P Systems of Rational Users,""A. Satsiou";" L. Tassiulas"",""Informatics and Telematics Institute, Thessaloniki, Greece";" Department of Computer and Communication Engineering, Volos, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Feb 2010"",""2010"",""21"",""4"",""466"",""479"",""In this paper, we study p2p systems, where peers have to share their available resources between their own and other peers' needs. One such example is a system of peers who use their capacity-limited access links both for their upstream and downstream connections. In the selfish approach, each peer would like to exploit the full capacity of his access link only for his downloads. However, if all peers acted selfishly, the system would collapse. In order to motivate peers to cooperate, we propose a distributed reputation-based system according to which peers earn reputation analogous to their contributions. In this way, each peer has to trade off the capacity he will dedicate for uploading in order to increase his reputation and therefore his revenue and the capacity he will dedicate for his downloads. All peers act rationally, trying to maximize their utility. Our proposed policies lead rational peers to cooperation while promoting fairness, as peers receive resources in proportion to their contributions. Our policies outperform existing work in this area in which the slowest link becomes the bottleneck of a heterogeneous system of different link capacity peers. On the contrary, no such bottleneck appears when our policies are used, improving the performance of the system. Finally, we apply our reputation-based approach in a BitTorrent-like file sharing system and we highlight the potential performance gains."",""1558-2183"","""",""10.1109/TPDS.2009.80"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4967576"",""Cooperation enforcement";distributed resource allocation;P2P systems;"reputation."",""Resource management";Peer to peer computing;Game theory;Spine;Performance gain;Collaborative work;Control systems;Wireless application protocol;"Access protocols"","""",""62"","""",""27"",""IEEE"",""26 May 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Resource Bundles: Using Aggregation for Statistical Large-Scale Resource Discovery and Management,""M. Cardosa";" A. Chandra"",""Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA";" Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2010"",""2010"",""21"",""8"",""1089"",""1102"",""Resource discovery is an important process for finding suitable nodes that satisfy application requirements in large loosely coupled distributed systems. Besides internode heterogeneity, many of these systems also show a high degree of intranode dynamism, so that selecting nodes based only on their recently observed resource capacities can lead to poor deployment decisions resulting in application failures or migration overheads. However, most existing resource discovery mechanisms rely mainly on recent observations to achieve scalability in large systems. In this paper, we propose the notion of a resource bundle-a representative resource usage distribution for a group of nodes with similar resource usage patterns-that employs two complementary techniques to overcome the limitations of existing techniques: resource usage histograms to provide statistical guarantees for resource capacities and clustering-based resource aggregation to achieve scalability. Using trace-driven simulations and data analysis of a month-long PlanetLab trace, we show that resource bundles are able to provide high accuracy for statistical resource discovery, while achieving high scalability. We also show that resource bundles are ideally suited for identifying group-level characteristics (e.g., hot spots, total group capacity). To automatically parameterize the bundling algorithm, we present an adaptive algorithm that can detect online fluctuations in resource heterogeneity."",""1558-2183"","""",""10.1109/TPDS.2009.143"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226621"",""Resource discovery";aggregation;resource management;"machine learning."",""Large-scale systems";Resource management;Scalability;Histograms;Fluctuations;Availability;Analytical models;Data analysis;Machine learning algorithms;"Adaptive algorithm"","""",""10"","""",""30"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Resource Scheduling in Wireless Networks Using Directional Antennas,""I. Jawhar"; J. Wu;" D. P. Agrawal"",""College of Information Technology, United Arab Emirates University, Alain, UAE"; Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA;" Computer Science Department, University of Cincinnati, Cincinnati, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1240"",""1253"",""Due to a continued increase in the speed and capacities of computing devices, combined with our society's growing need for mobile communication capabilities, multihop wireless networks (MWNs), such as wireless mesh networks (WMNs), have gained a lot of interest from the research community. Quality of service (QoS) provisioning in these networks is an essential component that is needed to support multimedia and real-time applications. On the other hand, directional antenna technology provides the capability for considerable increases in spatial reuse, which is essential in the wireless medium. In this paper, a bandwidth reservation protocol for QoS routing in TDMA-based MWNs using directional antennas is presented. The routing algorithm allows a source node to reserve a path to a particular destination with the needed bandwidth, which is represented by the number of slots in the data phase of the TDMA frame. Further optimizations to improve the efficiency and resource utilization of the network are also provided."",""1558-2183"","""",""10.1109/TPDS.2009.171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374390"",""Directional antennas";multihop wireless networks (MWNs);quality of service (QoS);routing;"time division multiple access (TDMA)."",""Wireless networks";Directional antennas;Wireless mesh networks;Quality of service;Bandwidth;Processor scheduling;Computer networks;Mobile communication;Spread spectrum communication;"Routing protocols"","""",""14"","""",""37"",""IEEE"",""8 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Robust Load Delegation in Service Grid Environments,""A. Folling"; C. Grimme; J. Lepping;" A. Papaspyrou"",""Robotics Research Institute, Section Information Technology, Technical University Dortmund, Dortmund, Germany"; Robotics Research Institute, Section Information Technology, Technical University Dortmund, Dortmund, Germany; Robotics Research Institute, Section Information Technology, Technical University Dortmund, Dortmund, Germany;" Robotics Research Institute, Section Information Technology, Technical University Dortmund, Dortmund, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jul 2010"",""2010"",""21"",""9"",""1304"",""1316"",""In this paper, we address the problem of finding well-performing workload exchange policies for decentralized Computational Grids using an Evolutionary Fuzzy System. To this end, we establish a noninvasive collaboration model on the Grid layer which requires minimal information about the participating High Performance and High Throughput Computing (HPC/HTC) centers and which leaves the local resource managers completely untouched. In this environment of fully autonomous sites, independent users are assumed to submit their jobs to the Grid middleware layer of their local site, which in turn decides on the delegation and execution either on the local system or on remote sites in a situation-dependent, adaptive way. We find for different scenarios that the exchange policies show good performance characteristics not only with respect to traditional metrics such as average weighted response time and utilization, but also in terms of robustness and stability in changing environments."",""1558-2183"","""",""10.1109/TPDS.2010.16"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401153"",""Grid computing";evolutionary fuzzy systems;online grid scheduling;"performance evaluation."",""Robustness";Grid computing;Robust stability;Fuzzy systems;Collaborative work;Throughput;High performance computing;Resource management;Middleware;"Delay"","""",""9"","""",""28"",""IEEE"",""29 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Scheduling Multisource Divisible Loads on Arbitrary Networks,""J. Jia"; B. Veeravalli;" J. Weissman"",""Computer Networks and Distributed Systems Laboratory (CNDS), Department of Electrical and Computer Engineering, National University of Singapore, Singapore"; Computer Networks and Distributed Systems Laboratory (CNDS), Department of Electrical and Computer Engineering, National University of Singapore, Singapore;" University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""25 Feb 2010"",""2010"",""21"",""4"",""520"",""531"",""Scheduling multisource divisible loads is a challenging task as different sources should cooperate and share their computing power with others to balance their loads and minimize total computational time. In this study, we attempt to address a generalized divisible load scheduling problem for handling loads from multiple sources on arbitrary networks. This problem is all the more challenging as 1) the topology is arbitrary, 2) in such networks, it is difficult to decide from which source and which route a processing node should receive loads, and 3) processing nodes must be allocated to different sources when they become available. We study two distinct cases of interest, static case and dynamic case, and propose two novel strategies, referred to as static scheduling strategy (SSS) and dynamic scheduling strategy (DSS), respectively. Both strategies work in an iterative fashion. In each iteration, they will use a novel graph partitioning (GP) scheme to partition the network such that each source in the network gains a portion of network resources and then these sources cooperate to process their loads. We analyze the performance of DSS using queuing theory and derive upper bounds on a load's average waiting time and a source's average queue length. We use simulation to verify the usefulness and effectiveness of SSS and DSS. Our findings reveal an interesting ¿load insensitive¿ propertyof SSS and also verify the theoretical upper bound of average queue length at each source in the dynamic case."",""1558-2183"","""",""10.1109/TPDS.2009.62"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4815230"",""Divisible loads";multisource;communication delay;processing time;"arbitrary network."",""Processor scheduling";Computer networks;Decision support systems;Queueing analysis;Workstations;Time sharing computer systems;Dynamic scheduling;Upper bound;Large-scale systems;"Data analysis"","""",""17"","""",""25"",""IEEE"",""17 Apr 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Secure Synchronization of Periodic Updates in Ad Hoc Networks,""B. Carbunar"; M. Pearce; S. Mohapatra; L. J. Rittle; V. Vasudevan;" O. Carbunar"",""Applied Research Center, Motorola, Inc., Schaumburg, IL, USA"; Applied Research Center, Motorola, Inc., Schaumburg, IL, USA; Applied Research Center, Motorola, Inc., Schaumburg, IL, USA; Applied Research Center, Motorola, Inc., Schaumburg, IL, USA; Applied Research Center, Motorola, Inc., Schaumburg, IL, USA;" National Institute of Physics and Nuclear Engineering, Bucharest, Romania"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2010"",""2010"",""21"",""8"",""1060"",""1073"",""We present techniques for synchronizing nodes that periodically broadcast content and presence updates to colocated nodes over an ad hoc network, where nodes may exhibit Byzantine malicious behavior. Instead of aligning duty cycles, our algorithms synchronize the periodic transmissions of nodes. This allows nodes to save battery power by switching off their network cards without missing updates from their neighbors. We propose several novel attack classes and show that they are able to disrupt synchronization even when launched by a single attacker. Finally, we devise a rating based algorithm (RBA) that rates neighbors based on the consistency of their behavior. By favoring well-behaved nodes in the synchronization process, we show that RBA quickly stabilizes the synchronization process and reduces the number of lost updates by 85 percent. Our evaluation also shows that all our algorithms are computationally efficient and, for the setup considered, extend the device lifetime by 30 percent over an always-on Wi-Fi scenario."",""1558-2183"","""",""10.1109/TPDS.2009.169"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5374388"",""Network protocols";applications;distributed systems;distributed applications;mobile computing;"data encryption."",""Ad hoc networks";Protocols;Batteries;Mobile computing;Mobile handsets;Energy efficiency;Switches;Clustering algorithms;Venus;"Broadcasting"","""",""2"","""",""29"",""IEEE"",""8 Jan 2010"","""","""",""IEEE"",""IEEE Journals""";;
"Self-Consistent MPI Performance Guidelines,""J. Larsson Traff"; W. D. Gropp;" R. Thakur"",""Department of Scientific Computing, University of Technology, Vienna, Vienna, Austria"; Thomas M. Siebel Center of Computer Science, Computer Science Department, University of Illinois, Urbana-Champaign, Urbana, IL, USA;" Mathematics and Computer Science Division, Argonne National Laboratory, Argonne, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2010"",""2010"",""21"",""5"",""698"",""709"",""Message passing using the Message-Passing Interface (MPI) is at present the most widely adopted framework for programming parallel applications for distributed memory and clustered parallel systems. For reasons of (universal) implementability, the MPI standard does not state any specific performance guarantees, but users expect MPI implementations to deliver good and consistent performance in the sense of efficient utilization of the underlying parallel (communication) system. For performance portability reasons, users also naturally desire communication optimizations performed on one parallel platform with one MPI implementation to be preserved when switching to another MPI implementation on another platform. We address the problem of ensuring performance consistency and portability by formulating performance guidelines and conditions that are desirable for good MPI implementations to fulfill. Instead of prescribing a specific performance model (which may be realistic on some systems, under some MPI protocol and algorithm assumptions, etc.), we formulate these guidelines by relating the performance of various aspects of the semantically strongly interrelated MPI standard to each other. Common-sense expectations, for instance, suggest that no MPI function should perform worse than a combination of other MPI functions that implement the same functionality, no specialized function should perform worse than a more general function that can implement the same functionality, no function with weak semantic guarantees should perform worse than a similar function with stronger semantics, and so on. Such guidelines may enable implementers to provide higher quality MPI implementations, minimize performance surprises, and eliminate the need for users to make special, nonportable optimizations by hand. We introduce and semiformalize the concept of self-consistent performance guidelines for MPI, and provide a (nonexhaustive) set of such guidelines in a form that could be automatically verified by benchmarks and experiment management tools. We present experimental results that show cases where guidelines are not satisfied in common MPI implementations, thereby indicating room for improvement in today's MPI implementations."",""1558-2183"","""",""10.1109/TPDS.2009.120"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5184825"",""Parallel processing";message passing;message-passing interface;MPI;performance portability;performance prediction;performance model;public benchmarking;"performance guidelines."",""Guidelines";Parallel programming;Hardware;Libraries;Computer Society;Application software;Communication standards;Communication switching;Protocols;"Message passing"","""",""22"","""",""41"",""IEEE"",""31 Jul 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Self-Disciplinary Worms and Countermeasures: Modeling and Analysis,""W. Yu"; N. Zhang; X. Fu;" W. Zhao"",""Department of Computer and Information Sciences, Towson University, Towson, MD, USA"; Department of Computer Science, George Washington University, Washington D.C., DC, USA; Department of Computer Science, University of Massachusetts, Lowell, Lowell, MA, USA;" University of Macau, Taipa, Macao, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2010"",""2010"",""21"",""10"",""1501"",""1514"",""In this paper, we address issues related to the modeling, analysis, and countermeasures of worm attacks on the Internet. Most previous work assumed that a worm always propagates itself at the highest possible speed. Some newly developed worms (e.g., “Atak” worm) contradict this assumption by deliberately reducing the propagation speed in order to avoid detection. As such, we study a new class of worms, referred to as self-disciplinary worms. These worms adapt their propagation patterns in order to reduce the probability of detection, and eventually, to infect more computers. We demonstrate that existing worm detection schemes based on traffic volume and variance cannot effectively defend against these self-disciplinary worms. To develop proper countermeasures, we introduce a game-theoretic formulation to model the interaction between the worm propagator and the defender. We show that an effective integration of multiple countermeasure schemes (e.g., worm detection and forensics analysis) is critical for defending against self-disciplinary worms. We propose different integrated schemes for fighting different self-disciplinary worms, and evaluate their performance via real-world traffic data."",""1558-2183"","""",""10.1109/TPDS.2009.161"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5313807"",""Worm";game theory;"anomaly detection."",""Computer worms";Computer crime;Traffic control;Distributed computing;Computer science;Forensics;Game theory;Web and internet services;Computer networks;"Computer security"","""",""30"","""",""61"",""IEEE"",""6 Nov 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Semantics-Based Object Caching in Distributed Systems,""J. Eberhard";" A. Tripathi"",""Department of Computer Science, University of Minnesota, Minneapolis, MN, USA";" Department of Computer Science, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2010"",""2010"",""21"",""12"",""1750"",""1764"",""In order to utilize the semantics of object methods to ensure cached object consistency, method group commutativity specifies the conditions under which a group of methods will commute. Method group commutativity is determined using a semantic specification of object methods, provided in terms of logical expressions, to create commutativity conjectures that are analyzed using the PVS theorem prover. This analysis results in the creation of a method commutativity specification (MCS), which is used by a distributed caching system to ensure the consistency of method invocations. For greater commutativity, weaker consistency requirements can be specified in the MCS. This base approach is enhanced by optimizations that consider a client's sequential execution of methods and that reduce the amount of data cached by the client. The effectiveness of method group commutativity and associated optimizations is evaluated using Java RMI application benchmarks."",""1558-2183"","""",""10.1109/TPDS.2010.48"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5432166"",""Pre and postconditions";specifying and verifying and reasoning about programs;logics and meanings of programs;theory of computation;distributed objects;components;containers;language constructs and features;programming languages;"software/software engineering."",""Optimization methods";Concurrent computing;Licenses;Computer science;Java;Delay;Telecommunication traffic;Traffic control;Mobile computing;"Computer networks"","""",""5"","""",""37"",""IEEE"",""18 Mar 2010"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Sensor-Mission Assignment in Constrained Environments,""M. P. Johnson"; H. Rowaihy; D. Pizzocaro; A. Bar-Noy; S. Chalmers; T. La Porta;" A. Preece"",""Department of Computer Science, The Graduate Center,City College and Graduate Center, City University of New York, New York, NY, USA"; Department of Computer Engineering, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; School of Computer Science, Cardiff University, UK; Department of Computer Science, The Graduate Center,City College and Graduate Center, City University of New York, New York, NY, USA; Department of Computing Science, University of Aberdeen, UK; Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA;" School of Computer Science, Cardiff University, UK"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Sep 2010"",""2010"",""21"",""11"",""1692"",""1705"",""When a sensor network is deployed in the field it is typically required to support multiple simultaneous missions, which may start and finish at different times. Schemes that match sensor resources to mission demands thus become necessary. In this paper, we consider new sensor-assignment problems motivated by frugality, i.e., the conservation of resources, for both static and dynamic settings. In the most general setting, the problems we study are NP-hard even to approximate, and so we focus on heuristic algorithms that perform well in practice. In the static setting, we propose a greedy centralized solution and a more sophisticated solution that uses the Generalized Assignment Problem model and can be implemented in a distributed fashion. In what we call the dynamic setting, missions arrive over time and have different durations. For this setting, we give heuristic algorithms in which available sensors propose to nearby missions as they arrive. We find that the overall performance can be significantly improved if available sensors sometimes refuse to offer utility to missions they could help, making this decision based on the value of the mission, the sensor's remaining energy, and (if known) the remaining target lifetime of the network. Finally, we evaluate our solutions through simulations."",""1558-2183"","""",""10.1109/TPDS.2010.36"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416696"",""Wireless sensor networks";resource allocation;"mission assignment."",""Computer science";Heuristic algorithms;Resource management;Batteries;Waste materials;Monitoring;Cameras;Information geometry;"Costs"","""",""23"","""",""24"",""IEEE"",""18 Feb 2010"","""","""",""IEEE"",""IEEE Journals""";;;;
"Snoogle: A Search Engine for Pervasive Environments,""H. Wang"; C. C. Tan;" Q. Li"",""Department of Mathematics and Computer Science, Virginia State University, Saint Petersburg, VA, USA"; Computer Science Department, College of William and Mary, Williamsburg, VA, USA;" Computer Science Department, College of William and Mary, Williamsburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jun 2010"",""2010"",""21"",""8"",""1188"",""1202"",""Embedding small devices into everyday objects like toasters and coffee mugs creates a wireless network of objects. These embedded devices can contain a description of the underlying objects, or other user defined information. In this paper, we present Snoogle, a search engine for such a network. A user can query Snoogle to find a particular mobile object, or a list of objects that fit the description. Snoogle uses information retrieval techniques to index information and process user queries, and Bloom filters to reduce communication overhead. Security and privacy protections are also engineered into Snoogle to protect sensitive information. We have implemented a prototype of Snoogle using off-the-shelf sensor motes, and conducted extensive experiments to evaluate the system performance."",""1558-2183"","""",""10.1109/TPDS.2009.145"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5226623"",""Snoogle";search;information retrieval;"sensor networks."",""Search engines";Protection;Wireless networks;Information retrieval;Information filtering;Information filters;Mobile communication;Communication system security;Information security;"Privacy"","""",""93"","""",""32"",""IEEE"",""28 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"SocioNet: A Social-Based Multimedia Access System for Unstructured P2P Networks,""K. C. -J. Lin"; C. -P. Wang; C. -F. Chou;" L. Golubchik"",""Research Center for Information Technology Innovation, Taipei, Taiwan"; Department of Computer Science, Cornell University, Ithaca, NY, USA; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan, ROC;" Department of Computer Science, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""1027"",""1041"",""Increasingly, peer-to-peer (P2P) network users expect to be able to search objects by semantic attributes based on their preferences for multimedia content. Partial match search (i.e., search through the use of multimedia content semantic information) has become an essential service in P2P systems. In this paper, we propose SocioNet, a social-based overlay that clusters peers based on their preference relationships as a small-world network. In SocioNet, peers mimic how people form a social network and how they query, by preference, their friends or acquaintances. Hence, SocioNet benefits from two desirable features of a social network: interest-based clustering and small-world properties (i.e., high cluster coefficient among all peers yet short path lengths between any two peers). To realize an interest-based small-world SocioNet, we also investigate the following practical design issues: 1) similarity estimation: we define a quantifiable similarity measure that enables clustering of similar peers in SocioNet"; 2) distributed small-world overlay adaptation: peers maintain a small-world overlay under network dynamics;" and 3) query strategy under the small-world overlay: we analyze appropriate settings for the Time-to-Live (TTL) value, for TTL-limited flooding, that provides a satisfactory success ratio and avoids redundant message overhead. We use simulations and a real database called AudioScrobbler [CHECK END OF SENTENCE], which tracks users' listening habits, to evaluate the performance of SocioNet. The results show that SocioNet assists peers in locating content at peers with similar interests through short path lengths, and hence, achieves a higher success ratio (than nonsmall-world interest-based overlays and noninterest-based small-world overlays) while reducing message overhead significantly."",""1558-2183"","""",""10.1109/TPDS.2009.134"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5210095"",""Unstructured peer-to-peer networks";content search and retrieval;overlay construction;"small-world theory."",""Multimedia systems";Peer to peer computing;Topology;Social network services;Content based retrieval;Audio databases;Internet;YouTube;Vehicles;"Control systems"","""",""41"","""",""32"",""IEEE"",""21 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Stabilization of Flood Sequencing Protocols in Sensor Networks,""Y. -r. Choi"; C. -T. Huang;" M. G. Gouda"",""Korea Institute of Science and Technology Information, Daejeon, South Korea"; Department of Computer Science and Engineering, University of South Carolina, Columbia, SC, USA;" Department of Computer Sciences, University of Texas, Austin, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""27 May 2010"",""2010"",""21"",""7"",""1042"",""1055"",""Flood is a communication primitive that can be used by the base station of a sensor network to send a copy of a message to every sensor in the network. When a sensor receives a flood message, the sensor needs to check whether it has received this message for the first time and so this message is fresh, or it has received the same message earlier and so the message is redundant. In this paper, we discuss a family of four flood sequencing protocols that use sequence numbers to distinguish between fresh and redundant flood messages. These four protocols are: a sequencing free protocol, a linear sequencing protocol, a circular sequencing protocol, and a differentiated sequencing protocol. We analyze the self-stabilization properties of these four flood sequencing protocols. We also compare the performance of these flood sequencing protocols, using simulation, over various settings of sensor networks. We conclude that the differentiated sequencing protocol has better stabilization property and provides better performance than those of the other three protocols."",""1558-2183"","""",""10.1109/TPDS.2009.126"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5196667"",""Self-stabilization";flood sequencing protocol;sequence numbers;"sensor networks."",""Protocols";Floods;Base stations;Upper bound;Convergence;Broadcasting;"Computational modeling"","""",""1"","""",""29"",""IEEE"",""7 Aug 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
