"2014 Reviewers List,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2014"",""2015"",""26"",""1"",""282"",""290"",""Lists the reviewers who contributed to IEEE Transactions on Parallel and Distributed Systems in 2014."",""1558-2183"","""",""10.1109/TPDS.2014.2368792"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6979387"","""",""IEEE publishing"","""","""","""","""",""IEEE"",""9 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"A Cloud-Friendly RFID Trajectory Clustering Algorithm in Uncertain Environments,""Y. Wu"; H. Shen;" Q. Z. Sheng"",""School of Computer and Information Technology, Beijing Jiaotong University, Beijing, China"; School of Information Science and Technology, University of Adelaide, Adelaide, Australia;" School of Computer Science, University of Adelaide, Adelaide, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Jul 2015"",""2015"",""26"",""8"",""2075"",""2088"",""In the emerging environment of the Internet of Things (IoT), through the connection of billions of radio frequency identification (RFID) tags and sensors to the Internet, applications will generate an unprecedented number of transactions and amount of data that require novel approaches in mining useful information from RFID trajectories. RFID data usually contain a considerable degree of uncertainty caused by various factors such as hardware flaws, transmission faults and environment instability. In this paper, we propose an efficient clustering algorithm that is much less sensitive to noise and outliers than the existing methods. To better facilitate the emerging cloud computing resources, our algorithm is designed cloud-friendly so that it can be easily adopted in a cloud environment. The scalability and efficiency of the proposed algorithm are demonstrated through an extensive set of experimental studies."",""1558-2183"","""",""10.1109/TPDS.2014.2347286"",""National Science Foundation of China(grant numbers:#61170232)"; State Key Laboratory of Rail Traffic Control and Safety Research(grant numbers:RS2012K011); Australian Research Council(grant numbers:LP100200114); Discovery Project(grant numbers:DP130104614);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6877686"",""Internet of Things";radio frequency identification (RFID);uncertainty;clustering algorithm;"cloud computing"",""Radiofrequency identification";Trajectory;Clustering algorithms;Probabilistic logic;Algorithm design and analysis;"Data mining"","""",""15"","""",""41"",""IEEE"",""13 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Optimal Online Multi-Instance Acquisition in IaaS Clouds,""W. Wang"; B. Liang;" B. Li"",""Department of Electrical and Computer Engineering, University of Toronto, Toronto,, Canada"; Department of Electrical and Computer Engineering, University of Toronto, Toronto,, Canada;" Department of Electrical and Computer Engineering, University of Toronto, Toronto,, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2015"",""2015"",""26"",""12"",""3407"",""3419"",""Infrastructure-as-a-service (IaaS) clouds offer diverse instance purchasing options. A user can either run instances on demand and pay only for what it uses, or it can prepay to reserve instances for a long period, during which a usage discount is entitled. An important problem facing a user is how these two instance options can be dynamically combined to serve time-varying demands at minimum cost. Existing strategies in the literature, however, require either exact knowledge or the distribution of demands in the long-term future, which significantly limits their use in practice. Unlike existing works, we propose two practical online algorithms, one deterministic and another randomized, that dynamically combine the two instance options online without any knowledge of the future. We show that the proposed deterministic (resp., randomized) algorithm incurs no more than 2 - α (resp., e/(e-1 + α)) times the minimum cost obtained by an optimal offline algorithm that knows the exact future a priori, where a is the entitled discount after reservation. Our online algorithms achieve the best possible competitive ratios in both the deterministic and randomized cases, and can be easily extended to cases when short-term predictions are reliable. Simulations driven by a large volume of real-world traces show that significant cost savings can be achieved with prevalent IaaS prices."",""1558-2183"","""",""10.1109/TPDS.2014.2385697"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6995955"",""IaaS cloud computing";cost management;reserved instance;multi-instance reservation;online algorithm;IaaS cloud computing;cost management;reserved instance;multi-instance reservation;"online algorithm"",""Cloud computing";Algorithm design and analysis;Heuristic algorithms;Prediction algorithms;Equations;"Dynamic programming"","""",""26"",""1"",""35"",""IEEE"",""23 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Optimal Threshold Policy for In-Home Smart Grid with Renewable Generation Integration,""G. -R. Liu"; P. Lin; Y. Fang;" Y. -B. Lin"",""Wireless Broadband Communication Protocol Cross-Campus Research Center, National Sun Yat-Sen University, Kaohsiung, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University, No. 1 Sec. 4 Roosevelt Rd., Taipei, Taiwan; Department of Electrical and Computer Engineering, University of Florida, 435 Engineering Building, Gainesville, FL 32611;" Department of Computer Science, National Chiao Tung University, Hsinchu 300, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Mar 2015"",""2015"",""26"",""4"",""1096"",""1105"",""In-home Smart Grid (SG), the integration of Renewable Power Systems (RPSs) with Conventional Power Systems (CPSs), calls for cost-effective management for the electricity usages of end users' household appliances. In this paper, by taking the charging process of RPSs and multiple types of household appliances in to consideration, we have developed analytical models to characterize the electricity cost in the in-home smart grid. Based on these models, we formulate the electricity cost minimization problem as a finite-horizon continuous-time Markov decision process (CTMDP), from which we obtain a threshold policy to minimize the cost. Numerical results show that the threshold policy can manage the electricity usage very effectively."",""1558-2183"","""",""10.1109/TPDS.2014.2317171"",""National Science Council(grant numbers:102W944,102-EC-17-A-03-S1-214)"; National Science Council of Taiwan(grant numbers:102-2219-E-002-018); Ministry of Economic Affairs of Taiwan(grant numbers:102-EC-17-A-03-S1-214); Chunghwa Telecom; ICL/ITRI; III; US National Science Foundation(grant numbers:CNS-1147813); NSC(grant numbers:102-2221-E-009-056); NSC(grant numbers:103-2218-E-009-010); Academia Sinica(grant numbers:AS-102-TP-A06); Chunghwa Telecom; ITRI/NCTU; ICL/ITRI; Department of Industrial Technology; Academic Technology Development(grant numbers:102-EC-17-A-03-S1-193);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6797861"",""Continuous-time Markov decision process";conventional power system;in-home smart grid;"renewable power system"",""Power demand";Electricity;Home appliances;Biomedical monitoring;Analytical models;"Batteries"","""",""10"","""",""22"",""IEEE"",""14 Apr 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Optimising Performance through Unbalanced Decompositions,""A. Jackson"; J. Hein;" C. Roach"",""EPCC, The University of Edinburgh, Kings Buildings, Mayfield Road, Edinburgh EH9 3JZ, U.K"; Lunds Universitet, Box 118, 221 00 Lund, Sweden;" Culham Science Centre, EURATOM/CCFE Fusion Association, Abingdon, Oxon, Oxfordshire OX14 3DB, U.K."",""IEEE Transactions on Parallel and Distributed Systems"",""7 Sep 2015"",""2015"",""26"",""10"",""2863"",""2873"",""When significant communication costs arise in the solution of multidimensional problems on parallel computers, optimal performance cannot always be achieved by perfectly balancing the computational load across cores. Modest sacrifices in the computational load balance may facilitate substantial overall performance improvements by achieving large savings in the costs associated with communications. This general approach is illustrated by application to GS2, an initial value gyrokinetic simulation code developed to study low-frequency turbulence in magnetized plasma. GS2 is parallelised using MPI with the simulation domain decomposed across tasks. The optimal domain decomposition is non-trivial, and is complicated by the fact that several domain decompositions are needed and that these do not all optimise at the chosen task count. Application to GS2, of the novel approach outlined in this paper, has improved performance by up to 17 percent for a representative simulation. Similar strategies may be beneficial in a broader class of problems."",""1558-2183"","""",""10.1109/TPDS.2014.2351826"",""EPSRC"; HEC(grant numbers:EP/L000237/1); European Union’s Horizon 2020 research and innovation programme(grant numbers:633053); RCUK(grant numbers:EP/I501045); EPSRC(grant numbers:EP/H00212X/1); EPSRC(grant numbers:EP/H002081/1); EPSRC(grant numbers:EP/J004839/1);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6883171"",""Distributed";parallel algorithms;applications;nonlinear programming;linear programming;"physics"",""Layout";Computational modeling;Indexes;Plasmas;Benchmark testing;Mathematical model;"Load modeling"","""","""","""",""27"",""IEEE"",""26 Aug 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Optimizing Task and Data Assignment on Multi-Core Systems with Multi-Port SPMs,""S. Gu"; Q. Zhuge; J. Yi; J. Hu;" E. H. -M. Sha"",""College of Computer Science, Chongqing University, Chongqing, China"; College of Computer Science, Chongqing University and the Key Laboratory of Dependable Service Computing in Cyber Physical Society, Ministry of Education, Chongqing, China; College of Computer Science, Chongqing University, Chongqing, China; School of Electrical and Computer Engineering, Oklahoma State University, Stillwater, OK;" College of Computer Science, Chongqing University and the Key Laboratory of Dependable Service Computing in Cyber Physical Society, Ministry of Education, Chongqing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2015"",""2015"",""26"",""9"",""2549"",""2560"",""Multi-core processors have been adopted in modern embedded systems to meet the ever increasing performance requirements. Scratchpad memory (SPM), a software-controlled on-chip memory, has been used in embedded systems as an alternative to hardware-controlled cache due to its advantage in die area, power consumption, and timing predictability. SPMs in multi-core systems can be accessed by both local core and remote cores. In order to alleviate data contention on a SPM unit, multi-port SPMs are employed in multi-core systems. In such systems, proper task scheduling and data assignment can significantly improve the overall performance by exploring the parallelism of computation tasks and concurrent data accesses on SPMs. Since scheduling for multi-core systems is NP-Complete in general. In this paper, we propose an ILP formulation to optimally determine the task scheduling and data assignment on multi-core systems with multi-port SPMs. Since ILP takes exponential time to finish, we also propose a heuristic method, including the task assignment with remote access reduced (TARAR) algorithm and the minimum memory access cost (MMAC) algorithm, to obtain near optimal solutions within polynomial time. According to the experimental results, the ILP formulation can improve the system performance by 23.02 percent over the HAFF algorithm on average, while the heuristic algorithm can improve the system performance by 16.48 percent over HAFF on average."",""1558-2183"","""",""10.1109/TPDS.2014.2356194"",""National 863 Program(grant numbers:2013AA013202)"; Chongqing High-Tech Research Program(grant numbers:csct2012ggC40005); NSFC(grant numbers:61173014); NSFC(grant numbers:61472052);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6894167"",""Task scheduling";data assignment;scheduling;multi-core systems;"multi-port SPMs"",""Schedules";Heuristic algorithms;Multicore processing;Optimal scheduling;Clocks;"System-on-chip"","""",""13"","""",""37"",""IEEE"",""8 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Parallel and High-Speed Computations of Elliptic Curve Cryptography Using Hybrid-Double Multipliers,""R. Azarderakhsh";" A. Reyhani-Masoleh"",""Department of Computer Engineering, Rochester Institute of Technology, Rochester, New York";" Department of Electrical and Computer Engineering, The University of Western Ontario, London, ON, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2015"",""2015"",""26"",""6"",""1668"",""1677"",""High-performance and fast implementation of point multiplication is crucial for elliptic curve cryptographic systems. Recently, considerable research has investigated the implementation of point multiplication on different curves over binary extension fields. In this paper, we propose efficient and high speed architectures to implement point multiplication on binary Edwards and generalized Hessian curves. We perform a data-flow analysis and investigate maximum number of parallel multipliers to be employed to reduce the latency of point multiplication on these curves. Then, we modify the addition and doubling formulations and employ a newly proposed digit-level hybrid-double Gaussian normal basis multiplier to remove the data dependencies and hence reduce the latency of point multiplication. To the best of our knowledge, this is the first time that one employs hybrid-double multiplication technique to reduce the computation time of point multiplication. Moreover, we have implemented our proposed architectures for point multiplication on FPGA and obtained the results of timing and area. Our results indicate that the proposed scheme is one step forward to improve the performance of point multiplication on binary Edward and generalized Hessian curves."",""1558-2183"","""",""10.1109/TPDS.2014.2323062"",""Natural Sciences and Engineering Council";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6814322"",""Elliptic curve cryptography (ECC)";double-hybrid multiplier;binary Edwards curves;generalized Hessian curves;"Gaussian normal basis"",""Gaussian processes";Elliptic curve cryptography;Clocks;Computer architecture;Elliptic curves;"Logic gates"","""",""35"","""",""38"",""IEEE"",""12 May 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parallel Application Signature for Performance Analysis and Prediction,""A. Wong"; D. Rexachs;" E. Luque"",""Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain"; Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain;" Computer Architecture and Operating System Department, Universitat Autonoma de Barcelona, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2015"",""2015"",""26"",""7"",""2009"",""2019"",""Predicting the performance of parallel scientific applications is becoming increasingly complex. Our goal was to characterize the behavior of message-passing applications on different target machines. To achieve this goal, we developed a method called parallel application signature for performance prediction (PAS2P), which strives to describe an application based on its behavior. Based on the application's message-passing activity, we identified and extracted representative phases, with which we created a parallel application signature that enabled us to predict the application's performance. We experimented with using different scientific applications on different clusters. We were able to predict execution times with an average accuracy greater than 97 percent."",""1558-2183"","""",""10.1109/TPDS.2014.2329688"",""MEC-MINECO-MICINN Spain(grant numbers:TIN2007-64974,TIN2011-24384)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6827943"",""Parallel application";performance prediction;"application signature"",""Prediction algorithms";Instruments;Benchmark testing;Data mining;Clocks;Visualization;"Libraries"","""",""35"","""",""30"",""OAPA"",""9 Jun 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parallel Architectures for Learning the RTRN and Elman Dynamic Neural Networks,""J. Bilski";" J. Smoląg"",""Częstochowa University of Technology, Częstochowa, Poland";" Częstochowa University of Technology, Częstochowa, Poland"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Aug 2015"",""2015"",""26"",""9"",""2561"",""2570"",""A major problem encountered by researchers of dynamic neural networks is the computational complexity increasing the learning time. In this paper the parallel realization of the RTRN and the Elman networks are discussed. Both networks are examples of dynamic neural networks. Inherent parallelism of dynamic neural networks has been employed to accelerate the learning process. The proposed solution is based on a highly parallel three dimensional architecture to speed up the learning performance. The presented structures are suitable for efficient parallel realization in digital hardware or vector processors."",""1558-2183"","""",""10.1109/TPDS.2014.2357019"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6898879"",""Parallel architectures";recurrent neural networks;"supervised learning"",""Biological neural networks";Neurons;Parallel processing;Computer architecture;Heuristic algorithms;"Vectors"","""",""43"","""",""28"",""IEEE"",""15 Sep 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parallel Construction of Independent Spanning Trees on Enhanced Hypercubes,""J. -S. Yang"; J. -M. Chang; K. -J. Pai;" H. -C. Chan"",""Department of Information Management, National Taipei University of Business, Taipei, Taiwan, ROC"; Institute of Information and Decision Sciences, National Taipei University of Business, Taipei, Taiwan, ROC; Department of Industrial Engineering and Management Ming Chi University of Technology, New Taipei City, Taiwan, ROC;" Department of Computer Science and Information Engineering, Yuanpei University, Hsinchu, Taiwan, ROC"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Oct 2015"",""2015"",""26"",""11"",""3090"",""3098"",""The use of multiple independent spanning trees (ISTs) for data broadcasting in networks provides a number of advantages, including the increase of fault-tolerance, bandwidth and security. Thus, the designs of multiple ISTs on several classes of networks have been widely investigated. In this paper, we give an algorithm to construct ISTs on enhanced hypercubes Qn,k, which contain folded hypercubes as a subclass. Moreover, we show that these ISTs are near optimal for heights and path lengths. Let D(Qn,k) denote the diameter of Qn,k. If n - k is odd or n - k ∈ {2";" n}, we show that all the heights of ISTs are equal to D(Qn,k) + 1, and thus are optimal. Otherwise, we show that each path from a node to the root in a spanning tree has length at most D(Qn,k) + 2. In particular, no more than 2.15 percent of nodes have the maximum path length. As a by-product, we improve the upper bound of wide diameter (respectively, fault diameter) of Qn,k from these path lengths."",""1558-2183"","""",""10.1109/TPDS.2014.2367498"",""Ministry of Science and Technology, Taiwan, ROC(grant numbers:MOST103-2221-E-141-003,MOST103-2221-E-141-001,MOST103-2221-E-131-030)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6948321"",""independent spanning trees";interconnection networks;enhanced hypercubes;folded hypercubes;wide diameter;fault diameter;Independent spanning trees;interconnection networks;enhanced hypercubes;folded hypercubes;wide diameter;"fault diameter"",""Hypercubes";Vegetation;Fault tolerance;Fault tolerant systems;Educational institutions;Electronic mail;"Broadcasting"","""",""30"","""",""32"",""IEEE"",""5 Nov 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Parallel Multiobjective Metaheuristics for Inferring Phylogenies on Multicore Clusters,""S. Santander-Jiménez";" M. A. Vega-Rodríguez"",""Department of Computer and Communications Technologies, University of Extremadura, Escuela Politécnica, Campus Universitario s/n, Caceres, Spain";" Department of Computer and Communications Technologies, University of Extremadura, Escuela Politécnica, Campus Universitario s/n, Caceres, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2015"",""2015"",""26"",""6"",""1678"",""1692"",""The development of efficient parallel algorithms based on mixed mode programming represents one of the most popular lines of research in current bioinformatics. By exploiting hardware resources at inter-node/intra-node level, we can address grand computational challenges which involve the optimization of multiple objective functions simultaneously. In this sense, the inference of evolutionary trees represents one of the most difficult NP-hard problems in the field. Tackling such a problem requires efficient parallel designs to take advantage of the characteristics of modern multicore clusters. In this paper, we aim to solve the phylogenetic inference problem by applying MPI/OpenMP schemes to two multiobjective metaheuristics: fast non-dominated sorting genetic algorithm and multiobjective firefly algorithm. In order to assess the performance achieved by these proposals under different system and problem sizes, we have conducted experiments on six real nucleotide data sets according to a statistical methodology. Our parallel and multiobjective metrics point out the relevance of combining hybrid programming and novel bioinspired designs with regard to other parallel and biological approaches from the literature."",""1558-2183"","""",""10.1109/TPDS.2014.2325828"",""Ministry of Economy and Competitiveness(grant numbers:TIN2012-30685)"; ERDF(grant numbers:TIN2012-30685); Spanish Government(grant numbers:FPU12/04101);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6819075"",""Parallel algorithms";hybrid systems;biology and genetics;"performance evaluation of algorithms and systems"",""Phylogeny";Sociology;Statistics;Bioinformatics;Optimization;"Linear programming"","""",""11"","""",""49"",""IEEE"",""20 May 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parallel Processing of Dynamic Continuous Queries over Streaming Data Flows,""Z. Deng"; X. Wu; L. Wang; X. Chen; R. Ranjan; A. Zomaya;" D. Chen"",""School of Computer Science, China University of Geosciences, Wuhan, P.R.China"; School of Computer Science, China University of Geosciences, Wuhan, P.R.China; School of Computer Science, China University of Geosciences, Wuhan, P.R.China; School of Computer Science, China University of Geosciences, Wuhan, P.R.China; ICT Centre, CSIRO, Australia; School of Information Technologies, The University of Sydney, Sydney, Australia;" School of Computer Science, China University of Geosciences, Wuhan, P.R.China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Feb 2015"",""2015"",""26"",""3"",""834"",""846"",""More and more real-time applications need to handle dynamic continuous queries over streaming data of high density. Conventional data and query indexing approaches generally do not apply for excessive costs in either maintenance or space. Aiming at these problems, this study first proposes a new indexing structure by fusing an adaptive cell and KDB-tree, namely CKDB-tree. A cell-tree indexing approach has been developed on the basis of the CKDB-tree that supports dynamic continuous queries. The approach significantly reduces the space costs and scales well with the increasing data size. Towards providing a scalable solution to filtering massive steaming data, this study has explored the feasibility to utilize the contemporary general-purpose computing on the graphics processing unit (GPGPU). The CKDB-tree-based approach has been extended to operate on both the CPU (host) and the GPU (device). The GPGPU-aided approach performs query indexing on the host while perform streaming data filtering on the device in a massively parallel manner. The two heterogeneous tasks execute in parallel and the latency of streaming data transfer between the host and the device is hidden. The experimental results indicate that (1) CKDB-tree can reduce the space cost comparing to the cell-based indexing structure by 60 percent on average, (2) the approach upon the CKDB-tree outperforms the traditional counterparts upon the KDB-tree by 66, 75 and 79 percent in average for uniform, skewed and hyper-skewed data in terms of update costs, and (3) the GPGPU-aided approach greatly improves the approach upon the CKDB-tree with the support of only a single Kepler GPU, and it provides real-time filtering of streaming data with 2.5M data tuples per second. The massively parallel computing technology exhibits great potentials in streaming data monitoring."",""1558-2183"","""",""10.1109/TPDS.2014.2311811"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6767134"",""Streaming data";cell-tree query indexing structure;KDB-Tree;big data computing;data-intensive computing;"GPGPU"",""Indexing";Graphics processing units;Monitoring;Maintenance engineering;Computer architecture;"Real-time systems"","""",""30"","""",""33"",""EU"",""14 Mar 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Parallel Simulation of Complex Evacuation Scenarios with Adaptive Agent Models,""D. Chen"; L. Wang; A. Y. Zomaya; M. Dou; J. Chen; Z. Deng;" S. Hariri"",""School of Computer, Wuhan University, Wuhan, Hubei, China"; School of Computer Science, China University of Geosciences, Wuhan, Hubei, China; School of Information Technologies, The University of Sydney, Sydney, NSW, Australia; School of Computer Science, China University of Geosciences, Wuhan, Hubei, China; National Engineering Center for E-Learning, Central China Normal University, Wuhan, Hubei; School of Computer Science, China University of Geosciences, Wuhan, Hubei, China;" Department of Electrical and Computer Engineering, The University of Arizona, Tucson, AZ"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Feb 2015"",""2015"",""26"",""3"",""847"",""857"",""Simulation study on evacuation scenarios has gained tremendous attention in recent years. Two major research challenges remain along this direction: (1) how to portray the effect of individuals' adaptive behaviors under various situations in the evacuation procedures and (2) how to simulate complex evacuation scenarios involving huge crowds at the individual level due to the ultrahigh complexity of these scenarios. In this study, a simulation framework for general evacuation scenarios has been developed. Each individual in the scenario is modeled as an adaptable and autonomous agent driven by a weight-based decision-making mechanism. The simulation is intended to characterize the individuals' adaptable behaviors, the interactions among individuals, among small groups of individuals, and between the individuals and the environment. To handle the second challenge, this study adopts GPGPU to sustain massively parallel modeling and simulation of an evacuation scenario. An efficient scheme has been proposed to minimize the overhead to access the global system state of the simulation process maintained by the GPU platform. The simulation results indicate that the “adaptability” in individual behaviors has a significant influence on the evacuation procedure. The experimental results also exhibit the proposed approach's capability to sustain complex scenarios involving a huge crowd consisting of tens of thousands of individuals."",""1558-2183"","""",""10.1109/TPDS.2014.2311805"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6774442"",""Adaptive agents";parallel modeling and simulation;evacuation;crowd behavior;"general-purpose computation on graphics processing units"",""Adaptation models";Computational modeling;Graphics processing units;Decision making;Educational institutions;Adaptive systems;"Context modeling"","""",""42"","""",""26"",""IEEE"",""17 Mar 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Parallelization Hints via Code Skeletonization,""C. Aguston"; Y. B. Asher;" G. Haber"",""Department of Computer Science, University of Haifa, Haifa, Israel"; Department of Computer Science, University of Haifa, Haifa, Israel;" Intel IDC, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Oct 2015"",""2015"",""26"",""11"",""3099"",""3107"",""Tools that provide optimization hints for program developers are facing severe obstacles and often unable to provide meaningful guidance on how to parallelize real-life applications. The main reason is due to the high code complexity and its large size when considering commercially valuable code. Such code is often rich with pointers, heavily nested conditional statements, nested while-based loops, function calls, etc. These constructs prevent existing compiler analysis from extracting the full parallelization potential. We propose a new paradigm to overcome this issue by automatically transforming the code' into a much simpler skeleton-like form that is more conductive for auto-parallelization. We then apply existing tools of source-level automatic parallelization on the skeletonized code in order to expose possible parallelization patterns. The skeleton code, along with the parallelized version, are then provided to the programmer in the form of an Integrated Development Environment (IDE) recommendation. The proposed skeletonization algorithm replaces pointers by integer indexes and C-struct references by references to multi-dimensional arrays. For example, the loop while(p ≠ NULL) {p → val + +"; p = p → next;} will be skeletonized to: for(Ip = 0; Ip <; N; Ip + +){Aval[Ip] + +;"} where Aval[] holds the embedding of the original list. Consequently, the main goal of the skeletonization process is to embed pointer-based data structures into arrays. Though the skeletonized code is not semantically equivalent to the original code, it suggests a possible parallelization pattern for the selected code segment and can be used as an effective parallelization hint to the programmer. We applied the method on the SPEC CPU benchmarks and the skeletonization process detected 27 percent additional loops that can be parallelized/vectorized on top of the compiler auto-parallelizer/vectorizer. A performance gain of up to 45 percent was measured for benchmarks that were manually parallelized based on the generated skeleton code."",""1558-2183"","""",""10.1109/TPDS.2014.2371463"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6987337"",""Program skeletons, parallelization, parallel programming"",""Arrays";Indexes;Skeleton;Shape;Optimization;"Parallel processing"","""",""1"","""",""22"",""IEEE"",""18 Dec 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Patient Infusion Pattern based Access Control Schemes for Wireless Insulin Pump System,""X. Hei"; X. Du; S. Lin; I. Lee;" O. Sokolsky"",""Department of Computer Science and Information Technologies, Frostburg State University, Frostburg, MD, USA"; Department of Computer and Information Sciences, Temple University, Philadelphia, PA, USA; Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY, USA; Department of Computer and Information Science, University of Pennsylvania, Philadelphia, PA, USA;" Department of Computer and Information Science, University of Pennsylvania, Philadelphia, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Oct 2015"",""2015"",""26"",""11"",""3108"",""3121"",""Wireless insulin pumps have been widely deployed in hospitals and home healthcare systems. Most of them have limited security mechanisms embedded to protect them from malicious attacks. In this paper, two attacks against insulin pump systems via wireless links are investigated: a single acute overdose with a significant amount of medication and a chronic overdose with a small amount of extra medication over a long time period. They can be launched unobtrusively and may jeopardize patients' lives. It is very urgent to protect patients from these attacks. We propose a novel personalized patient infusion pattern based access control scheme (PIPAC) for wireless insulin pumps. This scheme employs supervised learning approaches to learn normal patient infusion patterns in terms of the dosage amount, rate, and time of infusion, which are automatically recorded in insulin pump logs. The generated regression models are used to dynamically configure a safe infusion range for abnormal infusion identification. This model includes two sub models for bolus (one type of insulin) abnormal dosage detection and basal abnormal rate detection. The proposed algorithms are evaluated with real insulin pump. The evaluation results demonstrate that our scheme is able to detect the two attacks with a very high success rate."",""1558-2183"","""",""10.1109/TPDS.2014.2370045"",""US NSF(grant numbers:CNS-0963578,CNS-1022552,CNS-1065444,IIS-1231680,CNS-1239108,CNS-1035715)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6954561"",""wireless insulin pump";implantable medical devices;access control;infusion pattern;patient safety;Wireless insulin pump;implantable medical devices;access control;infusion pattern;"patient safety"",""Insulin";Wireless communication;Communication system security;Wireless sensor networks;Diabetes;Access control;"Universal Serial Bus"","""",""37"","""",""37"",""IEEE"",""12 Nov 2014"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
