"3D Perception With Slanted Stixels on GPU,""D. Hernandez-Juarez"; A. Espinosa; D. Vazquez; A. M. Lopez;" J. C. Moure"",""SLAMcore Ltd., London, SE1 1JA, U.K."; Universitat Autonoma de Barcelona, Bellaterra, Spain; Element AI, Montreal, QC, Canada; Universitat Autonoma de Barcelona, Bellaterra, Spain;" Universitat Autonoma de Barcelona, Bellaterra, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Apr 2021"",""2021"",""32"",""10"",""2434"",""2447"",""This article presents a GPU-accelerated software design of the recently proposed model of Slanted Stixels, which represents the geometric and semantic information of a scene in a compact and accurate way. We reformulate the measurement depth model to reduce the computational complexity of the algorithm, relying on the confidence of the depth estimation and the identification of invalid values to handle outliers. The proposed massively parallel scheme and data layout for the irregular computation pattern that corresponds to a Dynamic Programming paradigm is described and carefully analyzed in performance terms. Performance is shown to scale gracefully on current generation embedded GPUs. We assess the proposed methods in terms of semantic and geometric accuracy as well as run-time performance on three publicly available benchmark datasets. Our approach achieves real-time performance with high accuracy for 2048 × 1024 image sizes and 4 × 4 Stixel resolution on the low-power embedded GPU of an NVIDIA Tegra Xavier."",""1558-2183"","""",""10.1109/TPDS.2021.3067836"",""Ministerio de Economía, Industria y Competitividad(grant numbers:TIN2017-84553-C2-1-R)"; Antonio M. López(grant numbers:TIN2017-88709-R);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382880"",""Stereo vision";stixel world;autonomous vehicles;scene understanding;computer vision;embedded systems;"GPU acceleration"",""Graphics processing units";Semantics;Computational modeling;Real-time systems;Mathematical model;Image segmentation;"Indexes"","""","""","""",""34"",""CCBY"",""22 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Rings for Privacy: An Architecture for Large Scale Privacy-Preserving Data Mining,""M. L. Merani"; D. Croce;" I. Tinnirello"",""Dipartimento di Ingegneria “Enzo Ferrari”, University of Modena and Reggio Emilia, Modena, Italy"; Engineering Dept., University of Palermo, Palermo, Italy;" Engineering Dept., University of Palermo, Palermo, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""20 Jan 2021"",""2021"",""32"",""6"",""1340"",""1352"",""This article proposes a new architecture for privacy-preserving data mining based on Multi Party Computation (MPC) and secure sums. While traditional MPC approaches rely on a small number of aggregation peers replacing a centralized trusted entity, the current study puts forth a distributed solution that involves all data sources in the aggregation process, with the help of a single server for storing intermediate results. A large-scale scenario is examined and the possibility that data become inaccessible during the aggregation process is considered, a possibility that traditional schemes often neglect. Here, it is explicitly examined, as it might be provoked by intermittent network connectivity or sudden user departures. For increasing system reliability, data sources are organized in multiple sets, called rings, which independently work on the aggregation process. Two different protocol schemes are proposed and their failure probability, i.e., the probability that the data mining output cannot guarantee the desired level of accuracy, is analytically modeled. The privacy degree, the communication cost and the computational complexity that the schemes exhibit are also characterized. Finally, the new protocols are applied to some specific use cases, demonstrating their feasibility and attractiveness."",""1558-2183"","""",""10.1109/TPDS.2021.3049286"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9314057"",""Privacy";secret sharing;data mining;secure multi-party computation;"C-means"",""Peer-to-peer computing";Protocols;Servers;Privacy;Distributed databases;Computer architecture;"Data privacy"","""",""4"","""",""30"",""IEEE"",""5 Jan 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rusty: Runtime Interference-Aware Predictive Monitoring for Modern Multi-Tenant Systems,""D. Masouros"; S. Xydis;" D. Soudris"",""Department of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece"; Department of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece;" Department of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""18 Aug 2020"",""2021"",""32"",""1"",""184"",""198"",""Modern micro-service and container-based cloud-native applications have leveraged multi-tenancy as a first class system design concern. The increasing number of co-located services/workloads into server facilities stresses resource availability and system capability in an unconventional and unpredictable manner. To efficiently manage resources in such dynamic environments, run-time observability and forecasting are required to capture workload sensitivities under differing interference effects, according to applied co-location scenarios. While several research efforts have emerged on interference-aware performance modelling, they are usually applied at a very coarse-grained manner e.g., estimating the overall performance degradation of an application, thus failing to effectively quantify, predict or provide educated insights on the impact of continuous runtime interference on per-resource allocations. In this paper, we present Rusty, a predictive monitoring system that leverages the power of Long Short-Term Memory networks to enable fast and accurate runtime forecasting of key performance metrics and resource stresses of cloud-native applications under interference. We evaluate Rusty under a diverse set of interference scenarios for a plethora of representative cloud workloads, showing that Rusty i) achieves extremely high prediction accuracy, average R2 value of 0.98, ii) enables very deep prediction horizons retaining high accuracy, e.g., R2 of around 0.99 for a horizon of 1 sec ahead and around 0.94 for an horizon of 5 sec ahead, while iii) satisfying, at the same time, the strict latency constraints required to make Rusty practical for continuous predictive monitoring at runtime."",""1558-2183"","""",""10.1109/TPDS.2020.3013948"",""European Union's Horizon 2020 Research and Innovation programme(grant numbers:825061)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9158547"",""predictive monitoring";system predictability;LSTM networks;interference aware;"multi-tenant systems"",""Monitoring";Interference;Runtime;Resource management;Measurement;Degradation;"Servers"","""",""23"","""",""88"",""IEEE"",""4 Aug 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Scalable Energy Games Solvers on GPUs,""A. Formisano"; R. Gentilini;" F. Vella"",""Università di Udine, Udine, Italy"; Università di Perugia, Perugia, Italy;" Free University of Bozen, Bolzano, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jun 2021"",""2021"",""32"",""12"",""2970"",""2982"",""Modeling the consumption of limited resources, e.g., time or energy, plays a central role on the design of reactive systems such as embedded controllers. To this aim, quantitative objectives are defined on game arenas that can be easily modeled as weighted graphs. Instances of these games, called energy games, can be solved in ${\mathcal {O}(\vert {E}\vert {\cdot }\vert {V}\vert {\cdot }W)}$   O ( | E | · | V | · W )    where $W$  W   is the maximum weight. Recent work has demonstrated that sequential implementations hardly solve practical instances due to their size and the number of interactions required to converge to a solution. Recent work has demonstrated that sequential implementations hardly solve practical instances. Furthermore, emerging approaches, that have investigated the parallelism of CPUs multi-core and GPU for solving the initial credit problem for energy games, still perform poorly due to the non-trivial characteristics of these graphs. In this article we first describe a revised version of the algorithm on multi-core CPU that obtains a faster convergence time on real-world graphs with up to 30x against the serial implementation by showing good scalability overall. Second, we provide a new GPU-based parallel implementation based on warp-level primitives that allows to reduce the time-to-solution on several instances with up to 3.6x of speed-up against traditional parallel vertex-based approaches. We also discuss a methodology to build synthetic energy games to validate the scalability of parallel algorithms on two totally different settings."",""1558-2183"","""",""10.1109/TPDS.2021.3080925"",""Libera Universit di Bolzano(grant numbers:CRC2019-IN2091)"; Istituto Nazionale di Alta Matematica Francesco Severi(grant numbers:Project INdAM-GNCS-2019);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9432723"",""Graph analytics";GPU computing;formal verification;"energy games"",""Formal verification";Robots;Energy states;Parallel architectures;Legged locomotion;Game theory;"Economics"","""",""4"","""",""29"",""IEEE"",""17 May 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"SEIZE: Runtime Inspection for Parallel Dataflow Systems,""Y. Li"; M. Interlandi; F. Psallidas; W. Wang;" C. Zaniolo"",""Department of Computer Science, University of California, Los Angeles, CA, USA"; Gray Systems Lab, Microsoft, Redmond, WA, USA; Gray Systems Lab, Microsoft, Redmond, WA, USA; Department of Computer Science, University of California, Los Angeles, CA, USA;" Department of Computer Science, University of California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Nov 2020"",""2021"",""32"",""4"",""842"",""854"",""Many Data-Intensive Scalable Computing (DISC) Systems provide easy-to-use functional APIs, and efficient scheduling and execution strategies allowing users to build concise data-parallel programs. In these systems, data transformations are concealed by exposed APIs, and intermediate execution states are masked under dataflow transitions. Consequently, many crucial features and optimizations (e.g., debugging, data provenance, runtime skew detection), which require runtime datafow states, are not well-supported. Inspired by our experience in implementing features and optimizations over DISC systems, we present SEIZE, a unified framework that enables dataflow inspection-wiretapping the data-path with listening logic-in MapReduce-style programming model. We generalize our lessons learned by providing a set of primitives defining dataflow inspection, orchestration options for different inspection granularities, and operator decomposition and dataflow punctuation strategy for dataflow intervention. We demonstrate the generality and flexibility of the approach by deploying SEIZE in both Apache Spark and Apache Flink, and by implementing a prototype runtime query optimizer for Spark. Our experiments show that, the overhead introduced by the inspection logic is most of the time negligible (less than 5 percent in Spark and 10 percent in Flink)."",""1558-2183"","""",""10.1109/TPDS.2020.3035170"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9246701"",""Parallel dataflow";runtime inspection;"user desired moments"",""Inspection";Sparks;Runtime;Programming;Data models;Task analysis;"Cluster computing"","""",""1"","""",""53"",""IEEE"",""2 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Self-Balancing Federated Learning With Global Imbalanced Data in Mobile Systems,""M. Duan"; D. Liu; X. Chen; R. Liu; Y. Tan;" L. Liang"",""Key Laboratory of Dependable Service Computing in Cyber Physical Society, the Ministry of Education, Chongqing University, Chongqing, China"; Key Laboratory of Dependable Service Computing in Cyber Physical Society, the Ministry of Education, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing in Cyber Physical Society, the Ministry of Education, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing in Cyber Physical Society, the Ministry of Education, Chongqing University, Chongqing, China; Key Laboratory of Dependable Service Computing in Cyber Physical Society, the Ministry of Education, Chongqing University, Chongqing, China;" School of Microelectronics and Communication Engineering, Chongqing University, Chongqing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Aug 2020"",""2021"",""32"",""1"",""59"",""71"",""Federated learning (FL) is a distributed deep learning method that enables multiple participants, such as mobile and IoT devices, to contribute a neural network while their private training data remains in local devices. This distributed approach is promising in the mobile systems where have a large corpus of decentralized data and require high privacy. However, unlike the common datasets, the data distribution of the mobile systems is imbalanced which will increase the bias of model. In this article, we demonstrate that the imbalanced distributed training data will cause an accuracy degradation of FL applications. To counter this problem, we build a self-balancing FL framework named Astraea, which alleviates the imbalances by 1) Z-score-based data augmentation, and 2) Mediator-based multi-client rescheduling. The proposed framework relieves global imbalance by adaptive data augmentation and downsampling, and for averaging the local imbalance, it creates the mediator to reschedule the training of clients based on Kullback-Leibler divergence (KLD) of their data distribution. Compared with FedAvg, the vanilla FL algorithm, Astraea shows +4.39 and +6.51 percent improvement of top-1 accuracy on the imbalanced EMNIST and imbalanced CINIC-10 datasets, respectively. Meanwhile, the communication traffic of Astraea is reduced by 75 percent compared to FedAvg."",""1558-2183"","""",""10.1109/TPDS.2020.3009406"",""National Natural Science Foundation of China(grant numbers:61672116,61601067,61802038,61672115)"; Chongqing High-Tech Research Key Program(grant numbers:cstc2019jscx-mbdx0063); Fundamental Research Funds for the Central Universities(grant numbers:0214005207005,2019CDJGFJSJ001); Chongqing Youth Talent Support Program; China Postdoctoral Science Foundation(grant numbers:2017M620412);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9141436"",""Federated learning";distributed machine learning;"neural networks"",""Distributed databases";Training;Machine learning;Mobile handsets;Data models;Servers;"Neural networks"","""",""146"","""",""49"",""IEEE"",""15 Jul 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Self-Stabilizing Population Protocols With Global Knowledge,""Y. Sudo"; M. Shibata; J. Nakamura; Y. Kim;" T. Masuzawa"",""Hosei University, Tokyo, Japan"; Kyushu Institute of Technology, Kitakyushu, Japan; Toyohashi University of Technology, Toyohashi, Japan; Nagoya Institute of Technology, Nagoya, Japan;" Osaka University, Osaka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jun 2021"",""2021"",""32"",""12"",""3011"",""3023"",""In the population protocol model, many problems cannot be solved in a self-stabilizing manner. However, global knowledge, such as the number of nodes in a network, sometimes enables the design of a self-stabilizing protocol for such problems. For example, it is known that we can solve the self-stabilizing leader election in complete graphs if and only if every node knows the exact number of nodes. In this article, we investigate the effect of global knowledge on the possibility of self-stabilizing population protocols in arbitrary graphs. Specifically, we clarify the solvability of the leader election problem, the ranking problem, the degree recognition problem, and the neighbor recognition problem by self-stabilizing population protocols with knowledge of the number of nodes and/or the number of edges in a network."",""1558-2183"","""",""10.1109/TPDS.2021.3076769"",""JSPS KAKENHI(grant numbers:17K19977,18K18000,18K18029,18K18031,19H04085,20H04140,20KK0232)"; JST SICORP(grant numbers:JPMJSC1606);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9420769"",""Population protocols";leader election;"self-stabilization"",""Social factors";Protocols;Statistics;Globalization;"Network systems"","""",""1"","""",""27"",""CCBY"",""3 May 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"SGD$\_$_Tucker: A Novel Stochastic Optimization Strategy for Parallel Sparse Tucker Decomposition,""H. Li"; Z. Li; K. Li; J. S. Rellermeyer; L. Chen;" K. Li"",""College of Computer Science and Electronic Engineering, Hunan University, Changsha, China"; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; College of Computer Science and Electronic Engineering, Hunan University, Changsha, China; TU Delft, Delft, Netherlands; TU Delft, Delft, Netherlands;" College of Computer Science and Electronic Engineering, Hunan University, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1828"",""1841"",""Sparse Tucker Decomposition (STD) algorithms learn a core tensor and a group of factor matrices to obtain an optimal low-rank representation feature for the High-Order, High-Dimension, and Sparse Tensor (HOHDST). However, existing STD algorithms face the problem of intermediate variables explosion which results from the fact that the formation of those variables, i.e., matrices Khatri-Rao product, Kronecker product, and matrix-matrix multiplication, follows the whole elements in sparse tensor. The above problems prevent deep fusion of efficient computation and big data platforms. To overcome the bottleneck, a novel stochastic optimization strategy (SGD Tucker) is proposed for STD which can automatically divide the high-dimension intermediate variables into small batches of intermediate matrices. Specifically, SGD Tucker only follows the randomly selected small samples rather than the whole elements, while maintaining the overall accuracy and convergence rate. In practice, SGD Tucker features the two distinct advancements over the state of the art. First, SGD Tucker can prune the communication overhead for the core tensor in distributed settings. Second, the low data-dependence of SGD Tucker enables fine-grained parallelization, which makes SGD Tucker obtaining lower computational overheads with the same accuracy. Experimental results show that SGD Tucker runs at least 2X faster than the state of the art."",""1558-2183"","""",""10.1109/TPDS.2020.3047460"",""Swiss National Science Foundation(grant numbers:407540_167266)"; China Scholarship Council(grant numbers:CSC201906130109); National Natural Science Foundation of China(grant numbers:61751204); National Natural Science Foundation of China(grant numbers:61625202); National Natural Science Foundation of China(grant numbers:61860206011);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9309187"",""High-order, high-dimension and sparse tensor";low-rank representation learning;machine learning algorithm;sparse tucker decomposition;stochastic optimization;"parallel strategy"",""Tensors";Sparse matrices;Optimization;Stochastic processes;Matrix decomposition;Indexes;"Data models"","""",""3"","""",""55"",""IEEE"",""25 Dec 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Silhouette: Efficient Cloud Configuration Exploration for Large-Scale Analytics,""Y. Chen"; L. Lin; B. Li; Q. Wang;" Q. Zhang"",""College of Electrical Engineering, Zhejiang University, Hangzhou, Zhejiang, China"; School of Computer Science, Wuhan University, Wuhan, Hubei, China; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; School of Cyber Science and Engineering, Wuhan University, Wuhan, Hubei, China;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Mar 2021"",""2021"",""32"",""8"",""2049"",""2061"",""Choosing the best cloud configuration for large-scale data analytics jobs deployed in the cloud can substantially improve their performance and reduce costs. However, current cloud providers offer a wide variety of instance types and customized cluster sizes, making it both time-consuming and costly to pinpoint the optimal cloud configuration. This article presents the design, implementation, and evaluation of Silhouette, a cloud configuration selection framework based on performance models for various large-scale analytics jobs with minimal training overhead. The essence of Silhouette is to build performance prediction models with carefully selected small-scale experiments on small subsets of input data to estimate the performance with entire input data on larger cluster sizes. To reduce the training time and cost, Silhouette incorporates new statistical techniques to select those experiments that yield the best possible information for performance prediction. Moreover, we develop a novel model transformer to convert a prediction model built on one instance type to a different instance type with only one extra experiment, which significantly reduces the training overhead. We evaluate Silhouette with an extensive array of large-scale data analytics jobs on Amazon EC2. Our experimental results have shown convincing evidence that Silhouette is effective in optimizing cloud configuration while saving both training time and costs compared with existing solutions."",""1558-2183"","""",""10.1109/TPDS.2021.3058165"",""National Natural Science Foundation of China(grant numbers:61972296)"; Wuhan Advanced Application Project(grant numbers:2019010701011419); National Key Research and Development Program of China(grant numbers:2020AAA0107700); National Natural Science Foundation of China(grant numbers:61822207,U20B2049); Fundamental Research Funds for the Central Universities(grant numbers:2042019kf0210); RGC(grant numbers:CERG 16204418,16203719,R8015); Natural Science Foundation of Guangdong Province(grant numbers:2017A030312008);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9351648"",""Cloud configuration";large-scale data analytics;performance prediction;"training overhead"",""Cloud computing";Predictive models;Computational modeling;Training;Data models;Analytical models;"Runtime"","""",""6"","""",""51"",""IEEE"",""9 Feb 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"SmartTuning: Selecting Hyper-Parameters of a ConvNet System for Fast Training and Small Working Memory,""X. Li"; G. Zhang;" W. Zheng"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2021"",""2021"",""32"",""7"",""1690"",""1701"",""It is desirable to deploy a ConvNet system with high inference accuracy, as well as fast training and small inference memory. However, existing approaches to hyper-parameter tuning only focus on high accuracy. Although achieving high accuracy, tuning poorly can significantly increase the performance burden, and thus degrade the overall performance of a ConvNet system. In this article, we propose SmartTuning, an approach to identifying the hyper-parameters of a ConvNet system for high training speed and small working memory, with the restriction of high inference accuracy. The key idea of SmartTuning is to build a new performance model for a ConvNet system, and to integrate Bayesian Optimization to learn the relationship between the overall performance and the hyper-parameters of a ConvNet system. In this way, SmartTuning can balance inference accuracy, training speed and inference memory usage during the tuning process, and thus maximizes the overall performance of a ConvNet system. Our experiments show that SmartTuning can stably identify the hyper-parameter sets that offer very close accuracy with faster training speed (i.e., 7×-11× over MNIST and 2×-3× over CIFAR-10) and much less inference memory usage (i.e., 17×-23× over MNIST and 4×-9× over CIFAR-10), compared with existing tuning approaches."",""1558-2183"","""",""10.1109/TPDS.2020.3040723"",""National key R&D Program of China(grant numbers:2018YFB0203902)"; National Natural Science Foundation of China(grant numbers:61672315);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271899"",""Convolutional neural network";high performance computing;hyper-parameter tuning;training speed;"working memory"",""Tuning";Training;Bayes methods;Optimization;Neural networks;Performance evaluation;"Memory management"","""",""2"","""",""60"",""IEEE"",""25 Nov 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Sova: A Software-Defined Autonomic Framework for Virtual Network Allocations,""Z. Ye"; Y. Wang; S. He; C. Xu;" X. -H. Sun"",""Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China"; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, China; State Key Laboratory of IoT for Smart City, Faculty of Science and Technology, University of Macau, Macau, China;" Department of Computer Science, Illinois Institute of Technology, Chicago, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2020"",""2021"",""32"",""1"",""116"",""130"",""With the rise of network virtualization, the workloads deployed on data center are dramatically changed to support diverse service-oriented applications, which are in general characterized by the time-bounded service response that in turn puts great burden on the data-center networks. Although there have been numerous techniques proposed to optimize the virtual network allocation in data center, the research on coordinating them in a flexible and effective way to autonomically adapt to the workloads for service time reduction is few and far between. To address these issues, in this article we propose Sova, an autonomic framework that can combine the virtual dynamic SR-IOV (DSR-IOV) and the virtual machine live migration (VLM) for virtual network allocations in data centers. DSR-IOV is a SR-IOV-based virtual network allocation technology, but its operation scope is very limited to a single physical machine, which could lead to the local hotspot issue in the course of computation and communication, likely increasing the service response time. In contrast, VLM is an often-used virtualization technique to optimize global network traffic via VM migration. Sova exploits the software-defined approach to combine these two technologies with reducing the service response time as a goal. To realize the autonomic coordination, the architecture of Sova is designed based on the MAPE-K loop in autonomic computing. With this design, Sova can adaptively optimize the network allocation between different services by coordinating DSR-IOV and VLM in autonomic way, depending on the resource usages of physical servers and the network characteristics of VMs. To this end, Sova needs to monitor the network traffic as well as the workload characteristics in the cluster, whereby the network properties are derived on the fly to direct the coordination between these two technologies. Our experiments show that Sova can exploit the advantages of both techniques to match and even beat the better performance of each individual technology by adapting to the VM workload changes."",""1558-2183"","""",""10.1109/TPDS.2020.3012146"",""National Key R&D Program of China(grant numbers:2018YFB1004804)"; National Natural Science Foundation of China(grant numbers:61672513); Science and Technology Planning Project of Guangdong Province(grant numbers:2019B010137002); Shenzhen Oversea High-Caliber Personnel Innovation Funds(grant numbers:KQCX20170331161854); Shenzhen Basic Research Program(grant numbers:JCYJ20170818153016513);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9151358"",""Virtual machine migration";dynamic SR-IOV;software-defined approach;autonomic computing;MAPE-K loop;"network allocation"",""Resource management";Bandwidth;Data centers;Servers;Virtualization;Time factors;"Quality of service"","""",""4"","""",""54"",""IEEE"",""28 Jul 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Spartan: A Sparsity-Adaptive Framework to Accelerate Deep Neural Network Training on GPUs,""S. Dong"; Y. Sun; N. B. Agostini; E. Karimi; D. Lowell; J. Zhou; J. Cano; J. L. Abellán;" D. Kaeli"",""Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA"; William & Mary, Sadler Center, Williamsburg, VA, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA; Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA; Advanced Micro Devices Inc., Santa Clara, CA, USA; Advanced Micro Devices Inc., Santa Clara, CA, USA; University of Glasgow, Glasgow, U.K.; UCAM Universidad Católica de Murcia, Murcia, Spain;" Department of Electrical and Computer Engineering, Northeastern University, Boston, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Apr 2021"",""2021"",""32"",""10"",""2448"",""2463"",""Deep Neural Networks (DNNs) have emerged as an important class of machine learning algorithms, providing accurate solutions to a broad range of applications. Sparsity in activation maps in DNN training presents an opportunity to reduce computations. However, exploiting activation sparsity presents two major challenges: i) profiling activation sparsity during training comes with significant overhead due to computing the degree of sparsity and the data movement";" ii) the dynamic nature of activation maps requires dynamic dense-to-sparse conversion during training, leading to significant overhead. In this article, we present Spartan, a lightweight hardware/software framework to accelerate DNN training on a GPU. Spartan provides a cost-effective and programmer-transparent microarchitectural solution to exploit activation sparsity detected during training. Spartan provides an efficient sparsity monitor, a tile-based sparse GEMM algorithm, and a novel compaction engine designed for GPU workloads. Spartan can reduce sparsity profiling overhead by 52.5× on average. For the most compute-intensive layers, i.e., convolutional layers, we can speedup AlexNet by 3.4×, VGGNet-16 by 2.14×, and ResNet-18 by 2.02×, when training on the ImageNet dataset."",""1558-2183"","""",""10.1109/TPDS.2021.3067825"",""AMD";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9382871"",""DNN";sparsity;"GPU"",""Training";Monitoring;Sparse matrices;Graphics processing units;Acceleration;Market research;"Engines"","""",""3"","""",""53"",""IEEE"",""22 Mar 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Structured Allocation-Based Consistent Hashing With Improved Balancing for Cloud Infrastructure,""Y. Nakatani"",""NTT Network Service Systems Laboratories, Tokyo, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Mar 2021"",""2021"",""32"",""9"",""2248"",""2261"",""Consistent hashing has played an indispensable role in cloud infrastructure, although its load balancing performance is not necessarily perfect. Consistent hashing has long remained the most widely used method despite many methods being proposed to improve load balancing because these methods trade off load balancing against consistency, memory usage, lookup performance, and/or fault-tolerance. This article presents Structured Allocation-based Consistent Hashing (SACH), a cloud-optimized consistent hashing algorithm that overcomes the trade-offs by taking advantage of the characteristics of cloud environments: scaling management and auto-healing. Since scaling can be distinguished from failures, SACH applies two different algorithms to update hashing functions: a fast-update algorithm for unmanaged backend failures to satisfy fault-tolerance with quick response and a slow-update algorithm for managed scaling. Hashing functions are initialized or slow-updated considering the characteristics of the fast-update algorithm to satisfy load balancing and the other properties as far as the number of failed backends is kept small by auto-healing. The experimental results show that SACH outperforms existing algorithms in each aspect. SACH will improve the load balancing of cloud infrastructure components, where the trade-offs have prevented the renewal of hashing functions."",""1558-2183"","""",""10.1109/TPDS.2021.3058963"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354010"",""Consistent hashing";load balancing;network load balancer;distributed key-value store;"cloud infrastructure"",""Load management";Resource management;Fault tolerant systems;Fault tolerance;Cloud computing;Memory management;"Hash functions"","""",""6"","""",""27"",""CCBY"",""12 Feb 2021"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
