"Memory-Efficient and Skew-Tolerant MapReduce Over MPI for Supercomputing Systems,""T. Gao"; Y. Guo; B. Zhang; P. Cicotti; Y. Lu; P. Balaji;" M. Taufer"",""Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA; Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA; NVIDIA, San Diego, USA; National Supercomputing Center in Guangzhou, China; Mathematics and Computer Science Division, Argonne National Laboratory, Lemont, USA;" Department of Electrical Engineering and Computer Science, University of Tennessee, Knoxville, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2020"",""2020"",""31"",""12"",""2734"",""2748"",""Data analytics has become an integral part of large-scale scientific computing. Among various data analytics frameworks, MapReduce has gained the most traction. Although some efforts have been made to enable efficient MapReduce for supercomputing systems, they are often limited to fairly homogeneous workloads where equal partitioning of input data across tasks results in essentially equal output or temporary data generated on each task. For workloads that are more skewed, however, current implementations can result in imbalance in memory usage and, consequently, can cause a slowdown in execution time and a loss in data scalability. To tackle this problem, we enhance a previously published memory-conscious MapReduce over MPI framework called Mimir. Our enhancements to Mimir include combiner and dynamic repartition optimizations to minimize and balance memory usage and to achieve close to optimal balance of the memory usage across processes and to reduce the execution time by up to 12 times. Experimental results show that Mimir can scale to at least 3072 processes on the Tianhe-2 supercomputer on skewed datasets."",""1558-2183"","""",""10.1109/TPDS.2019.2932066"",""U.S. Department of Energy(grant numbers:DE-AC02-06CH11357)"; National Science Foundation(grant numbers:#1318445,#1318417,#1841758); National Key R&D Project in China(grant numbers:2016YFB1000302); National Natural Science Foundation of China(grant numbers:U1611261,NSFC61402503); Guangdong Introducing Innovative and Entrepreneurial Teams(grant numbers:2016ZT06D211); China Scholarship Council; National Science Foundation(grant numbers:ACI-1053575);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103270"",""Skew mitigation";load balancing;high-performance computing;data analytics;MapReduce;memory efficiency;"performance and scalability"",""Supercomputers";Data models;Optimization;Programming;Operating systems;Aggregates;"Data analysis"","""",""4"","""",""38"",""CCBY"",""28 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Task Scheduling for Energy Consumption Constrained Parallel Applications on Heterogeneous Computing Systems,""Z. Quan"; Z. -J. Wang; T. Ye;" S. Guo"",""College of Information Science and Engineering, Hunan University, Changsha, China"; School of Data and Computer Science, Sun Yat-sen University, Guangzhou, China; College of Information Science and Engineering, Hunan University, Changsha, China;" Department of Computing, Hong Kong Polytechnic University, Kowloon, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2020"",""2020"",""31"",""5"",""1165"",""1182"",""Power-aware task scheduling on processors has been a research hotspot in computing systems. Given an application G containing a set N of tasks {n1,...,n|N|}, and a system containing a set U of processors {u1,..., u|U|}, the power-aware task scheduling generally refers to finding the appropriate processor and frequency for each task ni, so as to make sure that all the tasks can be finished efficiently and the overall energy consumption is guaranteed. In this article, we study the problem of minimizing the schedule length for energy consumption constrained parallel applications on heterogeneous computing systems, where the schedule length refers to the time interval between starting the first task and finishing the last task. For this problem, existing work adopts a policy that preassigns the minimum energy consumption for each unassigned task. Nevertheless, our analysis reveals that, such a pre-assignment policy could be unfair for the low priority tasks, and it may not achieve an optimistic schedule length. Thereby, we propose a new task scheduling algorithm that suggests a weight-based mechanism to preassign energy consumption for unassigned tasks, and we provide the rigorous proof to show its feasibility. Further, we show that this idea can be extended to solve reliability maximization problems with energy consumption constraint or with both deadline and energy consumption constraints, where the reliability refers to the probability of executing application G without failures, and the deadline constraint refers to the “allowable” maximum schedule length. We have conducted extensive experiments based on real parallel applications. The experimental results consistently demonstrate that our proposed algorithms can achieve favourable performance, compared to state-of-the-art algorithms."",""1558-2183"","""",""10.1109/TPDS.2019.2959533"",""National Key R&D Program of China(grant numbers:2018YFB0204100)"; National Natural Science Foundation of China(grant numbers:61472124,61472453,61602166,61702320,U1401256,U1501252,U1611264,U1711261,U1711262,U1811264,61972425);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8936469"",""heterogeneous systems";energy consumption;parallel application;task scheduling;"reliability"",""Task analysis";Energy consumption;Reliability;Program processors;Schedules;Processor scheduling;"Scheduling"","""",""40"","""",""55"",""IEEE"",""18 Dec 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"The Design of Fast Content-Defined Chunking for Data Deduplication Based Storage Systems,""W. Xia"; X. Zou; H. Jiang; Y. Zhou; C. Liu; D. Feng; Y. Hua; Y. Hu;" Y. Zhang"",""Harbin Institute of Technology, Shenzhen, China"; Harbin Institute of Technology, Shenzhen, China; Department of Computer Science and Engineering, University of Texas at Arlington, USA; Wuhan National Laboratory for Optoelectronics, School of Computer Sci.&Tech., Huazhong University of Science and Technology, Wuhan, China; Harbin Institute of Technology, Shenzhen, China; Wuhan National Laboratory for Optoelectronics, School of Computer Sci.&Tech., Huazhong University of Science and Technology, Wuhan, China; Wuhan National Laboratory for Optoelectronics, School of Computer Sci.&Tech., Huazhong University of Science and Technology, Wuhan, China; Wuhan National Laboratory for Optoelectronics, School of Computer Sci.&Tech., Huazhong University of Science and Technology, Wuhan, China;" Wuhan National Laboratory for Optoelectronics, School of Computer Sci.&Tech., Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Apr 2020"",""2020"",""31"",""9"",""2017"",""2031"",""Content-Defined Chunking (CDC) has been playing a key role in data deduplication systems recently due to its high redundancy detection ability. However, existing CDC-based approaches introduce heavy CPU overhead because they declare the chunk cut-points by computing and judging the rolling hashes of the data stream byte by byte. In this article, we propose FastCDC, a Fast and efficient Content-Defined Chunking approach, for data deduplication-based storage systems. The key idea behind FastCDC is the combined use of five key techniques, namely, gear based fast rolling hash, simplifying and enhancing the Gear hash judgment, skipping sub-minimum chunk cut-points, normalizing the chunk-size distribution in a small specified region to address the problem of the decreased deduplication ratio stemming from the cut-point skipping, and last but not least, rolling two bytes each time to further speed up CDC. Our evaluation results show that, by using a combination of the five techniques, FastCDC is 3-12X faster than the state-of-the-art CDC approaches, while achieving nearly the same and even higher deduplication ratio as the classic Rabin-based CDC. In addition, our study on the deduplication throughput of FastCDC-based Destor (an open source deduplication project) indicates that FastCDC helps achieve 1.2-3.0X higher throughput than Destor based on state-of-the-art chunkers."",""1558-2183"","""",""10.1109/TPDS.2020.2984632"",""National Natural Science Foundation of China(grant numbers:61972441,61872110,61872414,61772212,61821003,61772222,61832007)"; National Science and Technology of China(grant numbers:2017ZX01032-101); Wuhan National Laboratory for Optoelectronics(grant numbers:2018WNLOKF008); Shenzhen Science and Technology Program(grant numbers:JCYJ20190806143405318); Key R&D Program for Guangdong Province(grant numbers:2019B010136001); National Science Foundation(grant numbers:CCF-1704504,CCF-1629625);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9055082"",""Data deduplication";content-defined chunking;storage system;"performance evaluation"",""Microsoft Windows";Gears;Power capacitors;Redundancy;Acceleration;Throughput;"Distributed databases"","""",""40"","""",""53"",""IEEE"",""2 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"The Existence of Completely Independent Spanning Trees for Some Compound Graphs,""X. -W. Qin"; R. -X. Hao;" J. -M. Chang"",""Department of Mathematics, Beijing Jiaotong University, Beijing, P.R. China"; Department of Mathematics, Beijing Jiaotong University, Beijing, P.R. China;" Institute of Information and Decision Sciences, National Taipei University of Business, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Dec 2019"",""2020"",""31"",""1"",""201"",""210"",""Given two regular graphs G and H such that the vertex degree of G is equal to the number of vertices in H, the compound graph G(H) is constructed by replacing each vertex of G by a copy of Hand replacing each edge of G by an additional edge connecting random vertices in two corresponding copies of H, respectively, under the constraint that each vertex in G(H) is incident with only one additional edge, exactly. L-HSDCm is a compound graph G(H), where G is a hypercube Qm and H is a complete graph Km, which is defined by focusing on the connected relation between servers in the novel data center network HSDCm proposed in [30]. A set of k spanning trees in a graph G are called completely independent spanning trees (CISTs for short) if the paths joining every pair of vertices x and yin any two trees have neither vertex nor edge in common, except for x and y. In this paper, we give a sufficient condition for the existence of k CISTs in a kind of compound graph. Furthermore, a specific construction algorithm is provided. As corollaries of the main results, the existences of two CISTs form m ≥ 4";" three CISTs form m ≥ 8 and four CISTs form m ≥ 10 in L-HSDCm(m) are gotten directly."",""1558-2183"","""",""10.1109/TPDS.2019.2931904"",""National Natural Science Foundation of China(grant numbers:11731002)"; 111 Project of China(grant numbers:B16002);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8781860"",""Completely independent spanning tree";data center network architecture;compound graph;"fault-tolerance"",""Compounds";Data centers;Hypercubes;Servers;Network architecture;Bipartite graph;"Routing"","""",""26"","""",""30"",""IEEE"",""30 Jul 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"The Impact of Event Processing Flow on Asynchronous Server Efficiency,""S. Zhang"; Q. Wang; Y. Kanemasa; H. Shan;" L. Hu"",""Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, USA"; Division of Computer Science and Engineering, Louisiana State University, Baton Rouge, USA; Software Laboratory, FUJITSU LABORATORIES LTD, Kawasaki, Japan; JD.com American Technologies Corporation, Mountain View, USA;" Computing and Information Sciences, Florida International University, Miami, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""565"",""579"",""Asynchronous event-driven server architecture has been considered as a superior alternative to the thread-based counterpart due to reduced multithreading overhead. In this paper, we conduct empirical research on the efficiency of asynchronous Internet servers, showing that an asynchronous server may perform significantly worse than a thread-based one due to two design deficiencies. The first one is the widely adopted one-event-one-handler event processing model in current asynchronous Internet servers, which could generate frequent unnecessary context switches between event handlers, leading to significant CPU overhead of the server. The second one is a write-spin problem (i.e., repeatedly making unnecessary I/O system calls) in asynchronous servers due to some specific runtime workload and network conditions (e.g., large response size and non-trivial network latency). To address these two design deficiencies, we present a hybrid solution by exploiting the merits of different asynchronous architectures so that the server is able to adapt to dynamic runtime workload and network conditions in the cloud. Concretely, our hybrid solution applies a lightweight runtime request checking and seeks for the most efficient path to process each request from clients. Our results show that the hybrid solution can achieve from 10 to 90 percent higher throughput than all the other types of servers under the various realistic workload and network conditions in the cloud."",""1558-2183"","""",""10.1109/TPDS.2019.2938500"",""National Science Foundation(grant numbers:1566443)"; Louisiana Board of Regents(grant numbers:LEQSF(2015-18)-RD-A-11); Fujitsu;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8825817"",""Asynchronous";event-driven;thread-based;internet servers;"efficiency"",""Servers";Instruction sets;Connectors;Runtime;Internet;Context;"Message systems"","""","""","""",""61"",""IEEE"",""5 Sep 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"The Network-Integrated Storage System,""I. Kettaneh"; A. Alquraan; H. Takruri; S. Yang; A. C. Arpaci-Dusseau; R. H. Arpaci-Dusseau;" S. Al-Kiswany"",""Cheriton School of Computer Science, University of Waterloo,, Waterloo, Canada"; Cheriton School of Computer Science, University of Waterloo,, Waterloo, Canada; Cheriton School of Computer Science, University of Waterloo,, Waterloo, Canada; Computer Sciences Department, University of Wisconsin-Madison, Madison, USA; Computer Sciences Department, University of Wisconsin-Madison, Madison, USA; Computer Sciences Department, University of Wisconsin-Madison, Madison, USA;" Cheriton School of Computer Science, University of Waterloo,, Waterloo, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jan 2020"",""2020"",""31"",""2"",""486"",""500"",""We present NICE, a key-value storage system design that leverages new software-defined network capabilities to build cluster-based network-efficient storage system. NICE presents novel techniques to co-design network routing and multicast with storage replication, consistency, and load balancing to achieve higher efficiency, performance, and scalability. We implement the NICEKV prototype. NICEKV follows the NICE approach in designing four essential network-centric storage mechanisms: request routing, replication, consistency, and load balancing. Our evaluation shows that the proposed approach brings significant performance gains compared with the current systems design: up to 7× put/get performance improvement, up to 2× reduction in network load, 3× to 9× load reduction on the storage nodes, and the elimination of scalability bottlenecks present in current designs."",""1558-2183"","""",""10.1109/TPDS.2019.2938158"",""NSERC Discovery"; NSERC Engage; Canada Foundation for Innovation; NSF(grant numbers:CNS-1419199,CNS-1421033,CNS-1319405,CNS-1218405); NetApp VTC, Canada;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8818663"",""Key-value storage";software-defined networks;network-integrated design;network-system co-design;"distributed storage"",""Peer-to-peer computing";Routing;Control systems;Standards;Protocols;System analysis and design;"Load management"","""",""3"","""",""63"",""IEEE"",""28 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"The Workflow Trace Archive: Open-Access Data From Public and Private Computing Infrastructures,""L. Versluis"; R. Mathá; S. Talluri; T. Hegeman; R. Prodan; E. Deelman;" A. Iosup"",""Computer Science, Vrije Universiteit Amsterdam, HV Amsterdam, Netherlands"; Institute of Computer Science, Universitat Innsbruck, Innsbruck, Austria; Computer Science, Vrije Universiteit Amsterdam, HV Amsterdam, Netherlands; Computer Science, Vrije Universiteit Amsterdam, HV Amsterdam, Netherlands; Institute of Software Technology, University of Klagenfurt, Klagenfurt am, Austria; Information Sciences Institute, University of Southern California, Los Angeles, USA;" Computer Science, Vrije Universiteit Amsterdam, HV Amsterdam, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2020"",""2020"",""31"",""9"",""2170"",""2184"",""Realistic, relevant, and reproducible experiments often need input traces collected from real-world environments. In this work, we focus on traces of workflows—common in datacenters, clouds, and HPC infrastructures. We show that the state-of-the-art in using workflow-traces raises important issues: (1) the use of realistic traces is infrequent and (2) the use of realistic, open-access traces even more so. Alleviating these issues, we introduce the Workflow Trace Archive (WTA), an open-access archive of workflow traces from diverse computing infrastructures and tooling to parse, validate, and analyze traces. The WTA includes ${>}48$>48 million workflows captured from ${>}10$>10 computing infrastructures, representing a broad diversity of trace domains and characteristics. To emphasize the importance of trace diversity, we characterize the WTA contents and analyze in simulation the impact of trace diversity on experiment results. Our results indicate significant differences in characteristics, properties, and workflow structures between workload sources, domains, and fields."",""1558-2183"","""",""10.1109/TPDS.2020.2984821"",""Vidi MagnaData"; European Union's Horizon 2020 Research and Innovation Programme(grant numbers:801091); National Science Foundation(grant numbers:1664162);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9066946"",""Workflow";open-source;open-access;traces;characterization;archive;survey;"simulation"",""Cloud computing";Open source software;Testing;Labeling;Computational modeling;Task analysis;"Tools"","""",""14"","""",""60"",""CCBY"",""14 Apr 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Thread Isolation to Improve Symbiotic Scheduling on SMT Multicore Processors,""J. Feliu"; J. Sahuquillo; S. Petit;" L. Eeckhout"",""Department of Computer Engineering, Universitat Politécnica de Valéncia, Valéncia, Spain"; Department of Computer Engineering, Universitat Politécnica de Valéncia, Valéncia, Spain; Department of Computer Engineering, Universitat Politécnica de Valéncia, Valéncia, Spain;" Department of Electronics and Information Systems, Ghent University, Gent, Belgium"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jan 2020"",""2020"",""31"",""2"",""359"",""373"",""Resource sharing is a critical issue in simultaneous multithreading (SMT) processors as threads running simultaneously on an SMT core compete for shared resources. Symbiotic job scheduling, which co-schedules applications with complementary resource demands, is an effective solution to maximize hardware utilization and improve overall system performance. However, symbiotic job scheduling typically distributes threads evenly among cores, i.e., all cores get assigned the same number of threads, which we find to lead to sub-optimal performance. In this paper, we show that asymmetric schedules (i.e., schedules that assign a different number of threads to each SMT core) can significantly improve performance compared to symmetric schedules. To leverage this finding, we propose thread isolation, a technique that turns symmetric schedules into asymmetric ones yielding higher overall system performance. Thread isolation identifies SMT-adverse applications and schedules them in isolation on a dedicated core to mitigate their sharp performance degradation under SMT. Our experimental results on an IBM POWER8 processor show that thread isolation improves system throughput by up to 5.5 percent compared to a state-of-the-art symmetric symbiotic job scheduler."",""1558-2183"","""",""10.1109/TPDS.2019.2934955"",""Generalitat Valenciana(grant numbers:APOSTD/2017/052)"; Ministerio de Ciencia, Innovación y Universidades and the European ERDF(grant numbers:RTI2018-098156-B-C51); Universitat Politècnica de València(grant numbers:SP20180140); FWO(grant numbers:G.0434.16N,G.0144.17N); H2020 European Research Council(grant numbers:741097);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8798706"",""Simultaneous multithreading (SMT)";symbiotic job scheduling;"thread isolation"",""Schedules";Message systems;Symbiosis;Program processors;Degradation;Resource management;"Throughput"","""",""2"","""",""29"",""IEEE"",""14 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Thread-Level Locking for SIMT Architectures,""L. Gao"; Y. Xu; R. Wang; Z. Luan; Z. Yu;" D. Qian"",""Beijing Key Laboratory of Electronic System Reliability and Prognostics, College of Information Engineering, Capital Normal University, Beijing, China"; Xi'an Jiaotong University; School of Computer Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, Beihang University, Beijing, China; Chinese Academy of Sciences, Shenzhen Institutes of Advanced Technology, Shenzhen, China;" School of Computer Science and Engineering, Beihang University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2020"",""2020"",""31"",""5"",""1121"",""1136"",""As more emerging applications are moving to GPUs, thread-level synchronization has become a requirement. However, GPUs only provide warp-level and thread-block-level rather than thread-level synchronization. Moreover, it is highly possible to cause live-locks by using CPU synchronization mechanisms to implement thread-level synchronization for GPUs. In this article, we first propose a software-based thread-level synchronization mechanism called lock stealing for GPUs to avoid live-locks. We then describe how to implement our lock stealing algorithm in mutual exclusive locks and readers-writer locks with high performance. Finally, by putting it all together, we develop a thread-level locking library (TLLL) for commercial GPUs. To evaluate TLLL and show its general applicability, we use it to implement six widely used programs. We compare TLLL against the state-of-the-art ad-hoc GPU synchronization, GPU software transactional memory (STM), and CPU hardware transactional memory (HTM), respectively. The results show that, compared with the ad-hoc GPU synchronization for Delaunay mesh refinement (DMR), TLLL improves the performance by 22 percent on average on a GTX970 GPU, and shows up to 11 percent of performance improvement on a Volta V100 GPU. Moreover, it significantly reduces the required memory size. Such low memory consumption enables DMR to successfully run on the GTX970 GPU with the 10-million mesh size, and the V100 GPU with the 40-million mesh size, with which the ad-hoc synchronization can not run successfully. In addition, TLLL outperforms the GPU STM by 65 percent, and the CPU HTM (running on a Xeon E5-2620 v4 CPU with 16 hardware threads) by 43 percent on average."",""1558-2183"","""",""10.1109/TPDS.2019.2955705"",""National Key R&D Program of China(grant numbers:2017YFB0202202,2018YFB0203901,2017YFC0820100,2016YFB1000204)"; National Natural Science Foundation of China(grant numbers:61732002,61672511,61702495,61772350); Shenzhen Technology Research Project(grant numbers:JSGG20160510154636747); outstanding technical talent program of CAS; Common Information System Equipment Research Program(grant numbers:JZX2017-0988/Y300); Beijing Nova program(grant numbers:Z181100006218093); Beijing Innovation Center for Future Chip(grant numbers:KYJJ2018008);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8911260"",""Deadlocks";parallelism and concurrency;runtime environments;SIMD processors;"synchronization"",""Graphics processing units";Synchronization;Message systems;System recovery;Instruction sets;Hardware;"Computer architecture"","""",""2"","""",""38"",""IEEE"",""25 Nov 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Throughput Maximization of NFV-Enabled Multicasting in Mobile Edge Cloud Networks,""Y. Ma"; W. Liang; J. Wu;" Z. Xu"",""Research School of Computer Science, The Australian National University, Canberra, Australia"; Research School of Computer Science, The Australian National University, Canberra, Australia; Department of Computer and Information Sciences, Temple University, Philadelphia, USA;" School of Software, Dalian University of Technology, Dalian, China"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Jan 2020"",""2020"",""31"",""2"",""393"",""407"",""Mobile Edge Computing (MEC) reforms the cloud paradigm by bringing unprecedented computing capacity to the vicinity of end users at the mobile network edge. This provides end users with swift and powerful computing and storage capacities, energy efficiency, and mobility- and context-awareness support. Furthermore, Network Function Virtualization (NFV) is another promising technique that implements various network functions for many applications as pieces of software in servers or cloudlets in MEC networks. The provisioning of virtualized network services in MEC can improve user service experiences, simplify network service deployment, and ease network resource management. However, user requests arrive dynamically and different users demand different amounts of resources, while the resources in MEC are dynamically occupied or released by different services. It thus poses a significant challenge to optimize the performance of MEC through efficient computing and communication resource allocations to meet ever-growing resource demands of users. In this paper, we study NFV-enabled multicasting that is a fundamental routing problem in an MEC network, subject to resource capacities on both its cloudlets and links. Specifically, we first devise an approximation algorithm for the cost minimization problem of admitting a single NFV-enabled multicast request. We then develop an efficient algorithm for the throughput maximization problem for the admissions of a given set of NFV-enabled multicast requests. We third devise an online algorithm with a provable competitive ratio for the online throughput maximization problem when NFV-enabled multicast requests arrive one by one without the knowledge of future request arrivals. We finally evaluate the performance of the proposed algorithms through experimental simulations. Simulation results demonstrate that the proposed algorithms are promising."",""1558-2183"","""",""10.1109/TPDS.2019.2937524"",""National Natural Science Foundation of China(grant numbers:61802048,61802047)"; fundamental research funds for the central universities in China(grant numbers:DUT17RC(3)061,DUT17RC(3)070); Xinghai Scholar Program in Dalian University of Technology, China;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812911"",""Mobile edge-cloud networks (MEC)";distributed resource allocation and provisioning;NFV-enabled multicast requests;virtualized network function (VNF);VNF instance placement and sharing;service function chains (SFCs);throughput maximization;Steiner tree problems;"online algorithms"",""Cloud computing";Multicast algorithms;Heuristic algorithms;Approximation algorithms;Throughput;Task analysis;"Bandwidth"","""",""38"","""",""29"",""IEEE"",""26 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Time-Optimal Leader Election in Population Protocols,""Y. Sudo"; F. Ooshita; T. Izumi; H. Kakugawa;" T. Masuzawa"",""Osaka University, Osaka, Japan"; Nara Institute of Science and Technology, Ikoma, Japan; Nagoya Institute of Technology, Nagoya, Japan; Ryukoku University, Shiga, Japan;" Osaka University, Osaka, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Jun 2020"",""2020"",""31"",""11"",""2620"",""2632"",""In this article, we present the first leader election protocol in the population protocol model that stabilizes within O(logn) parallel time in expectation with O(logn) states per agent, where n is the number of agents. Given a rough knowledge m of lg n such that m ≥ lg n and m = O(logn), the proposed protocol guarantees that exactly one leader is elected and the unique leader is kept forever thereafter. This protocol is time-optimal because it was recently proven that any leader election protocol requires Ω(logn) parallel time."",""1558-2183"","""",""10.1109/TPDS.2020.2991771"",""JSPS KAKENHI(grant numbers:17K19977,18K11167,18K18000,19H04085,19K11826,20H04140)"; JST SICORP(grant numbers:JPMJSC1606);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9086071"",""Population protocols";leader election;"stabilization time"",""Protocols";Voting;Sociology;Statistics;Phase locked loops;Schedules;"Epidemics"","""",""8"","""",""19"",""CCBY"",""4 May 2020"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Toward Designing Cost-Optimal Policies to Utilize IaaS Clouds with Online Learning,""X. Wu"; P. Loiseau;" E. Hyytiä"",""Fondazione Bruno Kessler, Povo, Italy"; Inria, CNRS, Grenoble INP, LIG, Université Grenoble Alpes, Grenoble, France;" University of Iceland, Reykjavik, Iceland"",""IEEE Transactions on Parallel and Distributed Systems"",""14 Jan 2020"",""2020"",""31"",""3"",""501"",""514"",""Many businesses possess a small infrastructure that they can use for their computing tasks, but also often buy extra computing resources from clouds. Cloud vendors such as Amazon EC2 offer two types of purchase options: on-demand and spot instances. As tenants have limited budgets to satisfy their computing needs, it is crucial for them to determine how to purchase different options and utilize them (in addition to possible self-owned instances) in a cost-effective manner while respecting their response-time targets. In this paper, we propose a framework to design policies to allocate self-owned, on-demand and spot instances to arriving jobs. In particular, we propose a near-optimal policy to determine the number of self-owned instances and an optimal policy to determine the number of on-demand instances to buy and the number of spot instances to bid for at each time unit. Our policies rely on a small number of parameters and we use an online learning technique to infer their optimal values. Through numerical simulations, we show the effectiveness of our proposed policies, in particular that they achieve a cost reduction of up to 64.51 percent when spot and on-demand instances are considered and of up to 43.74 percent when self-owned instances are considered, compared to previously proposed or intuitive policies."",""1558-2183"","""",""10.1109/TPDS.2019.2935199"",""French National Research Agency"; American Friends of the Alexander von Humboldt Foundation; European Union's Horizon 2020 research and innovation programme(grant numbers:754514); Academy of Finland(grant numbers:296206);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8821399"",""On-demand instances";spot instances;cost efficiency;"online learning"",""Task analysis";Cloud computing;Resource management;Pricing;Parallel processing;Rendering (computer graphics);"Cleaning"","""",""6"","""",""26"",""IEEE"",""30 Aug 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Towards Accurate Prediction for High-Dimensional and Highly-Variable Cloud Workloads with Deep Learning,""Z. Chen"; J. Hu; G. Min; A. Y. Zomaya;" T. El-Ghazawi"",""Department of Computer Science, College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter"; Department of Computer Science, College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter; Department of Computer Science, College of Engineering, Mathematics and Physical Sciences, University of Exeter, Exeter; School of Computer Science, The University of Sydney, Camperdown, Australia;" Department of Electrical and Computer Engineering, The George Washington University, Washington, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2020"",""2020"",""31"",""4"",""923"",""934"",""Resource provisioning for cloud computing necessitates the adaptive and accurate prediction of cloud workloads. However, the existing methods cannot effectively predict the high-dimensional and highly-variable cloud workloads. This results in resource wasting and inability to satisfy service level agreements (SLAs). Since recurrent neural network (RNN) is naturally suitable for sequential data analysis, it has been recently used to tackle the problem of workload prediction. However, RNN often performs poorly on learning long-term memory dependencies, and thus cannot make the accurate prediction of workloads. To address these important challenges, we propose a deep Learning based Prediction Algorithm for cloud Workloads (L-PAW). First, a top-sparse auto-encoder (TSA) is designed to effectively extract the essential representations of workloads from the original high-dimensional workload data. Next, we integrate TSA and gated recurrent unit (GRU) block into RNN to achieve the adaptive and accurate prediction for highly-variable workloads. Using real-world workload traces from Google and Alibaba cloud data centers and the DUX-based cluster, extensive experiments are conducted to demonstrate the effectiveness and adaptability of the L-PAW for different types of workloads with various prediction lengths. Moreover, the performance results show that the L-PAW achieves superior prediction accuracy compared to the classic RNN-based and other workload prediction methods for high-dimensional and highly-variable real-world cloud workloads."",""1558-2183"","""",""10.1109/TPDS.2019.2953745"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8902077"",""Cloud computing";workload prediction;resource provisioning;sequential data analysis;"deep learning"",""Cloud computing";Feature extraction;Recurrent neural networks;Predictive models;Data mining;Deep learning;"Data centers"","""",""90"","""",""36"",""IEEE"",""15 Nov 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
