"2002 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""29 Jan 2003"",""2003"",""14"",""1"",""94"",""96"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2003.1167374"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1167374"","""",""IEEE"","""","""","""","""",""IEEE"",""29 Jan 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Quorum-based algorithms for group mutual exclusion,""Yuh-Jzer Joung"",""Department of Information Management, National Taiwan University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""463"",""476"",""We propose a quorum system, which we referred to as the surficial quorum system, for group mutual exclusion. The surficial quorum system is geometrically evident and is easy to construct. It also has a nice structure based on which a truly distributed algorithm for group mutual exclusion can be obtained and processed loads can be minimized. When used with Maekawa's algorithm, the surficial quorum system allows up to /spl radic/2n/m(m-l) processes to access a resource simultaneously, where n is the total number of processes and m is the total number of groups. We also present two modifications of Maekawa's algorithm so that the number of processes that can access a resource at a time is not limited to the structure of the underlying quorum system, but to the number that the problem definition allows."",""1558-2183"","""",""10.1109/TPDS.2003.1199064"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199064"","""",""Distributed algorithms";Resource management;Network servers;Message passing;Network topology;Frequency synchronization;Delay;"Broadcasting"","""",""27"",""2"",""45"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Real-time digital signal processing of phased array radars,""Chin-Fu Kuo"; Tei-Wei Kuo;" Cheng Chang"",""Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan"; Department of Computer Science and Information Engineering, National Taiwan University, Taipei, Taiwan;" System Development Center, Chung Shang Institute of Science and Technology, TaoYuan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""433"",""446"",""With the advance of hardware and software technology, modern phased array radars are now built with commercial-off-the-shelf (COTS) components, and it opens up a new era in real-time resource scheduling of digital signal processing. This paper targets the essential issues in building a component-oriented signal processor (SP), which is one of the two major modules in modern phased array radars. We propose a simple but effective task allocation policy and a real-time scheduling algorithm to address the design objectives of SPs. We are able to bound the number of processing units needed for a component-oriented SP in the design time, while everything was done empirically in the past. A series of experiments was done to demonstrate the strength of our methodology."",""1558-2183"","""",""10.1109/TPDS.2003.1199062"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199062"","""",""Phased arrays";Digital signal processing;Radar signal processing;Processor scheduling;Signal processing;Radar tracking;Scheduling algorithm;Spaceborne radar;Real time systems;"Hardware"","""",""3"","""",""32"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Reducing false sharing and improving spatial locality in a unified compilation framework,""M. Kandemir"; A. Choudhary; J. Ramanujam;" P. Banerjee"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA; Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA;" Department of Electrical and Computer Engineering, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Apr 2003"",""2003"",""14"",""4"",""337"",""354"",""The performance of applications on large shared-memory multiprocessors with coherent caches depends on the interaction between the granularity of data sharing, the size of the coherence unit, and the spatial locality exhibited by the applications, in addition to the amount of parallelism in the applications. Large coherence units are helpful in exploiting spatial locality, but worsen the effects of false sharing. A mathematical framework that allows a clean description of the relationship between spatial locality and false sharing is derived in this paper. First, a technique to identify a severe form of multiple-writer false sharing is presented. The importance of the interaction between optimization techniques aimed at enhancing locality and the techniques oriented toward reducing false sharing is then demonstrated. Given the conflicting requirements, a compiler-based approach to this problem holds promise. This paper investigates the use of data transformations in addressing spatial locality and false sharing, and derives an approach that balances the impact of the two. Experimental results demonstrate that such a balanced approach outperforms those approaches that consider only one of these two issues. On an eight-processor SGI/Cray Origin 2000 multiprocessor, our approach brings an additional 9 percent improvement over a powerful locality optimization technique that uses both loop and data transformations. The presented approach also obtains an additional 19 percent improvement over an optimization technique that is oriented specifically toward reducing false sharing. This study also reveals that, in addition to reducing synchronization costs and improving the memory subsystem performance, obtaining large granularity parallelism is helpful in balancing the effects of enhancing locality and reducing false sharing, rendering them compatible."",""1558-2183"","""",""10.1109/TPDS.2003.1195407"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195407"","""",""Application software";Optimizing compilers;Parallel machines;Computer Society;Parallel processing;Costs;Multiprocessing systems;Program processors;Data structures;"Multidimensional systems"","""",""4"",""4"",""51"",""IEEE"",""22 Apr 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Refactoring middleware with aspects,""C. Zhang";" H. . -A. Jacobsen"",""Department of Electrical and Computer Engineering and the Department of Computer Science, University of Toronto, Toronto, ONT, Canada";" Department of Electrical and Computer Engineering and the Department of Computer Science, University of Toronto, Toronto, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1058"",""1073"",""Middleware platforms, such as Web services, J2EE, CORBA, and DCOM, have become increasingly popular during the last decade. They have been very successful in solving distributed computing problems for a large family of application domains. The architecture of middleware systems have gone through many significant cycles of evolution, both in terms of the completeness of functionality and the range of adoptions for different types of platforms. However, at the same time, it is getting increasingly difficult to achieve and to maintain a high level of adaptability and configurability because the structure of the middleware architecture is becoming overly complicated and rigid. We attribute that problem to the limitations of traditional software decomposition methods. Aspect-oriented programming, on the contrary, has introduced new design perspectives that permit the superimpositions of different abstraction models on top of one another. This is a very powerful technique for separating and simplifying design concerns. In our effort of applying principles of aspect orientation to the middleware architecture, we first pragmatically analyze the use of aspects in the middleware architecture. We then show that aspects are the correct remedy for the above outlined middleware problems by quantifying crosscutting concerns in the legacy implementations of several prominent middleware systems. Our aspect analysis results strongly indicate that modularity of middleware architecture is greatly hindered by the wide existence of tangled logic. To go one step further, we factor out a number of crosscutting concerns identified in the mining process, reimplement them as aspects, and superimpose them back into the refactored architecture. This allows us to use a set of software engineering metrics to quantify the refactorization in terms of changes in the structural complexity, modularity, and performance of the resulting system. This aspect-oriented refactoring proves that aspect orientation is capable of composing orthogonal design requirements. The final """"woven"""" system is able to correctly provide both the fundamental functionality and the """"aspectized"""" functionality with negligible overhead and an overall leaner architecture. Furthermore, the """"aspectized"""" feature can be configured in and out during compile-time, which greatly enhances the configurability of the architecture."",""1558-2183"","""",""10.1109/TPDS.2003.1247668"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247668"","""",""Middleware";Computer architecture;Distributed computing;Logic;Software engineering;Runtime;Availability;Space technology;Jacobian matrices;"Web services"","""",""37"",""3"",""26"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Request redirection algorithms for distributed Web systems,""V. Cardellini"; M. Colajanni;" P. S. Yu"",""Dipartimento di Informatica, Sistemi e Produzione, Università di Roma, Rome, Italy"; Dipartimento di Ingegneria dell'Informazione, Università di Modena e Reggio Emila, Modena, Italy;" IBM Thomas J. Watson Research Center, Hawthorne, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Apr 2003"",""2003"",""14"",""4"",""355"",""368"",""Replication of information among multiple servers is necessary to support high request rates to popular Web sites. We consider systems that maintain one interface to users, even it they consist of multiple nodes with visible IP addresses that are distributed among different networks. In these systems, first-level dispatching is achieved through the Domain Name System (DNS) during the address lookup phase. Distributed Web systems can use a request redirection mechanism as second-level dispatching because the DNS routing scheme has limited control on offered load. Redirection is always executed by the servers, but there are many alternatives that are worth investigating. We explore the combination of DNS dispatching with redirection schemes that use centralized or distributed control on the basis of global or local state information. In fully distributed schemes, DNS dispatching is carried out by simple algorithms because load sharing is taken by some redirection mechanisms that each server activates autonomously. On the other hand, in fully centralized schemes, redirection is used as a tool to enforce decisions taken by the same centralized entity that provides the first-level dispatching. We also investigate hybrid strategies. We conclude that distributed algorithms are preferable over their centralized counterpart because they provide stable performance, take content-aware dispatching decisions, limit the percentage of redirected requests, and their implementation is much simpler than that required by centralized schemes."",""1558-2183"","""",""10.1109/TPDS.2003.1195408"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195408"","""",""Dispatching";Network servers;Computer Society;Domain Name System;Routing;Load management;Delay;Service oriented architecture;Control systems;"Distributed control"","""",""56"","""",""24"",""IEEE"",""22 Apr 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Responsive security for stored data,""S. Lakshmanan"; M. Ahamad;" H. Venkateswaran"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"; College of Computing, Georgia Institute of Technology, Atlanta, GA, USA;" College of Computing, Georgia Institute of Technology, Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2003"",""2003"",""14"",""9"",""818"",""828"",""We present the design of a distributed store that offers various levels of security guarantees while tolerating a limited number of nodes that are compromised by an adversary. The store uses secret sharing schemes to offer security guarantees, namely, availability, confidentiality, and integrity. However, a pure secret sharing scheme could suffer from performance problems and high access costs. We integrate secret sharing with replication for better performance and to keep access costs low. The trade offs involved between availability and access cost on one hand and confidentiality and integrity on the other are analyzed. Our system differs from traditional approaches such as state machine or quorum-based replication that have been developed to tolerate Byzantine failures. Unlike such systems, we augment replication with secret sharing and offer weaker consistency guarantees. We demonstrate that such a hybrid scheme offers additional flexibility that is not possible with replication alone."",""1558-2183"","""",""10.1109/TPDS.2003.1233705"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1233705"","""",""Data security";Cryptography;Application software;Availability;Costs;Fault tolerance;Collaboration;Mobile computing;Environmental management;"Memory"","""",""23"","""",""33"",""IEEE"",""29 Sep 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Routing permutations with link-disjoint and node-disjoint paths in a class of self-routable interconnects,""Y. Yang";" J. Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" East Isle Technology, Setauket, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Apr 2003"",""2003"",""14"",""4"",""383"",""393"",""We consider efficiently routing permutations in a class of switch-based interconnects. Permutation is an important communication pattern in parallel and distributed computing systems. We present a generic approach to realizing arbitrary permutations in a class of unique-path, self-routable interconnects. It is well-known that this type of interconnect has low hardware cost, but can realize only a small portion of all possible permutations between its inputs and outputs in a single pass. We consider routing arbitrary permutations with link-disjoint paths and node-disjoint paths in such interconnects in a minimum number of passes. In particular, routing with node-disjoint paths has important applications in emerging optical interconnects. We employ and further expand the Latin square technique used in all-to-all personalized exchange algorithms for this class of interconnects for general permutation routing. Our implementation of permutation routing is optimal in terms of the number of passes that messages are transmitted through the network, and it is near-optimal in network transmission time for sufficiently long messages. The possibility of adopting a single-stage interconnect is also discussed."",""1558-2183"","""",""10.1109/TPDS.2003.1195410"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1195410"","""",""Routing";Costs;Distributed computing;Hardware;Communication switching;Optical interconnections;Optical switches;Optical fiber networks;Computer Society;"Crosstalk"","""",""8"","""",""22"",""IEEE"",""22 Apr 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Scheduling with dynamic voltage/speed adjustment using slack reclamation in multiprocessor real-time systems,""D. Zhu"; R. Melhem;" B. R. Childers"",""Computer Science Department, University of Pittsburgh, Pittsburgh, PA, USA"; Computer Science Department, University of Pittsburgh, Pittsburgh, PA, USA;" Computer Science Department, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jul 2003"",""2003"",""14"",""7"",""686"",""700"",""The high power consumption of modern processors becomes a major concern because it leads to decreased mission duration (for battery-operated systems), increased heat dissipation, and decreased reliability. While many techniques have been proposed to reduce power consumption for uniprocessor systems, there has been considerably less work on multiprocessor systems. In this paper, based on the concept of slack sharing among processors, we propose two novel power-aware scheduling algorithms for task sets with and without precedence constraints executing on multiprocessor systems. These scheduling techniques reclaim the time unused by a task to reduce the execution speed of future tasks and, thus, reduce the total energy consumption of the system. We also study the effect of discrete voltage/speed levels on the energy savings for multiprocessor systems and propose a new scheme of slack reservation to incorporate voltage/speed adjustment overhead in the scheduling algorithms. Simulation and trace-based results indicate that our algorithms achieve substantial energy savings on systems with variable voltage processors. Moreover, processors with a few discrete voltage/speed levels obtain nearly the same energy savings as processors with continuous voltage/speed, and the effect of voltage/speed adjustment overhead on the energy savings is relatively small."",""1558-2183"","""",""10.1109/TPDS.2003.1214320"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1214320"","""",""Dynamic scheduling";Voltage;Real time systems;Energy consumption;Scheduling algorithm;Energy management;Power system management;Processor scheduling;Power system reliability;"Multiprocessing systems"","""",""220"",""4"",""26"",""IEEE"",""22 Jul 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Secure dynamic fragment and replica allocation in large-scale distributed file systems,""A. Mei"; L. V. Mancini;" S. Jajodia"",""Dipartimento di Informatica, Università di Roma La Sapienza, Rome, Italy"; Dipartimento di Informatica, Università di Roma La Sapienza, Rome, Italy;" Center for Secure Information Sciences, George Mason University, Fairfax, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2003"",""2003"",""14"",""9"",""885"",""896"",""We present a distributed algorithm for file allocation that guarantees high assurance, availability, and scalability in a large distributed file system. The algorithm can use replication and fragmentation schemes to allocate the files over multiple servers. The file confidentiality and integrity are preserved, even in the presence of a successful attack that compromises a subset of the file servers. The algorithm is adaptive in the sense that it changes the file allocation as the read-write patterns and the location of the clients in the network change. We formally prove that, assuming read-write patterns are stable, the algorithm converges toward an optimal file allocation, where optimality is defined as maximizing the file assurance."",""1558-2183"","""",""10.1109/TPDS.2003.1233711"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1233711"","""",""Large-scale systems";File systems;File servers;Network servers;Scalability;Availability;Peer to peer computing;Algorithm design and analysis;Prototypes;"Distributed algorithms"","""",""43"",""4"",""17"",""IEEE"",""29 Sep 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Shared memory multiprocessor architectures for software IP routers,""Y. Luo"; Laxmi Narayan Bhuyan;" X. Chen"",""Department of Computer Science and Engineering, University of California, Riverside, CA, USA"; Department of Computer Science and Engineering, University of California, Riverside, CA, USA;" Department of Computer Science and Engineering, University of California, Riverside, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1240"",""1249"",""We propose new shared memory multiprocessor architectures and evaluate their performance for future Internet protocol (IP) routers based on symmetric multiprocessor (SMP) and cache coherent nonuniform memory access (CC-NUMA) paradigms. We also propose a benchmark application suite, RouterBench, which consists of four categories of applications representing key functions on the time-critical path of packet processing in routers. An execution driven simulation environment is created to evaluate SMP and CC-NUMA router architectures using this RouterBench. The execution driven simulation can produce accurate cycle-level execution time prediction and reveal the impact of various architectural parameters on the performance of routers. We port the FUNET trace and its routing table for use in our experiments. We find that the CC-NUMA architecture provides an excellent scalability for design of high-performance IP routers. Results also show that the CC-NUMA architecture can sustain good lookup performance, even at a high frequency of route updates."",""1558-2183"","""",""10.1109/TPDS.2003.1255636"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255636"","""",""Computer architecture";Memory architecture;Application software;Internet;Access protocols;Time factors;Predictive models;Routing;Scalability;"Frequency"","""",""3"",""2"",""35"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;
"Space and time efficient parallel algorithms and software for EST clustering,""Anantharaman Kalyanaraman"; Srinivas Aluru; V. Brendel;" Suresh Kothari"",""Department of Computer Science, Iowa State University, Ames, IA, USA"; Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA; Department of Zoology and Genetics and the Department of Statistics, Iowa State University, Ames, IA, USA;" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1209"",""1221"",""Expressed sequence tags, abbreviated as ESTs, are DNA molecules experimentally derived from expressed portions of genes. Clustering of ESTs is essential for gene recognition and for understanding important genetic variations such as those resulting in diseases. We present the algorithmic foundations and implementation of PaCE, a parallel software system we developed for large-scale EST clustering. The novel features of our approach include 1) design of space-efficient algorithms to limit the space required to linear in the size of the input data set, 2) a combination of algorithmic techniques to reduce the total work without sacrificing the quality of EST clustering, and 3) use of parallel processing to reduce runtime and facilitate clustering of large data sets. Using a combination of these techniques, we report the clustering of 327,632 rat ESTs in 47 minutes, and 420,694 Triticum aestivum ESTs in 3 hours and 15 minutes, using a 60-processor IBM xSeries cluster. These problems are well beyond the capabilities of state-of-the-art sequential software. We also present thorough experimental evaluation of our software including quality assessment using benchmark Arabidopsis EST data."",""1558-2183"","""",""10.1109/TPDS.2003.1255634"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255634"","""",""Parallel algorithms";Clustering algorithms;Sequences;DNA;Genetics;Diseases;Software algorithms;Software systems;Large-scale systems;"Algorithm design and analysis"","""",""22"","""",""30"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Split-path enhanced pipeline scheduling,""SangMin Shim";" Soo-Mook Moon"",""School of Electrical Engineering and Computer Science, Seoul National University, Seoul, South Korea";" School of Electrical Engineering and Computer Science, Seoul National University, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""21 May 2003"",""2003"",""14"",""5"",""447"",""462"",""Software pipelining increases the loop execution throughput by overlapping the execution of successive iterations in a pipelined fashion. For loops with control flows, however, software pipelining is not straightforward because we need to consider the overlap of more than one execution path. Modulo scheduling simply transforms them into straightline loops through if-conversion which, in effect, achieves a fixed, worst-case initiation interval (/spl par/) among all paths. On the other hand, all-path pipelining (APP) and enhanced pipeline scheduling (EPS) can achieve a variable /spl par/ depending on the path that is taken at execution time. Unfortunately, APP concentrates only on the overlap within the same path, entirely losing the overlap between different paths, whereas EPS attempts to overlap all paths together, failing to produce a tight schedule for each individual path, especially when resource constraints are tight. In this paper, we propose a new approach to EPS called split-path EPS (SP-EPS), which first splits each individual path via tail duplication and then performs EPS in a way to guarantee a tight schedule for each path, while producing a competitive cross-path schedule. We also extend SP-EPS to outer loops such that frequent paths that bypass the inner loop are split and then scheduled by SP-EPS. Our experimental results on nontrivial integer benchmarks show that SP-EPS can achieve as much as a geometric mean of 10 percent speedup over EPS when innermost loops are scheduled by SP-EPS, while it can achieve a geometric mean of 11.9 percent speedup when outer loops are also scheduled by SP-EPS."",""1558-2183"","""",""10.1109/TPDS.2003.1199063"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1199063"","""",""Pipeline processing";Processor scheduling;Microprocessors;Moon;Throughput;Tail;"Kernel"","""",""1"","""",""23"",""IEEE"",""21 May 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Stampede: a cluster programming middleware for interactive stream-oriented applications,""U. Ramachandran"; R. S. Nikhil; J. M. Rehg; Y. Angelov; A. Paul; S. Adhikari; K. M. Mackenzie; N. Harel;" K. Knobe"",""College of Computing, Georgia Tech, Atlanta, GA, USA"; Sandburst Corporation, Andover, USA; College of Computing, Georgia Tech, Atlanta, GA, USA; College of Computing, Georgia Tech, Atlanta, GA, USA; College of Computing, Georgia Tech, Atlanta, GA, USA; College of Computing, Georgia Tech, Atlanta, GA, USA; College of Computing, Georgia Tech, Atlanta, GA, USA; College of Computing, Georgia Tech, Atlanta, GA, USA;" Hewlett-Packard Laboratoties, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Nov 2003"",""2003"",""14"",""11"",""1140"",""1154"",""Emerging application domains such as interactive vision, animation, and multimedia collaboration display dynamic scalable parallelism and high-computational requirements, making them good candidates for executing on parallel architectures such as SMPs and clusters of SMPs. Stampede is a programming system that has many of the needed functionalities such as high-level data sharing, dynamic cluster-wide threads and their synchronization, support for task and data parallelism, handling of time-sequenced data items, and automatic buffer management. We present an overview of Stampede, the primary data abstractions, the algorithmic basis of garbage collection, and the issues in implementing these abstractions on a cluster of SMPs. We also present a set of micromeasurements along with two multimedia applications implemented on top of Stampede, through which we demonstrate the low overhead of this runtime and that it is suitable for the streaming multimedia applications."",""1558-2183"","""",""10.1109/TPDS.2003.1247674"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1247674"","""",""Middleware";Streaming media;Dynamic programming;Animation;Collaboration;Displays;Parallel architectures;Automatic programming;Functional programming;"Parallel programming"","""",""16"","""",""26"",""IEEE"",""24 Nov 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Statistical real-time communication over Ethernet,""Seok-Kyu Kweon";" K. G. Shin"",""Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2003"",""2003"",""14"",""3"",""322"",""335"",""In order to realize real-time communication over Ethernet or fast Ethernet, one must be able to bound the medium access time within an acceptable limit. The multiple access nature of Ethernet makes it impossible to guarantee a deterministic medium access time (hence, packet-delivery deadlines) to individual stations. However, one can bound the medium access time statistically by limiting the packet-arrival rate at the medium access control (MAC) layer. While considering automated manufacturing systems as the main target application, this paper addresses the connection admission control (CAC) problem for statistically bounding the medium access time of Ethernet. Specifically, a packet is guaranteed to have a medium access time smaller than a predefined bound with a certain probability if the instantaneous packet-arrival rate is kept below a certain threshold. Through a mathematical analysis, we first derived such a threshold. In order to keep the packet-arrival rate under the given threshold, we developed and installed middleware which 1) resides between the transport layer and the Ethernet datalink layer, and 2) smooths packet streams between them. The implementation of this middleware requires only a minimal change in the OS kernel without modification to the current standard of Ethernet MAC protocol or TCP or UDP/IP stack. In order to solve the CAC problem, we derived the probability of transmitting a packet successfully upon each trial by modeling the MAC protocol, 1-persistent CSMA/CD, and the collision resolution protocol inary exponential backoff - of Ethernet. Our in-depth simulation results have shown this analytic model to provide a reasonably accurate estimate of packet-loss (or deadline-miss) ratio over fast Ethernet. Finally, we implemented the middleware on the Linux OS, experimentally demonstrating the effectiveness of our approach in providing real-time communication over Ethernet."",""1558-2183"","""",""10.1109/TPDS.2003.1189588"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1189588"","""",""Ethernet networks";Media Access Protocol;Middleware;Manufacturing systems;Admission control;Probability;Mathematical analysis;Kernel;TCPIP;"Multiaccess communication"","""",""21"","""",""16"",""IEEE"",""26 Mar 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Subject index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1289"",""1296"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.2003.1255641"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255641"","""","""","""","""","""","""",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Summation and routing on a partitioned optical passive stars network with large group size,""Amitava Datta";" Subbiah Soundaralakshmi"",""School of Computer Science and Software Engineering, University of Western Australia, Perth, WA, Australia";" School of Computer Science and Software Engineering, University of Western Australia, Perth, WA, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Jan 2004"",""2003"",""14"",""12"",""1275"",""1285"",""In a partitioned optical passive stars (POPS) network, n=dg processors are divided into g groups of d processors each, and such a POPS network is denoted by POPS(d,g). There is an optical passive star (OPS) coupler between every pair of groups. Hence, a POPS(d,g) requires g/sup 2/ couplers. It is likely that, in a practical system, the number of couplers will be less than the number of processors, i.e., d>/spl radic/n>g and the number of groups will be smaller than the number of processors in a group. Hence, it is important to design fast algorithms for basic operations on such POPS networks with large group size. We present fast algorithms for data sum, prefix sum, and permutation routing on a POPS(d,g) such that d>/spl radic/n>g. Our data sum and prefix sum algorithms improve upon the best known algorithms for these problems designed by Sahni (2000). Permutation routing can be solved on a POPS network by simulating a hypercube sorting algorithm. Our algorithm for permutation routing is more efficient compared to this simulated hypercube sorting algorithm."",""1558-2183"","""",""10.1109/TPDS.2003.1255639"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1255639"","""",""Routing";Optical fiber networks;Algorithm design and analysis;Hypercubes;Partitioning algorithms;Optical interconnections;Optical coupling;Computational modeling;Sorting;"Optical computing"","""",""6"","""",""16"",""IEEE"",""7 Jan 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
"Symbolic performance modeling of parallel systems,""A. J. C. van Gemund"",""Department of Information Technology and Systems, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2003"",""2003"",""14"",""2"",""154"",""165"",""Performance prediction is an important engineering tool that provides valuable feedback on design choices in program synthesis and machine architecture development. We present an analytic performance modeling approach aimed to minimize prediction cost, while providing a prediction accuracy that is sufficient to enable major code and data mapping decisions. Our approach is based on a performance simulation language called PAMELA. Apart from simulation, PAMELA features a symbolic analysis technique that enables PAMELA models to be compiled into symbolic performance models that trade prediction accuracy for the lowest possible solution cost. We demonstrate our approach through a large number of theoretical and practical modeling case studies, including six parallel programs and two distributed-memory machines. The average prediction error of our approach is less than 10 percent, while the average worst-case error is limited to 50 percent. It is shown that this accuracy is sufficient to correctly select the best coding or partitioning strategy. For programs expressed in a high-level, structured programming model, such as data-parallel programs, symbolic performance modeling can be entirely automated. We report on experiments with a PAMELA model generator built within a dataparallel compiler for distributed-memory machines. Our results show that with negligible program annotation, symbolic performance models are automatically compiled in seconds, while their solution cost is in the order of milliseconds."",""1558-2183"","""",""10.1109/TPDS.2003.1178879"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1178879"","""",""Costs";Predictive models;Accuracy;Performance analysis;Design engineering;Feedback;Computer architecture;Concurrent computing;High performance computing;"Computer Society"","""",""30"","""",""39"",""IEEE"",""19 Feb 2003"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
