"2000 reviewers list,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""3"",""6"",""The publication offers a note of thanks and lists its reviewers."",""1558-2183"","""",""10.1109/TPDS.2001.899935"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899935"","""",""IEEE"","""","""","""","""",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Parallel solutions of simple indexed recurrence equations,""Y. Ben-Asher";" G. Haber"",""Department of Computer Science, Haifa University, Haifa, Israel";" IBM Research Laboratory, Matam-Advanced Technologies Center, Haifa, Israel"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""22"",""37"",""We define a new type of recurrence equations called """"Simple Indexed Recurrences"""" (SIR). In this type of equations, ordinary recurrences are generalized to X[g(i)]=op/sub i/(X[f(i)], X[g(i)]), where f, g : {1...n}/spl rarr/{1...m}, op/sub i/(x, y) is a binary associative operator and g is distinct, i.e., /spl forall/i/spl ne/j g(i)/spl ne/g(j). This enables us to model certain sequential loops as a sequence of SIR equations. A parallel algorithm that solves a set of SIR equations will, in fact, parallelize sequential loops of the above type. Such a parallel SIR algorithm must be efficient enough to compete with the O(n) work complexity of the original loop. We show why efficient parallel algorithms for the related problems of list ranking and tree contraction, which require O(n) work, cannot be applied to solving SIR. We instead use repeated iterations of pointer jumping to compute the final values of X[] in n/p/spl middot/log p steps and n/spl middot/log p work, with p processors. A sequence of experiments was performed to test the effect of synchronous and asynchronous executions on the actual performance of the algorithm. These experiments show that pointer jumping requires O(n)) work in most practical cases of SIR loops. An efficient solution is given for the special case where we know how to compute the inverse of op/sub i/, and finally, useful applications of SIR to the well-known Livermore loops benchmark are presented."",""1558-2183"","""",""10.1109/71.899937"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899937"","""",""Difference equations";Parallel algorithms;Indexing;Performance evaluation;Testing;"Optical computing"","""",""7"","""",""17"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Phase synchronization on asynchronous uniform rings with odd size,""Tzong-Jye Liu";" Shing-Tsaan Huang"",""Network Management System Department Industrial Technology Research Institute, NTT Network Service Systems Laboratories, Tokyo, Japan";" Department of Computer Science, National Tsing Hua University, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""638"",""652"",""This paper proposes a self-stabilizing phase synchronization protocol for uniform rings with an odd size. Nodes in the ring work asynchronously and proceed in a cyclic sequence of K phases, where K is even. The phase values of all the nodes are required to be no more than one apart. A system state which satisfies the requirement is therefore called a legitimate state. The proposed protocol guarantees that no matter with which initial state the system may start, the ring stabilizes eventually at a state after which the closure property on the legitimate state holds. Phase values should never go backward. The closure property on the legitimate states commonly used in previous works on self-stabilization cannot capture this requirement. This paper defines two terms, legitimate step and illegitimate step, to address this issue. An execution step that brings the ring from a legitimate state to another legitimate state in a way that the phase values of the nodes only advance is called a legitimate step. An execution step that observes the closure property on the legitimate states but makes some phase values go backward is modeled as an illegitimate step. It is shown that, for the proposed protocol, only a finite number of illegitimate steps are possible. After all possible illegitimate steps have occurred, the closure property on the legitimate steps holds."",""1558-2183"","""",""10.1109/71.932717"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932717"","""",""Access protocols";Fault tolerant systems;"Phased arrays"","""",""2"","""",""13"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Power-aware localized routing in wireless networks,""I. Stojmenovic";" X. Lin"",""SITE, University of Ottawa, ONT, Canada";" Cognos, Inc., Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""11"",""1122"",""1133"",""A cost aware metric for wireless networks based on remaining battery power at nodes was proposed for shortest-cost routing algorithms, assuming constant transmission power. Power-aware metrics, where transmission power depends on distance between nodes and corresponding shortest power algorithms were also proposed. We define a power-cost metric based on the combination of both node's lifetime and distance-based power metrics. We investigate some properties of power adjusted transmissions and show that, if additional nodes can be placed at desired locations between two nodes at distance d, the transmission power can be made linear in d as opposed to d/sup /spl alpha// dependence for /spl alpha/ /spl ges/ 2. This provides basis for power, cost, and power-cost localized routing algorithms where nodes make routing decisions solely on the basis, of location of their neighbors and destination. The power-aware routing algorithm attempts to minimize the total power needed to route a message between a source and a destination. The cost-aware routing algorithm is aimed at extending the battery's worst-case lifetime at each node. The combined power-cost localized routing algorithm attempts to minimize the total power needed and to avoid nodes with a short battery's remaining lifetime. We prove that the proposed localized power, cost, and power-cost efficient routing algorithms are loop-free and show their efficiency by experiments."",""1558-2183"","""",""10.1109/71.969123"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969123"","""",""Intelligent networks";Wireless networks;Wireless sensor networks;Costs;Batteries;Routing protocols;Distributed algorithms;Energy management;Propagation losses;"Aircraft"","""",""426"",""14"",""33"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Real-time transport of MPEG video with a statistically guaranteed loss ratio in ATM networks,""S. . -K. Kweon";" K. G. Shin"",""Cisco Systems, Inc., San Jose, CA, USA";" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""387"",""403"",""Unlike deterministic real-time communication in which excessive resources may be required for """"absolute"""" performance guarantees, statistical real-time communication seeks to achieve both probabilistic performance guarantees and efficient resource sharing. This paper presents a framework for statistical real-time communication in ATM networks, providing delay-guaranteed transport of MPEG-coded video traffic with a statistically-guaranteed cell-loss ratio. Delay-guaranteed communication is achieved with a modified version of Traffic-Controlled Rate-Monotonic Priority Scheduling (TCRM). A set of statistical real-time channels that share similar traffic characteristics are multiplexed into a common macrochannel. Those statistical real-time channels which are multiplexed together share the resources of a macrochannel, and individual statistical real-time channels are given timeliness and probabilistic cell-loss guarantees. A macrochannel is serviced by the modified TCRM which improves link utilization and makes channel management simpler. Based on the analysis of an M/D/1/N queueing system, we propose a procedure for determining the transmission capacity of a macrochannel necessary to statistically guarantee a cell-loss ratio bound. Our extensive trace-driven simulation has shown the superiority of the proposed framework to the other approaches. The overall cell-loss ratios for multihop statistical real-time channels are shown to be smaller than the predetermined bounds, thus verifying our analytical results."",""1558-2183"","""",""10.1109/71.920588"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920588"","""",""Intelligent networks";Telecommunication traffic;Asynchronous transfer mode;Traffic control;Delay;Videoconference;B-ISDN;Resource management;Video sharing;"Queueing analysis"","""",""10"","""",""54"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Recursive diagonal torus: an interconnection network for massively parallel computers,""Yulu Yang"; A. Funahashi; A. Jouraku; H. Nishi; H. Amano;" T. Sueyoshi"",""Department of Computer Science, Nankai University, Tianjin, China"; Department of Information Technology, Mie University, Tsu, Mie, Japan; Department of Computer Science, Keio University, Yokohama, Japan; Real World Computing Partnership, Tsukuba, Ibaraki, Japan; Department of Computer Science, Keio University, Yokohama, Japan;" Department of Computer Science, Kumamoto University, Kumamoto, Japan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""701"",""715"",""Recursive Diagonal Torus (RDT), a class of interconnection network is proposed for massively parallel computers with up to 2/sup 16/ nodes. By making the best use of a recursively structured diagonal mesh (torus) connection, the RDT has a smaller diameter (e.g., it is 11 for 2/sup 10/ nodes) with a smaller number of links per node (i.e., 8 links per node) than those of the hypercube. A simple routing algorithm, called vector routing, which is near-optimal and easy to implement is also proposed. Although the congestion on upper rank tori sometimes degrades the performance under the random traffic, the RDT provides much better performance than that of a 2D/3D torus in most cases and, under hot spot traffic, the RDT provides much better performance than that of a 2D/3D/4D torus. The RDT router chip which provides a message multicast for maintaining cache consistency is available. Using the 0.5 /spl mu/m BICMOS SOG technology, versatile functions, including hierarchical multicasting, combining acknowledge packets, shooting down/restart mechanism, and time-out/setup mechanisms, work at a 60 MHz clock rate."",""1558-2183"","""",""10.1109/71.940745"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940745"","""",""Multiprocessor interconnection networks";Computer networks;Concurrent computing;Routing;Mesh networks;Hypercubes;Degradation;Multicast algorithms;Network topology;"Computer science"","""",""50"","""",""32"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Response time analysis of parallel computer and storage systems,""E. Varki"",""Department of Computer Science, University of New Hampshire, Durham, NH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""11"",""1146"",""1161"",""Fork-join structures have gained increased importance in recent years as a means of modeling parallelism in computer and storage systems. The basic fork-join model is one in which a job arriving at a parallel system splits into K independent tasks that are assigned to K unique, homogeneous servers. In the paper, a simple response time approximation is derived for parallel systems with exponential service time distributions. The approximation holds for networks modeling several devices, both parallel and nonparallel. (In the case of closed networks containing a stand-alone parallel system, a mean response time bound is derived.) In addition, the response time approximation is extended to cover the more realistic case wherein a job splits into an arbitrary number of tasks upon arrival at a parallel system. Simulation results for closed networks with stand-alone parallel subsystems and exponential service time distributions indicate that the response time approximation is, on average, within 3 percent of the seeded response times. Similarly, simulation results with nonexponential distributions also indicate that the response time approximation is close to the seeded values. Potential applications of our results include the modeling of data placement in disk arrays and the execution of parallel programs in multiprocessor and distributed systems."",""1558-2183"","""",""10.1109/71.969125"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=969125"","""",""Delay";Concurrent computing;Parallel processing;Computer networks;Network servers;Computational modeling;Application software;Power system modeling;Helium;"Predictive models"","""",""33"","""",""30"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Self-stabilizing strong fairness under weak fairness,""M. H. Karaata"",""Department of Computer Engineering, University of Kuwait, Safat, Kuwait"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""4"",""337"",""345"",""Fairness assumptions have a great impact on distributed algorithms. They play a major role in determining the time complexity and the correctness of algorithms, since progress or freedom from various types of starvation may not be guaranteed without fairness assumptions. In this paper, we present a stabilizing deterministic algorithm allowing simultaneous execution of actions for strong fairness under weak fairness assumption, in addition, we show that the proposed algorithm yields a high degree of concurrency. We conclude the paper with some remarks on issues such as time optimal implementation of strong fairness and open problems related to fairness."",""1558-2183"","""",""10.1109/71.920585"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=920585"","""",""Distributed algorithms";Protocols;Concurrent computing;Broadcasting;Multiaccess communication;"Topology"","""",""16"","""",""23"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"SimpleFit: a framework for analyzing design trade-offs in Raw architectures,""C. A. Moritz"; Donald Yeung;" A. Agarwal"",""Electrical and Computer Engineering Department, University of Massachusetts, Amherst, MA, USA"; Department of Electrical and Computer Engineering, University of Maryland, College Park, MD, USA;" Laboratory for Computer Science, MIT, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""7"",""730"",""742"",""The semiconductor industry roadmap projects that advances in VLSI technology will permit more than one billion transistors on a chip by the year 2010. The MIT Raw microprocessor is a proposed architecture that strives to exploit these chip-level resources by implementing thousands of tiles, each comprising a processing element and a small amount of memory, coupled by a static two-dimensional interconnect. A compiler partitions fine-grain instruction-level parallelism across the tiles and statically schedules intertile communication over the interconnect. Because Raw microprocessors fully expose their internal hardware structure to the software, they can be viewed as a gigantic FPGA with coarse-grained tiles in which software orchestrates communication over static interconnections. One open challenge in Raw architectures is to determine their optimal grain size and balance. The grain size is the area of each tile and the balance is the proportion of area in each tile devoted to memory, processing, communication, and off-chip global I/O. If the total chip area is fixed, higher processing power per tile requires large tiles and hence reduces the total number of tiles on the chip. This paper presents SimpleFit, a novel analytical framework that designers can use to reason about the design space of Raw microprocessors. Our model is also generalizable to multiprocessors on a chip. Based on an architectural model, an application model, and a VLSI cost analysis, the framework computes the performance of applications and uses an optimization process to identify designs that will execute these applications most cost-effectively, Although the optimal machine configurations obtained vary for different applications, problem sizes, and budgets, the general trends for various applications are similar. Accordingly, for the applications studied, assuming a one billion logic transistor equivalent area, we recommend building a Raw chip with approximately 1,000 tiles, 30 words/cycle global I/O, 20 Kbytes of local memory per tile, three to four words/cycle local communication bandwidth, and single-issue processors. This configuration will give performance near the global optimum for most applications."",""1558-2183"","""",""10.1109/71.940747"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=940747"","""",""Microprocessors";Very large scale integration;Grain size;Electronics industry;Transistors;Parallel processing;Job shop scheduling;Processor scheduling;"Hardware"","""",""12"",""16"",""29"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Speculative Versioning Cache,""T. N. Vijaykumar"; S. Gopal; J. E. Smith;" G. Sohi"",""School of Electrical and Computer Engineering, Purdue University, Calumet, West Lafayette, IN, USA"; Network Operations Software Group, Lucent Technologies, Inc., USA; Department of Electrical and Computer Engineering, University of Wisconsin, Madison, WI, USA;" Department of Computer Sciences, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1305"",""1317"",""Dependences among loads and stores whose addresses are unknown hinder the extraction of instruction level parallelism during the execution of a sequential program. Such ambiguous memory dependences can be overcome by memory dependence speculation which enables a load or store to be speculatively executed before the addresses of all preceding loads and stores are known. Furthermore, multiple speculative stores to a memory location create multiple speculative versions of the location. Program order among the speculative versions must be tracked to maintain sequential semantics. A previously proposed approach, the Address Resolution Buffer (ARB) uses a centralized buffer to support speculative versions. Our proposal, called the Speculative Versioning Cache (SVC), uses distributed caches to eliminate the latency and bandwidth problems of the ARB. The SVC conceptually unifies cache coherence and speculative versioning by using an organization similar to snooping bus-based coherent caches. Our evaluation for the Multiscalar architecture shows that hit latency is an important factor affecting performance and private cache solutions trade-off hit rate for hit latency."",""1558-2183"","""",""10.1109/71.970565"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970565"","""",""Delay";Buffer storage;Parallel processing;Static VAr compensators;Registers;Proposals;Bandwidth;Protocols;Microprocessors;"Data mining"","""",""31"",""41"",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Static and dynamic locality optimizations using integer linear programming,""M. Kandemir"; P. Banerjee; A. Choudhary; J. Ramanujam;" E. Ayguade"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"; Department of Electrical and Computer Engineering, Northwestern University, IL, USA; Department of Electrical and Computer Engineering, Northwestern University, IL, USA; Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA;" Centre Europeu de Parallelisme de Barcelona, Department d'Arquitectura de Computadors, Universidade Politècnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Feb 2009"",""2001"",""12"",""9"",""922"",""941"",""The delivered performance on modern processors that employ deep memory hierarchies is closely related to the performance of the memory subsystem. Compiler optimizations aimed at improving cache locality are critical in realizing the performance potential of powerful processors. For scientific applications, several loop transformations have been shown to be useful in improving both temporal and spatial locality. Recently, there has been some work in the area of data layout optimizations, i.e., changing the memory layouts of multidimensional arrays from the language-defined default such as column-major storage in Fortran. The effect of such memory layout decisions is on the spatial locality characteristics of loop nests. While data layout transformations are not constrained by data dependences, they have no effect on temporal locality. On the other hand, loop transformations are not readily applicable to imperfect loop nests and are constrained by data dependences. More importantly, loop transformations affect the memory access patterns of all the arrays accessed in a loop nest and, as a result, the locality characteristics of some of the arrays may worsen. This paper presents a technique based on integer linear programming (ILP) that attempts to derive the best combination of loop and data layout transformations. Prior attempts to unify loop and data layout transformations for programs consisting of a sequence of loop nests have been based on heuristics not only for transformations for a single loop nest but also for the sequence in which loop nests will be considered. The ILP formulation presented here obviates the need for such heuristics and gives us a bar against which the heuristic algorithms can be compared. More importantly, our approach is able to transform memory layouts dynamically during program execution. This is particularly useful in applications whose disjoint code segments demand different layouts for a given array. In addition, we show how this formulation can be extended to address the false sharing problem in a multiprocessor environment. The key data structure we introduce is the memory layout graph (MLG) that allows us to formulate the problems as path problems. The paper discusses the relationship of this ILP approach based on the memory layout graphs to other work in the area including our previous work. Experimental results on a MIPS R10000-based system demonstrate the benefits of this approach and show that the use of the ILP formulation does not increase the compilation time significantly."",""1558-2183"","""",""10.1109/TPDS.2001.1184186"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1184186"","""",""Dynamic programming";Integer linear programming;Optimizing compilers;Random access memory;Program processors;Application software;Multidimensional systems;Heuristic algorithms;Data structures;"Helium"","""",""9"",""1"",""61"",""IEEE"",""6 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;
"Subject index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""2001"",""12"",""12"",""1335"",""1341"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.2001.970568"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=970568"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"Submesh determination in faulty tori and meshes,""Hsing-Lung Chen";" Shu-Hua Hu"",""Department of Electronic Engineering, National Taiwan University of Science and Technology, Taipei, Taiwan";" Department of Electronic Engineering, Jin-Wen Institute of Technology, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""3"",""272"",""282"",""Torus/mesh-based machines have received increasing attention. It is natural to identify the maximum healthy submeshes in a faulty torus/mesh so as to lower potential performance degradation, because the time for executing a parallel algorithm tends to depend on the size of the assigned submesh. This paper proposes an efficient approach for identifying all the maximum healthy submeshes present in a faulty torus/mesh. The proposed approach is based on manipulating set expressions, with the search space reduced considerably by taking advantage of the interesting properties of a faulty torus/mesh. This procedure is a distributed one, because every healthy node performs the same procedure independently and concurrently. We show that the proposed scheme may outperform previous methods."",""1558-2183"","""",""10.1109/71.914767"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=914767"","""",""Fault diagnosis";Hypercubes;Degradation;Topology;Parallel algorithms;Helium;Concurrent computing;Target tracking;"Fault tolerant systems"","""",""6"","""",""19"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Symbolic model checking for self-stabilizing algorithms,""T. Tsuchiya"; S. Nagano; R. B. Paidi;" T. Kikuno"",""Department of Informatics and Mathematical Science, Osaka University, Osaka, Japan"; Department of Informatics and Mathematical Science, Osaka University, Osaka, Japan; Development Center, Toshiba Corporate Research, Kawasaki, Japan;" Matsushita Elecrric Indusrrial Company Limited, Malaysia"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""1"",""81"",""95"",""A distributed system is said to be self-stabilizing if it converges to safe states regardless of its initial state. In this paper we present our results of using symbolic model checking to verify distributed algorithms against the self-stabilizing property. In general, the most difficult problem with model checking is state explosion";" it is especially serious in verifying the self-stabilizing property, since it requires the examination of all possible initial states. So far applying model checking to self-stabilizing algorithms has not been successful due to the problem of state explosion. In order to overcome this difficulty, we propose to use symbolic model checking for this purpose. Symbolic model checking is a verification method which uses Ordered Binary Decision Diagrams (OBDDs) to compactly represent state spaces. Unlike other model checking techniques, this method has the advantage that most of its computations do not depend on the initial states. We show how to verify the correctness of algorithms by means of SMV, a well-known symbolic model checker. By applying the proposed approach to several algorithms in the literature, we demonstrate empirically that the state spaces of self-stabilizing algorithms can be represented by OBDDs very efficiently. Through these case studies, we also demonstrate the usefulness of the proposed approach in detecting errors."",""1558-2183"","""",""10.1109/71.899941"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=899941"","""",""Distributed algorithms";State-space methods;Explosions;Data structures;Boolean functions;Computer science;Application software;Centralized control;Routing;"Mathematical model"","""",""18"","""",""27"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Termination detection protocols for mobile distributed systems,""Yu-Chee Tseng";" Cheng-Chung Tan"",""Department of Computer Science and Information Engineering, National Chiao Tung University, Hsinchu, Taiwan";" Department of Computer Science and Information Engineering, National Central University, Chungli, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""6"",""558"",""566"",""This paper studies a fundamental problem, the termination detection problem, in distributed systems. Under a wireless network environment, we show how to handle the host mobility and disconnection problems. In particular, when some distributed processes are temporarily disconnected, we show how to capture a weakly terminated state where silence has been reached only by those currently connected processes. A user may desire to know such a state to tell whether the mobile distributed system is still running or is silent because some processes are disconnected. Our protocol tries to exploit the network hierarchy by combining two existing protocols together. It employs the weight-throwing scheme on the wired network side, and the diffusion-based scheme on each wireless cell. Such a hybrid protocol can better pave the gaps of computation and communication capability between static and mobile hosts, thus more scalable to larger distributed systems. Analysis and simulation results are also presented."",""1558-2183"","""",""10.1109/71.932710"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=932710"","""",""Mobile computing";Distributed computing;Mobile communication;Computer networks;Wireless communication;Wireless networks;Computational modeling;Wireless application protocol;Personal digital assistants;"Analytical models"","""",""7"","""",""24"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"The efficient computation of ownership sets in HPF,""P. G. Joisha";" P. Banerjee"",""Center for Parallel and Distributed Computing, Electrical and Computer Engineering Department, Technological Institute, Northwestern University, Evanston, IL, USA";" Center for Parallel and Distributed Computing, Electrical and Computer Engineering Department, Technological Institute, Northwestern University, Evanston, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""8"",""769"",""788"",""Ownership sets are fundamental to the partitioning of program computations across processors by the owner-computes rule. These sets arise due to the mapping of arrays onto processors. In this paper, we focus on how ownership sets can be efficiently determined in the context of the HPF language and show how the structure of these sets can be symbolically characterized in the presence of arbitrary array alignment and array distribution directives. Our starting point is a system of equalities and inequalities due to Ancourt et al. (1995) that captures the array mapping problem in HPF. We arrive at a refined system that enables us to efficiently solve for the ownership set using the Fourier-Motzkin Elimination technique and that requires the course vector as the only auxiliary vector. The formulation makes it possible to enumerate the elements of the ownership set exactly once, a feature that is very beneficial when such sets are applied to handle DO loops qualified by HPF's INDEPENDENT directive. We develop important and general properties pertaining to HPF alignments and distributions and show how they can be used to eliminate redundant communication due to array replication. Polynomial-time schemes that determine whether the ownership set of a particular processor, with respect to some array, is the empty set or whether the ownership set of every processor, with respect to some array, is the empty set, are presented. We show how distribution directives with unspecified processor meshes can be efficiently handled at compile time. We also show how to avoid the generation of communication code when pairs of array references are ultimately mapped onto the same processors. Experimental data demonstrating the improved code performance that the latter optimization enables is presented and discussed."",""1558-2183"","""",""10.1109/71.946650"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946650"","""",""Program processors";Polynomials;Concurrent computing;Distributed computing;High performance computing;Programming profession;"Grid computing"","""",""1"","""",""15"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"The power of two choices in randomized load balancing,""M. Mitzenmacher"",""Harvard University, Cambridge, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""10"",""1094"",""1104"",""We consider the following natural model: customers arrive as a Poisson stream of rate /spl lambda/n, /spl lambda/<1, at a collection of n servers. Each customer chooses some constant d servers independently and uniformly at random from the n servers and waits for service at the one with the fewest customers. Customers are served according to the first-in first-out (FIFO) protocol and the service time for a customer is exponentially distributed with mean 1. We call this problem the supermarket model. We wish to know how the system behaves and in particular we are interested in the effect that the parameter d has on the expected time a customer spends in the system in equilibrium. Our approach uses a limiting, deterministic model representing the behavior as n/spl rarr//spl infin/ to approximate the behavior of finite systems. The analysis of the deterministic model is interesting in its own right. Along with a theoretical justification of this approach, we provide simulations that demonstrate that the method accurately predicts system behavior, even for relatively small systems. Our analysis provides surprising implications. Having d=2 choices leads to exponential improvements in the expected time a customer spends in the system over d=1, whereas having d=3 choices is only a constant factor better than d=2. We discuss the possible implications for system design."",""1558-2183"","""",""10.1109/71.963420"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=963420"","""",""Load management";Queueing analysis;Protocols;Load modeling;Predictive models;System analysis and design;Computer applications;Resource management;H infinity control;"Differential equations"","""",""622"",""10"",""37"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Time stamp algorithms for runtime parallelization of DOACROSS loops with dynamic dependences,""C. . -Z. Xu";" V. Chaudhary"",""Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA";" Department of Electrical and Computer Engineering, Wayne State University, Detroit, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2002"",""2001"",""12"",""5"",""433"",""450"",""This paper presents a time stamp algorithm for runtime parallelization of general DOACROSS loops that have indirect access patterns. The algorithm follows the INSPECTOR/EXECUTOR scheme and exploits parallelism at a fine-grained memory reference level. It features a parallel inspector and improves upon previous algorithms of the same generality by exploiting parallelism among consecutive reads of the same memory element. Two variants of the algorithm are considered: One allows partially concurrent reads (PCR) and the other allows fully concurrent reads (FCR). Analyses of their time complexities derive a necessary condition with respect to the iteration workload for runtime parallelization. Experimental results for a Gaussian elimination loop, as well as an extensive set of synthetic loops on a 12-way SMP server, show that the time stamp algorithms outperform iteration-level parallelization techniques in most test cases and gain speedups over sequential execution for loops that have heavy iteration workloads. The PCR algorithm performs best because it makes a better trade-off between maximizing the parallelism and minimizing the analysis overhead. For loops with light or unknown iteration loads, an alternative speculative runtime parallelization technique is preferred."",""1558-2183"","""",""10.1109/71.926166"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=926166"","""",""Runtime";Parallel processing;Computational fluid dynamics;Fluid dynamics;Sparse matrices;Computer Society;Sequential analysis;Performance analysis;Algorithm design and analysis;"Computational modeling"","""",""14"","""",""40"",""IEEE"",""7 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
