"A Comment on ""The Exchanged Hypercube',""Y. -w. Chen"",""Department of Computer and Information Science, Aletheia University, Taipei, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""576"",""576"",""We address and analyze the problems existing on the exchanged hypercube proposed by Loh et al., an interconnection network obtained by systematically removing links from a hypercube. By taking the wrong number of links, the exchanged hypercube suffers from two problems. Necessary modifications on the exchanged hypercube, including the incremental expandability and the ratio of the number of links in EH(s, t) to that of an (s+t+1)-dimensional hypercube, are made"",""1558-2183"","""",""10.1109/TPDS.2007.1006"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118697"",""Interconnection network";exchanged hypercube;incremental expandability;"number of links."",""Hypercubes";Multiprocessor interconnection networks;Topology;Intelligent networks;"Hamming distance"","""",""16"","""",""1"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Push-Pull: Deterministic Search-Based DAG Scheduling for Heterogeneous Cluster Systems,""S. C. Kim"; S. Lee;" J. Hahm"",""Embedded S/W Research Division, Electronics and Telecommunications Research Institute, Daejeon, South Korea"; Department of Electrical Engineering, Pohang University of Science and Technology, Pohang, South Korea;" Grid Computing Research Team, Korea Institute of Science and Technology, Daejeon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Oct 2007"",""2007"",""18"",""11"",""1489"",""1502"",""Consider directed acyclic graph (DAG) scheduling for a large heterogeneous system, which consists of processors with varying processing capabilities and network links with varying bandwidths. The search space of possible task schedules for this problem is immense. One possible approach for this optimization problem, which is NP-hard, is to start with the best task schedule found by a fast deterministic task scheduling algorithm and then iteratively attempt to improve the task schedule by employing a general random guided search method. However, such an approach can lead to extremely long search times, and the solutions found are sometimes not significantly better than those found by the original deterministic task scheduling algorithm. In this paper, we propose an alternative strategy, termed Push-Pull, which starts with the best task schedule found by a fast deterministic task scheduling algorithm and then iteratively attempts to improve the current best solution using a deterministic guided search method. Our simulation results show that given similar runtimes, the Push-Pull algorithm performs well, achieving results similar to or better than all of the other algorithms being compared."",""1558-2183"","""",""10.1109/TPDS.2007.1106"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4339194"",""Task Scheduling";Optimization;Heterogeneous Systems;"Cluster Systems"",""Processor scheduling";Scheduling algorithm;Iterative algorithms;Heuristic algorithms;Search methods;Clustering algorithms;Costs;Wide area networks;Bandwidth;"Optimization methods"","""",""36"","""",""21"",""IEEE"",""8 Oct 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Randomized Protocols for Duplicate Elimination in Peer-to-Peer Storage Systems,""R. A. Ferreira"; M. K. Ramanathan; A. Grama;" S. Jagannathan"",""Department of Computer Sciences, Purdue University, West Lafayette, IN, USA"; Department of Computer Sciences, Purdue University, West Lafayette, IN, USA; Department of Computer Sciences, Purdue University, West Lafayette, IN, USA;" Department of Computer Sciences, Purdue University, West Lafayette, IN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""686"",""696"",""Distributed peer-to-peer systems rely on voluntary participation of peers to effectively manage a storage pool. In such systems, data is generally replicated for performance and availability. If the storage associated with replication is not monitored and provisioned, the underlying benefits may not be realized. Resource constraints, performance scalability, and availability present diverse considerations. Availability and performance scalability, in terms of response time, are improved by aggressive replication, whereas resource constraints limit total storage in the network. Identification and elimination of redundant data pose fundamental problems for such systems. In this paper, we present a novel and efficient solution that addresses availability and scalability with respect to management of redundant data. Specifically, we address the problem of duplicate elimination in the context of systems connected over an unstructured peer-to-peer network in which there is no a priori binding between an object and its location. We propose two randomized protocols to solve this problem in a scalable and decentralized fashion that does not compromise the availability requirements of the application. Performance results using both large-scale simulations and a prototype built on PlanetLab demonstrate that our protocols provide high probabilistic guarantees while incurring minimal administrative overheads."",""1558-2183"","""",""10.1109/TPDS.2007.351710"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160936"",""Peer-to-peer";unstructured networks;duplicate elimination;"randomized algorithms."",""Peer to peer computing";Availability;Scalability;Monitoring;Delay;Large-scale systems;Virtual prototyping;Access protocols;Control systems;"Network topology"","""",""2"",""3"",""31"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"ReDAL: An Efficient and Practical Request Distribution Technique for Application Server Clusters,""K. Dutta"; A. Datta; D. VanderMeer; H. Thomas;" K. Ramamritham"",""Decision Science and Information Systems, College of Business, Florida International University, Miami, FL, USA"; School of Information Systems, Singapore Management University, Singapore; Decision Science and Information Systems, College of Business, Florida International University, Miami, FL, USA; Moab, UT, USA;" Department of Computer Science and Engineering, IIT Bombay, Mumbai, India"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Oct 2007"",""2007"",""18"",""11"",""1516"",""1528"",""Modern Web-based application infrastructures are based on clustered multitiered architectures, where request distribution occurs in two sequential stages: over a cluster of Web servers and over a cluster of application servers. Much work has focused on strategies for distributing requests across a Web server cluster in order to improve the overall throughput across the cluster. The strategies applied at the application layer are the same as those at the Web server layer because it is assumed that they transfer directly. In this paper, we argue that the problem of distributing requests across an application server cluster is fundamentally different from the Web server request distribution problem due to core differences in request processing in Web and application servers. We devise an approach for distributing requests across a cluster of application servers such that the overall system throughput is enhanced, and load across the application servers is balanced."",""1558-2183"","""",""10.1109/TPDS.2007.1105"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4339196"",""[H-3-4-b] Distributed systems";[H-3-5-e]Web-based services;[J-8-a] Client/server and multitier systems;[J-8-e] Electronic commerce;"[J-8-l] Middleware/business logic"",""Web server";Throughput;Business;Logic;Runtime;Java;Switches;Routing;Management information systems;"Service oriented architecture"","""",""9"",""3"",""22"",""IEEE"",""8 Oct 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Reducing the Height of Independent Spanning Trees in Chordal Rings,""J. -S. Yang"; J. -M. Chang; S. -M. Tang;" Y. -L. Wang"",""Department of Information Management, National Taiwan University of Science and Technology, Taipei, Taiwan"; Department of Information Management, National Taipei College of Business, Taipei, Taiwan; Department of Psychology, Fu-Hsing-Kang College, Taipei, Taiwan;" Department of Computer Science and Information Engineering, National Chi Nan University, Nantou, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""644"",""657"",""This paper is concerned with a particular family of regular 4-connected graphs, called chordal rings. Chordal rings are a variation of ring networks. By adding two extra links (or chords) at each vertex in a ring network, the reliability and fault-tolerance of the network are enhanced. Two spanning trees on a graph are said to be independent if they are rooted at the same vertex, say, r, and for each vertex v \neq r, the two paths from r to v, one path in each tree, are internally disjoint. A set of spanning trees on a given graph is said to be independent if they are pairwise independent. Iwasaki et al. [CHECK END OF SENTENCE] proposed a linear time algorithm for finding four independent spanning trees on a chordal ring. In this paper, we give a new linear time algorithm to generate four independent spanning trees with a reduced height in each tree. Moreover, a complete analysis of our improvements on the heights of independent spanning trees is also provided."",""1558-2183"","""",""10.1109/TPDS.2007.351709"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160933"",""Chordal rings";interconnection networks;fault-tolerant broadcasting;independent spanning trees;"internally disjoint path."",""Tree graphs";Fault tolerance;Broadcasting;Routing;Multiprocessor interconnection networks;Shortest path problem;Data communication;Telecommunication network reliability;Protocols;"Algorithm design and analysis"","""",""46"","""",""15"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Resource-Aware Distributed Scheduling Strategies for Large-Scale Computational Cluster/Grid Systems,""S. Viswanathan"; B. Veeravalli;" T. G. Robertazzi"",""Computer Networks and Distributed Systems (CNDS) Laboratory, Department of Electrical and Computer Engineering, National University of Singapore, Singapore"; Computer Networks and Distributed Systems (CNDS) Laboratory, Department of Electrical and Computer Engineering, National University of Singapore, Singapore;" Department of Electrical and Computer Engineering, Stony Brook University, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Sep 2007"",""2007"",""18"",""10"",""1450"",""1461"",""In this paper, we propose distributed algorithms referred to as resource-aware dynamic incremental scheduling (RADIS) strategies. Our strategies are specifically designed to handle large volumes of computationally intensive arbitrarily divisible loads submitted for processing at cluster/grid systems involving multiple sources and sinks (processing nodes). We consider a real-life scenario, wherein the buffer space (memory) available at the sinks (required for holding and processing the loads) varies over time, and the loads have deadlines and propose efficient """"pull-based"""" scheduling strategies with an admission control policy that ensures that the admitted loads are processed, satisfying their deadline requirements. The design of our proposed strategies adopts the divisible load paradigm, referred to as the divisible load theory (DLT), which is shown to be efficient in handling large volume loads. We demonstrate detailed workings of the proposed algorithms via a simulation study by using real-life parameters obtained from a major physics experiment."",""1558-2183"","""",""10.1109/TPDS.2007.1073"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302731"",""Divisible loads";Grid computing;Cluster computing;buffer constraints;processing time;"deadlines"",""Processor scheduling";Large-scale systems;Distributed computing;Grid computing;Computer networks;Dynamic scheduling;Clustering algorithms;Resource management;Algorithm design and analysis;"Physics computing"","""",""59"","""",""24"",""IEEE"",""17 Sep 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Restoration Probability Modelling for Active Restoration-Based Optical Networks with Correlation Among Backup Routes,""M. M. A. Azim"; X. Jiang; P. -H. Ho; S. Horiguchi;" M. Guo"",""Department of Computer Science, Graduate School of Information Sciences, University of Tohoku, Sendai, Japan"; Department of Computer Science, Graduate School of Information Sciences, University of Tohoku, Sendai, Japan; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada; Department of Computer Science, Graduate School of Information Sciences, University of Tohoku, Sendai, Japan;" Department of Computer Science and Engineering, Shanghai Jiaotong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Oct 2007"",""2007"",""18"",""11"",""1592"",""1606"",""Active restoration (AR) is a novel lightpath restoration scheme proposed recently to guarantee a certain degree of survivability in wavelength-division multiplexing (WDM) optical networks with a reasonable trade-off between capacity requirement and restoration time. In this paper, we conduct a comprehensive performance analysis for AR-based optical networks. In particular, we propose a novel analytical framework for modeling the restoration probability of a connection (the probability that the connection can be successfully restored in case of a failure) when the possible correlation among its multiple backup routes is incorporated. Although theoretically, we need to consider all the possible correlations between as many as Q) pairs of backup routes to analyze the restoration probability in a network with N nodes, and this high computation complexity may obscure the practicality of an approach, considering all the possible correlations among backup routes, our analysis in this paper indicates that by considering at most the possible correlations among any three successive backup routes of a connection, we can achieve a very good approximation to the simulated restoration probability of the connection, as verified by extensive simulation results upon two typical network topologies under various workloads. We find that the proposed framework can deeply investigate into the inherent relationship among restoration probability, wavelength channel utilization ratio, number of wavelengths per fiber, routes hop length, and wavelength conversion capability. As a result, the framework significantly contributes to the related areas by providing network designers with a quantitative tool to evaluate the restoration probability and, thus, the survivability of AR-based optical networks."",""1558-2183"","""",""10.1109/TPDS.2007.1084"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4339202"",""Network survivability";restoration probability;active restoration;optical networks;"path correlation"",""Optical fiber networks";Analytical models;Wavelength division multiplexing;WDM networks;Performance analysis;Failure analysis;Computer networks;Computational modeling;Network topology;"Optical wavelength conversion"","""",""2"","""",""29"",""IEEE"",""8 Oct 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Routing Queries through a Peer-to-Peer InfoBeacons Network Using Information Retrieval Techniques,""S. Seshadri";" B. F. Cooper"",""College of Computing, Georgia Institute of Technology, Atlanta, GA, USA";" Yahoo Research, Santa Clara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1754"",""1765"",""In the InfoBeacons system, a peer-to-peer network of beacons cooperates to route queries to the best information sources. Many internet sources are unwilling to provide more cooperation than simple searching to aid in the query routing.We adapt techniques from information retrieval to deal with this lack of cooperation. In particular, beacons determine how to route queries based on information cached from sources’ responses to queries. In this paper, we examine alternative architectures for routing queries between beacons and to data sources. We also examine how to improve the routing by probing sources in an informed way to learn about their content. Results of experiments using a beacon network to search 2,500 information sources demonstrates the effectiveness of our system";" for example, our techniques require contacting up to 71 percent fewer sources than existing peer-to-peer random walk techniques."",""1558-2183"","""",""10.1109/TPDS.2007.1107"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359395"",""peer-to-peer systems";information search and discovery;peer-to-peer systems;"information search and discovery"",""Routing";Peer to peer computing;Information retrieval;Internet;Query processing;Computer Society;Software performance;Software systems;Computer networks;"Distributed computing"","""",""8"","""",""37"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Scalable and Modular Algorithms for Floating-Point Matrix Multiplication on Reconfigurable Computing Systems,""L. Zhuo";" V. K. Prasanna"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA";" Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Mar 2007"",""2007"",""18"",""4"",""433"",""448"",""The abundant hardware resources on current reconfigurable computing systems provide new opportunities for high-performance parallel implementations of scientific computations. In this paper, we study designs for floating-point matrix multiplication, a fundamental kernel in a number of scientific applications, on reconfigurable computing systems. We first analyze design trade-offs in implementing this kernel. These trade-offs are caused by the inherent parallelism of matrix multiplication and the resource constraints, including the number of configurable slices, the size of on-chip memory, and the available memory bandwidth. We propose three parameterized algorithms which can be tuned according to the problem size and the available hardware resources. Our algorithms employ linear array architecture with simple control logic. This architecture effectively utilizes the available resources and reduces routing complexity. The processing elements (PEs) used in our algorithms are modular so that it is easy to embed floating-point units into them. Experimental results on a Xilinx Virtex-ll Pro XC2VP100 show that our algorithms achieve good scalability and high sustained GFLOPS performance. We also implement our algorithms on Cray XD1. XD1 is a high-end reconfigurable computing system that employs both general-purpose processors and reconfigurable devices. Our algorithms achieve a sustained performance of 2.06 GFLOPS on a single node of XD1"",""1558-2183"","""",""10.1109/TPDS.2007.1001"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118686"",""Scientific computing";field-programmable gate arrays;reconfigurable hardware;computations on matrices;"parallel algorithms."",""Concurrent computing";Hardware;Bandwidth;Routing;Field programmable gate arrays;Kernel;Parallel processing;Logic arrays;Parallel algorithms;"Scientific computing"","""",""59"",""2"",""24"",""IEEE"",""5 Mar 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Scalable Live Streaming Service Based on Interoverlay Optimization,""X. Liao"; H. Jin; Y. Liu;" L. M. Ni"",""School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China"; School of Computer Science and Technology, Huazhong University of Science and Technology, Wuhan, China; Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China;" Department of Computer Science and Engineering, Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1663"",""1674"",""In order to provide scalable live-streaming services, we propose an Inter-Overlay Optimization scheme, IOO. Instead of selecting better paths in the same overlay, IOO constructs efficient paths using peers in different overlays, so as to (i) improve global resource utilization of P2P streaming networks"; (ii) assign resources based on their locality and delay; (iii) guarantee streaming service quality by using the nearest peers, even when such peers might belong to different overlays;" and (iv) balance the load among the group (streaming overlay) members. We compare the performance of IOO with existing approaches through trace driven simulations. Results show that IOO outperforms previous schemes in terms of resource utilization and the QoS of streaming services. IOO scheme has been implemented in an Internet based live streaming system, called AnySee. AnySee was successfully released in the summer of 2004 in CERNET of China. Over 60,000 users enjoy massive entertainment programs, including TV programs, movies, and academic conferences videos."",""1558-2183"","""",""10.1109/TPDS.2007.70708"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359409"",""Peer-to-peer";live streaming;inter-overlay optimization;startup delay;P2P topology discovery;Peer-to-peer;live streaming;inter-overlay optimization;startup delay;"P2P topology discovery"",""Peer to peer computing";Streaming media;Resource management;Quality of service;Bandwidth;Delay effects;Costs;Image segmentation;Internet;"TV"","""",""21"","""",""26"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;
"Scan-Based Movement-Assisted Sensor Deployment Methods in Wireless Sensor Networks,""S. Yang"; M. Li;" J. Wu"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, PR China;" Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Aug 2007"",""2007"",""18"",""8"",""1108"",""1121"",""The efficiency of sensor networks depends on the coverage of the monitoring area. Although, in general, a sufficient number of sensors are used to ensure a certain degree of redundancy in coverage, a good sensor deployment is still necessary to balance the workload of sensors. In a sensor network with locomotion facilities, sensors can move around to self-deploy. The movement-assisted sensor deployment deals with moving sensors from an initial unbalanced state to a balanced state. Therefore, various optimization problems can be defined to minimize different parameters, including total moving distance, total number of moves, communication/computation cost, and convergence rate. In this paper, we first propose a Hungarian-algorithm-based optimal solution, which is centralized. Then, a localized scan-based movement-assisted sensor deployment method (SMART) and several variations of it that use scan and dimension exchange to achieve a balanced state are proposed. An extended SMART is developed to address a unique problem called communication holes in sensor networks. Extensive simulations have been done to verify the effectiveness of the proposed scheme."",""1558-2183"","""",""10.1109/TPDS.2007.1048"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4288108"",""Dimension exchange.";Hungarian method;load balance;movement-assisted;scan;sensor deployment;"wireless sensor networks"",""Wireless sensor networks";Intelligent sensors;Force sensors;Condition monitoring;Cost function;Computational efficiency;Sensor systems;Parallel processing;Computer science;"Surveillance"","""",""98"",""1"",""28"",""IEEE"",""13 Aug 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Scheduling Policies for Processor Coallocation in Multicluster Systems,""A. I. D. Bucur";" D. H. J. Epema"",""Healthcare Systems Architecture Group, Philips Research Eindhoven, Eindhoven, Netherlands";" Faculty of Electrical Engineering, Mathematics, and Computer Science, Parallel and Distributed Systems Group, Delft University of Technnology, Delft, Netherlands"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Jun 2007"",""2007"",""18"",""7"",""958"",""972"",""Building multicluster systems out of multiple, geographically distributed clusters interconnected by high-speed wide-area networks can provide access to a larger computational power and to a wider range of resources. Jobs running on multiclusters and, more generally, in grids, may require (processor) coallocation, i.e., the simultaneous allocation of resources (processors) in different clusters or subsystems of a grid. In this paper, we propose four scheduling policies for processor coallocation in multiclusters, and we assess with simulations their performance under a wide variety of parameter settings. In particular, in our simulations we use synthetic workloads and workloads derived from the logs of actual systems and from runtime measurements. We conclude that although coallocation makes scheduling more difficult and the wide-area communication critically impacts the performance, there is a wide range of realistic applications that may benefit from coallocation. However, unrestricted coallocation is not recommended: Limiting the total job size or the number or the sizes of their components improves performance."",""1558-2183"","""",""10.1109/TPDS.2007.1036"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4218575"",""Multicluster systems";coallocation;scheduling policies;"simulation."",""Processor scheduling";Distributed computing;Power system interconnection;Computer networks;Resource management;Particle measurements;Computational modeling;Runtime;Supercomputers;"Grid computing"","""",""39"","""",""20"",""IEEE"",""4 Jun 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Selfish Grids: Game-Theoretic Modeling and NAS/PSA Benchmark Evaluation,""Y. -K. Kwok"; K. Hwang;" S. Song"",""Department of Electrical and Electronic Engineering, University of Hong Kong, Hong Kong, China"; Internet and Grid Research Laboratory, University of Southern California, Los Angeles, CA, USA;" Oracle Corporation, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Apr 2007"",""2007"",""18"",""5"",""621"",""636"",""Selfish behaviors of individual machines in a grid can potentially damage the performance of the system as a whole. However, scrutinizing the grid by taking into account the noncooperativeness of machines is a largely unexplored research problem. In this paper, we first present a new hierarchical game-theoretic model of the grid that matches well with the physical administrative structure in real-life situations. We then focus on the impact of selfishness in intrasite job execution mechanisms. Based on our novel utility functions, we analytically derive the Nash equilibrium and optimal strategies for the general case. To study the effects of different strategies, we have also performed extensive simulations by using a well-known practical scheduling algorithm over the NAS (numerical aerodynamic simulation) and the PSA (parameter sweep application) workloads. We have studied the overall job execution performance of the grid system under a wide range of parameters. Specifically, we find that the optimal selfish strategy significantly outperforms the Nash selfish strategy. Our performance evaluation results can serve as a valuable reference for designing appropriate strategies in a practical grid"",""1558-2183"","""",""10.1109/TPDS.2007.1013"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4160931"",""Grid computing";noncooperative games;virtual organizations;selfish behaviors;online scheduling;Nash equilibrium;optimal strategies;performance evaluation;NAS workload;"parameter sweep application (PSA)."",""Game theory";Nash equilibrium;Grid computing;Performance analysis;Algorithm design and analysis;Scheduling algorithm;Aerodynamics;Numerical simulation;"Processor scheduling"","""",""49"","""",""48"",""IEEE"",""23 Apr 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"SenCar: An Energy-Efficient Data Gathering Mechanism for Large-Scale Multihop Sensor Networks,""M. Ma";" Y. Yang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""17 Sep 2007"",""2007"",""18"",""10"",""1476"",""1488"",""In this paper, we propose a new data gathering mechanism for large-scale multihop sensor networks. A mobile data observer, called SenCar, which could be a mobile robot or a vehicle equipped with a powerful transceiver and battery, works like a mobile base station in the network. SenCar starts the data gathering tour periodically from the static data processing center, traverses the entire sensor network, gathers the data from sensors while moving, returns to the starting point, and, finally, uploads data to the data processing center. Unlike SenCar, sensors in the network are static and can be made very simple and inexpensive. They upload sensed data to SenCar when SenCar moves close to them. Since sensors can only communicate with others within a very limited range, packets from some sensors may need multihop relays to reach SenCar. We first show that the moving path of SenCar can greatly affect network lifetime. We then present heuristic algorithms for planning the moving path/circle of SenCar and balancing traffic load in the network. We show that, by driving SenCar along a better path and balancing the traffic load from sensors to SenCar, network lifetime can be prolonged significantly. Our moving planning algorithm can be used in both connected networks and disconnected networks. In addition, SenCar can avoid obstacles while moving. Our simulation results demonstrate that the proposed data gathering mechanism can prolong network lifetime significantly compared to a network that has only a static observer or a network in which the mobile observer can only move along straight lines."",""1558-2183"","""",""10.1109/TPDS.2007.1070"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4302733"",""SenCar";wireless sensor networks;data gathering;"load balancing"",""Energy efficiency";Large-scale systems;Spread spectrum communication;Data processing;Telecommunication traffic;Mobile robots;Battery powered vehicles;Transceivers;Base stations;"Relays"","""",""219"","""",""28"",""IEEE"",""17 Sep 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Software-Based Failure Detection and Recovery in Programmable Network Interfaces,""Y. Zhou"; V. Lakamraju; I. Koren;" C. M. Krishna"",""University of Massachusetts, Amherst, MA, USA"; United Technologies Research Center, Inc., East Hartford, CT, USA; University of Massachusetts, Amherst, MA, USA;" University of Massachusetts, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Oct 2007"",""2007"",""18"",""11"",""1539"",""1550"",""Emerging network technologies have complex network interfaces that have renewed concerns about network reliability. In this paper, we present an effective low-overhead fault tolerance technique to recover from network interface failures. Failure detection is based on a software watchdog timer that detects network processor hangs and a self-testing scheme that detects interface failures other than processor hangs. The proposed self-testing scheme achieves failure detection by periodically directing the control flow to go through only active software modules in order to detect errors that affect instructions in the local memory of the network interface. Our failure recovery is achieved by restoring the state of the network interface using a small backup copy containing just the right amount of information required for complete recovery. The paper shows how this technique can be made to minimize the performance impact to the host system and be completely transparent to the user."",""1558-2183"","""",""10.1109/TPDS.2007.1093"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4339198"",""Programmable Network Interface Card (NIC)";Single Event Upset (SEU);radiation induced faults;failure detection;"self-testing"",""Network interfaces";Built-in self-test;Fault tolerance;Hardware;Logic testing;Error correction;Single event upset;System testing;Complex networks;"Computer errors"","""",""10"",""8"",""27"",""IEEE"",""8 Oct 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Solving Computation Slicing Using Predicate Detection,""N. Mittal"; A. Sen;" V. K. Garg"",""Department of Computer Science, University of Technology, Richardson, TX, USA"; Freescale Semiconductor, Inc., Austin, TX, USA;" Department of Electrical and Computer Engineering, University of Technology, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""5 Nov 2007"",""2007"",""18"",""12"",""1700"",""1713"",""Given a distributed computation and a global predicate, predicate detection involves determining whether there exists at least one consistent cut (or global state) of the computation that satisfies the predicate. On the other hand, computation slicing is concerned with computing the smallest subcomputation (with the least number of consistent cuts) that contains all consistent cuts of the computation satisfying the predicate. In this paper, we investigate the relationship between predicate detection and computation slicing and show that the two problems are actually equivalent. Specifically, given an algorithm to detect a predicate b in a computation C, we derive an algorithm to compute the slice of C with respect to b. The time complexity of the (derived) slicing algorithm is O(n|E|T), where n is the number of processes, E is the set of events, and O(T) is the time complexity of the detection algorithm. We discuss how the """"equivalence"""" result of this paper can be utilized to derive a faster algorithm for solving the general predicate detection problem in many cases. Slicing algorithms described in our earlier papers are all offline in nature. In this paper, we also present two online algorithms for computing the slice. The first algorithm can be used to compute the slice for a general predicate. Its amortized time complexity is O(n(c + n)T) per event, where c is the average concurrency in the computation and O(T) is the time complexity of the detection algorithm. The second algorithm can be used to compute the slice for a regular predicate. Its amortized time complexity is only O(n2) per event."",""1558-2183"","""",""10.1109/TPDS.2007.1077"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4359391"",""program trace analysis";predicate detection;computation slicing;testing and debugging;program trace analysis;predicate detection;computation slicing;"testing and debugging"",""Distributed computing";Detection algorithms;Software testing;Software debugging;System testing;Fault detection;Software safety;Polynomials;Computer Society;"Concurrent computing"","""",""9"","""",""26"",""IEEE"",""5 Nov 2007"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
