"A 3.42-Approximation Algorithm for Scheduling Malleable Tasks under Precedence Constraints,""C. -Y. Chen";" C. -P. Chu"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan";" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Jun 2013"",""2013"",""24"",""8"",""1479"",""1488"",""Scheduling malleable tasks under general precedence constraints involves finding a minimum makespan (maximum completion time) by a feasible allotment. Based on the monotonous penalty assumptions of Blayo et al. [2], this work defines two assumptions concerning malleable tasks: the processing time of a malleable task is nonincreasing in the number of processors, while the work of a malleable task is nondecreasing in the number of processors. Additionally, the work function is assumed herein to be convex in the processing time. The proposed algorithm reformulates the linear program of [11], and this algorithm and associated proofs are inspired by the ones of [11]. This work describes a novel polynomial-time approximation algorithm that is capable of achieving an approximation ratio of 2+√2≈3.4142. This work further demonstrates that the proposed algorithm can yield an approximation ratio of 2.9549 when the processing time is strictly decreasing in the number of the processors allocated to the task. This finding represents an improvement upon the previous best approximation ratio of 100/63+100(√6469+137)/5481≈3.2920 [12] achieved under the same assumptions."",""1558-2183"","""",""10.1109/TPDS.2012.258"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6295609"",""Approximation algorithms";Program processors;Approximation methods;Schedules;Processor scheduling;Scheduling;Manganese;precedence constraints;Approximation algorithms;scheduling;"malleable tasks"",""Approximation algorithms";Program processors;Approximation methods;"Scheduling"","""",""20"","""",""22"",""IEEE"",""5 Sep 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"SGBR: A Routing Protocol for Delay Tolerant Networks Using Social Grouping,""T. Abdelkader"; K. Naik; A. Nayak; N. Goel;" V. Srivastava"",""Information Systems Department, Ain Shams University, Cairo, Egypt"; Electrical & Computer Engineering Department, University of Waterloo, Ontario, Canada; School of Information Technology & Engineering, University of Ottawa, Ontario, Canada; Cistech Limited, Ottawa, Ontario, Canada;" Cistech Limited, Ottawa, Ontario, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2472"",""2481"",""Delay tolerant networks (DTN) are characterized by a lack of continuous end-to-end connections due to node mobility, constrained power sources, and limited data storage space of some or all of its nodes. To overcome the frequent disconnections, DTN nodes are required to store data packets for long periods of time until they come near other nodes. Moreover, to increase the delivery probability, they spread multiple copies of the same packet on the network so that one of them reaches the destination. Given the limited storage and energy resources of many DTN nodes, there is a tradeoff between maximizing delivery and minimizing storage and energy consumption. In this paper, we study the routing problem in DTN with limited resources. We formulate a mathematical model for optimal routing, assuming the presence of a global observer that can collect information about all the nodes in the network. Next, we propose a new protocol based on social grouping among the nodes to maximize data delivery while minimizing network overhead by efficiently spreading the packet copies in the network. We compare the new protocol with the optimal results and the existing well-known routing protocols using real life simulations. Results show that the proposed protocol achieves higher delivery ratio and less average delay compared to other protocols with significant reduction in network overhead."",""1558-2183"","""",""10.1109/TPDS.2012.235"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6261310"",""Delay tolerant networks";routing protocols;"social grouping"",""Routing protocols";Delays;Fault tolerant systems;Receivers;"Social network services"","""",""59"","""",""25"",""IEEE"",""6 Aug 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Simple and Effective Dynamic Provisioning for Power-Proportional Data Centers,""T. Lu"; M. Chen;" L. L. H. Andrew"",""Department of Information Engineering, Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong, China"; Department of Information Engineering, Chinese University of Hong Kong, Sha Tin, New Territories, Hong Kong, China;" Centre for Advanced Internet Architectures, Swinburne University of Technology, Hawthorn, VIC, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""24 Apr 2013"",""2013"",""24"",""6"",""1161"",""1171"",""Energy consumption represents a significant cost in data center operation. A large fraction of the energy, however, is used to power idle servers when the workload is low. Dynamic provisioning techniques aim at saving this portion of the energy, by turning off unnecessary servers. In this paper, we explore how much gain knowing future workload information can bring to dynamic provisioning. In particular, we develop online dynamic provisioning solutions with and without future workload information available. We first reveal an elegant structure of the offline dynamic provisioning problem, which allows us to characterize the optimal solution in a “divide-andconquer” manner. We then exploit this insight to design two online algorithms with competitive ratios 2 - α and e/(e - 1 + α), respectively, where 0 ≤ α ≤ 1 is the normalized size of a look-ahead window in which future workload information is available. A fundamental observation is that future workload information beyond the full-size look-ahead window (corresponding to α = 1) will not improve dynamic provisioning performance. Our algorithms are decentralized and easy to implement. We demonstrate their effectiveness in simulations using real-world traces."",""1558-2183"","""",""10.1109/TPDS.2012.241"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6269026"",""Cloud computing";data center;energy efficiency;dynamic provisioning;"online algorithms"",""Servers";Algorithm design and analysis;Heuristic algorithms;Computational modeling;Energy consumption;Turning;"Cloud computing"","""",""52"",""4"",""35"",""IEEE"",""15 Aug 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"SmartAssoc: Decentralized Access Point Selection Algorithm to Improve Throughput,""F. Xu"; X. Zhu; C. C. Tan; Q. Li; G. Yan;" J. Wu"",""NEC Laboratories America, Princeton, NJ"; Department of Computer Science and Technology, Nanjing University, Jiangsu, China; Department of Computer and Information Sciences, Temple University, Philadelphia, PA; Department of Computer Science, College of William and Mary, Williamsburg, Virginia; Information Sciences Group, Los Alamos National Laboratory, Los Alamos, New Mexico;" Department of Computer and Information Sciences, Temple University, Philadelphia, PA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2482"",""2491"",""As the first step of the communication procedure in 802.11, an unwise selection of the access point (AP) hurts one client's throughput. This performance downgrade is usually hard to be offset by other methods, such as efficient rate adaptations. In this paper, we study this AP selection problem in a decentralized manner, with the objective of maximizing the minimum throughput among all clients. We reveal through theoretical analysis that the selfish strategy, which commonly applies in decentralized systems, cannot effectively achieve this objective. Accordingly, we propose an online AP association strategy that not only achieves a minimum throughput (among all clients) that is provably close to the optimum, but also works effectively in practice with reasonable computation and transmission overhead. The association protocol applying this strategy is implemented on the commercial hardware and compatible with legacy APs without any modification. We demonstrate its feasibility and performance through real experiments and intensive simulations."",""1558-2183"","""",""10.1109/TPDS.2013.10"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6409842"",""AP association";wireless LAN;online algorithms;competitive ratio;"minimum throughput maximization"",""IEEE 802.11 Standards";Load modeling;Interference;Algorithm design and analysis;"Load management"","""",""35"","""",""36"",""IEEE"",""11 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Social Similarity Favors Cooperation: The Distributed Content Replication Case,""E. Jaho"; M. Karaliopoulos;" I. Stavrakakis"",""Department of Informatics and Telecommunications, National and Kapodistrian University of Athens, Chalandri, Athens, Greece"; Department of Informatics and Telecommunications, National and Kapodistrian University of Athens, Ilisia, Athens, Greece;" Department of Informatics and Telecommunications, National and Kapodistrian University of Athens, Ilisia, Athens, Greece"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""601"",""613"",""This paper explores how the degree of similarity within a social group can dictate the behavior of the individual nodes, so as to best tradeoff the individual with the social benefit. More specifically, we investigate the impact of social similarity on the effectiveness of content placement and dissemination. We consider three schemes that represent well the spectrum of behavior-shaped content storage strategies: the selfish, the self-aware cooperative, and the optimally altruistic ones. Our study shows that when the social group is tight (high degree of similarity), the optimally altruistic behavior yields the best performance for both the entire group (by definition) and the individual nodes (contrary to typical expectations). When the group is made up of members with almost no similarity, altruism or cooperation cannot bring much benefit to either the group or the individuals and thus, selfish behavior emerges as the preferable choice due to its simplicity. Notably, from a theoretical point of view, our “similarity favors cooperation” argument is inline with sociological interpretations of human altruistic behavior. On a more practical note, the self-aware cooperative behavior could be adopted as an easy to implement distributed alternative to the optimally altruistic one";" it has close to the optimal performance for tight social groups and the additional advantage of not allowing mistreatment of any node, i.e., its induced content retrieval cost is always smaller than the cost of the selfish strategy."",""1558-2183"","""",""10.1109/TPDS.2012.166"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6212468"",""Content replication";cooperation;similarity;"social groups"",""Measurement";Games;Aggregates;Shape;Humans;Social network services;"Computational complexity"","""",""17"","""",""32"",""IEEE"",""5 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Sociality-Aware Access Point Selection in Enterprise Wireless LANs,""G. Xue"; Q. He; H. Zhu; T. He;" Y. Liu"",""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, University of Minnesota, Minneapolis, MN, USA;" Center of Internet of Things, The Third Research Institute, Ministry of Public Security, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2013"",""2013"",""24"",""10"",""2069"",""2078"",""Well-balanced workload among wireless access points (APs) in a wireless local-area network (WLAN) can improve the user experience for accessing the Internet. Most load balancing solutions in WLANs focuses on the optimization of AP operations, assuming that the arrivals and departures of users are independent. However, through the analysis of AP usage based on a real WLAN trace of one-month collected at the Shanghai Jiao Tong University (SJTU), we find that such an assumption does not hold. In fact, due to users' social activities which is particularly time for enterprise environments, they tend to arrive or leave in unison, which would disruptively affect the load balance among APs. In this paper, we propose a novel AP allocation scheme to tackle the load balancing problem in WLANs, taking into account the social relationships of users. In this scheme, users with intense social relationships are assigned to different APs so that jointly departure of those users would have minor impact on the load balance of APs. Given that the problem of allocating an AP for each user so that the average of the sums of social relation intensity between any pair of users in each AP is NP-complete, we propose an online greedy algorithm. Extensive trace-driven simulations demonstrate the efficacy of our scheme. Comparing to the state-of-the-art method, we can achieve about 64.7 percent balancing performance gain on average during peak hours in workdays."",""1558-2183"","""",""10.1109/TPDS.2012.301"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336744"",""IEEE 802.11";Enterprise Wireless LANs;load balance;"social relation analysis"",""Wireless LAN";Indexes;Load management;Algorithm design and analysis;Correlation;Educational institutions;"Resource management"","""",""15"","""",""20"",""IEEE"",""22 Oct 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Speculative Authorization,""P. Kini";" K. Beznosov"",""Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada";" Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Mar 2013"",""2013"",""24"",""4"",""814"",""824"",""We present Speculative Authorization (SPAN), a prediction technique that reduces authorization latency in enterprise systems. SPAN predicts requests that a system client might make in the near future, based on its past behavior. SPAN allows authorization decisions for the predicted requests to be made before the requests are issued, thus virtually reducing the authorization latency to zero. We developed SPAN algorithms, implemented a prototype, and evaluated it using two real-world data traces and one synthetic data trace. The results of our evaluation suggest that systems employing SPAN are able to achieve a reduced authorization latency for almost 60 percent of the requests. We analyze the tradeoffs between the hit rate and the precision of SPAN predictions, which directly affect the corresponding computational overhead. We also compare the benefits of deploying both caching and SPAN together, and find that SPAN can effectively improve the performance of those systems which have caches of a smaller size."",""1558-2183"","""",""10.1109/TPDS.2012.172"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6216361"",""Access control";machine learning;"prediction"",""Authorization";Training;Web pages;Markov processes;Prediction algorithms;Predictive models;"Testing"","""","""","""",""31"",""IEEE"",""12 Jun 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"SPOC: A Secure and Privacy-Preserving Opportunistic Computing Framework for Mobile-Healthcare Emergency,""R. Lu"; X. Lin;" X. Shen"",""Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"; Faculty of Business and Information Technology, University of Ontario Institute of Technology, Oshawa, ONT, Canada;" Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""22 Jan 2013"",""2013"",""24"",""3"",""614"",""624"",""With the pervasiveness of smart phones and the advance of wireless body sensor networks (BSNs), mobile Healthcare (m-Healthcare), which extends the operation of Healthcare provider into a pervasive environment for better health monitoring, has attracted considerable interest recently. However, the flourish of m-Healthcare still faces many challenges including information security and privacy preservation. In this paper, we propose a secure and privacy-preserving opportunistic computing framework, called SPOC, for m-Healthcare emergency. With SPOC, smart phone resources including computing power and energy can be opportunistically gathered to process the computing-intensive personal health information (PHI) during m-Healthcare emergency with minimal privacy disclosure. In specific, to leverage the PHI privacy disclosure and the high reliability of PHI process and transmission in m-Healthcare emergency, we introduce an efficient user-centric privacy access control in SPOC framework, which is based on an attribute-based access control and a new privacy-preserving scalar product computation (PPSPC) technique, and allows a medical user to decide who can participate in the opportunistic computing to assist in processing his overwhelming PHI data. Detailed security analysis shows that the proposed SPOC framework can efficiently achieve user-centric privacy access control in m-Healthcare emergency. In addition, performance evaluations via extensive simulations demonstrate the SPOC's effectiveness in term of providing high-reliable-PHI process and transmission while minimizing the privacy disclosure during m-Healthcare emergency."",""1558-2183"","""",""10.1109/TPDS.2012.146"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6200265"",""Mobile-healthcare emergency";opportunistic computing;user-centric privacy access control;"PPSPC"",""Access control";Medical services;Smart phones;Privacy;Monitoring;Protocols;"Reliability"","""",""202"",""1"",""33"",""IEEE"",""15 May 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"STARS: Static Relays for Remote Sensing in Multirobot Real-Time Search and Monitoring,""Y. Pei";" M. W. Mutka"",""Platform and Infrastructure Engineering Division, EBay, Inc., San Jose, CA, USA";" Department of Computer Science and Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2013"",""2013"",""24"",""10"",""2079"",""2089"",""Mobile surveillance and sensing systems need a networking infrastructure that enables the mobile systems to transmit information gathered to a base station. We consider the problem of an efficient use of mobile robots to sense not only the region but also deploy relays to build the networking infrastructure. To develop an efficient solution to the above problem, we first present a problem called precedence constrained two traveling salesman (PC2TSP). We propose a near-optimal heuristic to PC2TSP to generate tours by clustering points, generating optimal single-traveler tours, and tour pruning and balance. By modeling in part by PC2TSP, we then solve the problem of minimum time two-robot real-time search with online relay deployment. We call the solution STAtic Relay aided Search (STARS), which identifies visiting positions, assigns the precedence constraint, and finally generates tours by PC2TSP. STARS enables solutions for remote robotic sensing and control. In addition, STARS substantially reduces cost compared to a homogeneous mobile robot system and enables constant monitoring of suspicious areas. STARS and our solution to PC2TSP are extensible to deal with more than two travelers. Extensive simulations show that our solution to PC2TSP achieves near-optimal performance with less than 2 percent average difference from optimal."",""1558-2183"","""",""10.1109/TPDS.2012.299"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6336742"",""Multiple traveling salesman";precedence constraint;relay placement;coverage;motion planning;teleoperation;"remote control"",""Relays";Robot sensing systems;Cities and towns;Search problems;"Mobile robots"","""",""9"","""",""26"",""IEEE"",""22 Oct 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"Stochastic Evaluation of QoS in Service-Based Systems,""D. Bruneo"; S. Distefano; F. Longo;" M. Scarpa"",""Dipartimento di Ingegneria Civile, Informatica, Edile, Ambientale e Matematica Applicata (DICIEAMA), Università di Messina, Messina, Italy"; Dipartimento di Elettronica e Informazione, Politecnico di Milano, Milano, Italy; Dipartimento di Ingegneria Civile, Informatica, Edile, Ambientale e Matematica Applicata (DICIEAMA), Università di Messina, Messina, Italy;" Dipartimento di Ingegneria Civile, Informatica, Edile, Ambientale e Matematica Applicata (DICIEAMA), Università di Messina, Messina, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Aug 2013"",""2013"",""24"",""10"",""2090"",""2099"",""WS-BPEL language has become the industrial standard to design and orchestrate modular applications, formalizing service compositions and business relationships among providers and consumers. Once service level agreements (SLAs) among the parties are established, effective tools for evaluating appropriate measurements have to be developed to meet the requirements. However, the design of quality of service (QoS)-guaranteed composed Web services (WSes) still requires several efforts. This work aims at proposing a complete method to study the QoS of a composed WS at design time, i.e., when the process is specified by using WS-BPEL. Starting from the nonfunctional properties of the WS to compose, we propose a technique to derive non-Markovian stochastic Petri net (NMSPN) models from WS-BPEL processes, with the final goal of evaluating parameters such as the service time distribution and the service reliability. To demonstrate the effectiveness of the proposed method and to validate the obtained model, a nontrivial example implementing a travel agency flight reservation process, exposed as a synchronous composed WS, is investigated."",""1558-2183"","""",""10.1109/TPDS.2012.313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6342880"",""Business processes";WS-BPEL;service-oriented architecture;performance;reliability;"stochastic Petri nets"",""Quality of service";Stochastic processes;Business;Unified modeling language;Simple object access protocol;Reliability;"Standards"","""",""17"","""",""17"",""IEEE"",""10 Nov 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Strategies for Energy-Efficient Resource Management of Hybrid Programming Models,""D. Li"; B. R. de Supinski; M. Schulz; D. S. Nikolopoulos;" K. W. Cameron"",""Oak Ridge National Laboratory, Oak Ridge, TN, USA"; Lawrence Livermore National Laboratories, Livermore, CA, USA; Lawrence Livermore National Laboratories, Livermore, CA, USA; School of Electronics, Electrical Engineering and Computer Science, Queen's University Belfast, Belfast, UK;" Department of Computer Science, Virginia Polytechnic Institute and State University, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2012"",""2013"",""24"",""1"",""144"",""157"",""Many scientific applications are programmed using hybrid programming models that use both message passing and shared memory, due to the increasing prevalence of large-scale systems with multicore, multisocket nodes. Previous work has shown that energy efficiency can be improved using software-controlled execution schemes that consider both the programming model and the power-aware execution capabilities of the system. However, such approaches have focused on identifying optimal resource utilization for one programming model, either shared memory or message passing, in isolation. The potential solution space, thus the challenge, increases substantially when optimizing hybrid models since the possible resource configurations increase exponentially. Nonetheless, with the accelerating adoption of hybrid programming models, we increasingly need improved energy efficiency in hybrid parallel applications on large-scale systems. In this work, we present new software-controlled execution schemes that consider the effects of dynamic concurrency throttling (DCT) and dynamic voltage and frequency scaling (DVFS) in the context of hybrid programming models. Specifically, we present predictive models and novel algorithms based on statistical analysis that anticipate application power and time requirements under different concurrency and frequency configurations. We apply our models and methods to the NPB MZ benchmarks and selected applications from the ASC Sequoia codes. Overall, we achieve substantial energy savings (8.74 percent on average and up to 13.8 percent) with some performance gain (up to 7.5 percent) or negligible performance loss."",""1558-2183"","""",""10.1109/TPDS.2012.95"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6171173"",""Power management";hybrid parallel programming models;dynamic concurrency throttling;"dynamic voltage and frequency scaling"",""Discrete cosine transforms";Concurrent computing;Programming;Computational modeling;Time frequency analysis;Dynamic programming;"Multicore processing"","""",""38"",""1"",""28"",""IEEE"",""19 Mar 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Supporting HPC Analytics Applications with Access Patterns Using Data Restructuring and Data-Centric Scheduling Techniques in MapReduce,""S. Sehrish"; G. Mackey; P. Shang; J. Wang;" J. Bent"",""Northwestern University, Evanston, IL, USA"; University of Central Florida, Oviedo, FL, USA; Department of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA; Department of Electrical Engineering and Computer Science, University of Central Florida, Orlando, FL, USA;" EMC Corporation, Los Alamos, NM, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Nov 2012"",""2013"",""24"",""1"",""158"",""169"",""Current High Performance Computing (HPC) applications have seen an explosive growth in the size of data in recent years. Many application scientists have initiated efforts to integrate data-intensive computing into computational-intensive HPC facilities, particularly for data analytics. We have observed several scientific applications which must migrate their data from an HPC storage system to a data-intensive one for analytics. There is a gap between the data semantics of HPC storage and data-intensive system, hence, once migrated, the data must be further refined and reorganized. This reorganization must be performed before existing data-intensive tools such as MapReduce can be used to analyze data. This reorganization requires at least two complete scans through the data set and then at least one MapReduce program to prepare the data before analyzing it. Running multiple MapReduce phases causes significant overhead for the application, in the form of excessive I/O operations. That is for every MapReduce phase, a distributed read and write operation on the file system must be performed. Our contribution is to develop a MapReduce-based framework for HPC analytics to eliminate the multiple scans and also reduce the number of data preprocessing MapReduce programs. We also implement a data-centric scheduler to further improve the performance of HPC analytics MapReduce programs by maintaining the data locality. We have added additional expressiveness to the MapReduce language to allow application scientists to specify the logical semantics of their data such that 1) the data can be analyzed without running multiple data preprocessing MapReduce programs, and 2) the data can be simultaneously reorganized as it is migrated to the data-intensive file system. Using our augmented Map-Reduce system, MapReduce with Access Patterns (MRAP), we have demonstrated up to 33 percent throughput improvement in one real application, and up to 70 percent in an I/O kernel of another application. Our results for scheduling show up to 49 percent improvement for an I/O kernel of a prevalent HPC analysis application."",""1558-2183"","""",""10.1109/TPDS.2012.88"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6171166"",""HPC analytics framework";data-intensive systems;MapReduce;"scheduling"",""Semantics";Distributed databases;Layout;Scheduling;Pattern matching;Kernel;"Processor scheduling"","""",""21"","""",""42"",""IEEE"",""19 Mar 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Survey of Energy-Cognizant Scheduling Techniques,""S. Zhuravlev"; J. C. Saez; S. Blagodurov; A. Fedorova;" M. Prieto"",""School of Computing Science, Simon Fraser University, Burnaby, BC, Canada"; Facultad de Ciencias Fisicas, Complutense University of Madrid, Madrid, Spain; Simon Fraser University, Burnaby, BC, Canada; School of Computing Science, Simon Fraser University, Burnaby, BC, Canada;" Facultad de Ciencias Fisicas, Complutense University of Madrid, Madrid, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""24 May 2013"",""2013"",""24"",""7"",""1447"",""1464"",""Execution time is no longer the only metric by which computational systems are judged. In fact, explicitly sacrificing raw performance in exchange for energy savings is becoming a common trend in environments ranging from large server farms attempting to minimize cooling costs to mobile devices trying to prolong battery life. Hardware designers, well aware of these trends, include capabilities like DVFS (to throttle core frequency) into almost all modern systems. However, hardware capabilities on their own are insufficient and must be paired with other logic to decide if, when, and by how much to apply energy-minimizing techniques while still meeting performance goals. One obvious choice is to place this logic into the OS scheduler. This choice is particularly attractive due to the relative simplicity, low cost, and low risk associated with modifying only the scheduler part of the OS. Herein we survey the vast field of research on energy-cognizant schedulers. We discuss scheduling techniques to perform energy-efficient computation. We further explore how the energy-cognizant scheduler's role has been extended beyond simple energy minimization to also include related issues like the avoidance of negative thermal effects as well as addressing asymmetric multicore architectures."",""1558-2183"","""",""10.1109/TPDS.2012.20"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6127864"",""Survey";shared resource contention;thread level scheduling;power-aware scheduling;thermal effects;asymmetric multicore processors;"cooperative resource sharing"",""Thermal management";Energy consumption;Heuristic algorithms;Processor scheduling;Hardware;"Instruction sets"","""",""116"",""2"",""86"",""IEEE"",""10 Jan 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"SybilDefender: A Defense Mechanism for Sybil Attacks in Large Social Networks,""W. Wei"; F. Xu; C. C. Tan;" Q. Li"",""College of William & Mary, Williamsburg, VA"; College of William & Mary, Williamsburg, VA; Temple University, Philadelphia, PA;" College of William & Mary, Williamsburg, VA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Oct 2013"",""2013"",""24"",""12"",""2492"",""2502"",""Distributed systems without trusted identities are particularly vulnerable to sybil attacks, where an adversary creates multiple bogus identities to compromise the running of the system. This paper presents SybilDefender, a sybil defense mechanism that leverages the network topologies to defend against sybil attacks in social networks. Based on performing a limited number of random walks within the social graphs, SybilDefender is efficient and scalable to large social networks. Our experiments on two 3,000,000 node real-world social topologies show that SybilDefender outperforms the state of the art by more than 10 times in both accuracy and running time. SybilDefender can effectively identify the sybil nodes and detect the sybil community around a sybil node, even when the number of sybil nodes introduced by each attack edge is close to the theoretically detectable lower bound. Besides, we propose two approaches to limiting the number of attack edges in online social networks. The survey results of our Facebook application show that the assumption made by previous work that all the relationships in social networks are trusted does not apply to online social networks, and it is feasible to limit the number of attack edges in online social networks by relationship rating."",""1558-2183"","""",""10.1109/TPDS.2013.9"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6409841"",""Sybil attack";social network;"random walk"",""Social network services";Image edge detection;Detection algorithms;Algorithm design and analysis;"Network topology"","""",""33"","""",""25"",""IEEE"",""11 Jan 2013"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"SyRaFa: Synchronous Rate and Frequency Adjustment for Utilization Control in Distributed Real-Time Embedded Systems,""X. Chen"; X. -W. Chang;" X. Liu"",""School of Computer Science, McGill University, Montreal, QUE, Canada"; School of Computer Science, McGill University, Montreal, QUE, Canada;" School of Computer Science, McGill University, Montreal, QUE, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""26 Mar 2013"",""2013"",""24"",""5"",""1052"",""1061"",""To efficiently utilize the computing resources and provide good quality of service (QoS) to the end-to-end tasks in the distributed real-time systems, we can enforce the utilization bounds on multiple processors. The utilization control is challenging especially when the workload in the system is unpredictable. To handle the workload uncertainties, current research favors feedback control techniques, and recent work combines the task rate adaptation and processor frequency scaling in an asynchronous way for CPU utilization control, where task rates and the processor frequencies are tuned asynchronously in two decoupled control loops for control convenience. Since the two manipulated variables, task rates and processor frequencies, contribute to the CPU utilizations together with strong coupling, adjusting them asynchronously may degrade the utilization control performance. In this paper, we provide a novel scheme to make synchronous rate and frequency adjustment to enforce the utilization setpoint, referred to as SyRaFa scheme. SyRaFa can handle the workload uncertainties by identifying the system model online and can simultaneously adjust the manipulated variables by solving an optimization problem in each sampling period. Extensive evaluation results demonstrate SyRaFa outperforms the existing schemes especially under severe workload uncertainties."",""1558-2183"","""",""10.1109/TPDS.2012.205"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6231623"",""Distributed systems";embedded systems;real-time systems;end-to-end task;quality of service;"optimization"",""Program processors";Real time systems;Frequency control;Vectors;Uncertainty;Feedback control;"Frequency synchronization"","""",""2"","""",""24"",""IEEE"",""3 Jul 2012"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
