"$k$ NN-DP: Handling Data Skewness in $kNN$ Joins Using MapReduce,""X. Zhao"; J. Zhang;" X. Qin"",""Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China"; Taiyuan University of Science and Technology (TYUST), Taiyuan, Shanxi, China;" Department of Computer Science and Software Engineering, Auburn University, Auburn, AL"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""600"",""613"",""In this study, we discover that the data skewness problem imposes adverse impacts on MapReduce-based parallel kNN-join operations running clusters. We propose a data partitioning approach-called kNN-DP-to alleviate load imbalance incurred by data skewness. The overarching goal of kNN-DP is to equally divide data objects into a large number of partitions, which are processed by mappers and reducers in parallel. At the heart of kNN-DP is a data partitioning module, which dynamically and judiciously partitions data to optimize kNN-join performance by suppressing data skewness on Hadoop clusters. Data partitioning decisions largely depends on data properties (e.g., distributions), the analysis of which is highly expensive for a massive amount of data. To speed up the data-property analysis, we incorporate a sampling technique to profile the data distribution of a small sample dataset representing big datasets. After building a data-partitioning cost model for parallel kNN-joins, we derive the time-complexity upper and lower bounds of parallel kNN-join algorithms. The cost model offers us a guidance to systematically investigate kNN-DP's performance. kNN-DP obtains global nearest neighbors using local nearest neighbors. To improve the accuracy of such an approximation solution, we augment each node's local data by a small amount of redundant data. We develop two kNN-DP-based schemes called LSH+ and z-value+, which seamlessly integrate kNN-DP with the existing LSH and z-value algorithms for kNN-join computing. We implement and evaluate LSH+ and z-value+ on a 24-node Hadoop cluster driven by both synthetic and real-world high-dimensional datasets. The experimental results show that kNN-DP significantly improves the performance of LSH and z-value while offering high extensibility and scalability on Hadoop clusters."",""1558-2183"","""",""10.1109/TPDS.2017.2767596"",""National Natural Science Foundation of China(grant numbers:61572343)";" Shanxi ""1331 Project"" Key Innovative Research Team"; U.S. National Science Foundation(grant numbers:CCF-0845257(CAREER));" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8089758"",""Data skewness";kNN-joins;data partitioning;"MapReduce"",""Time complexity";Distributed databases;Silicon;Algorithm design and analysis;Optimization;"Partitioning algorithms"","""",""24"","""",""32"",""IEEE"",""30 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Quantifying the Impact of Variability and Heterogeneity on the Energy Efficiency for a Next-Generation Ultra-Green Supercomputer,""F. Fraternali"; A. Bartolini; C. Cavazzoni;" L. Benini"",""Department of Electrical, Electronic and Information Engineering (DEI), University of Bologna, Bologna, Italy"; Department of Electrical, Electronic and Information Engineering (DEI), University of Bologna, Bologna, Italy; SCAI, Casalecchio di Reno, Bologna, Italy;" Integrated Systems Laboratory, ETH Zurich, Zürich, Switzerland"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1575"",""1588"",""Supercomputers, nowadays, aggregate a large number of nodes featuring the same nominal HW components (e.g., processors and GPGPUS). In real-life machines, the chips populating each node are subject to a wide range of variability sources, related to performance and temperature operating points (i.e., ACPI p-states) as well as process variations and die binning. Eurora is a fully operational supercomputer prototype that topped July 2013 Green500 and it represents a unique 'living lab' for next-generation ultra-green supercomputers. In this paper we evaluate and quantify the impact of variability on Eurora's energy-performance tradeoffs under a wide range of workloads intensity. Our experiments demonstrate that variability comes from hardware component mismatches as well as from the interplay between run-time energy management and workload variations. Thus, variability has a significant impact on energy efficiency even at the moderate scale of the Eurora machine, thereby substantiating the critical importance of variability management in future green supercomputers."",""1558-2183"","""",""10.1109/TPDS.2017.2766151"",""FP7 ERC Advance project MULTITHERMAN(grant numbers:291125)"; H2020 FETHPC ANTAREX(grant numbers:671623);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8081827"",""Green500";high-performance computing;hardware variability;energy-efficient software design;energy-aware computing;green supercomputer;heterogeneous supercomputer;dynamic resource management;hardware accelerator;"DVFS"",""Supercomputers";Frequency measurement;Computer architecture;Power measurement;Hardware;Energy measurement;"Program processors"","""",""12"","""",""52"",""IEEE"",""24 Oct 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Queue Delegation Locking,""D. Klaftenegger"; K. Sagonas;" K. Winblad"",""Department of Information Technology, Uppsala University, Uppsala, Sweden"; Department of Information Technology, Uppsala University, Uppsala, Sweden;" Department of Information Technology, Uppsala University, Uppsala, Sweden"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2018"",""2018"",""29"",""3"",""687"",""704"",""The scalability of parallel programs is often bounded by the performance of synchronization mechanisms used to protect critical sections. The performance of these mechanisms is in turn determined by their sequential execution time, efficient use of hardware, and ability to avoid waiting. In this article, we describe queue delegation (QD) locking, a family of locks that both delegate critical sections and enable detaching execution. Threads delegate work to the thread currently holding the lock and are able to detach, i.e., immediately continue their execution until they need a result from a previously delegated critical section. We show how to use queue delegation to build synchronization algorithms with lower overhead and higher throughput than existing algorithms, even when critical sections need to communicate results back immediately. Experiments when using up to 64 threads to access a shared priority queue show that QD locking provides 10 times higher throughput than Pthreads mutex locks and outperforms leading delegation algorithms. Also, when mixing parallel reads with delegated write operations, QD locking outperforms competing algorithms with an advantage ranging from 9.5 up to 207 percent increased throughput. Last but not least, continuing execution instead of waiting for the execution of critical sections leads to increased parallelism and better scalability. As we will see, queue delegation locking uses simple building blocks whose overhead is low even in uncontended use. All these make the technique useful in a wide variety of applications."",""1558-2183"","""",""10.1109/TPDS.2017.2767046"",""Vetenskapsrdet(grant numbers:UPMARC)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8093701"",""Locking";synchronization;delegation;detached execution;multi-core;"NUMA"",""Instruction sets";Message systems;Synchronization;Coherence;Scalability;Throughput;"Hardware"","""",""9"",""2"",""35"",""IEEE"",""1 Nov 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Race-Condition-Aware and Hardware-Oriented Task Partitioning and Scheduling Using Entropy Maximization,""S. Li"; Y. Zhang; H. Luo; Y. Chen; C. Lu;" D. Guo"",""Department of Electronic Engineering, Xiamen University, Fujian, China"; Department of Electrical and Computer Engineering, Southern Illinois University, Carbondale, IL; Department of Electronic Engineering, Xiamen University, Fujian, China; Department of Electronic Engineering, Xiamen University, Fujian, China; Department of Electrical and Computer Engineering, Southern Illinois University, Carbondale, IL;" Department of Electronic Engineering, Xiamen University, Fujian, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1589"",""1604"",""In a multithreaded execution environment, race condition leads to computational errors and system hazards. Up to date, a series of task scheduling strategies have been presented in the literature to reduce the risk of race condition. Because of the increasing complexity of this problem in multi-core systems, existing task scheduling approaches are not very efficient. To deal with this challenge, in this work, we develop a race-condition-aware and hardware-oriented task partitioning and scheduling algorithm using entropy maximization model. We model uncertainty as a probabilistic occurrence within a time interval, and hence the characteristics of event ordering are analyzed through an uncertainty matrix. Next, a metric is developed to measure the uncertainty of task execution in various execution environments. Finally, a maximum entropy model is generated to ensure the lowest probability of race condition during task execution. The smallest one among maximum entropy values is chosen and used in our proposed task scheduling algorithm. Experimental results show that the proposed task scheduling strategy based on our maximum entropy model outperforms existing state-of-the-art approaches. For example, in a 128-core computing system, the task execution time, CPU utilization ratio, and throughput of our proposed task scheduling is improved by  $15.3\sim 36.4$  percent, $8.2\sim 17.6$  percent, and $20.7\sim 41.4$  percent, respectively. Moreover, our proposed scheduling algorithm exhibits low computational complexity and good adaptivity to diverse execution environments."",""1558-2183"","""",""10.1109/TPDS.2017.2784829"",""National Natural Science Foundation of China(grant numbers:61274133)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8226841"",""Race condition";uncertainty analysis;task partitioning;maximum entropy model;"execution environment"",""Entropy";Scheduling algorithms;Uncertainty;Analytical models;"Probabilistic logic"","""",""7"","""",""39"",""IEEE"",""19 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Random Regular Graph and Generalized De Bruijn Graph with $k$ -Shortest Path Routing,""P. Faizian"; M. A. Mollah; X. Yuan; Z. Alzaid; S. Pakin;" M. Lang"",""Department of Computer Science, Florida State University, Tallahassee, FL"; Department of Computer Science, Florida State University, Tallahassee, FL; Department of Computer Science, Florida State University, Tallahassee, FL; Department of Computer Science, Florida State University, Tallahassee, FL; Computer, Computational, and Statistical Sciences, Los Alamos National Laboratory, Los Alamos, NM;" Computer, Computational, and Statistical Sciences, Los Alamos National Laboratory, Los Alamos, NM"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""144"",""155"",""The Random regular graph (RRG) has recently been proposed as an interconnect topology for future large scale data centers and HPC clusters. An RRG is a special case of directed regular graph (DRG) where each link is unidirectional and all nodes have the same number of incoming and outgoing links. In this work, we establish bounds for DRGs on diameter, average k-shortest path length, and a load balancing property with k-shortest path routing, and use these bounds to evaluate RRGs. The results indicate that an RRG with k-shortest path routing is not ideal in terms of diameter and load balancing. We further consider the Generalized De Bruijn Graph (GDBG), a deterministic DRG, and prove that for most network configurations, a GDBG is near optimal in terms of diameter, average k-shortest path length, and load balancing with a k-shortest path routing scheme. Finally, we use modeling and simulation to exploit the strengths and weaknesses of RRGs for different traffic conditions by comparing RRGs with GDBGs."",""1558-2183"","""",""10.1109/TPDS.2017.2741492"",""U.S. Department of Energy"; Office of Science; Office of Advanced Scientific Computing Research(grant numbers:0000219853,DE-SC0016039);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8013054"",""Network";topology;random regular graph;generalized De Bruijn graph;"  $k$      -shortest path routing"",""Routing";Topology;Network topology;Switches;Load management;Bandwidth;"Load modeling"","""",""13"","""",""18"",""IEEE"",""18 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Rapid Calculation of Max-Min Fair Rates for Multi-Commodity Flows in Fat-Tree Networks,""M. A. Mollah"; X. Yuan; S. Pakin;" M. Lang"",""Department of Computer Science, Florida State University, Tallahassee, FL"; Department of Computer Science, Florida State University, Tallahassee, FL; Computer, Computational, and Statistical Sciences Division, Los Alamos National Laboratory, Los Alamos, NM;" Computer, Computational, and Statistical Sciences Division, Los Alamos National Laboratory, Los Alamos, NM"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""156"",""168"",""Max-min fairness is often used in the performance modeling of interconnection networks. Existing methods to compute max-min fair rates for multi-commodity flows have high complexity and are computationally infeasible for large networks. In this work, we show that by considering topological features, this problem can be solved efficiently for the fat-tree topology that is widely used in data centers and high performance compute clusters. Several efficient new algorithms are developed for this problem, including a parallel algorithm that can take advantage of multi-core and shared-memory architectures. Using these algorithms, we demonstrate that it is possible to find the max-min fair rate allocation for multi-commodity flows in fat-tree networks that support tens of thousands of nodes. We evaluate the run-time performance of the proposed algorithms and show improvement in orders of magnitude over the previously best known method. We further demonstrate a new application of max-min fair rate allocation that is only computationally feasible using our new algorithms."",""1558-2183"","""",""10.1109/TPDS.2017.2746078"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8017578"",""Max-min fairness";fat-tree topology;high-performance computing;"data center networks"",""Resource management";Topology;Fats;Network topology;Routing;Vegetation;"Bandwidth"","""",""8"","""",""19"",""IEEE"",""29 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ReCA: An Efficient Reconfigurable Cache Architecture for Storage Systems with Online Workload Characterization,""R. Salkhordeh"; S. Ebrahimi;" H. Asadi"",""Department of Computer Engineering, Sharif University of Technology, Tehran, Iran"; Department of Computer Engineering, Sharif University of Technology, Tehran, Iran;" Department of Computer Engineering, Sharif University of Technology, Tehran, Iran"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1605"",""1620"",""In recent years, Solid-State Drives (SSDs) have gained tremendous attention in computing and storage systems due to significant performance improvement over Hard DiskDrives (HDDs). The cost per capacity of SSDs, however, prevents them from entirely replacing HDDs in such systems. One approach to effectively take advantage of SSDs is to use them as a caching layer to store performance critical data blocks in order to reduce the number of accesses to HDD-based disk subsystem. Due to characteristics of Flash-based SSDs such as limited write endurance and long latency on write operations, employing caching algorithms at the Operating System (OS) level necessitates to take such characteristics into consideration. Previous OS-level caching techniques are optimized towards only one type of application, which affects both generality and applicability. In addition, they are not adaptive when the workload pattern changes over time. This paper presents an efficient Reconfigurable Cache Architecture (ReCA) for storage systems using a comprehensive workload characterization to find an optimal cache configuration for I/O intensive applications. For this purpose, we first investigate various types of I/O workloads and classify them into five major classes. Based on this characterization, an optimal cache configuration is presented for each class of workloads. Then, using the main features of each class, we continuously monitor the characteristics of an application during system runtime and the cache organization is reconfigured if the application changes from one class to another class of workloads. The cache reconfiguration is done online and workload classes can be extended to emerging I/O workloads in order to maintain its efficiency with the characteristics of I/O requests. Experimental results obtained by implementing ReCA in a 4U rackmount server with SATA 6Gb/s disk interfaces running Linux 3.17.0 show that the proposed architecture improves performance and lifetime up to 24 and 33 percent, respectively."",""1558-2183"","""",""10.1109/TPDS.2018.2796100"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8265001"",""Solid-state drives";data storage systems;performance;endurance;"I/O caching"",""Performance evaluation";Computer architecture;Cache storage;Runtime;Metadata;Linux;"Hard disks"","""",""21"","""",""60"",""IEEE"",""22 Jan 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Reducing Cache Coherence Traffic with a NUMA-Aware Runtime Approach,""P. Caheny"; L. Alvarez; S. Derradji; M. Valero; M. Moretó;" M. Casas"",""Departament d’Arquitectura de Computadors at the Universitat Politècnica de Catalunya (UPC), Barcelona Supercomputing Centre (BSC), Barcelona, Spain"; Departament d’Arquitectura de Computadors at the Universitat Politècnica de Catalunya (UPC), Barcelona Supercomputing Centre (BSC), Barcelona, Spain; Bull/Atos Group, Les Clayes-sous-Bois, France; Departament d’Arquitectura de Computadors at the Universitat Politècnica de Catalunya (UPC), Barcelona Supercomputing Centre (BSC), Barcelona, Spain; Departament d’Arquitectura de Computadors at the Universitat Politècnica de Catalunya (UPC), Barcelona Supercomputing Centre (BSC), Barcelona, Spain;" Departament d’Arquitectura de Computadors at the Universitat Politècnica de Catalunya (UPC), Barcelona Supercomputing Centre (BSC), Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Apr 2018"",""2018"",""29"",""5"",""1174"",""1187"",""Cache Coherent NUMA (ccNUMA) architectures are a widespread paradigm due to the benefits they provide for scaling core count and memory capacity. Also, the flat memory address space they offer considerably improves programmability. However, ccNUMA architectures require sophisticated and expensive cache coherence protocols to enforce correctness during parallel executions, which trigger a significant amount of on- and off-chip traffic in the system. This paper analyses how coherence traffic may be best constrained in a large, real ccNUMA platform comprising 288 cores through the use of a joint hardware/software approach. For several benchmarks, we study coherence traffic in detail under the influence of an added hierarchical cache layer in the directory protocol combined with runtime managed NUMA-aware scheduling and data allocation techniques to make most efficient use of the added hardware. The effectiveness of this joint approach is demonstrated by speedups of 3.14× to 9.97× and coherence traffic reductions of up to 99 percent in comparison to NUMA-oblivious scheduling and data allocation."",""1558-2183"","""",""10.1109/TPDS.2017.2787123"",""Spanish Government(grant numbers:SEV2015-0493)"; Spanish Ministry of Science and Innovation(grant numbers:TIN2015-65316-P); Generalitat de Catalunya(grant numbers:2014-SGR-1051,2014-SGR-1272); RoMoL ERC Advanced(grant numbers:GA 321253); European HiPEAC Network of Excellence; EU's H2020 Framework Programme (H2020/2014-2020)(grant numbers:n° 671697); Ministry of Economy and Competitiveness(grant numbers:JCI-2012-15047); Secretary for Universities and Research of the Ministry of Economy and Knowledge of the Government of Catalonia and the Cofund programme of the Marie Curie Actions of the 7th R&D Framework Programme of the European Union(grant numbers:2013 BP_B 00243);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8239832"",""Cache coherence";NUMA;"task-based programming models"",""Coherence";Switched mode power supplies;Resource management;Runtime;Sockets;Protocols;"Computer architecture"","""",""7"","""",""29"",""IEEE"",""25 Dec 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Replication-Based Fault-Tolerance for Large-Scale Graph Processing,""R. Chen"; Y. Yao; P. Wang; K. Zhang; Z. Wang; H. Guan; B. Zang;" H. Chen"",""Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China"; Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China; New York University, New York, NY; Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China; Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China;" Shanghai Key Laboratory for Scalable Computing and Systems, Shanghai Jiao Tong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2018"",""2018"",""29"",""7"",""1621"",""1635"",""The increasing algorithmic complexity and dataset sizes necessitate the use of networked machines for many graph-parallel algorithms, which also makes fault tolerance a must due to the increasing scale of machines. Unfortunately, existing large-scale graph-parallel systems usually adopt a distributed checkpoint mechanism for fault tolerance, which incurs not only notable performance overhead but also lengthy recovery time. This paper observes that the vertex replicas created for distributed graph computation can be naturally extended for fast in-memory recovery of graph states. This paper describes Imitator, a new fault tolerance mechanism, which supports cheap maintenance of vertex states by replicating them to their replicas during normal message exchanges, and provides fast in-memory reconstruction of failed vertices from replicas in other machines. Imitator has been implemented on Cyclops with edge-cut and PowerLyra with vertex-cut. Evaluation on a 50-node EC-2 like cluster shows that Imitator incurs an average of 1.37 and 2.32 percent performance overhead (ranging from -0.6 to 3.7 percent) for Cyclops and PowerLyra respectively, and can recover from failures of more than one million of vertices with less than 3.4 seconds."",""1558-2183"","""",""10.1109/TPDS.2017.2703904"",""National Key Research & Development Program(grant numbers:2016YFB1000500)"; National Natural Science Foundation of China(grant numbers:61402284,61572314,61525204); National Youth Top-notch Talent Support Program of China; Zhangjiang Hi-Tech program(grant numbers:201501-YP-B108-012); Singapore NRF(grant numbers:CREATE E2S2);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7927721"",""Graph-parallel system";fault-tolerance;"replication"",""Fault tolerance";Fault tolerant systems;Clustering algorithms;Checkpointing;Runtime;Loading;"Synchronization"","""",""9"","""",""57"",""IEEE"",""15 May 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Resource Optimization Across the Cloud Stack,""Z. Á. Mann"",""University of Duisburg-Essen, Essen, Germany"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2017"",""2018"",""29"",""1"",""169"",""182"",""Previous work on optimizing resource provisioning in virtualized environments focused either on mapping virtual machines (VMs) to physical machines (PMs) or mapping application components to VMs. In this paper, we argue that these two optimization problems influence each other significantly and in a highly non-trivial way. We define a sophisticated problem formulation for the joint optimization of the two mappings, taking into account sizing aspects, colocation constraints, license costs, and hardware affinity relations. As demonstrated by the empirical evaluation on a real-world workload trace, the combined optimization leads to significantly better overall results than considering the two problems in isolation."",""1558-2183"","""",""10.1109/TPDS.2017.2744627"",""Hungarian Scientific Research Fund(grant numbers:OTKA 108947)"; European Union's Horizon 2020 research and innovation programme(grant numbers:731678);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8016586"",""Virtual machines";VM placement;VM consolidation;VM selection;VM sizing;cloud computing;"data center"",""Optimization";Cloud computing;Licenses;Hardware;Energy consumption;Unified modeling language;"Heuristic algorithms"","""",""34"","""",""50"",""IEEE"",""25 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"RoB-Router : A Reorder Buffer Enabled Low Latency Network-on-Chip Router,""C. Li"; D. Dong; Z. Lu;" X. Liao"",""National Laboratory for Parallel and Distributed Processing, and Collaborative Innovation Center of High Performance Computing, National University of Defense Technology, Changsha, China"; National Laboratory for Parallel and Distributed Processing, and Collaborative Innovation Center of High Performance Computing, National University of Defense Technology, Changsha, China; School of Electrical Engineering and Computer Science, KTH Royal Institute of Technology, Stockholm, Sweden;" National Laboratory for Parallel and Distributed Processing, and Collaborative Innovation Center of High Performance Computing, National University of Defense Technology, Changsha, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2018"",""2018"",""29"",""9"",""2090"",""2104"",""Traditional input-queued routers in network-on-chips (NoCs) only have a small number of virtual channels (VCs) and packets in a VC are organized in a fixed order. Such design is susceptible to head-of-line (HoL) blocking as only the packet at the head of a VC can be allocated by the switch allocator. Since switch allocation is the critical pipeline stage in on-chip routers, HoL blocking significantly degrades the performance of NoCs. In this paper, we propose to schedule packets in input buffers utilizing reorder buffer (RoB) techniques. We design VCs as RoBs to allow packets located not at the head of a VC to be allocated before the head packets. RoBs reduce the conflicts in switch allocation and mitigate the HoL blocking and thus improve the NoC performance. However, it is hard to reorder all the units in a VC due to circuit complexity and power overhead. We propose RoB-Router, which leverages elastic RoBs in VCs to only allow a part of a VC to act as RoB. RoB-Router automatically determines the length of RoB in a VC based on the number of buffered flits. This design minimizes the resource while achieving excellent efficiency. Furthermore, we propose two independent methods to improve the performance of RoB-Router. One is to optimize the packet order in input buffers by redesigning VC allocation strategy. The other combines RoB-Router with current most efficient switch allocator TS-Router. We perform evaluations and the results show that our design can achieve 46 and 15.7 percent performance improvement in packet latency under synthetic traffic and traces from PARSEC than TS-Router, and the cost of energy and area is moderate. Additionally, average packet latency reduction by our two improving methods under uniform traffic is 13 and 17 percent respectively."",""1558-2183"","""",""10.1109/TPDS.2018.2817552"",""National Key Research and Development Program of China(grant numbers:2016YFB0200400)"; NSFC(grant numbers:61672526); FANEDD(grant numbers:201450);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8320326"",""Network on chip";switch allocation;packets scheduling;"reorder buffer"",""Resource management";Switches;Pipelines;Scheduling;Network-on-chip;"Complexity theory"","""",""16"","""",""24"",""IEEE"",""20 Mar 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Scalable Data Race Detection for Lock-Intensive Programs with Pending Period Representation,""X. Liao"; M. Lin; L. Zheng; H. Jin;" Z. Shao"",""Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, Hubei, China"; Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, Hubei, China; Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, Hubei, China; Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, Hubei, China;" Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, Hubei, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2018"",""2018"",""29"",""11"",""2599"",""2612"",""Most of dynamic data race detection essentially relies on the underlying happens-before orders to yield the precise reports. They are notoriously prone to a prohibitively basic overhead. Although there exist a wealth of research advances that succeed in significantly reducing the analysis overhead on memory accesses, there remains an open problem in handling a great deal of fundamentally unscalable synchronization overhead, which can be particularly serious for the large, lock-intensive programs with a long running time and a large number of threads. In this paper, we revisit the synchronization problem of off-the-shelf race detection with a comprehensive study. The key insight of this work is that a full collection of partial orders for synchronization operations in prior work is not necessarily tracked and analyzed from a new perspective of “global clock” representation. We therefore develop this insight into a novel pending-period based approach, aiming at reducing the overhead of monitoring and analysis on unnecessary synchronization operations. Further, we also enable a significant improvement for enhancing the efficiency of existing sampling techniques, in which synchronization operations are often conservatively identified. Our experimental results on a wide variety of programs show that our approach outperforms state-of-the-art by 5.85x (versus FastTrack), 3.51x (versus ThreadSanitizer) and 1.34x (versus IFRit) program execution slowdown improvement on average, which can be more significant as the number of threads is increasing. Particularly for the lock-intensive programs (e.g., barnes), our approach can be 26.04x faster than FastTrack. Further, our pending period extended sampling is more efficient than Pacer (with up to 31.28 percent improvement in the case of 10 percent sampling rate)."",""1558-2183"","""",""10.1109/TPDS.2018.2836899"",""National Natural Science Foundation of China(grant numbers:61732010,61702201,61628204)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8359198"",""Data race";scalability;efficiency;happens-before relation;global clock;"sampling"",""Synchronization";Clocks;Instruction sets;Runtime;Monitoring;Scalability;"Message systems"","""",""2"","""",""44"",""IEEE"",""15 May 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
