"A Cloud Reservation System for Big Data Applications,""D. C. Marinescu"; A. Paya;" J. P. Morrison"",""Computer Science Department, University of Central Florida, Orlando, FL"; Computer Science Department, University of Central Florida, Orlando, FL;" Computer Science Department, University College Cork, Cork, Ireland"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""606"",""618"",""Emerging Big Data applications increasingly require resources beyond those available from a single server and may be expressed as a complex workflow of many components and dependency relationships-each component potentially requiring its own specific, and perhaps specialized, resources for its execution. Efficiently supporting this type of Big Data application is a challenging resource management problem for existing cloud environments. In response, we propose a two-stage protocol for solving this resource management problem. We exploit spatial locality in the first stage by dynamically forming rack-level coalitions of servers to execute a workflow component. These coalitions only exist for the duration of the execution of their assigned component and are subsequently disbanded, allowing their resources to take part in future coalitions. The second stage creates a package of these coalitions, designed to support all the components in the complete workflow. To minimize the communication and housekeeping overhead needed to form this package of coalitions, the technique of combinatorial auctions is adapted from market-based resource allocation. This technique has a considerably lower overhead for resource aggregation than the traditional hierarchically organized models. We analyze two strategies for coalition formation: the first, history-based uses information from past auctions to pre-form coalitions in anticipation of predicted demand";" the second one is a just-in-time-that builds coalitions only when support for specific workflow components is requested."",""1558-2183"","""",""10.1109/TPDS.2016.2594783"",""US National Science Foundation CCR(grant numbers:1525943)"; Simulation of Quantum Many-Body Systems Feasible on the Cloud(grant numbers:H2020 EU); Irish Centre for Cloud Computing and Commerce;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7523396"",""Big data applications";cloud resource management;hierarchical organization;coalition formation;"combinatorial auctions"",""Cloud computing";Resource management;Servers;Big data;Organizations;Computers;"Google"","""",""15"","""",""39"",""IEEE"",""27 Jul 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Toward General Software Level Silent Data Corruption Detection for Parallel Applications,""E. Berrocal"; L. Bautista-Gomez; S. Di; Z. Lan;" F. Cappello"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL"; Barcelona Supercomputing Center, Barcelona, Spain; Argonne National Laboratory, Lemont, IL; Department of Computer Science, Illinois Institute of Technology, Chicago, IL;" Argonne National Laboratory, Lemont, IL"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2017"",""2017"",""28"",""12"",""3642"",""3655"",""Silent data corruption (SDC) poses a great challenge for high-performance computing (HPC) applications as we move to extreme-scale systems. Mechanisms have been proposed that are able to detect SDC in HPC applications by using the peculiarities of the data (more specifically, its “smoothness” in time and space) to make predictions. However, these data-analytic solutions are still far from fully protecting applications to a level comparable with more expensive solutions such as full replication. In this work, we propose partial replication to overcome this limitation. More specifically, we have observed that not all processes of an MPI application experience the same level of data variability at exactly the same time. Thus, we can smartly choose and replicate only those processes for which the lightweight data-analytic detectors would perform poorly. In addition, we propose a new evaluation method based on the probability that a corruption will pass unnoticed by a particular detector (instead of just reporting overall single-bit precision and recall). In our experiments, we use four applications dealing with different explosions. Our results indicate that our new approach can protect the MPI applications analyzed with 7-70 percent less overhead (depending on the application) than that of full duplication with similar detection recall."",""1558-2183"","""",""10.1109/TPDS.2017.2735971"",""Illinois Institute of Technology"; U.S. National Science Foundation(grant numbers:CNS-1320125,CCF-1422009); U.S. Department of Energy; Office of Science; Advanced Scientific Computing Research Program(grant numbers:DE-AC02-06CH11357); ANR; RESCUE(grant numbers:INRIA-Illinois-ANL- BSC-JSC-Riken);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8002625"",""Silent data corruption detection";partial replication;data analysis;high-performance computing;"parallel applications"",""High performance computing";Parallel processing;Random access memory;Electronic mail;"Measurement"","""",""10"","""",""42"",""IEEE"",""4 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Towards Long-View Computing Load Balancing in Cluster Storage Systems,""G. Liu"; H. Shen;" H. Wang"",""Department of ECE, Clemson University, Clemson, SC"; Department of Computer Science, University of Virginia, Charlottesville, VA;" Department of Computer Science, University of Virginia, Charlottesville, VA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2017"",""2017"",""28"",""6"",""1770"",""1784"",""In large-scale computing clusters, when the server storing a task's requested data does not have sufficient computing capacity for the task, current job schedulers either schedule the task to the closest server and transmit to it the requested data, or let the task wait until the server has sufficient computing capacity. The former solution generates network load while the latter solution increases task delay. To handle this problem, load balancing methods are needed to reduce the number of overloaded servers due to computing workloads. However, current load balancing methods do not aim to balance the computing load for the long term. Through trace analysis, we demonstrate the diversity of computing workloads of different tasks and the necessity of balancing the computing workloads among servers. Then, we propose a cost-efficient Computing load Aware and Long-View load balancing approach (CALV). CALVis novel in that it achieves long-term computing load balance by migrating out an overloaded server data blocks contributing more computing workloads when the server is more overloaded and contribute less computing workloads when the server is more underloaded at different epochs during a time period. Based upon the task schedules, we further propose a task reassignment algorithm that reassigns tasks from an overloaded server to other data servers of the tasks to make it non-overloaded before CALVis conducted. The above methods are for the tasks whose submission times and execution latencies can be predicted. To handle unexpected tasks or insufficiently accurate predictions, we propose a dynamic load balancing method, in which an overloaded server dynamically redirects tasks to other data servers of the tasks, or replicates the tasks' requested data to other servers and redirects the tasks to those servers in order to become non-overloaded. Finally, we propose a proximity-aware tree based distributed load balancing method to reduce the reallocation cost and improve the scalability of CALV. Trace-driven experiments in simulation and a real computing cluster show that CALV outperforms other methods in terms of balancing the computing workloads and cost efficiency."",""1558-2183"","""",""10.1109/TPDS.2016.2632713"",""US National Science Foundation(grant numbers:NSF-1404981,IIS-1354123,CNS-1254006)"; IBM Faculty(grant numbers:5501145); Microsoft Research Faculty Fellowship(grant numbers:8300751);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7756366"",""Computing cluster";data allocation;load balancing;"data locality"",""Servers";Load management;Delays;Schedules;Distributed databases;Scalability;"Computational modeling"","""",""6"","""",""39"",""IEEE"",""24 Nov 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Towards the Tradeoffs in Designing Data Center Network Architectures,""D. Li"; J. Wu; Z. Liu;" F. Zhang"",""Department of Computer and Information Sciences, Temple University, Philadelphia, PA"; Department of Computer and Information Sciences, Temple University, Philadelphia, PA; State Key Laboratory for Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China;" Key Laboratory of Intelligent Information Processing, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Dec 2016"",""2017"",""28"",""1"",""260"",""273"",""Existing Data Center Network (DCN) architectures are classified into two categories: switch-centric and server-centric architectures. In switch-centric DCNs, routing intelligence is placed on switches"; each server usually uses only one port of the Network Interface Card (NIC) to connect to the network. In server-centric DCNs, switches are only used as cross-bars, and routing intelligence is placed on servers, where multiple NIC ports may be used. In this paper, we formally introduce a new category of DCN architectures: the dual-centric DCN architectures, where routing intelligence can be placed on both switches and servers. The dual-centric philosophy can achieve various tradeoffs in designing DCN architectures. We propose three novel dual-centric DCN architectures: FCell, FRectangle, and FSquare, all of which are based on the folded Clos topology. FCell is a power-efficient DCN architecture, with a larger diameter and lower bisection bandwidth than FSquare and FRectangle. FSquare is a high performance DCN architecture, in which the diameter is small and the bisection bandwidth is large;" however, the DCN power consumption per server in FSquare is high. FRectangle significantly reduces the DCN power consumption per server, compared to FSquare, at the sacrifice of some networking performances. By investigating FCell, FRectangle and FSquare, and by comparing them with existing architectures, we demonstrate that, the three novel dual-centric architectures enjoy the advantages of both switch-centric designs and server-centric designs, have various nice properties for practical data centers, and provide flexible tradeoff choices in designing DCN architectures."",""1558-2183"","""",""10.1109/TPDS.2016.2610970"",""US National Science Foundation(grant numbers:CNS 1449860,CNS 1461932,CNS 1460971,CNS 1439672,CNS 1301774,ECCS 1231461)"; NSFC(grant numbers:61520106005,61521092);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7779314"",""Data center network (DCN)";power consumption;end-to-end delay;bisection bandwidth;"dual-centric design"",""Servers";Delays;Computer architecture;Power demand;Switches;Routing;"Bandwidth"","""",""22"","""",""32"",""IEEE"",""9 Dec 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Traffic At-a-Glance: Time-Bounded Analytics on Large Visual Traffic Data,""G. Li"; X. Li; F. Yang; J. Teng; S. Ding; Y. F. Zheng; D. Xuan; B. Chen;" W. Zhao"",""Department of Computer Science & Engineering, The Ohio State University, OH"; Department of Computer Science & Engineering, The Ohio State University, OH; Department of Computer Science & Engineering, The Ohio State University, OH; Department of Computer Science & Engineering, The Ohio State University, OH; Department of Electrical & Computer Engineering, The Ohio State University, OH; Department of Electrical & Computer Engineering, The Ohio State University, OH; Department of Computer Science & Engineering, The Ohio State University, OH; Department of Computer & Information Science, University of Macau, Macau;" Department of Computer & Information Science, University of Macau, Macau"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2017"",""2017"",""28"",""9"",""2703"",""2717"",""Massive visual traffic data have become available recently. Though it opens the realm of intelligent traffic analysis, processing the data in a timely manner is difficult yet critical to time sensitive decisions, which are typical to traffic related management. In this paper, we study time-bounded aggregation analytics on large visual traffic data including traffic images and videos. We first find that current MapReduce framework can not work well due to two challenges: first, significant dual diversities exist on data distributions and processing time";" second, apriori knowledge on these distributions and time costs are not always available. However, we also observe spatial and temporal locality on data values and processing time. Based on the examination, we design Traffic At-a-Glance (TaG), an augmented MapReduce framework for time-bounded traffic analytics jobs. Particularly, we propose a novel sampling algorithm that exploits traffic data localities and stratifies samples based on data distributions and processing time. It runs in an iterative, adaptive manner without apriori knowledge. Moreover, we propose a heuristic scheduling algorithm with considerations of batch processing overhead. Further, we refine the load balancing mechanism based on data processing time locality to respect job time bounds. In addition, we extend TaG to well handle traffic videos by sampling video data based on motion information encoded in the videos. We implement TaG on Hadoop and conduct extensive experiments on a large visual traffic dataset. The evaluations on different data sizes show TaG is able to achieve high accuracy within time bounds."",""1558-2183"","""",""10.1109/TPDS.2017.2684158"",""Natural Science Foundation of China (NSFC)(grant numbers:61373115,61402356,61572398)"; FDCT(grant numbers:009/2010/A1,061/2011/A3); University of Macau(grant numbers:MYRG112); China Post doctoral Science Foundation(grant numbers:2015M572565); Fundamental Research Funds for the Central Universities(grant numbers:xkjc2015010); U.S. National Science Foundation (NSF)(grant numbers:CNS1065136,CNS1218876);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7880553"",""Traffic analysis";visual data;big data;MapReduce;"load balance"",""Visualization";Videos;Load management;Big Data;Surveillance;"Scheduling algorithms"","""",""5"","""",""39"",""IEEE"",""17 Mar 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Traffic Load Balancing Schemes for Devolved Controllers in Mega Data Centers,""X. Gao"; L. Kong; W. Li; W. Liang; Y. Chen;" G. Chen"",""Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China; School of Computer Science, Carnegie Mellon University, Pittsburgh, PA; School of Computer Science, Carnegie Mellon University, Pittsburgh, PA;" Department of Computer Science and Engineering, Shanghai Jiao Tong University, Shanghai, China"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2017"",""2017"",""28"",""2"",""572"",""585"",""In most existing cloud services, a centralized controller is used for resource management and coordination. However, such infrastructure is gradually not sufficient to meet the rapid growth of mega data centers. In recent literature, a new approach named devolved controller was proposed for scalability concern. This approach splits the whole network into several regions, each with one controller to monitor and reroute a portion of the flows. This technique alleviates the problem of an overloaded single controller, but brings other problems such as unbalanced work load among controllers and reconfiguration complexities. In this paper, we make an exploration on the usage of devolved controllers for mega data centers, and design some new schemes to overcome these shortcomings and improve the performance of the system. We first formulate Load Balancing problem for Devolved Controllers (LBDC) in data centers, and prove that it is NP-complete. We then design an f-approximation for LBDC, where f is the largest number of potential controllers for a switch in the network. Furthermore, we propose both centralized and distributed greedy approaches to solve the LBDC problem effectively. The numerical results validate the efficiency of our schemes, which can become a solution to monitoring, managing, and coordinating mega data centers with multiple controllers working together."",""1558-2183"","""",""10.1109/TPDS.2016.2579622"",""China 973 project(grant numbers:2014CB340303)"; Opening Project of Key Lab of Information Network Security of Ministry of Public Security; The Third Research Institute of Ministry of Public Security(grant numbers:C15602); Opening Project of Baidu(grant numbers:181515P005267); National Natural Science Foundation of China(grant numbers:61472252,61133006,61303202); Open Project Program of Shanghai Key Laboratory of Data Science(grant numbers:201609060001); China Postdoctoral Science Foundation(grant numbers:2014M560334,2015T80433);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7488213"","""",""Switches";Monitoring;Load management;Routing;Servers;"Scalability"","""",""24"","""",""42"",""IEEE"",""9 Jun 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Traffic-Aware Geo-Distributed Big Data Analytics with Predictable Job Completion Time,""P. Li"; S. Guo; T. Miyazaki; X. Liao; H. Jin; A. Y. Zomaya;" K. Wang"",""School of Computer Science and Engineering, University of Aizu, Japan"; Department of Computing, The Hong Kong Polytechnic University, Hong Kong; School of Computer Science and Engineering, University of Aizu, Japan; Service Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, China; Service Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, China; School of Information Technologies, University of Sydney, Camperdown, NSW, Australia;" Jiangsu High Technology Research Key Laboratory for Wireless Sensor Networks, Nanjing University of Posts and Telecommunications, Nanjing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2017"",""2017"",""28"",""6"",""1785"",""1796"",""Big data analytics has attracted close attention from both industry and academic because of its great benefits in cost reduction and better decision making. As the fast growth of various global services, there is an increasing need for big data analytics across multiple data centers (DCs) located in different countries or regions. It asks for the support of a cross-DC data processing platform optimized for the geo-distributed computing environment. Although some recent efforts have been made for geo-distributed big data analytics, they cannot guarantee predictable job completion time, and would incur excessive traffic overthe inter-DC network that is a scarce resource shared by many applications. In this paper, we study to minimize the inter-DC traffic generated by MapReduce jobs targeting on geo-distributed big data, while providing predicted job completion time. To achieve this goal, we formulate an optimization problem by jointly considering input data movement and task placement. Furthermore, we guarantee predictable job completion time by applying the chance-constrained optimization technique, such that the MapReduce job can finish within a predefined job completion time with high probability. To evaluate the performance of our proposal, we conduct extensive simulations using real traces generated by a set of queries on Hive. The results show that our proposal can reduce 55 percent inter-DC traffic compared with centralized processing by aggregating all data to a single data center."",""1558-2183"","""",""10.1109/TPDS.2016.2626285"",""JSPS KAKENHI(grant numbers:16K16038)"; NSFC(grant numbers:61572262); NSF of Jiangsu Province(grant numbers:BK20141427); Australian Research Council Discovery(grant numbers:A7921);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7738559"",""Big data";geo-distributed;MapReduce;"traffic-aware"",""Big data";Optimization;Distributed databases;Scheduling;Data models;"Proposals"","""",""52"","""",""36"",""IEEE"",""8 Nov 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Trajectory Pattern Mining for Urban Computing in the Cloud,""A. Altomare"; E. Cesario; C. Comito; F. Marozzo;" D. Talia"",""Institute of High Performance Computing and Networks (ICAR-CNR), Via P. Bucci, 7/11 C, Rende, (CS), Italy"; Institute of High Performance Computing and Networks (ICAR-CNR), Via P. Bucci, 7/11 C, Rende, (CS), Italy; Institute of High Performance Computing and Networks (ICAR-CNR), Via P. Bucci, 7/11 C, Rende, (CS), Italy; DIMES Department, University of Calabria, Rende, (CS), Italy;" DIMES Department, University of Calabria, Rende, (CS), Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""16 Jan 2017"",""2017"",""28"",""2"",""586"",""599"",""The increasing pervasiveness of mobile devices along with the use of technologies like GPS, Wifi networks, RFID, and sensors, allows for the collections of large amounts of movement data. This amount of data can be analyzed to extract descriptive and predictive models that can be properly exploited to improve urban life. From a technological viewpoint, Cloud computing can play an essential role by helping city administrators to quickly acquire new capabilities and reducing initial capital costs by means of a comprehensive pay-as-you-go solution. This paper presents a workflow-based parallel approach for discovering patterns and rules from trajectory data, in a Cloud-based framework. Experimental evaluation has been carried out on both real-world and synthetic trajectory data, up to one million of trajectories. The results show that, due to the high complexity and large volumes of data involved in the application scenario, the trajectory pattern mining process takes advantage from the scalable execution environment offered by a Cloud architecture in terms of both execution time, speed-up and scale-up."",""1558-2183"","""",""10.1109/TPDS.2016.2565480"",""MIUR project"; DICET-INMOTO(grant numbers:PON04a2_D);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7467530"",""Trajectory mining";urban computing;cloud computing;"distributed data mining"",""Cloud computing";Trajectory;Urban areas;Data mining;Computer architecture;"Sensors"","""",""17"","""",""23"",""IEEE"",""10 May 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Transport-Support Workflow Composition and Optimization for Big Data Movement in High-Performance Networks,""D. Yun"; C. Q. Wu;" M. M. Zhu"",""Computer and Information Sciences Program, Harrisburg University of Science and Technology, Harrisburg, PA"; Department of Computer Science, New Jersey Institute of Technology, Newark, NJ;" Department of Computer Science, Montclair State University, Montclair, NJ"",""IEEE Transactions on Parallel and Distributed Systems"",""10 Nov 2017"",""2017"",""28"",""12"",""3656"",""3670"",""High-performance networks (HPNs) are being increasingly developed and deployed to support the transfer of big data. However, such HPN-based technologies and services have not been fully utilized as their use often requires considerable networking and system domain knowledge and many application users are even not aware of their existence. This work develops an integrated solution to discover system and network resources and compose end-to-end paths for big data movement. We first develop profiling and modeling approaches to characterize various types of resources distributed in end systems, edge segments, and backbone networks. A comprehensive set of performance metrics and network parameters are considered in different phases including device deployment, circuit setup, and data transfer. Based on these profiles and models, we then formulate a class of transport-support workflow optimization problems to compose the best end-to-end path that meets various performance requirements. We prove this problem to be NP-complete and design pseudo-polynomial optimal algorithms. We conduct extensive simulations to evaluate the proposed algorithms in comparison with a greedy approach, and also carry out real-life experiments across different network segments in production HPNs to evaluate the validity of the constructed cost models and illustrate the efficacy of the proposed transport solution."",""1558-2183"","""",""10.1109/TPDS.2017.2732987"",""Harrisburg University of Science and Technology’s Presidential Research"; U.S. Department of Energy’s; Office of Science(grant numbers:DE-SC0015892); National Science Foundation(grant numbers:CNS-1560698); New Jersey Institute of Technology;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8000332"",""Big data transfer";performance modeling;workflow optimization;"high-performance networks"",""Data transfer";Bandwidth;Optimization;Big Data;Algorithm design and analysis;"Heuristic algorithms"","""",""7"","""",""46"",""IEEE"",""2 Aug 2017"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Trends in Data Locality Abstractions for HPC Systems,""D. Unat"; A. Dubey; T. Hoefler; J. Shalf; M. Abraham; M. Bianco; B. L. Chamberlain; R. Cledat; H. C. Edwards; H. Finkel; K. Fuerlinger; F. Hannig; E. Jeannot; A. Kamil; J. Keasler; P. H. J. Kelly; V. Leung; H. Ltaief; N. Maruyama; C. J. Newburn;" M. Pericás"",""Department of Computer Engineering, Koç University, Istanbul, Turkey"; Argonne National Laboratory, Lemont, IL; ETH Zürich, Zürich, Switzerland; Lawrence Berkeley National Laboratory, Berkeley, CA; KTH Royal Institute of Technology, Solna, Sweden; Swiss National Supercomputer Centre, Lugano, Switzerland; Cray Inc., Seattle, WA; Intel Cooperation, Santa Clara, CA; Sandia National Laboratories, Albuquerque, NM; Argonne National Laboratory, Argonne, IL; Ludwig-Maximilians-Universität München, Munich, Germany; University of Erlangen-Nuremberg, Erlangen, Germany; INRIA Bordeaux Sud-Ouest, Talence, France; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Livermore National Laboratory, Livermore, CA; Imperial College London, London, United Kingdom; Sandia National Laboratories, Albuquerque, NM; King Abdullah University of Science and Technology, Thuwal, Kingdom of Saudi Arabia; RIKEN, Kobe, Hyogo, Japan; Nvidia Corporation, Santa Clara, CA;" Chalmers University of Technology, Göteborg, Sweden"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Sep 2017"",""2017"",""28"",""10"",""3007"",""3020"",""The cost of data movement has always been an important concern in high performance computing (HPC) systems. It has now become the dominant factor in terms of both energy consumption and performance. Support for expression of data locality has been explored in the past, but those efforts have had only modest success in being adopted in HPC applications for various reasons. them However, with the increasing complexity of the memory hierarchy and higher parallelism in emerging HPC systems, locality management has acquired a new urgency. Developers can no longer limit themselves to low-level solutions and ignore the potential for productivity and performance portability obtained by using locality abstractions. Fortunately, the trend emerging in recent literature on the topic alleviates many of the concerns that got in the way of their adoption by application developers. Data locality abstractions are available in the forms of libraries, data structures, languages and runtime systems";" a common theme is increasing productivity without sacrificing performance. This paper examines these trends and identifies commonalities that can combine various locality concepts to develop a comprehensive approach to expressing and managing data locality on future large-scale high-performance computing systems."",""1558-2183"","""",""10.1109/TPDS.2017.2703149"",""German Research Foundation(grant numbers:TE 163/17-1)"; European Commission(grant numbers:655965);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7924389"",""Data locality";programming abstractions;high-performance computing;data layout;"locality-aware runtimes"",""Layout";Arrays;Market research;Distributed databases;Parallel processing;"Libraries"","""",""53"","""",""77"",""IEEE"",""10 May 2017"","""","""",""IEEE"",""IEEE Journals"""
"Understanding Big Data Analytics Workloads on Modern Processors,""Z. Jia"; J. Zhan; L. Wang; C. Luo; W. Gao; Y. Jin; R. Han;" L. Zhang"",""University of Chinese Academy of Sciences, Beijing, China"; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; Beijing Computing Center, Beijing Academy of Science and Technology, Beijing, China; University of Chinese Academy of Sciences, Beijing, China;" University of Chinese Academy of Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 May 2017"",""2017"",""28"",""6"",""1797"",""1810"",""Big data analytics workloads are very significant ones in modern data centers, and it is more and more important to characterize their representative workloads and understand their behaviors so as to improve the performance of data center computer systems. In this paper, we embark on a comprehensive study to understand the impacts and performance implications of the big data analytics workloads on the systems equipped with modern superscalar out-of-order processors. After investigating three most important application domains in Internet services in terms of page views and daily visitors, we choose 11 representative data analytics workloads and characterize their micro-architectural behaviors by using hardware performance counters. Our study reveals that the big data analytics workloads share many inherent characteristics, which place them in a different class from the traditional workloads and the scale-out services. To further understand the characteristics of big data analytics workloads, we perform correlation analysis to identify the most key factors that affect cycles per instruction (CPI). Also, we reveal that the increasing complexity of the big data software stacks will put higher pressures on the modern processor pipelines."",""1558-2183"","""",""10.1109/TPDS.2016.2625244"",""The National Key Research and Development Program of China(grant numbers:2016YFB1000600,2016YFB1000601)";" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7736117"",""Big data analytics";workload characterization;micro-architectural characteristics;"performance optimization"",""Big data";Social network services;Program processors;Search engines;Electronic commerce;"Data analysis"","""",""23"","""",""45"",""IEEE"",""4 Nov 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Understanding Co-Running Behaviors on Integrated CPU/GPU Architectures,""F. Zhang"; J. Zhai; B. He; S. Zhang;" W. Chen"",""Department of Computer Science and Technology, Tsinghua University, Beijing, China"; Department of Computer Science and Technology, Tsinghua University, Beijing, China; School of Computing, National University of Singapore, Singapore, Singapore; School of Computing, National University of Singapore, Singapore, Singapore;" Department of Computer Science and Technology, Tsinghua University, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Feb 2017"",""2017"",""28"",""3"",""905"",""918"",""Architecture designers tend to integrate both CPUs and GPUs on the same chip to deliver energy-efficient designs. It is still an open problem to effectively leverage the advantages of both CPUs and GPUs on integrated architectures. In this work, we port 42 programs in Rodinia, Parboil, and Polybench benchmark suites and analyze the co-running behaviors of these programs on both AMD and Intel integrated architectures. We find that co-running performance is not always better than running the program only with CPUs or GPUs. Among these programs, only eight programs can benefit from the co-running, while 24 programs only using GPUs and seven programs only using CPUs achieve the best performance. The remaining three programs show little performance preference for different devices. Through extensive workload characterization analysis, we find that architecture differences between CPUs and GPUs and limited shared memory bandwidth are two main factors affecting current co-running performance. Since not all the programs can benefit from integrated architectures, we build an automatic decision-tree-based model to help application developers predict the co-running performance for a given CPU-only or GPU-only program. Results show that our model correctly predicts 14 programs out of 15 for evaluated programs. For a co-run friendly program, we further propose a profiling-based method to predict the optimal workload partition ratio between CPUs and GPUs. Results show that our model can achieve 87.7 percent of the optimal performance relative to the best partition. The co-running programs acquired with our method outperform the original CPU-only and GPU-only programs by 34.5 and 20.9 percent respectively."",""1558-2183"","""",""10.1109/TPDS.2016.2586074"",""Chinese 863 project(grant numbers:2012AA010901)"; NSFC(grant numbers:61472201); Tsinghua University; Initiative Scientific Research Program; Tsinghua-Tencent Joint Laboratory for Internet Innovation Technology; Huawei Innovation Research Program (HIRP) in China; MoE; AcRF(grant numbers:MOE2012-T2-2-067);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7501903"",""Heterogeneous computing";integrated architecture;performance prediction;performance tuning;"workload characterization"",""Computer architecture";Performance evaluation;Graphics processing units;Predictive models;Bandwidth;Kernel;"Ports (Computers)"","""",""62"","""",""38"",""IEEE"",""29 Jun 2016"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;;
