"A Bi-layered Parallel Training Architecture for Large-Scale Convolutional Neural Networks,""J. Chen"; K. Li; K. Bilal; x. zhou; K. Li;" P. S. Yu"",""National Supercomputing Center in Changsha, Hunan, Changsha, China"; National Supercomputing Center in Changsha, Hunan, Changsha, China; Qatar University, Doha, Qatar; National Supercomputing Center in Changsha, Hunan, Changsha, China; Department of Computer Science, State University of New York, New Paltz, NY, USA;" Department of Computer Science, University of Illinois at Chicago, Chicago, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""965"",""976"",""Benefitting from large-scale training datasets and the complex training network, Convolutional Neural Networks (CNNs) are widely applied in various fields with high accuracy. However, the training process of CNNs is very time-consuming, where large amounts of training samples and iterative operations are required to obtain high-quality weight parameters. In this paper, we focus on the time-consuming training process of large-scale CNNs and propose a Bi-layered Parallel Training (BPT-CNN) architecture in distributed computing environments. BPT-CNN consists of two main components: (a) an outer-layer parallel training for multiple CNN subnetworks on separate data subsets, and (b) an inner-layer parallel training for each subnetwork. In the outer-layer parallelism, we address critical issues of distributed and parallel computing, including data communication, synchronization, and workload balance. A heterogeneous-aware Incremental Data Partitioning and Allocation (IDPA) strategy is proposed, where large-scale training datasets are partitioned and allocated to the computing nodes in batches according to their computing power. To minimize the synchronization waiting during the global weight update process, an Asynchronous Global Weight Update (AGWU) strategy is proposed. In the inner-layer parallelism, we further accelerate the training process for each CNN subnetwork on each computer, where computation steps of convolutional layer and the local weight training are parallelized based on task-parallelism. We introduce task decomposition and scheduling strategies with the objectives of thread-level load balancing and minimum waiting time for critical paths. Extensive experimental results indicate that the proposed BPT-CNN effectively improves the training performance of CNNs while maintaining the accuracy."",""1558-2183"","""",""10.1109/TPDS.2018.2877359"",""National Key R&D Program of China(grant numbers:2016YFB0200201)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); International Postdoctoral Exchange Fellowship Program(grant numbers:2018024); China Postdoctoral Science Foundation(grant numbers:2018T110829); National Science Foundation(grant numbers:IIS-1526499,IIS-1763325,CNS-1626432); NSFC(grant numbers:61672313);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502141"",""Big data";bi-layered parallel computing;convolutional neural networks;deep learning;"distributed computing"",""Training";Computer architecture;Computational modeling;Parallel processing;Task analysis;Distributed computing;"Acceleration"","""",""132"","""",""26"",""IEEE"",""21 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Performance Modeling and Workflow Scheduling of Microservice-Based Applications in Clouds,""L. Bao"; C. Wu; X. Bu; N. Ren;" M. Shen"",""Xidian University, Xian, Shaanxi, CN"; New Jersey Institute of Technology, Newark, NJ, US; Xidian University, Xian, Shaanxi, CN; Xidian University, Xian, Shaanxi, CN;" Xidian University, Xian, Shaanxi, CN"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Aug 2019"",""2019"",""30"",""9"",""2114"",""2129"",""Microservice has been increasingly recognized as a promising architectural style for constructing large-scale cloud-based applications within and across organizational boundaries. This microservice-based architecture greatly increases application scalability, but meanwhile incurs an expensive performance overhead, which calls for a careful design of performance modeling and task scheduling. However, these problems have thus far remained largely unexplored. In this paper, we develop a performance modeling and prediction method for independent microservices, design a three-layer performance model for microservice-based applications, formulate a Microservice-based Application Workflow Scheduling problem for minimum end-to-end delay under a user-specified Budget Constraint (MAWS-BC), and propose a heuristic microservice scheduling algorithm. The performance modeling and prediction method are validated and justified by experimental results generated through a well-known microservice benchmark on disparate computing nodes, and the performance superiority of the proposed scheduling solution is illustrated by extensive simulation results in comparison with existing algorithms."",""1558-2183"","""",""10.1109/TPDS.2019.2901467"",""National Key R&D Program of China(grant numbers:2018YFC0831200)"; National Natural Science Foundation of China(grant numbers:61202040); National Science Foundation(grant numbers:CNS-1828123); Fundamental Research Funds for the Central Universities(grant numbers:JB171005);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8651324"",""Microservice";performance modeling and prediction;task scheduling;"cloud computing"",""Computational modeling";Predictive models;Scheduling;Computer architecture;Cloud computing;Processor scheduling;"Benchmark testing"","""",""78"","""",""64"",""IEEE"",""24 Feb 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Performance-Aware Model for Sparse Matrix-Matrix Multiplication on the Sunway TaihuLight Supercomputer,""Y. Chen"; K. Li; W. Yang; G. Xiao; X. Xie;" T. Li"",""National Supercomputing Center in Changsha, Changsha, Hunan, China"; National Supercomputing Center in Changsha, Changsha, Hunan, China; National Supercomputing Center in Changsha, Changsha, Hunan, China; National Supercomputing Center in Changsha, College of Information Science and Engineering, Hunan University, Changsha, Hunan, China; State Key Laboratory of Mathematic Engineering and Advance Computing, Jiangnan Institute of Computing Technology, Wuxi, Jiangsu, China;" Department of Electrical and Computer Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""923"",""938"",""General sparse matrix-sparse matrix multiplication (SpGEMM) is one of the fundamental linear operations in a wide variety of scientific applications. To implement efficient SpGEMM for many large-scale applications, this paper proposes scalable and optimized SpGEMM kernels based on COO, CSR, ELL, and CSC formats on the Sunway TaihuLight supercomputer. First, a multi-level parallelism design for SpGEMM is proposed to exploit the parallelism of over 10 millions cores and better control memory based on the special Sunway architecture. Optimization strategies, such as load balance, coalesced DMA transmission, data reuse, vectorized computation, and parallel pipeline processing, are applied to further optimize performance of SpGEMM kernels. Second, we thoroughly analyze the performance of the proposed kernels. Third, a performance-aware model for SpGEMM is proposed to select the most appropriate compressed storage formats for the sparse matrices that can achieve the optimal performance of SpGEMM on the Sunway. The experimental results show the SpGEMM kernels have good scalability and meet the challenge of the high-speed computing of large-scale data sets on the Sunway. In addition, the performance-aware model for SpGEMM achieves an absolute value of relative error rate of 8.31 percent on average when the kernels are executed in one single process and achieves 8.59 percent on average when the kernels are executed in multiple processes. It is proved that the proposed performance-aware model can perform at high accuracy and satisfies the precision of selecting the best formats for SpGEMM on the Sunway TaihuLight supercomputer."",""1558-2183"","""",""10.1109/TPDS.2018.2871189"",""National Key R&D Program of China(grant numbers:2016YFB0200201)"; National Natural Science Foundation of China(grant numbers:61625202); National Natural Science Foundation of China(grant numbers:61661146006,61860206011); National Natural Science Foundation of China(grant numbers:61751204,61806077);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8468040"",""Heterogeneous many-core processor";parallelism;performance analysis;performance-aware;SpGEMM;"Sunway TaihuLight supercomputer"",""Sparse matrices";Kernel;Supercomputers;Parallel processing;Computer architecture;Analytical models;"Computational modeling"","""",""87"","""",""31"",""IEEE"",""19 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Persistent Octrees for Parallel Mesh Refinement through Non-Volatile Byte-Addressable Memory,""B. Nguyen"; H. Tan; K. Davis;" X. Zhang"",""School of Engineering and Computer Science, Washington State University, Vancouver, WA, USA"; School of Engineering and Computer Science, Washington State University, Vancouver, WA, USA; Los Alamos National Laboratory, Los Alamos, NM, USA;" School of Engineering and Computer Science, Washington State University, Vancouver, WA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2019"",""2019"",""30"",""3"",""677"",""691"",""Adaptive mesh refinement based on octree data structures has enabled efficient simulations of complex physical phenomena. Existing meshing algorithms were proposed with the assumption that computer memory is volatile. Consequently, for failure recovery, in-core algorithms need to save memory states as snapshots with slow file I/O, while out-of-core algorithms store octants on disk for persistence. However, neither was designed to best exploit the unique characteristics of non-volatile byte-addressable memory (NVBM). We propose a novel data structure, the Distributed Persistent Merged octree (DPM-octree), for both meshing and in-memory storage of persistent octrees using NVBM. DPM-octree is a multi-version data structure that can recover from failures using an earlier persistent version stored in NVBM. In addition, we design a feature-directed sampling approach to help dynamically transform the DPM-octree layout for reducing NVBM-induced memory write latency. DPM-octree uses parity trees which are created using erasure coding and stored in NVBM to support low-latency in-memory octant recovery after data loss. DPM-octree has been successfully integrated with the Gerris software for simulation of fluid dynamics. Our experimental results with real-world scientific workloads show that DPM-octree scales up to 1.1 billion mesh elements with 1,000 processors on the Titan supercomputer."",""1558-2183"","""",""10.1109/TPDS.2018.2867867"",""US National Science Foundation(grant numbers:CRII ACI 1565338)"; US Department of Energy Exascale Computing;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8451966"",""Octree";adaptive mesh refinement;"non-volatile byte-addressable memory"",""Octrees";Random access memory;Data models;Nonvolatile memory;Computational modeling;"Three-dimensional displays"","""",""4"","""",""68"",""IEEE"",""30 Aug 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"PFP: Improving the Reliability of Deduplication-based Storage Systems with Per-File Parity,""S. Wu"; B. Mao; H. Jiang; H. Luan;" J. Zhou"",""Computer Science Department, Xiamen University, Xiamen, Fujian, China"; Software School, Xiamen University, Xiamen, Fujian, China; Computer Science and Engineering Department, University of Texas at Arlington, Arlington, TX, USA; Computer Science Department, Xiamen University, Xiamen, Fujian, China;" Software School, Xiamen University, Xiamen, Fujian, China"",""IEEE Transactions on Parallel and Distributed Systems"",""7 Aug 2019"",""2019"",""30"",""9"",""2117"",""2129"",""Data deduplication weakens the reliability of storage systems since by design it removes duplicate data chunks common to different files and forces these files to share a single physical date chunk, or critical chunk, after deduplication. Thus, the loss of a single such critical data chunk can potentially render all referencing (sharing) files unavailable. However, the reliability issue in deduplication-based storage systems has not received adequate attention. Existing approaches introduce data redundancy after files have been deduplicated, either by replication on critical data chunks, i.e., chunks with high reference count, or RAID schemes on unique data chunks, which means that these schemes are based on individual unique data chunks rather than individual files. This can leave individual files vulnerable to losses, particularly in the presence of transient and unrecoverable data chunk errors such as latent sector errors. To address this file reliability issue, this paper proposes a Per-File Parity (short for PFP) scheme to improve the reliability of deduplication-based storage systems. PFP computes the XOR parity within parity groups of data chunks of each file after the chunking process but before the data chunks are deduplicated. Therefore, PFP can provide parity redundancy protection for all files by intra-file recovery and a higher-level protection for data chunks with high reference counts by inter-file recovery. Our reliability analysis and extensive data-driven, failure-injection based experiments conducted on a prototype implementation of PFP show that PFP significantly outperforms the existing redundancy solutions, DTR and RCR, in system reliability, tolerating multiple data chunk failures and guaranteeing file availability upon multiple data chunk failures. Moreover, a performance evaluation shows that PFP only incurs an average of 5.7 percent performance degradation to the deduplication-based storage system."",""1558-2183"","""",""10.1109/TPDS.2019.2898942"",""National Natural Science Foundation of China(grant numbers:U1705261,61872305,61772439,61472336)"; US NSF(grant numbers:CCF-1704504,CCF-1629625);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8640256"",""Data deduplication";reliability;per-file parity;intra-file recovery;"inter-file recovery"",""Redundancy";Indexes;Reliability engineering;Performance evaluation;Drives;"Distributed databases"","""",""8"","""",""41"",""IEEE"",""12 Feb 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"PHAST - A Portable High-Level Modern C++ Programming Library for GPUs and Multi-Cores,""B. Peccerillo";" S. Bartolini"",""Department of Information Engineering and Mathematical Sciences, University of Siena, Siena, Italy";" Department of Information Engineering and Mathematical Sciences, University of Siena, Siena, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""174"",""189"",""A decade after the beginning of the many-core era, multi-core CPU and GPU architectures are everywhere, from mobile devices up to high-performance workstations and servers. To this day, programmers willing to harness their power need to express their code via languages and frameworks that often lack of expressivity and high-level abstractions. These solutions, despite allowing users to reach unprecedented performance, can still be a hampering factor for productivity and portability. In this paper we propose PHAST, a modern C++, STL-like, single-source programming library and approach based on multi-dimensional dynamic containers and multi-layered functors that can be targeted on NVIDIA GPUs and multi-core CPUs. Its main purpose is to let programmers write code once for different architectures at a high level of abstraction, to reach high-performance while allowing fine parameter tuning and not shielding code from low-level target-specific optimizations. To assess the value of our proposal, we consider benchmarks from different application domains, and we evaluate their PHAST implementations against CUDA, OpenCL, Kokkos, and SYCL ones from both performance and productivity points of view. We show that PHAST can significantly reduce code complexity metrics while reaching very good performance."",""1558-2183"","""",""10.1109/TPDS.2018.2855182"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8410014"",""PHAST Library";multi-dimensional containers;heterogeneous systems;modern C++;CUDA;performance comparison;productivity comparison;complexity metrics;Kokkos;"SYCL"",""Graphics processing units";C++ languages;Libraries;Programming;Containers;Productivity;"Computer architecture"","""",""10"","""",""50"",""IEEE"",""11 Jul 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;
"Piggyback Game: Efficient Event Stream Dissemination in Online Social Network Systems,""F. Zhang"; H. Chen;" H. Jin"",""Big Data Technology and System Lab, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, China"; Big Data Technology and System Lab, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, China;" Big Data Technology and System Lab, Cluster and Grid Computing Lab, Services Computing Technology and System Lab, Huazhong University of Science and Technology, Wuhan, China"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Feb 2019"",""2019"",""30"",""3"",""692"",""709"",""Event stream dissemination dominates the workloads in large-scale Online Social Network (OSN) systems. Based on the de facto per-user view data storage, event stream dissemination raises a large amount of inter-server traffic due to the complex interconnection among OSN users. The state-of-the-art schemes mainly explore the structure features of social graphs to reduce the inter-server communications for event stream dissemination. Different sub-graph structures are exploited for achieving approximated optimal solutions. However, such schemes incur prohibitively high cost of either computation or communication. In this work, we follow a different design philosophy by using a game theoretic approach, which decomposes the highly complex graph computation problem into rational decision making of every individual social link. Specifically, we propose a novel social piggyback game to achieve a more efficient solution. We mathematically prove the existence of the Nash Equilibrium of the social piggyback game. Moreover, we propose an efficient best response dynamic algorithm to achieve the Nash Equilibrium, which quickly converges in a small number of iterations for large-scale OSNs. We further show that the communication cost of this design achieves a 1.5-approximation of the theoretical social optimum. We conduct comprehensive experiments using large-scale real-world traces from popular OSN systems as well as implement a prototype system to evaluate the performance of this design. Results show that the social piggyback game achieves a significant 302× improvement in system efficiency compared to existing schemes."",""1558-2183"","""",""10.1109/TPDS.2018.2866242"",""National Key Research and Development Program of China(grant numbers:2016QY02D0302)"; NSFC(grant numbers:61422202,61370233); Research Fund of Guangdong Province(grant numbers:2015B010131001);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8440751"",""Online social network";event stream dissemination;"piggyback"",""Games";Nash equilibrium;Heuristic algorithms;Servers;Prototypes;"Facebook"","""",""1"","""",""37"",""IEEE"",""19 Aug 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Popularity-Aware Multi-Failure Resilient and Cost-Effective Replication for High Data Durability in Cloud Storage,""J. Liu"; H. Shen;" H. S. Narman"",""Department of Computer and Information Sciences at Florida A&M University, Tallahassee, FL, USA"; Computer Science Department, University of Virginia, Charlottesville, VA, USA;" Computer Science Department, Marshall University, Huntington, WV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Sep 2019"",""2019"",""30"",""10"",""2355"",""2369"",""Large-scale data stores are an increasingly important component of cloud datacenter services. However, cloud storage system usually experiences data loss, hindering data durability. Three-way random replication is commonly used to lead better data durability in cloud storage systems. However, three-way random replication cannot effectively handle correlated machine failures to prevent data loss. Although Copyset Replication and Tiered Replication can reduce data loss in correlated and independent failures, and enhance data durability, they fail to leverage different data popularities to substantially reduce the storage cost and bandwidth cost caused by replication. To address these issues, we present a popularity-aware multi-failure resilient and cost-effective replication (PMCR) scheme for high data durability in cloud storage. PMCR splits the cloud storage system into primary tier and backup tier, and classifies data into hot data, warm data and cold data based on data popularities. To handle both correlated and independent failures, PMCR stores the three replicas of the same data into one Copyset formed by two servers in the primary tier and one server in the backup tier. For the third replicas of warm data and cold data in the backup tier, PMCR uses the compression methods to reduce storage cost and bandwidth cost. Extensive numerical results based on trace parameters and experimental results from real-world Amazon S3 show that PMCR achieves high data durability, low probability of data loss, and low storage cost and bandwidth cost compared to previous replication schemes."",""1558-2183"","""",""10.1109/TPDS.2018.2873384"",""National Science Foundation(grant numbers:OAC-1724845,CNS-1733596,ACI-1661378)"; Microsoft Research Faculty Fellowship(grant numbers:8300751); IBM Ph.D. fellowship(grant numbers:2017);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8478382"",""Cloud storage";replication;data durability;cost-effectiveness;"SLA"",""Cloud computing";Probability;Servers;Distributed databases;"Storage management"","""",""19"","""",""58"",""IEEE"",""30 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Portable Programming with RAPID,""K. Angstadt"; J. Wadden; W. Weimer;" K. Skadron"",""Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"; Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA; Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA;" Department of Computer Science, University of Virginia, Charlottesville, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Mar 2019"",""2019"",""30"",""4"",""939"",""952"",""As the hardware found within data centers becomes more heterogeneous, it is important to allow for efficient execution of algorithms across architectures. We present RAPID, a high-level programming language and combined imperative and declarative model for functionally- and performance-portable execution of sequential pattern-matching applications across CPUs, GPUs, Field-Programmable Gate Arrays (FPGAs), and Micron's D480 AP. RAPID is clear, maintainable, concise, and efficient both at compile and run time. Language features, such as code abstraction and parallel control structures, map well to pattern-matching problems, providing clarity and maintainability. For generation of efficient runtime code, we present algorithms to convert RAPID programs into finite automata. Our empirical evaluation of applications in the ANMLZoo benchmark suite demonstrates that the automata processing paradigm provides an abstraction that is portable across architectures. We evaluate RAPID programs against custom, baseline implementations previously demonstrated to be significantly accelerated. We also find that RAPID programs are much shorter in length, are expressible at a higher level of abstraction than their handcrafted counterparts, and yield generated code that is often more compact."",""1558-2183"","""",""10.1109/TPDS.2018.2869736"",""National Science Foundation(grant numbers:CCF-0954024,CCF-1629450,CCF-1116289,CCF-1116673,CCF-1619123,CDI-1124931,CNS-1619098)"; Air Force(grant numbers:FA8750-15-2-0075); Virginia Commonwealth Fellowship; Jefferson Scholars Foundation; Achievement Rewards for College Scientists; Xilinx; Microelectronics Advanced Research Corporation; Defense Advanced Research Projects Agency;" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8462761"",""Automata processing";sequential pattern matching;heterogeneous (hybrid) systems;concurrent, distributed, and parallel languages;"concurrent programming structures, patterns"",""Automata";Field programmable gate arrays;Computer architecture;Programming;Hardware;Computer languages;"Logic gates"","""",""3"","""",""48"",""IEEE"",""12 Sep 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Privacy Regulation Aware Process Mapping in Geo-Distributed Cloud Data Centers,""A. C. Zhou"; Y. Xiao; Y. Gong; B. He; J. Zhai;" R. Mao"",""Shenzhen University, Shenzhen, China"; Shenzhen University, Shenzhen, China; TuSimple, Beijing, China; National University of Singapore, Singapore; Tsinghua University, Beijing, China;" Shenzhen University, Shenzhen, China"",""IEEE Transactions on Parallel and Distributed Systems"",""15 Jul 2019"",""2019"",""30"",""8"",""1872"",""1888"",""Recently, various applications including data analytics and machine learning have been developed for geo-distributed cloud data centers. For those applications, the ways of mapping parallel processes to physical nodes (i.e., “process mapping”) could significantly impact the performance of the applications because of non-uniform communication cost in geo-distributed environments. What's more, the different data privacy requirements in geo-distributed data centers pose additional constraints on process mapping solutions. While process mapping has been widely studied in grid/cluster environments, few of the existing studies have considered the problem in geo-distributed cloud environment, which is a challenging task due to the multi-level data privacy constraints, heterogeneous network performance and process failures. In this paper, we introduce the special privacy requirements in geo-distributed data centers and formulate the geo-distributed process mapping problem as an optimization problem with multiple constraints. We develop a new method to efficiently find good process mapping solutions to the problem. Experimental results on real clouds (including Amazon EC2 and Windows Azure) and simulations demonstrate that our proposed approach can achieve significant performance improvement compared to the state-of-the-art algorithms."",""1558-2183"","""",""10.1109/TPDS.2019.2896894"",""National Natural Science Foundation of China(grant numbers:61802260,61722208)"; Natural Science Foundation of Guangdong Province(grant numbers:2018A030310440); Shenzhen University(grant numbers:2018062); MoE AcRF Tier 1(grant numbers:T1 251RES1610); Microsoft Research; National Key R&D Program of China(grant numbers:2016YFB0200100); Guangdong Key Laboratory(grant numbers:2017B030314073);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8632727"",""Process mapping";geo-distributed data centers;cloud computing;"data privacy regulation"",""Cloud computing";Data centers;Bandwidth;General Data Protection Regulation;Europe;"Optimization"","""",""17"","""",""51"",""IEEE"",""1 Feb 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Profit Maximization for Admitting Requests with Network Function Services in Distributed Clouds,""Y. Ma"; W. Liang; Z. Xu;" S. Guo"",""Research School of Computer Science, Australian National University, Canberra, ACT, Australia"; Research School of Computer Science, Australian National University, Canberra, ACT, Australia; School of Software, Dalian University of Technology, Dalian, China;" Hong Kong Polytechnic University Shenzhen Research Institute and Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Apr 2019"",""2019"",""30"",""5"",""1143"",""1157"",""Traditional networks employ expensive dedicated hardware devices as middleboxes to implement Service Function Chains of user requests by steering data traffic along middleboxes in the service function chains before reaching their destinations. Network Function Virtualization (NFV) is a promising virtualization technique that implements network functions as pieces of software in servers or data centers. The integration of NFV and Software Defined Networking (SDN) further simplifies service function chain provisioning, making its implementation simpler and cheaper. In this paper, we consider dynamic admissions of delay-aware requests with service function chain requirements in a distributed cloud with the objective to maximize the profit collected by the service provider, assuming that the distributed cloud is an SDN that consists of data centers located at different geographical locations and electricity prices at different data centers are different. We first formulate this novel optimization problem as a dynamic profit maximization problem. We then show that the offline version of the problem is NP-hard and formulate an integer linear programming solution to it. We third propose an online heuristic for the problem. We also devise an online algorithm with a provable competitive ratio for a special case of the problem where the end-to-end delay requirement of each request is negligible. We finally evaluate the performance of the proposed algorithms through experimental simulations. The simulation results demonstrate that the proposed algorithms are promising."",""1558-2183"","""",""10.1109/TPDS.2018.2874257"",""National Natural Science Foundation of China(grant numbers:61802048)"; fundamental research funds for the central universities in China(grant numbers:DUT17RC(3)061); Xinghai Scholar Program in Dalian University of Technology, China; National Natural Science Foundation of China(grant numbers:61872310);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8482326"",""Network function virtualization";software defined networking;distributed data centers;online algorithms;service function chain consolidation;profit maximization;"request admission scheduling"",""Data centers";Heuristic algorithms;Delays;Servers;Software;Routing;"Virtualization"","""",""31"","""",""35"",""IEEE"",""5 Oct 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Profit Maximization for Cloud Brokers in Cloud Computing,""J. Mei"; K. Li; Z. Tong; Q. Li;" K. Li"",""ed HPCSIP, Hunan Normal University, Changsha, Hunan, China"; College of Information Science and Engineering, Hunan University, Changsha, Hunan, China; ed HPCSIP, Hunan Normal University, Changsha, Hunan, China; ed HPCSIP, Hunan Normal University, Changsha, Hunan, China;" Department of Computer Science, State University of New York, New Paltz, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""11 Dec 2018"",""2019"",""30"",""1"",""190"",""203"",""Along with the development of cloud computing, more and more applications are migrated into the cloud. An important feature of cloud computing is pay-as-you-go. However, most users always should pay more than their actual usage due to the one-hour billing cycle. In addition, most cloud service providers provide a certain discount for long-term users, but short-term users with small computing demands cannot enjoy this discount. To reduce the cost of cloud users, we introduce a new role, which is cloud broker. A cloud broker is an intermediary agent between cloud providers and cloud users. It rents a number of reserved VMs from cloud providers with a good price and offers them to users on an on-demand basis at a cheaper price than that provided by cloud providers. Besides, the cloud broker adopts a shorter billing cycle compared with cloud providers. By doing this, the cloud broker can reduce a great amount of cost for user. In addition to reduce the user cost, the cloud broker also could earn the difference in prices between on-demand and reserved VMs. In this paper, we focus on how to configure a cloud broker and how to price its VMs such that its profit can be maximized on the premise of saving costs for users. Profit of a cloud broker is affected by many factors such as the user demands, the purchase price and the sales price of VMs, the scale of the cloud broker, etc. Moreover, these factors are affected mutually, which makes the analysis on profit more complicated. In this paper, we first give a synthetically analysis on all the affecting factors, and define an optimal multiserver configuration and VM pricing problem which is modeled as a profit maximization problem. Second, combining the partial derivative and bisection search method, we propose a heuristic method to solve the optimization problem. The near-optimal solutions can be used to guide the configuration and VM pricing of the cloud broker. Moreover, a series of comparisons are given which show that a cloud broker can save a considerable cost for users."",""1558-2183"","""",""10.1109/TPDS.2018.2851246"",""National Natural Science Foundation of China(grant numbers:61432005)"; National Outstanding Youth Science Program of National Natural Science Foundation of China(grant numbers:61625202); National Natural Science Foundation of China(grant numbers:61602170,61502165,61772182,61370095,61472124); China Postdoctoral Science Foundation(grant numbers:2018T110829);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8399541"",""Cloud broker";cloud computing;cost reduction;profit maximization;queue model;service demand;VM configuration;"VM pricing"",""Cloud computing";Pricing;Data centers;Optimization;Computational modeling;"Time factors"","""",""74"","""",""30"",""IEEE"",""28 Jun 2018"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Promenade: Proportionally Fair Multipath Rate Control in Datacenter Networks with Random Network Coding,""L. Chen"; Y. Feng; B. Li;" B. Li"",""Department of Computer Science, University of Louisiana at Lafayette, Lafayette, LA, USA"; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada; Department of Electrical and Computer Engineering, University of Toronto, Toronto, ON, Canada;" Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""9 Oct 2019"",""2019"",""30"",""11"",""2536"",""2546"",""In today's datacenter topologies, there exist multiple equal-cost paths between each pair of communicating virtual machines. Yet, splitting flows and routing them along multiple paths may lead to packet reordering, which may affect the performance of TCP. In this paper, we propose Promenade, a new protocol that uses random network coding to mitigate the negative effects of packet reordering, while at the same time achieving weighted proportional fairness in bandwidth allocation across different tenants. To achieve weighted proportional fairness when allocating bandwidth to tenants, the problem of rate control is formulated as a convex optimization problem, and Promenade uses its distributed solution as a theoretical foundation to design its bandwidth allocation protocol. With our real-world implementation of Promenade in the Mininet testbed, we are able to show that Promenade is able to achieve weighted proportional fairness in its rate control when individual flows are split into multiple paths."",""1558-2183"","""",""10.1109/TPDS.2019.2915638"",""BoRSF-RCS"; NSERC Discovery Research Program(grant numbers:16211715,16206417,16207818); RGC CRF(grant numbers:C7036-15G);" "",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8709701"",""Datacenter networks";multipath rate control;network coding;"fairness"",""Network coding";Network topology;Topology;Bandwidth;Protocols;Receivers;"Load management"","""",""10"","""",""43"",""IEEE"",""8 May 2019"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
