"A comparative study of topological properties of hypercubes and star graphs,""K. Day";" A. Tripathi"",""Computer Science Department, University of Bahrain, Isa Town, Bahrain";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""31"",""38"",""Undertakes a comparative study of two important interconnection network topologies: the star graph and the hypercube, from the graph theory point of view. Topological properties are derived for the star graph and are compared with the corresponding properties of the hypercube. Among other results, the authors determine necessary and sufficient conditions for shortest path routing and characterize maximum-sized families of parallel paths between any two nodes of the star graph. These parallel paths are proven of minimum length within a small additive constant. They also define greedy and asymptotically balanced spanning trees to support broadcasting and personalized communication on the star graph. These results confirm the already claimed topological superiority of the star graph over the hypercube.<>"",""1558-2183"","""",""10.1109/71.262586"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262586"","""",""Hypercubes";Tree graphs;Routing;Broadcasting;Concurrent computing;Computer science;Multiprocessor interconnection networks;Network topology;Graph theory;"Additives"","""",""174"",""2"",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Reducing PE/memory traffic in multiprocessors by the difference coding of memory addresses,""D. M. Koppelman"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1156"",""1168"",""A method of reducing the volume of data flowing through the network in a shared memory parallel computer (multiprocessor) is described. The reduction is achieved by difference coding the memory addresses in messages sent between processing elements (PE's) and memories. In an implementation, each PE would store the last address sent to each memory, and vice versa. Messages that would normally contain an address instead contain the difference between the address associated with the current and most recent messages. Trace-driven simulation shows that only 70% or less of traffic volume (including data and overhead) is necessary, even in systems using coherent caches. The reduction in traffic could result in a lower cost or lower latency network. The cost of the hardware to achieve this is small, and the delay added is insignificant compared to network latency.<>"",""1558-2183"","""",""10.1109/71.329672"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329672"","""",""Costs";Delay;Telecommunication traffic;Concurrent computing;Computer networks;Traffic control;Hardware;Multiprocessor interconnection networks;Computational modeling;"Intelligent networks"","""",""2"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Repeated computation of global functions in a distributed environment,""V. K. Garg";" J. Ghosh"",""Department of Electrical and Computer Engineering, University of Technology, Austin, TX, USA";" Department of Electrical and Computer Engineering, University of Technology, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""823"",""834"",""In a distributed system, many algorithms need repeated computation of a global function. These algorithms generally use a static hierarchy for gathering the necessary data from all processes. As a result, they are unfair to processes at higher levels of the hierarchy, which have to perform more work than processes at lower levels do. In this paper, we present a new revolving hierarchical scheme in which the position of a process in the hierarchy changes with time. This reorganization of the hierarchy is achieved concurrently with its use. It results in algorithms that are not only fair to all processes but also less expensive in terms of messages. The reduction in the number of messages is achieved by reusing messages for more than one computation of the global function. The technique is illustrated for a distributed branch-and-bound problem and for asynchronous computation of fixed points.<>"",""1558-2183"","""",""10.1109/71.298209"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298209"","""",""Distributed computing";Concurrent computing;System recovery;Protocols;Clocks;Synchronization;Relays;Military computing;Fault tolerant systems;"Computer worms"","""",""7"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Request combining in multiprocessors with arbitrary interconnection networks,""A. R. Lebeck";" G. S. Sohi"",""Computer Sciences Department, University of Wisconsin, Madison, WI, USA";" Computer Sciences Department, University of Wisconsin, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1140"",""1155"",""Several techniques have been proposed to allow parallel access to a shared memory location by combining requests. They have one or more of the following attributes: requirements for a priori knowledge of the request to combine, restrictions on the routing of messages in the network, or the use of sophisticated interconnection network nodes. We present a new method of combining requests that does not have the above requirements. We obtain this new method for request combining by developing a classification scheme for the existing methods of request combining. This classification scheme is facilitated by separating the request combining process into a two part operation: determining the combining set, which is the set of requests that participate in a combined access";" and distributing the results of the combined access to the members of the combining set. The classification of combining strategies is based upon which system component, processor elements, or interconnection network performs each of these tasks. Our approach, which uses the interconnection network to establish the combining set and the processor elements to distribute the results, lies in an unexplored area of the design space. We also present simulation results to assess the benefits of the proposed approach.<>"",""1558-2183"","""",""10.1109/71.329673"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329673"","""",""Intelligent networks";Multiprocessor interconnection networks;Delay;Routing;Prefetching;Proposals;Network topology;"Computer networks"","""",""5"",""12"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"RH: a versatile family of reduced hypercube interconnection networks,""S. G. Ziavras"",""Department of Electrical and Computer Engineering, New Jersey Institute of Technology, Newark, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1210"",""1220"",""The binary hypercube has been one of the most frequently chosen interconnection networks for parallel computers because it provides low diameter and is so robust that it can very efficiently emulate a wide variety of other frequently used networks. However, the major drawback of the hypercube is the increase in the number of communication channels for each processor with an increase in the total number of processors in the system. This drawback has a direct effect on the very large scale integration complexity of the hypercube network. This short note proposes a new topology that is produced from the hypercube by a uniform reduction in the number of edges for each node. This edge reduction technique produces networks with lower complexity than hypercubes while maintaining, to a high extent, the powerful hypercube properties. An extensive comparison of the proposed reduced hypercube (RH) topology with the conventional hypercube is included. It is also shown that several copies of the popular cube-connected cycles network can be emulated simultaneously by an RH with dilation 1.<>"",""1558-2183"","""",""10.1109/71.329667"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329667"","""",""Hypercubes";Multiprocessor interconnection networks;Circuit faults;Integrated circuit interconnections;Doped fiber amplifiers;Computer networks;Concurrent computing;Sufficient conditions;Circuit testing;"Network topology"","""",""52"",""1"",""29"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Scalability of parallel algorithm-machine combinations,""Xian-He Sun";" D. T. Rover"",""NASA Langley Research Center, ICASE, Hampton, VA, USA";" Department of Electrical Engineering, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""599"",""613"",""Scalability has become an important consideration in parallel algorithm and machine designs. The word scalable, or scalability, has been widely and often used in the parallel processing community. However, there is no adequate, commonly accepted definition of scalability available. Scalabilities of computer systems and programs are difficult to quantify, evaluate, and compare. In this paper, scalability is formally defined for algorithm-machine combinations. A practical method is proposed to provide a quantitative measurement of the scalability. The relation between the newly proposed scalability and other existing parallel performance metrics is studied. A harmony between speedup and scalability has been observed. Theoretical results show that a large class of algorithm-machine combinations is scalable and the scalability can be predicted through premeasured machine parameters. Two algorithms have been studied on an nCUBE 2 multicomputer and on a MasPar MP-1 computer. These case studies have shown how scalabilities can be measured, computed, and predicted. Performance instrumentation and visualization tools also have been used and developed to understand the scalability related behavior.<>"",""1558-2183"","""",""10.1109/71.285606"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285606"","""",""Scalability";Parallel processing;Parallel algorithms;Sun;Algorithm design and analysis;High performance computing;Concurrent computing;Application software;Computer architecture;"NASA"","""",""109"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Scheduling DAG's for asynchronous multiprocessor execution,""B. A. Malloy"; E. L. Lloyd;" M. L. Soffa"",""Department of Computer Science, Clemson University, Clemson, SC, USA"; Department of Information and Computer Sciences, University of Delaware, Newark, DE, USA;" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""5"",""498"",""508"",""A new approach is given for scheduling a sequential instruction stream for execution """"in parallel"""" on asynchronous multiprocessors. The key idea in our approach is to exploit the fine grained parallelism present in the instruction stream. In this context, schedules are constructed by a careful balancing of execution and communication costs at the level of individual instructions, and their data dependencies. Three methods are used to evaluate our approach. First, several existing methods are extended to the fine grained situation. Our approach is then compared to these methods using both static schedule length analyses, and simulated executions of the scheduled code. In each instance, our method is found to provide significantly shorter schedules. Second, by varying parameters such as the speed of the instruction set, and the speed/parallelism in the interconnection structure, simulation techniques are used to examine the effects of various architectural considerations on the executions of the schedules. These results show that our approach provides significant speedups in a wide-range of situations. Third, schedules produced by our approach are executed on a two-processor Data General shared memory multiprocessor system. These experiments show that there is a strong correlation between our simulation results, and these actual executions, and thereby serve to validate the simulation studies. Together, our results establish that fine grained parallelism can be exploited in a substantial manner when scheduling a sequential instruction stream for execution """"in parallel"""" on asynchronous multiprocessors.<>"",""1558-2183"","""",""10.1109/71.282560"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=282560"","""",""Parallel processing";VLIW;Processor scheduling;Concurrent computing;Computer science;Context;Costs;Analytical models;Multiprocessing systems;"Image processing"","""",""28"",""1"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Scheduling precedence constrained task graphs with non-negligible intertask communication onto multiprocessors,""S. Selvakumar";" C. Siva Ram Murthy"",""Department of Computer Science and Engineering, Indian Institute of Technology, Chennai, India";" Department of Computer Science and Engineering, Indian Institute of Technology, Chennai, India"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""328"",""336"",""The multiprocessor scheduling problem is the problem of scheduling the tasks of a precedence constrained task graph (representing a parallel program) onto the processors of a multiprocessor in a way that minimizes the completion time. Since this problem is known to be NP-hard in the strong sense in all but a few very restricted eases, heuristic algorithms are being developed which obtain near optimal schedules in a reasonable amount of computation time. We present an efficient heuristic algorithm for scheduling precedence constrained task graphs with nonnegligible intertask communication onto multiprocessors taking contention in the communication channels into consideration. Our algorithm for obtaining satisfactory suboptimal schedules is based on the classical list scheduling strategy. It simultaneously exploits the schedule-holes generated in the processors and in the communication channels during the scheduling process in order to produce better schedules. We demonstrate the effectiveness of our algorithm by comparing with two competing heuristic algorithms available in the literature.<>"",""1558-2183"","""",""10.1109/71.277783"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277783"","""",""Parallel algorithms";Optimal scheduling;Processor scheduling;Binary trees;Tree graphs;Algorithm design and analysis;Dynamic programming;Concurrent computing;Cost function;"Binary search trees"","""",""37"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Shared memory multimicroprocessor operating system with an extended Petri net model,""F. Vallejo"; J. A. Gregorio; M. Gonzalez Harbour;" J. M. Drake"",""Departamento de Electrónica, Universidad de Cantabria, Santander, Spain"; Departamento de Electrónica, Universidad de Cantabria, Santander, Spain; Departamento de Electrónica, Universidad de Cantabria, Santander, Spain;" Departamento de Electrónica, Universidad de Cantabria, Santander, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""749"",""762"",""We propose a methodology for programming multiprocessor event-driven systems. This methodology is based on two programming levels: the task level, which involves programming the basic actions that may be executed in the system as units with a single control thread";" and the job level, on which parallel programs to be executed by the complete multiprocessor system are developed. We also present the structure and implementation of an operating system designed as the programming support for software development under the proposed methodology. The model that has been chosen for the representation of the system software is based on an extended Petri net, which provides a well-established conceptual model for the development of the tasks, thus allowing a totally independent and generic development. This model also facilitates job-level programming, since the Petri net is a very powerful description tool for the parallel program.<>"",""1558-2183"","""",""10.1109/71.296320"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296320"","""",""Operating systems";Application software;Parallel programming;Power system modeling;Robotics and automation;Hardware;Software systems;Control systems;"Multiprocessing systems"","""",""4"",""4"",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Spoken language recognition on a DSP array processor,""S. Glinski";" D. Roe"",""AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA";" AT and T Bell Laboratories, Inc., Murray Hill, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""7"",""697"",""703"",""A new architecture is presented to support the general class of real-time large-vocabulary speaker-independent continuous speech recognizers incorporating language models. Many such recognizers require multiple high-performance central processing units (CPU's) as well as high interprocessor communication bandwidth. This array processor provides a peak CPU performance of 2.56 giga-floating point operations per second (GFLOPS) as well as a high-speed communication network. In order to efficiently utilize these resources, algorithms were devised for partitioning speech models for mapping into the array processor. Also, a novel scheme is presented for a functional partitioning of the speech recognizer computations. The recognizer is functionally partitioned into six stages, namely, the linear predictive coding (LPC) based feature extractor, mixture probability computer, (phone) state probability computer, word probability computer, phrase probability computer, and traceback computer. Each of these stages is further subdivided as many times as necessary to fit the individual processing elements (PE's). The functional stages are pipelined and synchronized with the frame rate of the incoming speech signal. This partitioning also allows a multistage stack decoder to be implemented for reduction of computation.<>"",""1558-2183"","""",""10.1109/71.296316"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=296316"","""",""Natural languages";Digital signal processing;Speech recognition;Central Processing Unit;Linear predictive coding;Bandwidth;Communication networks;Partitioning algorithms;Speech processing;"Feature extraction"","""",""6"",""15"",""5"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Static and run-time algorithms for all-to-many personalized communication on permutation networks,""S. Ranka"; J. . -C. Wang;" G. C. Fox"",""Center for Science and Technology, School of Computer and Information Science, Syracuse University, Syracuse, NY, USA"; Department of Computer Science, University of Illinois, Urbana-Champaign, Urbana, IL, USA;" Center for Science and Technology, School of Computer and Information Science, Syracuse University, Syracuse, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""12"",""1266"",""1274"",""With the advent of new routing methods, the distance that a message is sent is becoming relatively less and less important. Thus, assuming no link contention, permutation seems to be an efficient collective communication primitive. In this paper, we present several algorithms for decomposing all-to-many personalized communication into a set of disjoint partial permutations. We discuss several algorithms and study their effectiveness from the view of static scheduling as well as run-time scheduling. An approximate analysis shows that with n processors, and assuming that every processor sends and receives d messages to random destinations, our algorithm can perform the scheduling in O(dn In d) time, on average, and can use an expected number of d+log d partial permutations to carry out the communication. We present experimental results of our algorithms on the CM-5.<>"",""1558-2183"","""",""10.1109/71.334900"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=334900"","""",""Runtime";Processor scheduling;Routing;Scheduling algorithm;Parallel processing;Load management;Matrix decomposition;Performance analysis;Algorithm design and analysis;"Concurrent computing"","""",""6"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Static processor allocation in a soft real-time multiprocessor environment,""B. M. Carlson";" L. W. Dowdy"",""College of Business and Information Systems, Dakota State University, Madison, SD, USA";" Department of Computer Science, Vanderbilt University, Nashville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""3"",""316"",""320"",""Soft real-time environments consist of jobs that must receive service within a particular time interval. If service for a specific job is not completed by the end of its time interval, it is said to be lost";" in addition, the computation time expended on the job is wasted, and any further computation for the job is discontinued. The goal of a system designer is to provide an environment that minimizes the number of jobs that are lost. If a parallel environment is available, the system designer has two options: Allow each processor to execute a job individually, or let multiple processors cooperate in executing a job. This article shows, for two classes of static allocation policies, that simple comparative analytical models may be used to indicate which option minimizes the number of lost jobs, as a function of workload intensity. The first class of policies, called equal partitions, statically decomposes the system into equal-size sets of processors and executes one job per partition. These policies are frequently employed in other contexts. The second class of policies, called two partitions, statically partitions the processors into two sets, not necessarily of the same size. Surprisingly, it is observed mathematically that even for statistically identical jobs, this class of policies is superior to equal partitions under certain loadings. The analysis is validated experimentally with a workload executed on a 16-node iPSC/2 hypercube.<>"",""1558-2183"","""",""10.1109/71.277786"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=277786"","""",""Real time systems";Job design;Multiprocessing systems;Hypercubes;Random variables;Computer science;Processor scheduling;Analytical models;Throughput;"Delay"","""",""6"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Structuring fault-tolerant object systems for modularity in a distributed environment,""S. K. Shrivastava";" D. L. McCue"",""Department of Computing Science, University of Newcastle, Newcastle-upon-Tyne, UK";" Xerox Corporation, Webster, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""4"",""421"",""432"",""The object-oriented approach to system structuring has found widespread acceptance among designers and developers of robust computing systems. The authors propose a system structure for distributed programming systems that support persistent objects and describe how properties such as persistence and recoverability can be implemented. The proposed structure is modular, permitting easy exploitation of any distributed computing facilities provided by the underlying system. An existing system constructed according to the principles espoused here is examined to illustrate the practical utility of the proposed approach to system structuring.<>"",""1558-2183"","""",""10.1109/71.273048"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=273048"","""",""Fault tolerant systems";Distributed computing;Computer crashes;Computational modeling;Object oriented modeling;Computer architecture;Robustness;Robust control;Concurrent computing;"Message passing"","""",""16"",""7"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Task allocation in the star graph,""S. Latifi"",""Department of Electrical and Computer Engineering, University of Nevada, Las Vegas, NV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1220"",""1224"",""The star graph has been known as an attractive candidate for interconnecting a large number of processors. The hierarchy of the star graph allows the assignment of its special subgraphs (substars), which have the same topological features as the original graph, to a sequence of incoming tasks. The paper proposes a new code, called star code (SC), to recognize available substars of the required size in the star graph. It is shown that task allocation based on the SC is statically optimal. The recognition ability of a given SC or a class of SC's is derived. The optimal number of SC's required for the complete substar recognition in an n-dimensional star is shown to be 2/sup n-2/.<>"",""1558-2183"","""",""10.1109/71.329666"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329666"","""",""Fault tolerance";Parallel algorithms;Hypercubes;Tree graphs;Network topology;Multiprocessor interconnection networks;Partitioning algorithms;Costs;Routing;"Terminology"","""",""4"","""",""16"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Testing the dynamic full access property of a class of multistage interconnection networks,""Tsern-Huei Lee";" Jin-Jye Chou"",""Department of Communication Engineering, National Chiao Tung University, Hsinchu, Taiwan";" Institute of Electronics, National Chiao Tung University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""11"",""1206"",""1210"",""The banyan network, and networks topologically equivalent to it, have recently been adopted as interconnection networks in multiprocessor systems. Often, a multiprocessor system is reconfigured when the banyan network becomes faulty. It is possible to avoid a complicated reconfiguration process as long as the faulty banyan network still possesses the dynamic full access (DFA) property. In this paper, we determine a necessary and sufficient condition for a faulty banyan network to possess the DFA property and design a test procedure based on the condition. The test procedure can be used to decompose a faulty banyan network into subsystems possessing the DFA property. We also evaluate the probability that a banyan network loses the DFA property, given the number of faulty switching elements. It is found that as long as faults do not occur in switching elements located in the first and last stages, this probability is very small, even when there are quite a few faulty switching elements.<>"",""1558-2183"","""",""10.1109/71.329668"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=329668"","""",""Testing";Multiprocessor interconnection networks;Doped fiber amplifiers;Multiprocessing systems;Sufficient conditions;Fault tolerant systems;Routing;Fault tolerance;Councils;"Fault detection"","""",""2"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"The classification, fusion, and parallelization of array language primitives,""D. . -C. R. Ju"; Chuan-Lin Wu;" P. Carini"",""IBM Santa Teresa Laboratory, San Jose, CA, USA"; Department of Electrical and Computer Engineering, University of Texas, Austin, TX, USA;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""10"",""1113"",""1120"",""We present a classification scheme for array language primitives that quantifies the variation in parallelism and data locality that results from the fusion of any two primitives. We also present an algorithm based on this scheme that efficiently determines when it is beneficial to fuse any two primitives. Experimental results show that five LINPACK routines report 50% performance improvement from the fusion of array operators.<>"",""1558-2183"","""",""10.1109/71.313127"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=313127"","""",""Parallel processing";Program processors;Fuses;Optimizing compilers;Computer languages;Programming profession;Degradation;Laboratories;Concurrent computing;"Heuristic algorithms"","""",""4"",""3"",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"The combining DAG: a technique for parallel data flow analysis,""R. Kramer"; R. Gupta;" M. L. Soffa"",""Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"; Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA;" Department of Computer Science, University of Pittsburgh, Pittsburgh, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""8"",""805"",""813"",""As the number of available multiprocessors increases, so does the importance of providing software support for these systems, including parallel compilers. Data flow analysis, an important component of software tools, may be computed many times during the compilation of a program, especially when compiling for a multiprocessor. Although converting a sequential data flow algorithm to a parallel algorithm can present some opportunities for computing data flow in parallel, more parallelism can be exposed by the development of new parallel data flow algorithms. We present a technique that computes rapid data flow problems in parallel and thus is applicable for commonly used classical data flow problems, including reaching definitions, reachable uses, available expressions, and very busy expressions. Unlike previous techniques, our technique exploits the inherent parallelism in the data flow computation that occurs across independent paths, within linear paths, and in paths through loops of a control flow graph. The technique first changes cyclic structures in a control flow graph to acyclic structures and then builds a combining directed acyclic graph (DAG) that represents the paths through the control flow graph needed to compute data flow. Data flow is then computed using two passes over the DAG by computing the data flow for the nodes on each level of the DAG in parallel. We also present experimental results comparing the performance of our algorithm with a sequential algorithm and a parallelized sequential algorithm.<>"",""1558-2183"","""",""10.1109/71.298205"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=298205"","""",""Data analysis";Data flow computing;Flow graphs;Concurrent computing;Parallel processing;Parallel algorithms;Iterative algorithms;Software tools;Iterative methods;"Availability"","""",""18"",""51"",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"The fault-tolerant extension problem for complete multipartite networks,""A. A. Farrag";" R. J. Dawson"",""Department of Mathematics and Computing Science, Dalhousie University, Halifax, NS, Canada";" Department of Mathematics and Computing Science, Dalhousie University, Halifax, NS, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""2"",""205"",""210"",""We develop a characterization for m-fault-tolerant extensions, and for optimal m-fault-tolerant extensions, of a complete multipartite graph. Our formulation shows that this problem is equivalent to an interesting combinatorial problem on the partitioning of integers. This characterization leads to a new procedure for constructing an optimal m-fault-tolerant extension of any complete multipartite graph, for any m/spl ges/0. The proposed procedure is mainly useful when the size of the graph is relatively small, because the search time required is exponential. This exponential search, however, is not always necessary. We prove several necessary conditions that help us, in several cases, to identify some optimal m-fault-tolerant extensions without performing any search.<>"",""1558-2183"","""",""10.1109/71.265947"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=265947"","""",""Fault tolerance";Mathematics;Tree graphs;"Tree data structures"","""",""7"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"The hierarchical hypercube: a new interconnection topology for massively parallel systems,""Q. M. Malluhi";" M. A. Bayoumi"",""Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""1"",""17"",""30"",""Interconnection networks play a crucial role in the performance of parallel systems. This paper introduces a new interconnection topology that is called the hierarchical hypercube (HHC). This topology is suitable for massively parallel systems with thousands of processors. An appealing property of this network is the low number of connections per processor, which enhances the VLSI design and fabrication of the system. Other alluring features include symmetry and logarithmic diameter, which imply easy and fast algorithms for communication. Moreover, the HHC is scalable";" that is it can embed HHC's of lower dimensions. The paper presents two algorithms for data communication in the HHC. The first algorithm is for one-to-one transfer, and the second is for one-to-all broadcasting. Both algorithms take O(log/sub 2/ k), where k is the total number of processors in the system. A wide class of problems, the divide & conquer class (D&Q), is shown to be easily and efficiently solvable on the HHC topology. Parallel algorithms are provided to describe how a D&Q problem can be solved efficiently on an HHC structure. The solution of a D&Q problem instance having up to k inputs requires a time complexity of O(log/sub 2/ k).<>"",""1558-2183"","""",""10.1109/71.262585"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=262585"","""",""Hypercubes";Network topology;Multiprocessor interconnection networks;Very large scale integration;Broadcasting;Bandwidth;Fabrication;Data communication;Parallel algorithms;"Parallel processing"","""",""94"",""7"",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"The impact of parallel loop scheduling strategies on prefetching in a shared memory multiprocessor,""D. J. Lilja"",""Department of Electrical Engineering, University of Minnesota, Minneapolis, MN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1994"",""5"",""6"",""573"",""584"",""Trace-driven simulations of numerical Fortran programs are used to study the impact of the parallel loop scheduling strategy on data prefetching in a shared memory multiprocessor with private data caches. The simulations indicate that to maximize memory performance, it is important to schedule blocks of consecutive iterations to execute on each processor, and then to adaptively prefetch single-word cache blocks to match the number of iterations scheduled. Prefetching multiple single-word cache blocks on a miss reduces the miss ratio by approximately 5% to 30% compared to a system with no prefetching. In addition, the proposed adaptive prefetching scheme further reduces the miss ratio while significantly reducing the false sharing among cache blocks compared to nonadaptive prefetching strategies. Reducing the false sharing causes fewer coherence invalidations to be generated, and thereby reduces the total network traffic. The impact of the prefetching and scheduling strategies on the temporal distribution of coherence invalidations also is examined. It is found that invalidations tend to be evenly distributed throughout the execution of parallel loops, but tend to be clustered when executing sequential program sections. The distribution of invalidations in both types of program sections is relatively insensitive to the prefetching and scheduling strategy.<>"",""1558-2183"","""",""10.1109/71.285604"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=285604"","""",""Prefetching";Processor scheduling;Pollution;Multiprocessor interconnection networks;Numerical simulation;Large-scale systems;Application software;Hardware;Software performance;"Dynamic scheduling"","""",""8"",""1"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
