"1998 Index IEEE Transactions on Parallel And Distributed Systems - Author Index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1269"",""1273"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737701"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737701"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"A basic-cycle calculation technique for efficient dynamic data redistribution,""Yeh-Ching Chung"; Ching-Hsien Hsu;" Sheng-Wen Bai"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"; Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan;" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""4"",""359"",""377"",""Array redistribution is usually required to enhance algorithm performance in many parallel programs on distributed memory multicomputers. Since it is performed at run-time, there is a performance trade-off between the efficiency of the new data decomposition for a subsequent phase of an algorithm and the cost of redistributing data among processors. In this paper, we present a basic-cycle calculation technique to efficiently perform BLOCK-CYCLIC(S) to BLOCK-CYCLIC(t) redistribution. The main idea of the basic-cycle calculation technique is, first, to develop closed forms for computing source/destination processors of some specific array elements in a basic-cycle, which is defined as icm(s,t)/gcd(s,t). These closed forms are then used to efficiently determine the communication sets of a basic-cycle. From the source/destination processor/data sets of a basic-cycle, we can efficiently perform a BLOCK-CYCLIC(s) to BLOCK-CYCLIC(t) redistribution. To evaluate the performance of the basic-cycle calculation technique, we have implemented this technique on an IBM SP2 parallel machine, along with the PITFALLS method and the multiphase method. The cost models for these three methods are also presented. The experimental results show that the basic-cycle calculation technique outperforms the PITFALLS method and the multiphase method for most test samples."",""1558-2183"","""",""10.1109/71.667897"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=667897"","""",""Phased arrays";Runtime;Parallel programming;Costs;Parallel machines;Testing;Program processors;Programming profession;"Algorithm design and analysis"","""",""20"","""",""33"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Optimal parallel algorithms for finding proximate points, with applications,""T. Hayashi"; K. Nakano;" S. Olariu"",""Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan"; Department of Electrical and Computer Engineering, Nagoya Institute of Technology, Nagoya, Japan;" Department of Computer Science, Old Dominion University, Norfolk, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1153"",""1166"",""Consider a set P of points in the plane sorted by the x-coordinate. A point p in P is said to be a proximate point if there exists a point q on the x-axis such that p is the closest point to q over all points in P. The proximate point problem is to determine all the proximate points in P. Our main contribution is to propose optimal parallel algorithms for solving instances of size n of the proximate points problem. We begin by developing a work-time optimal algorithm running in O(log log n) time and using n/loglogn Common-CRCW processors. We then go on to show that this algorithm can be implemented to run in O(log n) time using n/logn EREW processors. In addition to being work-time optimal, our EREW algorithm turns out to also be time-optimal. Our second main contribution is to show that the proximate points problem finds interesting, and quite unexpected, applications to digital geometry and image processing. As a first application, we present a work-time optimal parallel algorithm for finding the convex hull of a set of n points in the plane sorted by x-coordinate";" this algorithm runs in O(log log n) time using n/logn Common-CRCW processors. We then show that this algorithm can be implemented to run in O(log n) time using n/logn EREW processors. Next, we show that the proximate points algorithms afford us work-time optimal (resp, time-optimal) parallel algorithms for various fundamental digital geometry and image processing problems."",""1558-2183"","""",""10.1109/71.737693"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737693"","""",""Parallel algorithms";Geometry;Application software;Image processing;Phase change random access memory;Computer Society;Euclidean distance;Image analysis;Pattern recognition;"Performance evaluation"","""",""20"","""",""31"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Optimal scheduling algorithm for distributed-memory machines,""S. Darbha";" D. P. Agrawal"",""Department of Electrical and Computer Engineering, Rutgers University, Piscataway, NJ, USA";" Department of Electrical and Computer Engineering, North Carolina State University, Raleigh, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""1"",""87"",""95"",""Task Scheduling is one of the key elements in any distributed-memory machine (DMM), and an efficient algorithm can help reduce the interprocessor communication time. As optimal scheduling of tasks to DMMs is a strong NP-hard problem, many heuristic algorithms have been introduced in the literature. This paper presents a Task Duplication based Scheduling (TDS) algorithm which can schedule directed acyclic graphs (DAGs) with a complexity of O(|V|/sup 2/), where |V| is the number of tasks in the DAG. This algorithm generates an optimal schedule for a class of DAGs which satisfy a simple cost relationship. The performance of the algorithm has been observed by its application to some practical DAGs, and by comparing it with other existing scheduling schemes in terms of the schedule length and algorithm complexity."",""1558-2183"","""",""10.1109/71.655248"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=655248"","""",""Optimal scheduling";Scheduling algorithm;Processor scheduling;Polynomials;Computational efficiency;NP-hard problem;Heuristic algorithms;Cost function;Very large scale integration;"Communications technology"","""",""142"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Optimized broadcasting and multicasting protocols in cut-through routed networks,""J. Cohen"; P. Fraigniaud; J. Konig;" A. Raspaud"",""Laboratoire de Recherches en Informatique, Université Paris Sud, Orsay, France"; Laboratoire de Recherches en Informatique, Université Paris Sud, Orsay, France; Département d'Informatique, Université d'Evry, Evry, France;" Laboratoire Bordelais de Recherche en Informatique, Université de Bordeaux 1, Talence, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""788"",""802"",""This paper addresses the one-to-all broadcasting problem and the one-to-many broadcasting problem, usually simply called broadcasting and multicasting, respectively. Broadcasting is the information dissemination problem in which a node of a network sends the same piece of information to all the other nodes. Multicasting is a partial broadcasting in the sense that only a subset of nodes forms the destination set. Both operations have many applications in parallel and distributed computing. In this paper, we study these problems in both line model, and cut-through model. The former assumes long distance calls between nonneighboring processors. The latter strengthens the line model by taking into account the use of a routing function. Long distance calls are possible in circuit-switched and wormhole-routed networks, and also in many networks supporting optical facilities. In the line model, it is well known that one can compute in polynomial time a [log/sub 2/n]-round broadcast or multicast protocol for any arbitrary network. Unfortunately such a protocol is often inefficient from a practical point of view because it does not use the resources of the network in a balanced way. In this paper, we present a new algorithm to compute broadcast or multicast protocols. This algorithm applies under both line and cut-through models. Moreover, it returns protocols that efficiently use the bandwidth of the network. From a complexity point of view, we also show that most of the optimization problems relative to the maximization of the efficiency of broadcast or multicast protocols in terms of switching time or vertex load are NP-complete. We have, however, derived polynomial efficient solutions for tree-networks."",""1558-2183"","""",""10.1109/71.706050"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706050"","""",""Broadcasting";Multicast protocols;Polynomials;Multicast algorithms;Distributed computing;Routing;Circuits;Optical fiber networks;Optical sensors;"Computer networks"","""",""9"","""",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Optimizing computing costs using divisible load analysis,""Jeeho Sohn"; T. G. Robertazzi;" S. Luryi"",""AT and T, Middletown, NJ, USA"; Department of Electrical Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA;" Department of Electrical Engineering, State University of New York, Stony Brook, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""225"",""234"",""A bus oriented network where there is a charge for the amount of divisible load processed on each processor is investigated. A cost optimal processor sequencing result is found which involves assigning load to processors in nondecreasing order of the cost per load characteristic of each processor. More generally, one can trade cost against solution time. Algorithms are presented to minimize computing cost with an upper bound on solution time and to minimize solution time with an upper bound on cost. As an example of the use of this type of analysis, the effect of replacing one fast but expensive processor with a number of cheap but slow processors is also discussed. The type of questions investigated here are important for future computer utilities that perform distributed computation for some charge."",""1558-2183"","""",""10.1109/71.674315"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674315"","""",""Cost function";Distributed computing;Computer networks;Telecommunication computing;Upper bound;Processor scheduling;Concurrent computing;Pricing;"Disaster management"","""",""69"","""",""45"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Parallel algorithms for relational coarsest partition problems,""S. Rajasekaran";" I. Lee"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA";" Department of Computer and Information Science, University of Pennsylvania, Philadelphia, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""687"",""699"",""Relational Coarsest Partition Problems (RCPPs) play a vital role in verifying concurrent systems. It is known that RCPPs are P-complete and hence it may not be possible to design polylog time parallel algorithms for these problems. In this paper, we present two efficient parallel algorithms for RCPP in which its associated label transition system is assumed to have m transitions and n states. The first algorithm runs in O(n/sup 1+/spl epsiv//) time using m/n/sup /spl epsiv// CREW PRAM processors, for any fixed /spl epsiv/<1. This algorithm is analogous to and optimal with respect to the sequential algorithm of P.C. Kanellakis and S.A. Smolka (1990). The second algorithm runs in O(n log n) time using m/n CREW PRAM processors. This algorithm is analogous to and nearly optimal with respect to the sequential algorithm of R. Paige and R.E. Tarjan (1987)."",""1558-2183"","""",""10.1109/71.707548"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707548"","""",""Parallel algorithms";Partitioning algorithms;Algorithm design and analysis;Algebra;Phase change random access memory;Logic functions;Concurrent computing;Polynomials;Computer Society;"Hardware"","""",""14"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Parallel computation in biological sequence analysis,""T. K. Yap"; O. Frieder;" R. L. Martino"",""Division of Computer Research and Technology, National Institutes of Health DHHS, Bethesda, MD, USA"; Division of Electrical and Computer Science and Engineering, Florida Institute of Technology, Melbourne, FL, USA;" Division of Computer Research and Technology, National Institutes of Health DHHS, Bethesda, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""3"",""283"",""294"",""A massive volume of biological sequence data is available in over 36 different databases worldwide, including the sequence data generated by the Human Genome project. These databases, which also contain biological and bibliographical information, are growing at an exponential rate. Consequently, the computational demands needed to explore and analyze the data contained in these databases is quickly becoming a great concern. To meet these demands, we must use high performance computing systems, such as parallel computers and distributed networks of workstations. We present two parallel computational methods for analyzing these biological sequences. The first method is used to retrieve sequences that are homologous to a query sequence. The biological information associated with the homologous sequences found in the database may provide important clues to the structure and function of the query sequence. The second method, which helps in the prediction of the function, structure, and evolutionary history of biological sequences, is used to align a number of homologous sequences with each other. These two parallel computational methods were implemented and evaluated on an Intel IPSC/860 parallel computer. The resulting performance demonstrates that parallel computational methods can significantly reduce the computational time needed to analyze the sequences contained in large databases."",""1558-2183"","""",""10.1109/71.674320"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=674320"","""",""Biology computing";Concurrent computing;Databases;High performance computing;Humans;Genomics;Bioinformatics;Data analysis;Computer networks;"Distributed computing"","""",""43"",""6"",""54"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Parallel genetic simulated annealing: a massively parallel SIMD algorithm,""H. Chen"; N. S. Flann;" D. W. Watson"",""SingleTrac Entertainment, Inc."; Department of Computer Science, Utah State University, Logan, UT, USA;" Department of Computer Science, Utah State University, Logan, UT, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""126"",""136"",""Many significant engineering and scientific problems involve optimization of some criteria over a combinatorial configuration space. The two methods most often used to solve these problems effectively-simulated annealing (SA) and genetic algorithms (GA)-do not easily lend themselves to massive parallel implementations. Simulated annealing is a naturally serial algorithm, while GA involves a selection process that requires global coordination. This paper introduces a new hybrid algorithm that inherits those aspects of GA that lend themselves to parallelization, and avoids serial bottle-necks of GA approaches by incorporating elements of SA to provide a completely parallel, easily scalable hybrid GA/SA method. This new method, called Genetic Simulated Annealing, does not require parallelization of any problem specific portions of a serial implementation-existing serial implementations can be incorporated as is. Results of a study on two difficult combinatorial optimization problems, a 100 city traveling salesperson problem and a 24 word, 12 bit error correcting code design problem, performed on a 16 K PE MasPar MP-1, indicate advantages over previous parallel GA and SA approaches. One of the key results is that the performance of the algorithm scales up linearly with the increase of processing elements, a feature not demonstrated by any previous parallel GA or SA approaches, which enables the new algorithm to utilize massive parallel architecture with maximum effectiveness. Additionally, the algorithm does not require careful choice of control parameters, a significant advantage over SA and GA."",""1558-2183"","""",""10.1109/71.663870"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663870"","""",""Simulated annealing";Optimization methods;Error correction codes;Computational modeling;Computer Society;Genetic algorithms;Design optimization;Temperature;Cities and towns;"Parallel architectures"","""",""90"","""",""28"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Parallelization model for successive approximations to the Rayleigh-Ritz linear variational problem,""J. C. Greer"",""National Microelectronic Research Centre, University College Cork, National University of Ireland, Cork, Ireland"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""10"",""938"",""946"",""Many of the differential equations arising in science and engineering can be recast in the form of a matrix eigenvalue problem. Solution of this equation within the context of the Rayleigh-Ritz variational method may be viewed as one of the fundamental tasks of numerical analysis. Successive approximation approaches to the Rayleigh-Ritz problem seek to improve eigenvectors and eigenfunctions by sequentially refining a trial function. Parallelization of successive approximation approaches has been demonstrated numerous times in the literature";" these studies addressed either the successive approximations or the matrix diagonalization levels of the algorithm. It is shown in this paper that these two strategies may be applied independently of one another, and the advantages of applying both parallelization levels simultaneously to the problem are discussed. Performance estimates for a two-tiered parallelization strategy are obtained by extrapolating from existing published performance data for which the two levels of parallelization were applied separately."",""1558-2183"","""",""10.1109/71.730523"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=730523"","""",""Eigenvalues and eigenfunctions";Differential equations;Numerical analysis;Approximation algorithms;Finite element methods;Laplace equations;Poisson equations;Finite difference methods;Kinetic theory;"Magnetic separation"","""",""2"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Performance estimation for real-time distributed embedded systems,""Ti-Yen Yen";" W. Wolf"",""Quickturn Design Systems, San Jose, CA, USA";" Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""11"",""1125"",""1136"",""Many embedded computing systems are distributed systems: communicating processes executing on several CPUs/ASICs. This paper describes a performance analysis algorithm for a set of tasks executing on a heterogeneous distributed system. Tight bounds are essential to the synthesis and verification of application-specific distributed systems, such as embedded computing systems. Our bounding algorithms are valid for a general problem model: The system can contain several tasks with hard real-time deadlines and different periods";" each task is partitioned into a set of processes related by data dependencies. The periods of tasks and the computation times of processes are not necessarily constant and can be specified by a lower bound and an upper bound. Such a model requires a more sophisticated algorithm, but leads to more accurate results than previous work. Our algorithm both provides tighter bounds and is faster than previous methods."",""1558-2183"","""",""10.1109/71.735959"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=735959"","""",""Real time systems";Embedded system;Performance analysis;Signal processing algorithms;Embedded computing;Processor scheduling;Delay estimation;Hardware;Scheduling algorithm;"Embedded software"","""",""46"","""",""35"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Randomized routing, selection, and sorting on the OTIS-mesh,""S. Rajasekaran";" S. Sahni"",""Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA";" Department of Computer and Information Science and Engineering, University of Florida, Gainesville, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""9"",""833"",""840"",""The Optical Transpose Interconnection System (OTIS) is a recently proposed model of computing that exploits the special features of both electronic and optical technologies. In this paper we present efficient algorithms for packet routing, sorting, and selection on the OTIS-Mesh. The diameter of an N/sup 2/-processor OTIS-Mesh is 4/spl radic/N-3. We present an algorithm for routing any partial permutation in 4/spl radic/N+o(/spl radic/N) time. Our selection algorithm runs in time 6/spl radic/N+o(/spl radic/N) and our sorting algorithm runs in 8/spl radic/N+o(/spl radic/N) time. All these algorithms are randomized and the stated time bounds hold with high probability. Also, the queue size needed for these algorithms is O(1) with high probability."",""1558-2183"","""",""10.1109/71.722217"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=722217"","""",""Routing";Sorting;Concurrent computing;Optical interconnections;Partitioning algorithms;Optical fiber communication;Hypercubes;Computer Society;Optical computing;"Parallel algorithms"","""",""47"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Recognizing nondominated coteries and wr-coteries by availability,""Yu-Chen Kuo";" Shing-Tsaan Huang"",""Department of Computer and Information Science, Soochow University, Taipei, Taiwan";" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""721"",""728"",""Coterie is a widely accepted concept for solving the mutual exclusion problem. Nondominated coteries are an important class of coteries which have better performance than dominated coteries. The performance of a coterie is usually measured by availability. Higher availability of a coterie exhibits greater ability to tolerate node or communication link failures. In this paper, we demonstrate a way to recognize nondominated coteries using availability. By evaluating the availability of a coterie instead of using a formal proof, the coterie can be recognized as a nondominated coterie or not. Moreover, with regard to wr-coterie, a concept for solving the replica control problem, we also present a similar result for recognizing nondominated wr-coteries. Finally, we apply our results to some well-known coteries and wr-coteries."",""1558-2183"","""",""10.1109/71.706045"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706045"","""",""Availability";Neodymium;Fault tolerance;Permission;Boolean functions;Distributed algorithms;Communication system control;Voting;Costs;"Size measurement"","""",""6"","""",""15"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Resource deadlocks and performance of wormhole multicast routing algorithms,""R. V. Boppana"; S. Chalasani;" C. S. Raghavendra"",""University of San Antonio, San Antonio, TX, USA"; University of Wisconsin, Madison, Madison, WI, USA;" Aerospace Corporation, Los Angeles, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""6"",""535"",""549"",""We show that deadlocks due to dependencies on consumption channels are a fundamental problem in wormhole multicast routing. This type of resource deadlocks has not been addressed in many previously proposed wormhole multicast algorithms. We also show that deadlocks on consumption channels can be avoided by using multiple classes of consumption channels and restricting the use of consumption channels by multicast messages. We provide upper bounds for the number of consumption channels required to avoid deadlocks. In addition, we present a new multicast routing algorithm, column-path, which is based on the well-known dimension-order routing used in many multicomputers and multiprocessors. Therefore, this algorithm could be implemented in existing multicomputers with simple changes to the hardware. Using simulations, we compare the performance of the proposed column-path algorithm with the previously proposed Hamiltonian-path-based multipath and an e-cube-based multicast routing algorithms. Our results show that for multicast traffic, the column-path routing offers higher throughputs, while the multipath algorithm offers lower message latencies. Another result of our study is that the commonly implemented simplistic scheme of sending one copy of a multicast message to each of its destinations exhibits good performance provided the number of destinations is small."",""1558-2183"","""",""10.1109/71.689441"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=689441"","""",""System recovery";Routing;Multicast algorithms;Broadcasting;Multicast communication;Unicast;Communication switching;Concurrent computing;Hypercubes;"Context"","""",""67"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Scalable s-to-p broadcasting on message-passing MPPs,""S. E. Hambrusch";" A. A. Khokhar"",""Dept. of Comput. Sci., Purdue Univ., West Lafayette, IN, USA";" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""8"",""758"",""768"",""In s-to-p broadcasting, s processors in a processor machine contain a message to be broadcast to all the processors, 1/spl les/s/spl les/p. We present a number of different broadcasting algorithms that handle all ranges of s. We show how the performance of each algorithm is influenced by the distribution of the s source processors and by the relationships between the distribution and the characteristics of the interconnection network. For the Intel Paragon we show that for each algorithm and machine dimension there exist ideal distributions and distributions on which the performance degrades. For the Cray T3D we also demonstrate dependencies between distributions and machine sizes. To reduce the dependence of the performance on the distribution of sources, we propose a repositioning approach. In this approach, the initial distribution is turned into an ideal distribution of the target broadcasting algorithm. We report experimental results for the Intel Paragon and Cray T3D and discuss scalability and performance."",""1558-2183"","""",""10.1109/71.706048"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=706048"","""",""Broadcasting";Scalability;Iterative algorithms;Multiprocessor interconnection networks;Degradation;Libraries;Load management;Data structures;"Algorithm design and analysis"","""",""4"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Scaling simulation of the fusing-restricted reconfigurable mesh,""J. A. Fernandez-Zepeda"; R. Vaidyanathan;" J. L. Trahan"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"; Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA;" Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""9"",""861"",""871"",""This paper deals with the ability of a model to adapt algorithm instances of different sizes to run on a given model size without significant loss of efficiency. The overhead in simulating a step of a large instance of the model on a smaller instance can quantify this ability. A reconfigurable mesh (R-Mesh) can use its bus structure as a computational resource, presenting an obstacle to efficiently scaling down algorithms to run on a smaller R-Mesh. We construct a scaling simulation of a Fusing-Restricted Reconfigurable Mesh (FR-Mesh), a version of the R-Mesh. The overhead of this simulation depends only on the simulating machine size and not on the simulated machine size. Previously, the R-Mesh was not known to admit such a simulation overhead without significantly reducing its computational power. The small overhead holds importance for flexibility in algorithm design and for running algorithms with various input sizes on an available model of given size. The results of this paper extend to a variety of concurrent write rules and also translate to an improved scaling simulation of an unrestricted R-Mesh."",""1558-2183"","""",""10.1109/71.722220"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=722220"","""",""Computational modeling";Algorithm design and analysis;Parallel algorithms;Bibliographies;Concurrent computing;"Programming profession"","""",""8"","""",""26"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Scheduling algorithms for parallel Gaussian elimination with communication costs,""A. K. Amoura"; E. Bampis;" J. . -C. Konig"",""LRI, Université de Paris Sud, Orsay, France"; LAMI, Université D'Evry Val D'Essonne, Evry, France;" LAMI, Université d''Evry Val d''Essonne, Evry, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""7"",""679"",""686"",""We consider a graph theoretical model and study a parallel implementation of the well-known Gaussian elimination method on parallel distributed memory architectures, where the communication delay for the transmission of an elementary data is higher than the computation time of an elementary instruction. We propose and analyze two low-complexity algorithms for scheduling the tasks of the parallel Gaussian elimination on an unbounded number of completely connected processors. We compare these two algorithms with a higher-complexity general-purpose scheduling algorithm, the DSC heuristic, proposed by A. Gerasoulis and T. Yang (1993)."",""1558-2183"","""",""10.1109/71.707547"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=707547"","""",""Scheduling algorithm";Costs;Processor scheduling;Algorithm design and analysis;Computer aided instruction;Partitioning algorithms;Computational modeling;Memory architecture;Delay effects;"Concurrent computing"","""",""28"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Scheduling block-cyclic array redistribution,""F. Desprez"; J. Dongarra; A. Petitet; C. Randriamaro;" Y. Robert"",""Ecole Normale Supérieure de Lyon, L.I.P, Lyon, France"; Department of Computer Science, University of Tennessee, Knoxville, TN, USA; Department of Computer Science, University of Tennessee, Knoxville, TN, USA; Ecole Normale Supérieure de Lyon, L.I.P, Lyon, France;" Department of Computer Science, University of Tennessee, Knoxville, TN, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""192"",""205"",""This article is devoted to the run-time redistribution of one-dimensional arrays that are distributed in a block-cyclic fashion over a processor grid. While previous studies have concentrated on efficiently generating the communication messages to be exchanged by the processors involved in the redistribution, we focus on the scheduling of those messages: how to organize the message exchanges into """"structured"""" communication steps that minimize contention. We build upon results of Walker and Otto, who solved a particular instance of the problem, and we derive an optimal scheduling for the most general case, namely, moving from a CYCLIC(r) distribution on a P-processor grid to a CYCLIC(s) distribution on a Q-processor grid, for arbitrary values of the redistribution parameters P, Q, r, and s."",""1558-2183"","""",""10.1109/71.663945"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663945"","""",""Optimal scheduling";Processor scheduling;Phased arrays;Lifting equipment;Multidimensional systems;Kernel;Runtime environment;Heuristic algorithms;Scheduling algorithm;"Bipartite graph"","""",""46"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;
"Strong interaction fairness via randomization,""Yuh-Jzer Joung";" S. A. Smolka"",""Department of Information Management, National Taiwan University, Taipei, Taiwan";" Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""2"",""137"",""149"",""We present MULTI, a symmetric, distributed, randomized algorithm that, with probability one, schedules multiparty interactions in a strongly fair manner. To our knowledge, MULTI is the first algorithm for strong interaction fairness to appear in the literature. Moreover, the expected time taken by MULTI to establish an interaction is a constant not depending on the total number of processes in the system. In this sense, MULTI guarantees real-time response. MULTI makes no assumptions (other than boundedness) about the time it takes processes to communicate. It, thus, offers an appealing tonic to the impossibility results of Tsay and Bagrodia, and Joung concerning strong interaction fairness in an environment, shared-memory, or message-passing, in which processes are deterministic and the communication time is nonnegligible. Because strong interaction fairness is as strong a fairness condition that one might actually want to impose in practice, our results indicate that randomization may also prove fruitful for other notions of fairness lacking deterministic realizations and requiring real-time response."",""1558-2183"","""",""10.1109/71.663873"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=663873"","""",""Distributed algorithms";Computer languages;Scheduling algorithm;Delay;Concurrent computing;Taxonomy;"Real time systems"","""",""15"",""1"",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Subject index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1998"",""9"",""12"",""1273"",""1280"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the coauthors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under he primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1998.737702"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=737702"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
