"Reliable and Energy-Efficient Routing for Static Wireless Ad Hoc Networks with Unreliable Links,""X. -Y. Li"; Y. Wang; H. Chen; X. Chu; Y. Wu;" Y. Qi"",""Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA"; Department of Computer Science, North Carolina State University, Charlotte, NC, USA; Wireless Sensor Network Laboratory, Institute of Computing Technology, Chinese Academy and Sciences, Beijing, China; Department of Computer Science, Hong Kong Baptist University, Hong Kong, China; Department of Computer Science, Illinois Institute of Technology, Chicago, IL, USA;" Department of Computer Science and Technology, Xi'an Jiaotong University, Xi'an, Shaanxi, China"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1408"",""1421"",""Energy efficient routing and power control techniques in wireless ad hoc networks have drawn considerable research interests recently. In this paper, we address the problem of energy efficient reliable routing for wireless ad hoc networks in the presence of unreliable communication links or devices or lossy wireless link layers by integrating the power control techniques into the energy efficient routing. We consider both the case when the link layer implements a perfect reliability and the case when the reliability is implemented through the transport layer, e.g., TCP. We study the energy efficient unicast and multicast when the links are unreliable. Subsequently, we study how to perform power control (thus, controlling the reliability of each communication link) such that the unicast routings use the least power when the communication links are unreliable, while the power used by multicast is close to optimum. Extensive simulations have been conducted to study the power consumption, the end-to-end delay, and the network throughput of our proposed protocols compared with existing protocols."",""1558-2183"","""",""10.1109/TPDS.2008.248"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4695826"",""Wireless ad hoc networks";power assignment;reliable communication;energy efficiency.;Routing protocols;"Algorithm/protocol design and analysis"",""Energy efficiency";Mobile ad hoc networks;Telecommunication network reliability;Power control;Routing protocols;Wireless application protocol;Power system reliability;Error analysis;Unicast;"Energy consumption"","""",""45"","""",""23"",""IEEE"",""9 Dec 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"Replication-Based Fault Tolerance for MPI Applications,""J. P. Walters";" V. Chaudhary"",""Department of Computer Science and Engineering, State University of New York, University at Buffalo, Buffalo, NY, USA";" Department of Computer Science and Engineering, State University of New York, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2009"",""2009"",""20"",""7"",""997"",""1010"",""As computational clusters increase in size, their mean time to failure reduces drastically. Typically, checkpointing is used to minimize the loss of computation. Most checkpointing techniques, however, require central storage for storing checkpoints. This results in a bottleneck and severely limits the scalability of checkpointing, while also proving to be too expensive for dedicated checkpointing networks and storage systems. We propose a scalable replication-based MPI checkpointing facility. Our reference implementation is based on LAM/MPI";" however, it is directly applicable to any MPI implementation. We extend the existing state of fault-tolerant MPI with asynchronous replication, eliminating the need for central or network storage. We evaluate centralized storage, a Sun-X4500-based solution, an EMC storage area network (SAN), and the Ibrix commercial parallel file system and show that they are not scalable, particularly after 64 CPUs. We demonstrate the low overhead of our checkpointing and replication scheme with the NAS Parallel Benchmarks and the High-Performance LINPACK benchmark with tests up to 256 nodes while demonstrating that checkpointing and replication can be achieved with a much lower overhead than that provided by current techniques. Finally, we show that the monetary cost of our solution is as low as 25 percent of that of a typical SAN/parallel-file-system-equipped storage system."",""1558-2183"","""",""10.1109/TPDS.2008.172"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4633353"",""Fault tolerance";checkpointing;MPI;file systems.;fault-tolerance;checkpointing;MPI;"file systems"",""Fault tolerance";Checkpointing;File systems;Storage area networks;Benchmark testing;Network servers;File servers;Scalability;Computer networks;"Concurrent computing"","""",""24"","""",""40"",""IEEE"",""26 Sep 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Resolving the Topology Mismatch Problem in Unstructured Peer-to-Peer Networks,""H. -C. Hsiao"; H. Liao;" C. -C. Huang"",""Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan;" Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan County, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""29 Sep 2009"",""2009"",""20"",""11"",""1668"",""1681"",""Prior studies show that more than 70 percent of communication paths in a popular unstructured peer-to-peer (P2P) system (i.e., Gnutella) do not exploit the physical network topology, leading to the topology mismatch problem, and thus, lengthen communication between participating peers. While previous efforts in solving overlay topology matching problems do not guarantee the bounds of performance metrics (e.g., the communication delay between any two overlay peers and the broadcasting scope of any participating peer), in this paper, we present a novel topology matching algorithm that has provable performance qualities. In our proposal, each participating node creates and manages a constant number of overlay connections to other peers in a distributed manner. In rigorous performance analysis, we show that 1) the expected overlay communication delay between any two nodes in our P2P network is a constant"; 2) in addition, any joining node has the exponential broadcasting scope in expectation;" 3) furthermore, a participating node takes a polylogarithmic overhead to exploit the physical network locality and maintain its flooding scope. Together with extensive simulations, we present our proposal that significantly outperforms two recent solutions, i.e., THANCS and mOverlay, in terms of overlay communication latency and/or broadcasting scope."",""1558-2183"","""",""10.1109/TPDS.2009.24"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4782955"",""Unstructured peer-to-peer systems";Gnutella;topology mismatch;"location awareness."",""Network topology";Peer to peer computing;Delay;Broadcasting;Routing;Proposals;Streaming media;Floods;Telecommunication traffic;"IP networks"","""",""18"","""",""40"",""IEEE"",""13 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Scalable Routing in Cyclic Mobile Networks,""C. Liu";" J. Wu"",""Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA";" Department of Computer Science and Engineering, Florida Atlantic University, Boca Raton, FL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jul 2009"",""2009"",""20"",""9"",""1325"",""1338"",""The nonexistence of an end-to-end path poses a challenge in adapting traditional routing algorithms to delay-tolerant networks (DTNs). Previous works have covered centralized routing approaches based on deterministic mobility, ferry-based routing with deterministic or semideterministic mobility, flooding-based approaches for networks with general mobility, and probability-based routing for semideterministic mobility models. Unfortunately, none of these methods can guarantee both scalability and delivery. In this paper, we extend the investigation of scalable deterministic routing in DTNs with repetitive mobility based on our previous works. Instead of routing with global contact knowledge, we propose a routing algorithm that routes on contact information compressed by three combined methods. We address the challenge of efficient information aggregation and compression in the time-space domain while maintaining critical information for efficient routing. Then, we extend it to handle a moderate level of uncertainty in contact prediction. Analytical studies and simulation results show that the performance of our proposed routing algorithm, DTN hierarchical routing (DHR), is comparable to that of the optimal time-space Dijkstra algorithm in terms of delay and hop count. At the same time, the per-node storage overhead is substantially reduced and becomes scalable."",""1558-2183"","""",""10.1109/TPDS.2008.218"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641914"",""Contact";delay-tolerant networks (DTNs);delivery;hierarchical routing;motion cycle;scalability;simulation.;Routing protocols;"Algorithm/protocol design and analysis"",""Routing";Disruption tolerant networking;Scalability;Uncertainty;Performance analysis;Algorithm design and analysis;Analytical models;Partitioning algorithms;Delay;"Wireless sensor networks"","""",""39"",""1"",""22"",""IEEE"",""10 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"Schedulability Analysis of Global Scheduling Algorithms on Multiprocessor Platforms,""M. Bertogna"; M. Cirinei;" G. Lipari"",""Scuola Superiore Sant'' Anna, Pisa, Italy"; Scuola Superiore Sant'' Anna, Pisa, Italy;" Scuola Superiore Sant'' Anna, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""12 Jun 2009"",""2009"",""20"",""4"",""553"",""566"",""This paper addresses the schedulability problem of periodic and sporadic real-time task sets with constrained deadlines preemptively scheduled on a multiprocessor platform composed by identical processors. We assume that a global work-conserving scheduler is used and migration from one processor to another is allowed during a task lifetime. First, a general method to derive schedulability conditions for multiprocessor real-time systems will be presented. The analysis will be applied to two typical scheduling algorithms: earliest deadline first (EDF) and fixed priority (FP). Then, the derived schedulability conditions will be tightened, refining the analysis with a simple and effective technique that significantly improves the percentage of accepted task sets. The effectiveness of the proposed test is shown through an extensive set of synthetic experiments."",""1558-2183"","""",""10.1109/TPDS.2008.129"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4569837"",""Real-time distributed";Scheduling and task partitioning;Parallel Architectures;Processor Architectures;Multi-core/single-chip multiprocessors;Real-time and embedded systems;Special-Purpose and Application-Based Systems;Computer Systems Organization;Multiprocessor Systems;Computer System Implementation;Scheduling;Process Management;Operating Systems;Software/Software Engineering;Organization and Design;Real-time distributed;Scheduling and task partitioning;Parallel Architectures;Processor Architectures;Multi-core/single-chip multiprocessors;Real-time and embedded systems;Special-Purpose and Application-Based Systems;Computer Systems Organization;Multiprocessor Systems;Computer System Implementation;Scheduling;Process Management;Operating Systems;Software/Software Engineering;"Organization and Design"",""Algorithm design and analysis";Scheduling algorithm;Processor scheduling;Real time systems;Multiprocessing systems;Partitioning algorithms;Runtime;Testing;"Technological innovation"","""",""166"","""",""25"",""IEEE"",""18 Jul 2008"","""","""",""IEEE"",""IEEE Journals"""
"Scheduling Parallel Task Graphs on (Almost) Homogeneous Multicluster Platforms,""P. -F. Dutot"; T. N'Takpé; F. Suter;" H. Casanova"",""Université Pierre Mendès-France, Grenoble, France"; Nancy University/LORIA, Nancy, France; UMR 7503 CNRS-INPL-INRIA-Nancy 2-UHP, Nancy University, Nancy, France;" Information and Computer Sciences Department, University of Hawaii at Manoa, Honolulu, HI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Jun 2009"",""2009"",""20"",""7"",""940"",""952"",""Applications structured as parallel task graphs exhibit both data and task parallelism and arise in many domains. Scheduling these applications efficiently on parallel platforms has been a long-standing challenge. In the case of a single homogeneous platform, such as a cluster, results have been obtained both in theory, i.e., guaranteed algorithms, and, in practice, i.e., pragmatic heuristics. Due to task parallelism, these applications are well suited for execution on distributed platforms that span multiple clusters possibly in multiple institutions. However, the only available results in this context are nonguaranteed heuristics. In this paper, we develop a scheduling algorithm, MCGAS, which is applicable to multicluster platforms that are almost homogeneous. Such platforms are often found as large subsets of multicluster platforms. Our novel contribution is that MCGAS computes task allocations so that a (tunable) performance guarantee is provided. Since a performance guarantee does not necessarily imply good average performance in practice, we also compare MCGAS with a recently proposed nonguaranteed algorithm. Using simulation over a wide range of experimental scenarios, we find that MCGAS leads to better average application makespans than its competitor."",""1558-2183"","""",""10.1109/TPDS.2009.11"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4752814"",""Mixed parallelism";parallel task graph scheduling;performance guarantee;"multicluster platform."",""Parallel processing";Processor scheduling;Clustering algorithms;Scheduling algorithm;Computational modeling;Measurement;Concurrent computing;Scalability;Production;"Middleware"","""",""40"","""",""34"",""IEEE"",""19 Jan 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;
"Securing Structured Overlays against Identity Attacks,""K. P. N. Puttaswamy"; H. Zheng;" B. Y. Zhao"",""Department of Computer Science, University of California,슠Santa Barbara, Santa Barbara, CA, USA"; Department of Computer Science, University of California,슠Santa Barbara, Santa Barbara, CA, USA;" Department of Computer Science, University of California,슠Santa Barbara, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Aug 2009"",""2009"",""20"",""10"",""1487"",""1498"",""Structured overlay networks can greatly simplify data storage and management for a variety of distributed applications. Despite their attractive features, these overlays remain vulnerable to the Identity attack, where malicious nodes assume control of application components by intercepting and hijacking key-based routing requests. Attackers can assume arbitrary application roles such as storage node for a given file, or return falsified contents of an online shopper's shopping cart. In this paper, we define a generalized form of the Identity attack, and propose a lightweight detection and tracking system that protects applications by redirecting traffic away from attackers. We describe how this attack can be amplified by a Sybil or Eclipse attack, and analyze the costs of performing such an attack. Finally, we present measurements of a deployed overlay that show our techniques to be significantly more lightweight than prior techniques, and highly effective at detecting and avoiding both single node and colluding attacks under a variety of conditions."",""1558-2183"","""",""10.1109/TPDS.2008.241"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4668340"",""Security";routing protocols;distributed systems;overlay networks.;Security;Overlay Network;Identity Attack;Peer-to-Peer;"Overlay Routing"",""Peer to peer computing";Network servers;Magnetohydrodynamic power generation;Memory;Protection;Performance analysis;Costs;Routing protocols;Web and internet services;"Large-scale systems"","""",""13"","""",""39"",""IEEE"",""7 Nov 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Sharing Memory between Byzantine Processes Using Policy-Enforced Tuple Spaces,""A. N. Bessani"; M. Correia; J. da Silva Fraga;" L. Cheuk Lung"",""Departamento de Informática, Faculdade de Ciências, Universidade de Lisboa, Lisboa, Portugal"; Departamento de Informática, Faculdade de Ciências, Universidade de Lisboa, Lisboa, Portugal; Departamento de Automação e Sistemas, DAS, Universidade Federal de Santa Catarina, Florianopolis, Santa Catarina, Brazil;" Departamento de Informática e Estatistica, INE, Universidade Federal de Santa Catarina, Florianopolis, Santa Catarina, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""419"",""432"",""Despite the large amount of Byzantine fault-tolerant algorithms for message-passing systems designed through the years, only recently algorithms for the coordination of processes subject to Byzantine failures using shared memory have appeared. This paper presents a new computing model in which shared memory objects are protected by fine-grained access policies, and a new shared memory object, the Policy-Enforced Augmented Tuple Space (PEATS). We show the benefits of this model by providing simple and efficient consensus algorithms. These algorithms are much simpler and requires less shared memory operations, using also less memory bits than previous algorithms based on ACLs and sticky bits. We also prove that PEATS objects are universal, i.e., that they can be used to implement any other shared memory object, and present lock-free and wait-free universal constructions."",""1558-2183"","""",""10.1109/TPDS.2008.96"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4538214"",""Distributed programming";Fault-tolerance;Access controls;Distributed systems;Parallelism and concurrency;Distributed programming;Fault-tolerance;Access controls;Distributed systems;"Parallelism and concurrency"",""Protection";Fault tolerant systems;Algorithm design and analysis;Access control;Resilience;Registers;Lungs;Fault tolerance;Availability;"Computer hacking"","""",""9"","""",""30"",""IEEE"",""6 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"SORD: A Fault-Resilient Service Overlay for MediaPort Resource Discovery,""I. Al-Oqily";" A. Karmouch"",""Faculty of Prince Al-Hussein Bin Abdullah II of Information Technology (IT), Hashemite University, Zarqa, Jordan";" School of Information Technology and Engineering (SITE), University of Ottawa, Ottawa, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""23 Jun 2009"",""2009"",""20"",""8"",""1112"",""1125"",""This paper proposes a new fault-resilient service overlay for MediaPort resource discovery that allows services to be efficiently and accurately located. MediaPorts are network-side functions used in the path between the source (media server) and the sink (media client). MediaPorts enable the adaptation of media content by providing value-added services such as caching, synchronization, and special routing functions. Our new approach addresses the problems of inefficiency and large message overhead, both typical of traditional approaches to resource discovery. The approach is based on a widely studied family of chordal rings, called the optimal chordal ring. Our solution is based on the types of services offered and also on the geographical locations of nodes. Extensive simulation results are presented to validate the effectiveness of the new approach, when compared to several other service-discovery solutions."",""1558-2183"","""",""10.1109/TPDS.2008.171"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4633352"",""Resource management";semantic;overlay services;distributed systems;rings;optimal chordal ring.;Distributed applications;Information resource management;Pricing and resource allocation;"Network management"",""Motion pictures";Network servers;Routing;Nonhomogeneous media;Context-aware services;Ambient networks;Resource management;Network topology;Streaming media;"Jitter"","""",""17"",""1"",""48"",""IEEE"",""26 Sep 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;
"Swapped (OTIS) Networks Built of Connected Basis Networks Are Maximally Fault Tolerant,""W. Chen"; W. Xiao;" B. Parhami"",""Department of Computer Science, South China University of Technology, Guangzhou, China"; Department of Computer Science, South China University of Technology, Guangzhou, China;" Department of Electrical and Computer Engineering, University of California, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""361"",""366"",""An optical transpose interconnection system (OTIS) network with n2 nodes is a two-level swapped architecture built of n copies of an n-node basis network that constitute its clusters. A simple rule for intercluster connectivity (node j in cluster i connected to node i in cluster j) leads to regularity, modularity, packageability, fault tolerance, and algorithmic efficiency of the resulting networks. We prove that an OTIS (swapped) network with a connected basis network possesses maximal fault tolerance, regardless of whether its basis network is maximally fault tolerant. We also show how the corresponding maximal number of node-disjoint paths between two nodes of a swapped network can be algorithmically constructed in a manner that is independent of the existence and construction of node-disjoint paths within its basis network. Our results are stronger than previously published results and they replace a number of proofs and constructions in the literature for specific basis networks. Additionally, we use our parallel path constructions to establish that the fault diameter and wide diameter of an OTIS network is no more than 4 units greater than its diameter."",""1558-2183"","""",""10.1109/TPDS.2008.98"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4538216"",""Interprocessor communications";Interconnection architectures;Reliability;Testing;and Fault-Tolerance;Interprocessor communications;Interconnection architectures;Reliability;Testing;"and Fault-Tolerance"",""Fault tolerance";Computer architecture;Optical interconnections;Optical network units;Clustering algorithms;Multiprocessor interconnection networks;Robustness;Fault tolerant systems;Optical fiber networks;"Packaging"","""",""12"","""",""18"",""IEEE"",""6 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;
"TCP Performance in Flow-Based Mix Networks: Modeling and Analysis,""X. Fu"; W. Yu; S. Jiang; S. Graham;" Y. Guan"",""Department of Computer Science, University of Massachusetts, Lowell, MA, USA"; Department of Computer Science, Texas A and M University, College Station, TX, USA; Department of Computer Science, Texas A and M University, College Station, TX, USA; College of Business and Information Systems, Dakota State University, Madison, SD, USA;" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""3 Apr 2009"",""2009"",""20"",""5"",""695"",""709"",""Anonymity technologies such as mix networks have gained increasing attention as a way to provide communication privacy. Mix networks were developed for message-based applications such as e-mail, but researchers have adapted mix techniques to low-latency flow-based applications such as anonymous Web browsing. Although a significant effort has been directed at discovering attacks against anonymity networks and developing countermeasures to those attacks, there is little systematic analysis of the quality of service (QoS) for such security and privacy systems. In this paper, we systematically address TCP performance issues of flow-based mix networks. A mix's batching and reordering schemes can dramatically reduce TCP throughput due to out-of-order packet delivery. We developed a theoretical model to analyze such impact and present formulas for approximate TCP throughput in mix networks. To improve TCP performance, we examined the approach of increasing TCP's duplicate threshold parameter and derived formulas for the performance gains. Our proposed approaches will not degrade the system anonymity degree since they do not change the underlying anonymity mechanism. Our data matched our theoretical analysis well. Our developed theoretical model can guide the deployment of batching and reordering schemes in flow-based mix networks and can also be used to investigate a broad range of reordering schemes."",""1558-2183"","""",""10.1109/TPDS.2008.135"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4585374"",""Anonymity";mix networks;TCP;congestion control;modeling and analysis.;Anonymity;Mix Networks;TCP;Congestion Control;"Modeling"",""Performance analysis";Quality of service;Privacy;Communication systems;Telecommunication traffic;Traffic control;Electronic mail;Throughput;Degradation;"Peer to peer computing"","""",""8"","""",""51"",""IEEE"",""1 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
"The Design of OpenMP Tasks,""E. Ayguade"; N. Copty; A. Duran; J. Hoeflinger; Y. Lin; F. Massaioli; X. Teruel; P. Unnikrishnan;" G. Zhang"",""Departament d'Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain"; Sun Microsystems, Inc., Menlo Park, CA, USA; Departament d'Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain; Intel Corporation, Champaign, IL, USA; Sun Microsystems, Inc., Menlo Park, CA, USA; CASPUR, Rome, Italy; Departament d'Arquitectura de Computadors, Universitat Politecnica de Catalunya, Barcelona, Spain; IBM Toronto Software Laboratory, Markham, ONT, Canada;" IBM Toronto Software Laboratory, Markham, ONT, Canada"",""IEEE Transactions on Parallel and Distributed Systems"",""2 Feb 2009"",""2009"",""20"",""3"",""404"",""418"",""OpenMP has been very successful in exploiting structured parallelism in applications. With increasing application complexity, there is a growing need for addressing irregular parallelism in the presence of complicated control structures. This is evident in various efforts by the industry and research communities to provide a solution to this challenging problem. One of the primary goals of OpenMP 3.0 is to define a standard dialect to express and efficiently exploit unstructured parallelism. This paper presents the design of the OpenMP tasking model by members of the OpenMP 3.0 tasking sub-committee which was formed for this purpose. The paper summarizes the efforts of the sub-committee (spanning over two years) in designing, evaluating and seamlessly integrating the tasking model into the OpenMP specification. In this paper, we present the design goals and key features of the tasking model, including a rich set of examples and an in-depth discussion of the rationale behind various design choices. We compare a prototype implementation of the tasking model with existing models, and evaluate it on a wide range of applications. The comparison shows that the OpenMP tasking model provides expressiveness, flexibility, and huge potential for performance and scalability."",""1558-2183"","""",""10.1109/TPDS.2008.105"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4553700"",""Concurrent";distributed;and parallel languages;Concurrent Programming;Concurrent programming structures;Concurrent;distributed;and parallel languages;Concurrent Programming;"Concurrent programming structures"",""Parallel processing";Application software;Prototypes;Parallel programming;Computer Society;Scalability;Concurrent computing;Sun;Indexing;"Adaptive mesh refinement"","""",""254"",""1"",""27"",""IEEE"",""27 Jun 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"The Distributed Spanning Tree Structure,""S. Dahan"; L. Philippe;" J. -M. Nicod"",""Facult dés Sciences, Laboratoire d'Informatique LIFC, Besancon, France"; Facult dés Sciences, Laboratoire d'Informatique LIFC, Besancon, France;" Facult dés Sciences, Laboratoire d'Informatique LIFC, Besancon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Oct 2009"",""2009"",""20"",""12"",""1738"",""1751"",""Search algorithms are a key issue to share resources in large distributed systems as peer networks. Several distributed interconnection structures and algorithms have already been studied in this context. With expanding ring algorithms, the efficiency of searches depends on the topology used to send query requests and the dynamics of the structure. In this paper, we present an interconnection structure that limits the number of messages needed for search queries. This structure, called distributed spanning tree (DST), defines each node as the root of a spanning tree. So, it behaves as a tree for the number of messages but it balances the load generated by the requests among computers, and thus, it avoids to overload the root node. This structure is scalable because it needs only a logarithmic memory space per computer to be maintained. A formal and practical description of the structure is presented and we describe traversal algorithms. Simulations show that DST based searches behave better than randomly generated graphs and trees as it generates less messages to query all computers while avoiding the tree bottlenecks."",""1558-2183"","""",""10.1109/TPDS.2009.22"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4775893"",""Distributed systems";search algorithms;expanding ring algorithms;"interconnection graphs."",""Tree data structures";Network topology;Peer to peer computing;Tree graphs;Access protocols;Computer networks;Broadcasting;Relays;Computational modeling;"Computer simulation"","""",""10"","""",""24"",""IEEE"",""6 Feb 2009"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"The Effects of Stitching Orders in Patch-and-Stitch WSN Localization Algorithms,""O. -H. Kwon"; H. -J. Song;" S. Park"",""Division of Electronics, Computer and Telecommunication Engineering, Pukyong National University, busan, South Korea"; Division of Electronics, Computer and Telecommunication Engineering, Pukyong National University, busan, South Korea;" Surveillance and Reconnaissance Sensor Network Research Team, RFID/USN Research Division, IT Convergence Technology Research Laboratory, Electronics and Telecommunications Research Institute, Daejeon, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jul 2009"",""2009"",""20"",""9"",""1380"",""1391"",""A """"patch-and-stitchrdquo localization algorithm divides the network into small overlapping subregions. Typically, each subregion consists of a node and all or some of its neighbors. For each subregion, the algorithm builds a local map, called a patch, which is actually an embedding of the nodes it spans in a relative coordinate system. Finally, the algorithm stitches those patches to form a single global map. In a patch-and-stitch algorithm, the stitching order makes an influence on both the performance and the complexity of the algorithm. In this paper, we present a formal framework to deal with stitching orders in patch-and-stitch localization algorithms. In our framework, the stitching order is determined by a stitching scheme and the stitching scheme consists of a stitching policy and a potential function. The potential function is to predict how well a patch will be stitched if patches are stitched according to a given partial order. The stitching policy is a mechanism that determines the stitching order based on the predictions by the potential function. We present various stitching schemes and evaluate them through simulations. In addition, we apply the patch-and-stitch strategy into the anchor-based localization and propose a clustering-based localization algorithm. A potential function is used to partition the network into clusters each of which is centered at an anchor node. For each cluster, a cluster map is constructed via the anchor-free localization algorithm. Then, those cluster maps are combined to form a single global map. We propose a stitching technique for combining those cluster maps and analyze the performance of the algorithm by simulations."",""1558-2183"","""",""10.1109/TPDS.2008.226"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4641922"",""Wireless sensor network";localization algorithm;distributed algorithms;patch-and-stitch strategy.;wireless sensor networks;localization;"patch and stitch strategy"",""Wireless sensor networks";Global Positioning System;Clustering algorithms;Computer Society;Partitioning algorithms;Costs;Performance analysis;Algorithm design and analysis;Analytical models;"Distributed algorithms"","""",""14"","""",""14"",""IEEE"",""10 Oct 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;
"The Globus Replica Location Service: Design and Experience,""A. L. Chervenak"; R. Schuler; M. Ripeanu; M. A. Amer; S. Bharathi; I. Foster; A. Iamnitchi;" C. Kesselman"",""Information Science Institute, Viterbi School of Engineering, University of Southern California, Marina del Rey, CA, USA"; Information Science Institute, Viterbi School of Engineering, University of Southern California, Marina del Rey, CA, USA; Department of Electrical and Computer Engineering, University of British Columbia, Vancouver, BC, Canada; Information Science Institute, Viterbi School of Engineering, University of Southern California, Marina del Rey, CA, USA; Information Science Institute, Viterbi School of Engineering, University of Southern California, Marina del Rey, CA, USA; Computation Institute, University of Chicago, Chicago, IL, USA; Department of Computer Science and Engineering, University of South Florida, Tampa, FL, USA;" Information Science Institute, Viterbi School of Engineering, University of Southern California, Marina del Rey, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""28 Jul 2009"",""2009"",""20"",""9"",""1260"",""1272"",""Distributed computing systems employ replication to improve overall system robustness, scalability, and performance. A replica location service (RLS) offers a mechanism to maintain and provide information about physical locations of replicas. This paper defines a design framework for RLSs that supports a variety of deployment options. We describe the RLS implementation that is distributed with the Globus toolkit and is in production use in several grid deployments. Features of our modular implementation include the use of soft-state protocols to populate a distributed index and Bloom filter compression to reduce overheads for distribution of index information. Our performance evaluation demonstrates that the RLS implementation scales well for individual servers with millions of entries and up to 100 clients. We describe the characteristics of existing RLS deployments and discuss how RLS has been integrated with higher-level data management services."",""1558-2183"","""",""10.1109/TPDS.2008.151"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4604659"",""Replica Location Service";replica management;grids;data management.;Distributed systems;Metadata;"Information Storage and Retrieval"",""Resonance light scattering";Production systems;Robustness;Scalability;Protocols;Information filtering;Information filters;Environmental management;Availability;"Analytical models"","""",""36"",""2"",""56"",""IEEE"",""22 Aug 2008"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
