"A distributed deadlock resolution algorithm for the AND model,""J. R. Gonzalez de Mendivil"; F. Farina; J. R. Garitagotia; C. F. Alastruey;" J. M. Bernabeu-Auban"",""Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain"; Department de Matemáticas e Informática, University Pública de Navarra, Pamplona, Spain; NA; Department de Automática y Computación, University Pública de Navarra, Pamplona, Spain;" Department de Sistemas Informáticos y Computación, University Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""433"",""447"",""Previous proposals for Distributed Deadlock Detection/Resolution algorithms for the AND model have the main disadvantage of resolving false deadlocks, that is, nonexisting or currently being resolved deadlocks. This paper provides an algorithm free of false deadlock resolutions, A simple specification for a safe deadlock resolution algorithm is introduced, and the new distributed solution is developed in a hierarchical fashion from its abstract specification. The algorithm is probe-based, uses node priorities, and coordinates the actions of resolvers so that false deadlocks are not resolved. The solution is formally proven correct by using the input-output Automata Model. Finally, a study about the liveness of the algorithm is provided."",""1558-2183"","""",""10.1109/71.770131"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770131"","""",""System recovery";Automata;Abortion;Computer Society;Resource management;Safety;Proposals;Fault detection;Fault tolerance;"Measurement"","""",""20"","""",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Resource scaling effects on MPP performance: the STAP benchmark implications,""Kai Hwang"; Choming Wang; Cho-Li Wang;" Zhiwei Xu"",""Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, Los Angeles, CA, USA"; Department of Electrical Engineering-Systems, University of Southern California, Los Angeles, Los Angeles, CA, USA; Department of Computer Science and Information Systems, University of Hong Kong, Hong Kong, China;" National Center for Intelligent Computing Systems, Chinese Academy and Sciences, Beijing, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""5"",""509"",""527"",""Presently, massively parallel processors (MPPs) are available only in a few commercial models. A sequence of three ASCI Teraflops MPPs has appeared before the new millenium. This paper evaluates six MPP systems through STAP benchmark experiments. The STAP is a radar signal processing benchmark which exploits regularly structured SPMD data parallelism. We reveal the resource scaling effects on MPP performance along orthogonal dimensions of machine size, processor speed, memory capacity messaging latency, and network bandwidth. We show how to achieve balanced resources scaling against enlarged workload (problem size). Among three commercial MPPs, the IBM SP2 shows the highest speed and efficiency, attributed to its well-designed network with middleware support for single system image. The Cray T3D demonstrates a high network bandwidth with a good NUMA memory hierarchy. The Intel Paragon trails far behind due to slow processors used and excessive latency experienced in passing messages. Our analysis projects the lowest STAP speed on the ASCI Red, compared with the projected speed of two ASCI Blue machines. This is attributed to slow processors used in ASCI Red and the mismatch between its hardware and software. The Blue Pacific shows the highest potential to deliver scalable performance up to thousands of nodes. The Blue Mountain is designed to have the highest network bandwidth. Our results suggest a limit on the scalability of the distributed shared-memory (DSM) architecture adopted in Blue Mountain. The scaling model offers a quantitative method to match resource scaling with problem scaling to yield a truly scalable performance. The model helps MPP designers optimize the processors, memory, network, and I/O subsystems of an MPP. For MPP users, the scaling results can be applied to partition a large workload for SPMD execution or to minimize the software overhead in collective communication or remote memory update operations. Finally, our scaling model is assessed to evaluate MPPs with benchmarks other than STAP."",""1558-2183"","""",""10.1109/71.770197"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=770197"","""",""Bandwidth";Scalability;Radar signal processing;Delay;Hardware;Computer architecture;Application software;Middleware;Process design;"Design optimization"","""",""4"",""3"",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"Routing in wormhole-switched clustered networks with applications to fault tolerance,""V. Halwan"; F. Ozguner;" A. Dogan"",""United Technologies Research Center, Inc., East Hartford, CT, USA"; The Department of Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA;" The Department of Electrical Engineering, Ohio State Uinversity, Columbus, OH, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1001"",""1011"",""This paper presents a novel technique for routing in wormhole-switched multiprocessor interconnection networks with clustered configuration. The network model used here consists of a set of clusters interfaced through a common central network. We assume that the central network and the clusters use independent algorithms to route messages between their internal nodes. A technique for deriving a global routing algorithm based on the local algorithms is presented, which allows the transfer of messages between any pair of nodes in the network. This proposed method is shown to be deadlock-free with two virtual channels. The clustered network model and the proposed routing technique can be used to enhance the fault tolerance capability of existing routing algorithms. In particular, we describe fault-tolerant routing methods for meshes, which can tolerate any arbitrary fault distribution without disabling connected healthy nodes."",""1558-2183"","""",""10.1109/71.808138"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808138"","""",""Routing";Intelligent networks;Fault tolerance;Clustering algorithms;System recovery;Fault tolerant systems;Network topology;Multiprocessor interconnection networks;"Message passing"","""",""4"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"Safety and reliability driven task allocation in distributed systems,""S. Srinivasan";" N. K. Jha"",""High Speed Networks Research Department, Lucent Bell Laboratories, Holmdel, NJ, USA";" Department of Electrical Engineering, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""238"",""251"",""Distributed computer systems are increasingly being employed for critical applications, such as aircraft control, industrial process control, and banking systems. Maximizing performance has been the conventional objective in the allocation of tasks for such systems. Inherently, distributed systems are more complex than centralized systems. The added complexity could increase the potential for system failures. Some work has been done in the past in allocating tasks to distributed systems, considering reliability as the objective function to be maximized. Reliability is defined to be the probability that none of the system components falls while processing. This, however, does not give any guarantees as to the behavior of the system when a failure occurs. A failure, not detected immediately, could lead to a catastrophe. Such systems are unsafe. In this paper, we describe a method to determine an allocation that introduces safety into a heterogeneous distributed system and at the same time attempts to maximize its reliability. First, we devise a new heuristic, based on the concept of clustering, to allocate tasks for maximizing reliability. We show that for task graphs with precedence constraints, our heuristic performs better than previously proposed heuristics. Next, by applying the concept of task-based fault tolerance, which we have previously proposed, we add extra assertion tasks to the system to make it safe. We present a new heuristic that does this in such a way that the decrease in reliability for the added safety is minimized. For the purpose of allocating the extra tasks, this heuristic performs as well as previously known methods and runs an order of magnitude faster. We present a number of simulation results to prove the efficacy of our scheme."",""1558-2183"","""",""10.1109/71.755824"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755824"","""",""Safety";Distributed computing;Application software;Aerospace control;Aerospace industry;Computer industry;Electrical equipment industry;Industrial control;Process control;"Banking"","""",""90"",""2"",""27"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Scalable consistency protocols for distributed services,""M. Ahamad"",""Coll. of Comput., Georgia Inst. of Technol., Atlanta, GA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""888"",""903"",""A common way to address scalability requirements of distributed services is to employ server replication and client caching of objects that encapsulate the service state. The performance of such a system could depend very much on the protocol implemented by the system to maintain consistency among object copies. We explore scalable consistency protocols that never require synchronization and communication between all nodes that have copies of related objects. We achieve this by developing a novel approach called local consistency (LC). LC based protocols can provide increased flexibility and efficiency by allowing nodes control over how and when they become aware of updates to cached objects. We develop two protocols for implementing strong consistency using this approach and demonstrate that they scale better than a traditional invalidation based consistency protocol along the system load and geographic distribution dimensions of scale."",""1558-2183"","""",""10.1109/71.798314"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798314"","""",""Scalability";Access protocols;Application software;Computer networks;Distributed computing;Delay;Computer Society;Communication system control;Pervasive computing;"Local area networks"","""",""13"",""2"",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;
"Scheduling multiprocessor tasks with genetic algorithms,""R. C. Correa"; A. Ferreira;" P. Rebreyend"",""Departamento de Computacao, Universidade Federal do Ceara, Fortaleza, Ceara, Brazil"; CNRS-I3S-INRIA, Project SLOOP, Sophia-Antipolis, France;" CNRS URA 1398, LIP-ENS-LyonKeep, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""8"",""825"",""837"",""In the multiprocessor scheduling problem, a given program is to be scheduled in a given multiprocessor system such that the program's execution time is minimized. This problem being very hard to solve exactly, many heuristic methods for finding a suboptimal schedule exist. We propose a new combined approach, where a genetic algorithm is improved with the introduction of some knowledge about the scheduling problem represented by the use of a list heuristic in the crossover and mutation genetic operations. This knowledge-augmented genetic approach is empirically compared with a """"pure"""" genetic algorithm and with a """"pure"""" list heuristic, both from the literature. Results of the experiments carried out with synthetic instances of the scheduling problem show that our knowledge-augmented algorithm produces much better results in terms of quality of solutions, although being slower in terms of execution time."",""1558-2183"","""",""10.1109/71.790600"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=790600"","""",""Genetic algorithms";Processor scheduling;Multiprocessing systems;Genetic mutations;Character generation;Scheduling algorithm;Message passing;Multiprocessor interconnection networks;Costs;"Search methods"","""",""125"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Software-directed register deallocation for simultaneous multithreaded processors,""J. L. Lo"; S. S. Parekh; S. J. Eggers; H. M. Levy;" D. M. Tullsen"",""Transmeta Corporation, Santa Clara, CA, USA"; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA; Department of Computer Science and Engineering, University of Washington, Seattle, WA, USA;" Department of Computer Science and Engineering, University of California, San Diego, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""9"",""922"",""933"",""This paper proposes and evaluates software techniques that increase register file utilization for simultaneous multithreading (SMT) processors. SMT processors require large register files to hold multiple thread contexts that can issue instructions out of order every cycle. By supporting better interthread sharing and management of physical registers, an SMT processor can reduce the number of registers required and can improve performance for a given register file size. Our techniques specifically target register deal location. While out-of-order processors with register renaming are effective at knowing when a new physical register must be allocated, they have limited knowledge of when physical registers can be deallocated. We propose architectural extensions that permit the compiler and operating system to: 1) free registers immediately upon their last use, and 2) free registers allocated to idle thread contexts. Our results, based on detailed instruction-level simulations of an SMT processor, show that these techniques can increase performance significantly for register-intensive, multithreaded programs."",""1558-2183"","""",""10.1109/71.798316"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=798316"","""",""Registers";Surface-mount technology;Hardware;Multithreading;Out of order;Operating systems;Lifting equipment;Microarchitecture;"Boosting"","""",""42"",""12"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Staggered consistent checkpointing,""N. H. Vaidya"",""The Department of Computer Science, A and M University, College Station, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""7"",""694"",""702"",""A consistent checkpointing algorithm saves a consistent view of a distributed application's state on stable storage. The traditional consistent checkpointing algorithms require different processes to save their state at about the same time. This causes contention for the stable storage, potentially resulting in large overheads. Staggering the checkpoints taken by various processes can reduce checkpoint overhead. This paper presents a simple approach to arbitrarily stagger the checkpoints. Our approach requires that the processes take consistent logical checkpoints, as compared to consistent physical checkpoints enforced by existing algorithms. Experimental results on nCube-2 are presented."",""1558-2183"","""",""10.1109/71.780864"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=780864"","""",""Checkpointing";Fault tolerance;Frequency;Degradation;Writing;"Communication system control"","""",""34"",""1"",""24"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;
"Subect index,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1337"",""1344"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1999.819954"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819954"","""","""","""",""1"","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;;;;;;;;;
"Synthesizing efficient out-of-core programs for block recursive algorithms using block-cyclic data distributions,""Zhiyong Li"; J. H. Reif;" S. K. S. Gupta"",""Network Computing Software Division, IBM Research, NC, USA"; Department of Computer Science, Duke University Medical Center, Durham, NC, USA;" Department of Computer Science, Colorado State University, Fort Collins, CO, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""297"",""315"",""In this paper, we present a framework for synthesizing I/O efficient out-of-core programs for block recursive algorithms, such as the fast Fourier transform (FFT) and block matrix transposition algorithms. Our framework uses an algebraic representation which is based on tensor products and other matrix operations. The programs are optimized for the striped Vitter and Shriver's two-level memory model in which data can be distributed using various cyclic(B) distributions in contrast to the normally used physical track distribution cyclic(B/sub d/), where B/sub d/ is the physical disk block size. We first introduce tensor bases to capture the semantics of block-cyclic data distributions of out-of-core data and also data access patterns to out-of-core data. We then present program generation techniques for tensor products and matrix transposition. We accurately represent the number of parallel I/O operations required for the synthesized programs for tensor products and matrix transposition as a function of tensor bases and data distributions. We introduce an algorithm to determine the data distribution which optimizes the performance of the synthesized programs. Further, we formalize the procedure of synthesizing efficient out-of-core programs for tensor product formulas with various block-cyclic distributions as a dynamic programming problem. We demonstrate the effectiveness of our approach through several examples. We show that the choice of an appropriate data distribution can reduce the number of passes to access out-of-core data by as large as eight times for a tensor product and the dynamic programming approach can largely reduce the number of passes to access out-of-core data for the overall tensor product formulas."",""1558-2183"","""",""10.1109/71.755830"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755830"","""",""Tensile stress";Dynamic programming;Fast Fourier transforms;Application software;Concurrent computing;Programmable logic arrays;Network synthesis;Communication networks;Costs;"Computer applications"","""",""2"","""",""23"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Task spreading and shrinking on multiprocessor systems and networks of workstations,""J. C. Jacob";" Soo-Young Lee"",""Jet Propulsion Laboratory, Pasadena, CA, USA";" Department of Electrical Engineering, Aubum University, Auburn, AL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""10"",""1082"",""1101"",""In this paper, we describe how our computational model can be used for the problems of processor allocation and task mapping. The intended applications for this model include the dynamic mapping problems of shrinking or spreading an existing mapping when the available pool of processors changes during execution of the problem. The concept of problem edge class and other features of our model are developed to realistically and efficiently support task partitioning and merging for static and dynamic mapping. The model dictates realistic changes in the computation and communication characteristics of a problem when the problem partitioning is modified dynamically. This model forms the basis of our algorithms for shrinking and spreading, and yields realistic results for a variety of problems mapped onto real systems. An emulation program running on a network of workstations under PVM is used to measure execution times for the mapping solutions found by the algorithms. The results indicate that the problem edge class is a crucial consideration for processor allocation and task mapping."",""1558-2183"","""",""10.1109/71.808157"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=808157"","""",""Multiprocessing systems";Workstations;Merging;Jacobian matrices;Load management;Distributed computing;Senior members;Computer networks;Computational modeling;"Partitioning algorithms"","""",""4"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"The LRPD test: speculative run-time parallelization of loops with privatization and reduction parallelization,""L. Rauchwerger";" D. A. Padua"",""Department of Computer Science, Texas A and M University, College Station, TX, USA";" Department of Computer Science, University of Illinois, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""2"",""160"",""180"",""Current parallelizing compilers cannot identify a significant fraction of parallelizable loops because they have complex or statically insufficiently defined access patterns. As parallelizable loops arise frequently in practice, we advocate a novel framework for their identification: speculatively execute the loop as a doall and apply a fully parallel data dependence test to determine if it had any cross-iteration dependences";" if the test fails, then the loop is reexecuted serially. Since, from our experience, a significant amount of the available parallelism in Fortran programs can be exploited by loops transformed through privatization and reduction parallelization, our methods can speculatively apply these transformations and then check their validity at run-time. Another important contribution of this paper is a novel method for reduction recognition which goes beyond syntactic pattern matching: it detects at run-time if the values stored in an array participate in a reduction operation, even if they are transferred through private variables and/or are affected by statically unpredictable control flow. We present experimental results on loops from the PERFECT Benchmarks, which substantiate our claim that these techniques can yield significant speedups which are often superior to those obtainable by inspector/executor methods."",""1558-2183"","""",""10.1109/71.752782"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=752782"","""",""Testing";Runtime;Privatization;Parallel processing;Circuit simulation;Computational modeling;Algorithm design and analysis;Computer science;Pattern recognition;"Pattern matching"","""",""170"",""14"",""50"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;
"The mesh with hybrid buses: an efficient parallel architecture for digital geometry,""R. Lin"; S. Olariu; J. L. Schwing;" B. . -F. Wang"",""Department of Computer Science, Suny Geneseo, Geneseo, NY, USA"; Department of Computer Science, Old Dominion University, Norfolk, VA, USA; Department of Computer Science, Central Washington University, Ellensburg, WA, USA;" Department of Computer Science, National Tsing Hua University, Hsinchu, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""266"",""280"",""The first main contribution of this work is to propose an efficient VLSI architecture obtained by augmenting the Mesh with Multiple Broadcasting (MMB) with precharged 1-bit row and column buses. The new architecture, which we call Mesh with Hybrid Buses (MHB for short), is realizable in VLSI with no increase in the area or the wiring complexity of the MMB chip. Our second main contribution is to show that the MHB is extremely well-suited for solving an entire slew of digital geometry tasks. The MHB is not a reconfigurable architecture. Yet, quite remarkably, for a large number of fundamental digital geometry tasks, the MHB offers a level of performance previously attained only by reconfigurable architectures. Specifically, with a digital image pretiled onto a MHB of size /spl radic/n/spl times//spl radic/n one pixel per processor, we show that the problems of computing the convex hull of the image, computing the diameter and the width of the image, deciding whether a set of digital points is a digital line, computing the maximum distance between two images, deciding whether two images are linearly separable, computing several moments and low-level descriptors of the image, including the perimeter, area, center, and median row of its convex hull, can be solved in O(log n) time. By contrast, the fastest possible algorithms for the problems above on the MMB run in /spl Theta/(n/sup 1/6/) time. Finally, we go on to show that, with minor changes, our algorithms can be implemented to run within cost-optimality on a MHB of size /spl radic/n/log n/spl times//spl radic/n/log n."",""1558-2183"","""",""10.1109/71.755826"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755826"","""",""Parallel architectures";Computer architecture;Very large scale integration;Computational geometry;Image processing;Computer vision;Pattern recognition;Wiring;Reconfigurable architectures;"Computer graphics"","""",""9"","""",""57"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"The timed asynchronous distributed system model,""F. Cristian";" C. Fetzer"",""Department of Computer Science, University of California, San Diego, La Jolla, CA, USA";" Department of Computer Science, University of California, San Diego, La Jolla, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""6"",""642"",""657"",""We propose a formal definition for the timed asynchronous distributed system model. We present extensive measurements of actual message and process scheduling delays and hardware clock drifts. These measurements confirm that this model adequately describes current distributed systems such as a network of workstations. We also give an explanation of why practically needed services, such as consensus or leader election, which are not implementable in the time-free model, are implementable in the timed asynchronous system model."",""1558-2183"","""",""10.1109/71.774912"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=774912"","""",""Computer crashes";Clocks;Frequency;Hardware;Nominations and elections;Delay;Current measurement;Workstations;Time measurement;"Redundancy"","""",""182"",""2"",""32"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Tight bounds for prefetching and buffer management algorithms for parallel I/O systems,""P. J. Varman";" R. M. Verma"",""Department of Electrical and Computer Engineering, Rice University, Houston, TX, USA";" Computer Science Department, University of Houston, Houston, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1262"",""1275"",""The I/O performance of applications in multiple-disk systems can be improved by overlapping disk accesses. This requires the use of appropriate prefetching and buffer management algorithms that ensure the most useful blocks are accessed and retained in the buffer. In this paper, we answer several fundamental questions on prefetching and buffer management for distributed-buffer parallel I/O systems. First, we derive and prove the optimality of an algorithm, P-min, that minimizes the number of parallel I/Os. Second, we analyze P-con, an algorithm that always matches its replacement decisions with those of the well-known demand-paged MIN algorithm. We show that P-con can become fully sequential in the worst case. Third, we investigate the behavior of on-line algorithms for multiple-disk prefetching and buffer management. We define and analyze P-Iru, a parallel version of the traditional LRU buffer management algorithm. Unexpectedly, we find that the competitive ratio of P-Iru is independent of the number of disks. Finally, we present the practical performance of these algorithms on randomly generated reference strings. These results confirm the conclusions derived from the analysis on worst case inputs."",""1558-2183"","""",""10.1109/71.819948"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819948"","""",""Prefetching";Network servers;Parallel processing;Algorithm design and analysis;Power system management;Delay;Technology management;Memory management;Computer architecture;"Multiprocessing systems"","""",""11"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Tighter bounds on full access probability in fault-tolerant multistage interconnection networks,""Suresh Rai";" Y. C. Oh"",""Department of Electrical and Computer Engineering, Louisiana State University, Baton Rouge, LA, USA";" Information and Telecommunications Business, Samsung Electronics Company Limited, Seoul, South Korea"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""3"",""328"",""335"",""This paper proposes a cut-based technique to compute bounds on the full access probability of an extra stage shuffle exchange network (ESEN) and a wrap-around inverse banyan network (WIBN). Note that the problem of finding an exact full access probability is known to be NP-hard. Our results obtain tighter bounds as compared to those using existing techniques. For a small size multistage interconnection network, it deviates less from the exact value. We also notice that our proposed lower bound is conservative. Further, the lower bound is important as it suggests that a network is at least this much reliable."",""1558-2183"","""",""10.1109/71.755833"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=755833"","""",""Intelligent networks";Fault tolerance;Multiprocessor interconnection networks;Computer networks;Broadcasting;Switches;Packet switching;Identity-based encryption;Computational modeling;"Concurrent computing"","""",""6"","""",""12"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Time-optimal gossip of large packets in noncombining 2D tori and meshes,""M. Soch";" P. Tvrdik"",""Department of Computer Science and Engineering, Czech Technical University, Czech Republic";" Department of Computer Science and Engineering, Czech Technical University, Czech Republic"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""12"",""1252"",""1261"",""The main results of this paper are algorithms for time-optimal gossip of large packets in noncombining full-duplex all-port 2-D tori and meshes of any size m/spl times/n. The gossip algorithms define the structure of broadcast trees and lock-step scheduling schemes for packets that make the broadcast trees time-are-disjoint. The gossip algorithm for tori is also buffer-optimal-it requires routers with auxiliary buffers for at most three packets. The gossip algorithm for meshes requires routers with auxiliary buffers for O(m+n) packets."",""1558-2183"","""",""10.1109/71.819947"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=819947"","""",""TV broadcasting";Processor scheduling;Two dimensional displays;Scheduling algorithm;Topology;Sorting;Computer architecture;Relays;Delay;"Packet switching"","""",""11"","""",""10"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;
"Trade-off between sequential and time warp-based parallel simulation,""F. Quaglia"; V. Cortellessa;" B. Ciciani"",""Dipartimento di Informatica e Sistemistica, Universita La Sapienza, Rome, Italy"; Dipartimento di Informatica Sistemi e Produzione, Università di Roma Tor Vergata, Rome, Italy;" Dipartimento di Informatica e Sistemistica, Universita La Sapienza, Rome, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""8"",""781"",""794"",""Discrete event simulation is a methodology to study the behavior of complex systems. Its drawback is that, in order to get reliable results, simulations usually have to be run over a long stretch of time. This time requirement could decrease through the usage of parallel or distributed computing systems. In this paper, we analyze the Time Warp synchronization protocol for parallel discrete event simulation and present an analytical model evaluating the upper bound on the completion time of a Time Warp simulation. In our analysis, we consider the case of a simulation model with homogeneous logical processes, where """"homogeneous"""" means they have the same average event routine time and the same state saving cost. Then we propose a methodology to determine when it is time-convenient to use a Time Warp synchronized simulation, instead of a sequential one, for a simulation model with features matching those considered in our analysis. We give an answer to this question without the need to preliminary generate the simulation code. Examples of methodology usage are reported for the case of both a synthetic benchmark and a real world model."",""1558-2183"","""",""10.1109/71.790597"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=790597"","""",""Time warp simulation";Discrete event simulation;Analytical models;Computational modeling;Computer simulation;Upper bound;Costs;Computer Society;Distributed computing;"Protocols"","""",""4"","""",""37"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;
"Tree-based parallel load-balancing methods for solution-adaptive finite element graphs on distributed memory multicomputers,""Ching-Jung Liao";" Yeh-Ching Chung"",""Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan";" Department of Information Engineering, Feng Chia University FCU, Taichung, Taiwan"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1999"",""10"",""4"",""360"",""370"",""To solve the load imbalance problem of a solution-adaptive finite element application program on a distributed memory multicomputer, nodes of a refined finite element graph can be remapped to processors or load of a refined finite element graph can be redistributed based on the current load of each processor. For the former case, remapping can be performed by some fast mapping algorithms. For the latter case, a load-balancing algorithm can be applied to balance the computational load of each processor. In this paper, three tree-based parallel load-balancing methods, the MCSTLB method, the BTLB method, and the CBTLB method, were proposed to deal with the load imbalance problems of solution-adaptive finite element application programs. To evaluate the performance of the proposed methods, we have implemented those methods along with three mapping methods, the AE/ORB method, the AE/MC method, and the MLkP method, on an SP2 parallel machine. Three criteria, the execution time of mapping/load-balancing methods, the execution time of a solution-adaptive finite element application program under different mapping/load-balancing methods, and the speedups achieved by mapping/load-balancing methods for a solution-adaptive finite element application program, are used for the performance evaluation. The experimental results show that 1) if the initial mapping is performed by a mapping method and the same mapping method and load-balancing methods were used in each refinement to balance the load of processors, the execution time of an application program under a load-balancing method is always shorter than that of the mapping method, and 2) the execution time of an application program under the CBTLB method is shorter than that of the BTLB method and the MCSTLB method."",""1558-2183"","""",""10.1109/71.762816"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=762816"","""",""Tree graphs";Finite element methods;Load management;Distributed computing;Partitioning algorithms;Computer Society;Application software;Parallel machines;"Equations"","""",""10"",""1"",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;
