"A class of multistage conference switching networks for group communication,""Y. Yang";" J. Wang"",""Department of Electrical and Computer Engineering, State University of New York, Stony Brook, NY, USA";" East Isle Technologies, Inc., Setauket, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""228"",""243"",""There is a growing demand for network support for group applications, in which messages from one or more sender(s) are delivered to a large number of receivers. Here, we propose a network architecture for supporting a fundamental type of group communication, conferencing. A conference refers to a group of members in a network who communicate with each other within the group. We consider adopting a class of multistage networks, such as a baseline, an omega, or an indirect binary cube network, composed of switch modules with fan-in and fan-out capability for a conference network which supports multiple disjoint conferences. The key issue in designing a conference network is to determine the multiplicity of routing conflicts, which is the maximum number of conflict parties competing a single interstage link when multiple disjoint conferences simultaneously present in the network. Our results show that, for a network of size n /spl times/ n, the multiplicities of routing conflicts are small constants (between 2 and 4) for an omega network or an indirect binary cube network";" while it can be as large as /spl radic/n/q + 1 for a baseline network, where q is the minimum allowable conference size. Thus, our design for conference networks is based on an omega network or an indirect binary cube network. We also develop fast self-routing algorithms for setting up routing paths in the newly designed conference networks. As can be seen, such an n /spl times/ n conference network has O(logn) routing time and communication delay and O(nlogn) hardware cost. The conference networks are superior to existing designs in terms of routing complexity, communication delay and hardware cost. The conference network proposed is rearrangeably nonblocking in general, and is strictly nonblocking under some conference service policy. It can be used in applications that require efficient or real-time group communication."",""1558-2183"","""",""10.1109/TPDS.2004.1264808"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264808"","""",""Communication switching";Routing;Application software;Switches;Hardware;Costs;Collaboration;Computer Society;Computer architecture;"Algorithm design and analysis"","""",""12"","""",""22"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;
"QoS in InfiniBand subnetworks,""F. J. Alfaro"; J. L. Sanchez;" J. Duato"",""Departmento de Informática, Escuela Politécnica Superior, Universidad de Castilla La Mancha, Albacete, Spain"; Departmento de Informática, Escuela Politécnica Superior, Universidad de Castilla La Mancha, Albacete, Spain;" Departmento de Informàtica, Sistemas y Computadores, Universidad Politécnica de Valencia, Valencia, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""9"",""810"",""823"",""The InfiniBand architecture (IBA) has been proposed as an industry standard both for communication between processing nodes and I/O devices and for interprocessor communication. It replaces the traditional bus-based interconnect with a switch-based network for connecting processing nodes and I/O devices. It is being developed by the InfiniBand/sup SM/ Trade Association (IBTA) in the aim to provide the levels of reliability, availability, performance, scalability, and quality of service (QoS) required by present and future server systems. For this purpose, IBA provides a series of mechanisms that are able to guarantee QoS to the applications. In previous papers, we have proposed a strategy to compute the InfiniBand arbitration tables. In one of these, we presented and evaluated our proposal to treat traffic with bandwidth requirements. In another, we evaluated our strategy to compute the InfiniBand arbitration tables for traffic with delay requirements, which is a more complex task. In this paper, we evaluate both these proposals together. Furthermore, we also adapt these proposals in order to treat VBR traffic without QoS guarantees, but achieving very good results. Performance results show that, with a correct treatment of each traffic class in the arbitration of the output port, all traffic classes reach their QoS requirements."",""1558-2183"","""",""10.1109/TPDS.2004.46"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333652"",""InfiniBand";QoS;clusters;arbitration;"performance."",""Quality of service";Proposals;Communication industry;Communication standards;Communication switching;Joining processes;Samarium;Telecommunication network reliability;Availability;"Scalability"","""",""37"",""5"",""16"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Quasidynamic layout optimizations for improving data locality,""I. Kadayif";" M. Kandemir"",""Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""996"",""1011"",""Compiler-directed locality optimization techniques are effective in reducing the number of cycles spent in off-chip memory accesses. Recently, methods have been developed that transform memory layouts of data structures at compile-time to improve spatial locality of nested loops beyond current control-centric (loop nest-based) optimizations. Most of these data-centric transformations use a single static (program-wide) memory layout for each array. A disadvantage of these static layout-based locality enhancement strategies is that they might fail to optimize codes that manipulate arrays, which demand different layouts in different parts of the code. We introduce a new approach, which extends current static layout optimization techniques by associating different memory layouts with the same array in different parts of the code. We call this strategy """"quasidynamic layout optimization."""" In this strategy, the compiler determines memory layouts (for different parts of the code) at compile time, but layout conversions occur at runtime. We show that the possibility of dynamically changing memory layouts during the course of execution adds a new dimension to the data locality optimization problem. Our strategy employs a static layout optimizer module as a building block and, by repeatedly invoking it for different parts of the code, it checks whether runtime layout modifications bring additional benefits beyond static optimization. Our experiments indicate significant improvements in execution time over static layout-based locality enhancing techniques."",""1558-2183"","""",""10.1109/TPDS.2004.70"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339250"",""Optimizing compilers";data locality;dynamic optimization;"array-intensive computations."",""Optimizing compilers";Multidimensional systems;Runtime;Data structures;Optimization methods;Dynamic compiler;Computer architecture;Matrices;"Aerospace industry"","""",""3"",""2"",""55"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;
"Register constrained modulo scheduling,""J. Zalamea"; J. Llosa; E. Ayguade;" M. Valero"",""Department dArquitectura de Computadors (UPC), Universitat Poliltècnica de Catalunya, Barcelona, Spain"; Department dArquitectura de Computadors (UPC), Universitat Poliltècnica de Catalunya, Barcelona, Spain; Department dArquitectura de Computadors (UPC), Universitat Poliltècnica de Catalunya, Barcelona, Spain;" Department dArquitectura de Computadors (UPC), Universitat Poliltècnica de Catalunya, Barcelona, Spain"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""417"",""430"",""Software pipelining is an instruction scheduling technique that exploits the instruction level parallelism (ILP) available in loops by overlapping operations from various successive loop iterations. The main drawback of aggressive software pipelining techniques is their high register requirements. If the requirements exceed the number of registers available in the target architecture, some steps need to be applied to reduce the register pressure (incurring some performance degradation): reduce iteration overlapping or spilling some lifetimes to memory. In the first part, we propose a set of heuristics to improve the spilling process and to better decide between adding spill code or directly decreasing the execution rate of iterations. The experimental evaluation, over a large number of representative loops and for a processor configuration, reports an increase in performance by a factor of 1.29 and a reduction of memory traffic by a factor of 1.36. In the second part, we analyze the use of backtracking and propose a novel approach for simultaneous instruction scheduling and register spilling in modulo scheduling: MIPS (modulo scheduling with integrated register spilling). The experimental evaluation reports an increase in performance by a factor of 1.46 and a reduction of the memory traffic by a factor of 1.66 (or an additional 1.13 and 1.22 with regard to the proposal in the first part). These improvements are achieved at the expense of a reasonable increase in the compilation time."",""1558-2183"","""",""10.1109/TPDS.2004.1278099"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278099"","""",""Registers";Pipeline processing;Processor scheduling;Computer architecture;Degradation;Proposals;Application software;Software algorithms;Scheduling algorithm;"Production"","""",""11"",""3"",""36"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Resource policing to support fine-grain cycle stealing in networks of workstations,""K. D. Ryu";" J. K. Hollingsworth"",""Computer Science and Engineering Department, Arizona State University, Tempe, AZ, USA";" Computer Science Department, University of Maryland, College Park, MD, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Aug 2004"",""2004"",""15"",""10"",""878"",""892"",""We present the design, implementation, and performance evaluation of a suite of resource policing mechanisms that allow guest processes to efficiently and unobtrusively exploit otherwise idle workstation resources. Unlike traditional policies that harvest cycles only from unused machines, we employ fine-grained cycle stealing to exploit resources even from machines that have active users. We developed a suite of kernel extensions that enable these policies to operate without significantly impacting host processes: 1) a new starvation-level CPU priority for guest jobs, 2) a new page replacement policy that imposes hard bounds on physical memory usage by guest processes, and 3) a new I/O scheduling mechanism called rate windows that throttle guest processes' usage of I/O and network bandwidth. We evaluate both the individual impacts of each mechanism, and their utility for our fine-grain cycle stealing."",""1558-2183"","""",""10.1109/TPDS.2004.58"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1327593"",""Grid computing";cluster computing;networks of workstations;parallel computing;resource scheduling;"cycle stealing."",""Intelligent networks";Workstations;Processor scheduling;Kernel;Bandwidth;Computer networks;Concurrent computing;Grid computing;Application software;"Computer Society"","""",""9"",""10"",""35"",""IEEE"",""30 Aug 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Response to ""Comment on 'A Novel Data Distribution Technique for Host-Client Type Parallel Applications"",""N. Comino";" V. L. Narasimhan"",""Discipline of Computer Science and Software Engineering, University of Newcastle, Callaghan, Australia";" Dept. of Comput. Sci. & Software Eng., Newcastle Univ., Callaghan, NSW, Australia"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""576"","""",""Our rebuttal statement is in two parts. A. Generic rebuttal: the area of scheduling is very active with more than 3,000 papers published over this decade alone in good journals. In addition, Krishna and Shin note, in 1997 itself, that the number of papers in the area seems to have increased exponentially since 1970. As a consequence, it is rather difficult to get a handle on all of them.. The records indicate that several aspects of our work appear to be very contemporary to the works of some of the other's work cited by the author. This goes to show that more than one person can have the similar approach to solving similar problems. B. Technical rebuttal: the work quoted by Sohn et al. (1998) deals with the analysis of heterogeneous CPUs. In particular, with the analysis of minimizing the cost (as in $) by selecting the lowest selection of CPUs available that will finish a job in a given time frame. They also analyze the minimum time as well for a given selection of CPUs. Their timeline shows all processes finishing at the same time and does not take into account applications that transfer result data, which our paper does."",""1558-2183"","""",""10.1109/TPDS.2004.12"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291826"","""",""Libraries";Finishing;Australia;Costs;Genetic algorithms;Books;Differential equations;Data compression;Transform coding;"Scalability"","""","""","""",""17"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Runtime optimization of IEEE 802.11 wireless LANs performance,""L. Bononi"; M. Conti;" E. Gregori"",""Department of Computer Science, University of Bologna, Bologna, Italy"; IIT Institute, National Research Council, Pisa, Italy;" IIT Institute, National Research Council, Pisa, Italy"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""1"",""66"",""80"",""IEEE 802.11 is the standard for wireless local area networks (WLANs) promoted by the Institute of Electrical and Electronics Engineers. Wireless technologies in the LAN environment are becoming increasingly important and the IEEE 802.11 is the most mature technology to date. Previous works have pointed out that the standard protocol can be very inefficient and that an appropriate tuning of its congestion control mechanism (i.e., the backoff algorithm) can drive the IEEE 802.11 protocol close to its optimal behavior. To perform this tuning, a station must have exact knowledge of the network contention level";" unfortunately, in a real case, a station cannot have exact knowledge of the network contention level (i.e., number of active stations and length of the message transmitted on the channel), but it, at most, can estimate it. We present and evaluate a distributed mechanism for contention control in IEEE 802.11 wireless LANs. Our mechanism, named asymptotically optimal backoff (AOB), dynamically adapts the backoff window size to the current network contention level and guarantees that an IEEE 802.11 WLAN asymptotically achieves its optimal channel utilization. The AOB mechanism measures the network contention level by using two simple estimates: the slot utilization and the average size of transmitted frames. These estimates are simple and can be obtained by exploiting information that is already available in the standard protocol. AOB can be used to extend the standard 802.11 access mechanism without requiring any additional hardware. The performance of the IEEE 802.11 protocol, with and without the AOB mechanism, is investigated through simulation. Simulation results indicate that our mechanism is very effective, robust, and has traffic differentiation potentialities."",""1558-2183"","""",""10.1109/TPDS.2004.1264787"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264787"","""",""Runtime";Wireless LAN;Local area networks;Access protocols;Media Access Protocol;Computational modeling;Robustness;Portable computers;Physical layer;"Multiaccess communication"","""",""140"",""3"",""64"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Scalable and efficient parallel algorithms for Euclidean distance transform on the LARPBS model,""Ling Chen"; Y. Pan;" Xiao-hua Xu"",""Dept. of Comput. Sci., Yangzhou Univ., China"; NA;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 Oct 2004"",""2004"",""15"",""11"",""975"",""982"",""A parallel algorithm for Euclidean distance transform (EDT) on linear array with reconfigurable pipeline bus system (LARPBS) is presented. For an image with n/spl times/n pixels, the algorithm can complete EDT transform in O(n log n/c(n) log d(n)) time using n/spl middot/d(n)/spl middot/c(n) processors, where c(n) and d(n) are parameters satisfying 1/spl les/c(n)/spl les/n, and 1<d(n)/spl les/n, respectively. By selecting different c(n) and d(n), the time complexity and the number of processors used can be adjusted. This makes the algorithm highly scalable and flexible. The algorithm also provides a general framework for EDT algorithms on LARPBS, and many existing and unknown parallel EDT algorithms can be deduced from this framework. In particular, if we let c(n)=n, d(n)=n/sup /spl epsiv//, the algorithm can be completed in O(1) time using n/sup 2+/spl epsiv// processors. To the best of our knowledge, this is the most efficient constant-time EDT algorithm on LARPBS."",""1558-2183"","""",""10.1109/TPDS.2004.71"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1339248"",""Distance transform";parallel algorithm;"image processing."",""Parallel algorithms";Euclidean distance;Pixel;Phase change random access memory;Computer science;Image processing;Optical arrays;Computer Society;Pipelines;"Image analysis"","""",""8"","""",""14"",""IEEE"",""4 Oct 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Scheduling divisible loads on heterogeneous linear daisy chain networks with arbitrary processor release times,""B. Veeravalli";" Wong Han Min"",""Department of Electrical and Computer Engineering National University of Singapore, Singapore, Singapore";" Department of Electrical and Computer Engineering National University of Singapore, Singapore"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""3"",""273"",""288"",""The problem of distributing and processing a divisible load in a heterogeneous linear network of processors with arbitrary processors release times is considered. A divisible load is very large in size and has computationally intensive CPU requirements. Further, it has the property that the load can be partitioned arbitrarily into any number of portions and can be scheduled onto processors independently for computation. The load is assumed to arrive at one of the farthest end processors, referred to as boundary processors, for processing. The processors in the network are assumed to have nonzero release times, i.e., the time instants from which the processors are available for processing the divisible load. Our objective is to design a load distribution strategy by taking into account the release times of the processors in such a way that the entire processing time of the load is a minimum. We consider two generic cases in which all processors have identical release times and when all processors have arbitrary release times. We adopt both the single and multiinstallment strategies proposed in the divisible load scheduling literature in our design of load distribution strategies, wherever necessary, to achieve a minimum processing time. Finally, when optimal strategies cannot be realized, we propose two heuristic strategies, one for the identical case, and the other for nonidentical release times case, respectively. Several conditions are derived to determine whether or not optimal load distribution exists and illustrative examples are provided for the ease of understanding."",""1558-2183"","""",""10.1109/TPDS.2004.1264811"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264811"","""",""Processor scheduling";Computer networks;Biology computing;Distribution strategy;Large-scale systems;Biological system modeling;Computational modeling;Control system synthesis;Communication system control;"Biological control systems"","""",""32"","""",""24"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Scheduling strategies for master-slave tasking on heterogeneous processor platforms,""C. Banino"; O. Beaumont; L. Carter; J. Ferrante; A. Legrand;" Y. Robert"",""LaboratoryRI, UMR CNRS 5800, Domaine Universitaire, Talence, France"; LaboratoryRI, UMR CNRS 5800, Domaine Universitaire, Talence, France; Computer Science Department, University of California, San Diego, CA, USA; Computer Science Department, University of California, San Diego, CA, USA; LIP, UMR CNRS-ENS Lyon-INRIA 5668, École Normale Supérieure de Lyon, Lyon, France;" LIP, UMR CNRS-ENS Lyon-INRIA 5668, École Normale Supérieure de Lyon, Lyon, France"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Mar 2004"",""2004"",""15"",""4"",""319"",""330"",""We consider the problem of allocating a large number of independent, equal-sized tasks to a heterogeneous computing platform. We use a nonoriented graph to model the platform, where resources can have different speeds of computation and communication. Because the number of tasks is large, we focus on the question of determining the optimal steady state scheduling strategy for each processor (the fraction of time spent computing and the fraction of time spent communicating with each neighbor). In contrast to minimizing the total execution time, which is NP-hard in most formulations, we show that finding the optimal steady state can be solved using a linear programming approach and, thus, in polynomial time. Our result holds for a quite general framework, allowing for cycles and multiple paths in the interconnection graph, and allowing for several masters. We also consider the simpler case where the platform is a tree. While this case can also be solved via linear programming, we show how to derive a closed-form formula to compute the optimal steady state, which gives rise to a bandwidth-centric scheduling strategy. The advantage of this approach is that it can directly support autonomous task scheduling based only on information local to each node";" no global information is needed. Finally, we provide a theoretical comparison of the computing power of tree-based versus arbitrary platforms."",""1558-2183"","""",""10.1109/TPDS.2004.1271181"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1271181"","""",""Processor scheduling";Master-slave;Steady-state;Linear programming;Polynomials;Distributed computing;Grid computing;Tree graphs;Mesh generation;"Collaborative work"","""",""122"","""",""22"",""IEEE"",""8 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;
"Second-level buffer cache management,""Y. Zhou"; Z. Chen;" K. Li"",""Department of Computer Science, University of Illinois, Urbana-Champaign, IL, USA"; Department of Computer Science, University of Illinois, Urbana-Champaign, IL, USA;" Department of Computer Science, Princeton University, Princeton, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""4 May 2004"",""2004"",""15"",""6"",""505"",""519"",""Buffer caches are commonly used in servers to reduce the number of slow disk accesses or network messages. These buffer caches form a multilevel buffer cache hierarchy. In such a hierarchy, second-level buffer caches have different access patterns from first-level buffer caches because accesses to a second-level are actually misses from a first-level. Therefore, commonly used cache management algorithms such as the least recently used (LRU) replacement algorithm that work well for single-level buffer caches may not work well for second-level. We investigate multiple approaches to effectively manage second-level buffer caches. In particular, we report our research results in 1) second-level buffer cache access pattern characterization, 2) a new local algorithm called multi-queue (MQ) that performs better than nine tested alternative algorithms for second-level buffer caches, 3) a set of global algorithms that manage a multilevel buffer cache hierarchy globally and significantly improve second-level buffer cache hit ratios over corresponding local algorithms, and 4) implementation and evaluation of these algorithms in a real storage system connected with commercial database servers (Microsoft SQL server and Oracle) running industrial-strength online transaction processing benchmarks."",""1558-2183"","""",""10.1109/TPDS.2004.13"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291820"",""Cache memories";storage hierarchy;"storage management."",""Buffer storage";File servers;Cache storage;Aggregates;Network servers;Performance evaluation;System testing;Transaction databases;Memory management;"Bridges"","""",""84"",""16"",""51"",""IEEE"",""4 May 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Secure group communication using robust contributory key agreement,""Y. Amir"; Y. Kim; C. Nita-Rotaru; J. L. Schultz; J. Stanton;" G. Tsudik"",""Department of Computer Science, 224 NEB, Johns Hopkins University, Baltimore, MD, USA"; Computer Science and Engineering Department, University of Minnesota, Minneapolis, MN, USA; Department of Computer Science, Purdue University, West Lafayette, IN, USA; Baltimore, MD, USA; Department of Computer Science, George Washington University, Washington D.C., DC, USA;" ICS Department, University of California, Irvine, Irvine, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Mar 2004"",""2004"",""15"",""5"",""468"",""480"",""Contributory group key agreement protocols generate group keys based on contributions of all group members. Particularly appropriate for relatively small collaborative peer groups, these protocols are resilient to many types of attacks. Unlike most group key distribution protocols, contributory group key agreement protocols offer strong security properties such as key independence and perfect forward secrecy. We present the first robust contributory key agreement protocol resilient to any sequence of group changes. The protocol, based on the Group Diffie-Hellman contributory key agreement, uses the services of a group communication system supporting virtual synchrony semantics. We prove that it provides both virtual synchrony and the security properties of Group Diffie-Hellman, in the presence of any sequence of (potentially cascading) node failures, recoveries, network partitions, and heals. We implemented a secure group communication service, Secure Spread, based on our robust key agreement protocol and Spread group communication system. To illustrate its practicality, we compare the costs of establishing a secure group with the proposed protocol and a protocol based on centralized group key management, adapted to offer equivalent security properties."",""1558-2183"","""",""10.1109/TPDS.2004.1278104"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1278104"","""",""Robustness";Collaboration;Communication system security;Cryptographic protocols;Computer Society;Protection;Telecommunication network reliability;Data security;Network servers;"Power system faults"","""",""73"",""2"",""49"",""IEEE"",""30 Mar 2004"","""","""",""IEEE"",""IEEE Journals""";;;
"Sharc: managing CPU and network bandwidth in shared clusters,""Bhuvan Urgaonkar";" Prashant Shenoy"",""Department of Computer Science, University of Massachusetts, Amherst, Amherst, MA, USA";" Department of Computer Science, University of Massachusetts, Amherst, Amherst, MA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""19 Feb 2004"",""2004"",""15"",""1"",""2"",""17"",""We argue the need for effective resource management mechanisms for sharing resources in commodity clusters. To address this issue, we present the design of Sharc-a system that enables resource sharing among applications in such clusters. Sharc depends on single node resource management mechanisms such as reservations or shares, and extends the benefits of such mechanisms to clustered environments. We present techniques for managing two important resources-CPU and network interface bandwidth-on a cluster-wide basis. Our techniques allow Sharc to 1) support reservation of CPU and network interface bandwidth for distributed applications, 2) dynamically allocate resources based on past usage, and 3) provide performance isolation to applications. Our experimental evaluation has shown that Sharc can scale to 256 node clusters running 100,000 applications. These results demonstrate that Sharc can be an effective approach for sharing resources among competing applications in moderate size clusters."",""1558-2183"","""",""10.1109/TPDS.2004.1264781"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264781"","""",""Bandwidth";Intelligent networks;Resource management;Network interfaces;Hardware;Network servers;Operating systems;Availability;Costs;"Linux"","""",""47"",""12"",""34"",""IEEE"",""19 Feb 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;
"Soft real-time communication over ethernet with adaptive traffic smoothing,""Seok-Kyu Kweon"; M. . -G. Cho;" K. G. Shin"",""Network Team, Samsung Electronics Company Limited, Suwon, Gyeonggi, South Korea"; Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA;" Real-Time Computing Laboratory, Department of Electrical Engineering and Computer Science, University of Michigan, Ann Arbor, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""30 Aug 2004"",""2004"",""15"",""10"",""946"",""959"",""Due to the low price and robustness resulting from its wide acceptance and deployment, Ethernet has become an attractive candidate for real-time control networks. However, it is difficult to build a real-time control network using the standard Ethernet because the Ethernet MAC protocol-1-persistent CSMA/CD protocol-may cause unpredictable access delay. When both real-time and nonreal-time packets are concurrently transported over an ordinary Ethernet, real-time (RT) packets from a node may experience a large delay due to 1) contention with nonRT packets in the local node where they originate and 2) collision with RT and nonRT packets from the other nodes. To resolve this problem, we design, implement, and evaluate an adaptive traffic smoother. Specifically, we design two adaptive traffic smoothers, one at the kernel level and the other at the user level. The kernel-level traffic smoother is installed between the IP layer and the Ethernet MAC layer for better performance, and the user-level traffic smoother is installed on top of the transport layer for better portability. The kernel-level traffic smoother first gives RT packets priority over nonRT packets in order to eliminate contention within the local node. Second, it smoothes nonRT traffic so as to reduce collision with RT packets from the other nodes. This traffic smoothing can dramatically decrease the packet-collision probability on the network. The traffic smoother, installed at each node, regulates the node's outgoing nonRT traffic to maintain a certain rate. In order to provide a reasonable nonRT throughput while providing probabilistic delay guarantees for RT traffic, the nonRT traffic-generation rate is allowed to adapt itself to the underlying network load condition. Our implementation of the traffic smoother requires only a minimal change in the OS kernel without any modification to the current standard of Ethernet MAC protocol or the TCP or UDP/IP stack. The traffic smoother has been implemented on the Linux OS and is shown to reduce the RT message deadline-miss ratio up to two orders of magnitude under a heavily loaded condition, while the nonRT throughput drops only by half. For better portability, we also implemented and evaluated a user-level traffic smoother on top of the transport layer. Moreover, we emulate a switch using a kernel-level traffic smoother to evaluate the performance of traffic smoother in a switched Ethernet environment that can scale to a large control network."",""1558-2183"","""",""10.1109/TPDS.2004.59"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1327598"",""1-persistent CSMA/CD";Ethernet;real-time communication;"traffic smoothing."",""Ethernet networks";Smoothing methods;Telecommunication traffic;Communication system traffic control;Communication system control;Media Access Protocol;Road accidents;Kernel;Throughput;"Switches"","""",""16"",""3"",""15"",""IEEE"",""30 Aug 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Space and time optimal parallel sequence alignments,""S. Rajko";" S. Aluru"",""Department of Computer Science, Arizona State University, Tempe, AZ, USA";" Department of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""8 Nov 2004"",""2004"",""15"",""12"",""1070"",""1081"",""We present the first space and time optimal parallel algorithm for the pairwise sequence alignment problem, a fundamental problem in computational biology. This problem can be solved sequentially in O(mn) time and O(m+n) space, where m and n are the lengths of the sequences to be aligned. The fastest known parallel space-optimal algorithm for pairwise sequence alignment takes optimal O(m+n/p) space, but suboptimal O((m+n)/sup 2//p) time, where p is the number of processors. On the other hand, the most space economical time-optimal parallel algorithm takes O(mn/p) time, but O(m+n/p) space. We close this gap by presenting an algorithm that achieves both time and space optimality, i.e. requires only O((m+n)/p) space and O(mn/p) time. We also present an experimental evaluation of the proposed algorithm on an IBM xSeries cluster. Although presented in the context of full sequence alignments, our algorithm is applicable to other alignment problems in computational biology including local alignments and syntenic alignments. It is also a useful addition to the range of techniques available for parallel dynamic programming."",""1558-2183"","""",""10.1109/TPDS.2004.86"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1353240"",""Computational biology";sequence alignments;space-efficient;parallel algorithms;"parallel dynamic programming."",""Sequences";Parallel algorithms;Computational biology;Clustering algorithms;Dynamic programming;Concurrent computing;Runtime;Heuristic algorithms;Read-write memory;"Biological system modeling"","""",""59"","""",""22"",""IEEE"",""8 Nov 2004"","""","""",""IEEE"",""IEEE Journals""";;;;;;;
"Studying energy trade offs in offloading computation/compilation in Java-enabled mobile devices,""G. Chen"; B. . -T. Kang; M. Kandemir; N. Vijaykrishnan; M. J. Irwin;" R. Chandramouli"",""Microsystems Design Laboratory, Pennsylvania State University, University Park, PA, USA"; Microsystems Design Laboratory, Pennsylvania State University, University Park, PA, USA; Microsystems Design Laboratory, Pennsylvania State University, University Park, PA, USA; Microsystems Design Laboratory, Pennsylvania State University, University Park, PA, USA; Microsystems Design Laboratory, Pennsylvania State University, University Park, PA, USA;" Department of Electrical and Computer Engineering, Stevens Institute of Technology, Hoboken, NJ, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""13 Sep 2004"",""2004"",""15"",""9"",""795"",""809"",""Java-enabled wireless devices are preferred for various reasons. For example, users can dynamically download Java applications on demand. The dynamic download capability supports extensibility of the mobile client features and centralizes application maintenance at the server. Also, it enables service providers to customize features for the clients. In this work, we extend this client-server collaboration further by offloading some of the computations (i.e., method execution and dynamic compilation) normally performed by the mobile client to the resource-rich server in order to conserve energy consumed by the client in a wireless Java environment. In the proposed framework, the object serialization feature of Java is used to allow offloading of both method execution and bytecode-to-native code compilation to the server when executing a Java application. Our framework takes into account communication, computation, and compilation energies to decide where to compile and execute a method (locally or remotely), and how to execute it (using interpretation or just-in-time compilation with different levels of optimizations). As both computation and communication energies vary based on external conditions (such as the wireless channel state and user supplied inputs), our decision must be done dynamically when a method is invoked. Our experiments, using a set of Java applications executed on a simulation framework, reveal that the proposed techniques are very effective in conserving the energy of the mobile client."",""1558-2183"","""",""10.1109/TPDS.2004.47"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1333651"",""Client/server";Java;"runtime environment."",""Java";Mobile computing;Communication system security;Batteries;Energy consumption;Mobile handsets;Collaborative work;Dynamic compiler;Optimization methods;"Computational modeling"","""",""91"",""10"",""32"",""IEEE"",""13 Sep 2004"","""","""",""IEEE"",""IEEE Journals""";
