"1996 Index IEEE Transactions on Parallel and Distributed Systems vol. 7,"""",,""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""12"",""1"",""11"",""This index covers all technical items - papers, correspondence, reviews, etc. - that appeared in this periodical during the year, and items from previous years that were commented upon or corrected in this year. Departments and other items may also be covered if they have been judged to have archival value. The Author Index contains the primary entry for each item, listed under the first author's name. The primary entry includes the co-authors' names, the title of the paper or other item, and its location, specified by the publication abbreviation, year, month, and inclusive pagination. The Subject Index contains entries describing the item under all appropriate subject headings, plus the first author's name, the publication abbreviation, month, and year, and inclusive pages. Note that the item title is found only under the primary entry in the Author Index."",""1558-2183"","""",""10.1109/TPDS.1996.553313"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=553313"","""","""","""","""","""","""",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;;;;;;;;;;
"A broadcast algorithm for all-port wormhole-routed torus networks,""Yih-Jia Tsai";" P. K. McKinley"",""Department of Computer Science, Michigan State University, East Lansing, MI, USA";" Department of Computer Science, Michigan State University, East Lansing, MI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""876"",""885"",""A new approach to broadcast in wormhole-routed two- and three-dimensional torus networks is proposed. The underlying network is assumed to support only deterministic, dimension-ordered unicast routing. The approach extends the graph theoretical concept of dominating nodes by accounting for the relative distance-insensitivity of the wormhole routing switching strategy. The proposed algorithm also takes advantage of an all-port communication architecture, which allows each node to simultaneously transmit messages on different outgoing channels. The resulting broadcast operation is based on a tree structure that uses multiple levels of extended dominating nodes(EDNs). Performance results are presented that confirm the advantage of this method over other approaches."",""1558-2183"","""",""10.1109/71.532118"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532118"","""",""Broadcasting";Unicast;Routing;Concurrent computing;Network topology;Communication switching;Tree data structures;Computer networks;Distributed computing;"Message passing"","""",""31"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Optimal layouts of midimew networks,""F. C. M. Lau";" Guihai Chen"",""Department of Computer Science, University of Hong Kong, Hong Kong, China";" Department of Computer Science, University of Hong Kong, Hong Kong, China"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""9"",""954"",""961"",""Midimew networks are mesh-connected networks derived from a subset of degree-4 circulant graphs. They have minimum diameter and average distance among all degree-4 circulant graphs, and are better than some of the most common topologies for parallel computers in terms of various cost measures. Among the many midimew networks, the rectangular ones appear to be most suitable for practical implementation. Unfortunately, with the normal way of laying out these networks on a 2D plane, long cross wires that grow with the size of the network exist. In this paper, we propose ways to lay out rectangular midimew networks in a 2D grid so that the length of the longest wire is at most a small constant. We prove that these constants are optimal under the assumption that rows and columns are moved as a whole during the layout process."",""1558-2183"","""",""10.1109/71.536939"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=536939"","""",""Wire";Concurrent computing;Multiprocessor interconnection networks;Computer networks;Very large scale integration;Network topology;Costs;Embedded computing;High performance computing;"Parallel processing"","""",""13"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Optimal simulation of linear multiprocessor architectures on multiply-twisted cube using generalized Gray Codes,""S. Q. Zheng";" S. Latifi"",""Department of Computer Science, Louisiana State University, Baton Rouge, LA, USA";" Department of Electrical and Computer Engineering, University of Nevada, Las Vegas, NV, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""612"",""619"",""We consider the problem of simulating linear arrays and rings on the multiply twisted cube. We introduce a new concept, the reflected link label sequence, and use it to define a generalized Gray Code (GGC). We show that GGCs can be easily used to identify Hamiltonian paths and cycles in the multiply twisted cube. We also give a method for embedding a ring of arbitrary number of nodes into the multiply twisted cube."",""1558-2183"","""",""10.1109/71.506700"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506700"","""",""Computational modeling";Hypercubes;Tree graphs;Multiprocessor interconnection networks;Computer architecture;Data communication;Sorting;Switches;Computer science;"Fault tolerance"","""",""28"","""",""13"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Optimal synthesis of algorithm-specific lower-dimensional processor arrays,""K. N. Ganapathy";" B. W. Wah"",""Telecommunications Division, Rockwell International, Newport Beach, CA, USA";" Department of Electrical and Computer Engineering and the Coordinated Science Laboratory, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""3"",""274"",""287"",""Processor arrays are frequently used to deliver high performance in many applications with computationally intensive operations. This paper presents the general parameter method (GPM), a systematic parameter-based approach for synthesizing such algorithm-specific architectures. GPM can synthesize processor arrays of any lower dimension from a uniform-recurrence description of the algorithm. The design objective is a general nonlinear and nonmonotonic user-specified function, and depends on attributes such as computation time of the recurrence on the processor array, completion time, load time, and drain time. In addition, bounds on some or all of these attributes can be specified. GPM performs an efficient search of polynomial complexity to find the optimal design satisfying the user-specified design constraints. As an illustration, we show how GPM can be used to find optimal linear processor arrays for computing transitive closures. We consider design objectives that minimize computation time, or processor count, or completion time (including load and drain times), and user-specified constraints on number of processing elements and/or computation/completion times. We show that GPM can be used to obtain optimal designs that trade between number of processing elements and completion time, thereby allowing the designer to choose a design that best meets the specified design objectives. We also show the equivalence between the model assumed in GPM and that in the popular dependence-based methods. Consequently, GPM can be used to find optimal designs for both models."",""1558-2183"","""",""10.1109/71.491581"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=491581"","""",""Computer applications";Computer architecture;Polynomials;High performance computing;Time factors;Process design;Systolic arrays;"Very large scale integration"","""",""14"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;;;
"Packet synchronization for synchronous optical deflection-routed interconnection networks,""J. R. Feehrer";" L. H. Ramfelt"",""Hewlett Packard Company, Fort Collins, CO, USA";" Department of Teleinformatics, Royal Institute of Technology in Sweden, KTHITeIeinformatik, Electrum, Kista, Sweden"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""605"",""611"",""Deflection routing resolves output port contention in packet switched multiprocessor interconnection networks by granting the preferred port to the highest priority packet and directing contending packets out other ports. When combined with optical links and switches, deflection routing yields simple bufferless nodes, high bit rates, scalable throughput, and low latency. We discuss the problem of packet synchronization in synchronous optical deflection networks with nodes distributed across boards, racks, and cabinets. Synchronous operation is feasible due to very predictable optical propagation delays. A routing control processor at each node examines arriving packets and assigns them to output ports. Packets arriving on different input ports must be bit wise aligned";" there are no elastic buffers to correct for mismatched arrivals. """"Time of flight"""" packet synchronization is done by balancing link delays during network design. Using a directed graph network model, we formulate a constrained minimization problem for minimizing link delays subject to synchronization and packaging constraints. We demonstrate our method on a ShuffleNet graph, and show modifications to handle multiple packet sizes and latency critical paths."",""1558-2183"","""",""10.1109/71.506699"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506699"","""",""Optical buffering";Optical packet switching;Routing;Optical interconnections;Delay;Multiprocessor interconnection networks;Optical fiber communication;Optical switches;Bit rate;"Throughput"","""",""4"","""",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;
"Parallel asynchronous team algorithms: convergence and performance analysis,""B. Baran"; E. Kaszkurewicz;" A. Bhaya"",""National Computer Center, National University of Asuncion, Paraguay"; Department of Electrical Engineering, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil;" Department of Electrical Engineering, Federal University of Rio de Janeiro, Rio de Janeiro, Brazil"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""7"",""677"",""688"",""This paper formalizes a general technique to combine different methods in the solution of large systems of nonlinear equations using parallel asynchronous implementations on distributed-memory multiprocessor systems. Such combinations of methods, referred to as team algorithms, are evaluated as a way of obtaining desirable properties of different methods and a sufficient condition for their convergence is derived. The load flow problem of electrical power networks is presented as an example problem that, under certain conditions, has the characteristics to make a team algorithm an appealing choice for its solution. Experimental results of an implementation on an Intel iPSC/860 Hypercube are reported, showing that considerable speedup and robustness can be obtained using team algorithms."",""1558-2183"","""",""10.1109/71.508248"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=508248"","""",""Convergence";Performance analysis;Load flow;Iterative algorithms;Algorithm design and analysis;Sufficient conditions;Distributed computing;Nonlinear equations;Hypercubes;"Computer networks"","""",""25"","""",""22"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Parallel computing in networks of workstations with Paralex,""R. Davoli"; L. . -A. Giachini; O. Babaoglu; A. Amoroso;" L. Alvisi"",""Department of Computer Science, University of Bologna, Bologna, Italy"; Department of Computer Science, University of Bologna, Bologna, Italy; Department of Computer Science, University of Bologna, Bologna, Italy; Department of Computer Science, University of Bologna, Bologna, Italy;" Department of Computer Science, University of Texas, Austin, Austin, TX, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""4"",""371"",""384"",""Modern distributed systems consisting of powerful workstations and high-speed interconnection networks are an economical alternative to special-purpose supercomputers. The technical issues that need to be addressed in exploiting the parallelism inherent in a distributed system include heterogeneity, high-latency communication, fault tolerance and dynamic load balancing. Current software systems for parallel programming provide little or no automatic support towards these issues and require users to be experts in fault-tolerant distributed computing. The Paralex system is aimed at exploring the extent to which the parallel application programmer can be liberated from the complexities of distributed systems. Paralex is a complete programming environment and makes extensive use of graphics to define, edit, execute, and debug parallel scientific applications. All of the necessary code for distributing the computation across a network and replicating it to achieve fault tolerance and dynamic load balancing is automatically generated by the system. In this paper we give an overview of Paralex and present our experiences with a prototype implementation."",""1558-2183"","""",""10.1109/71.494632"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494632"","""",""Parallel processing";Workstations;Fault tolerant systems;Load management;Distributed computing;Multiprocessor interconnection networks;Power generation economics;Environmental economics;Supercomputers;"Software systems"","""",""11"",""2"",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Parallel divide and conquer on meshes,""V. Lo"; S. Rajopadhye;" J. A. Telle"",""Dept. of Comput. & Inf. Sci., Oregon Univ., Eugene, OR, USA"; NA;" NA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1049"",""1058"",""We address the problem of mapping divide-and-conquer programs to mesh connected multicomputers with wormhole or store-and-forward routing. We propose the binomial tree as an efficient model of parallel divide-and-conquer and present two mappings of the binomial tree to the 2D mesh. Our mappings exploit regularity in the communication structure of the divide-and-conquer computation and are also sensitive to the underlying flow control scheme of the target architecture. We evaluate these mappings using new metrics which are extensions of the classical notions of dilation and contention. We introduce the notion of communication slowdown as a measure of the total communication overhead incurred by a parallel computation. We conclude that significant performance gains can be realized when the mapping is sensitive to the flow control scheme of the target architecture."",""1558-2183"","""",""10.1109/71.539736"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539736"","""",""Routing";Computer Society;Communication system control;Computer architecture;Tree graphs;Concurrent computing;Performance gain;Problem-solving;Embedded computing;"Large-scale systems"","""",""9"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Parallelized direct execution simulation of message-passing parallel programs,""P. M. Dickens"; P. Heidelberger;" D. M. Nicol"",""NASA Langley Research Center, ICASE, Hampton, VA, USA"; IBM Thomas J. Watson Research Center, Yorktown, NY, USA;" Department of Computer Science, College of William and Mary, Williamsburg, VA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1090"",""1105"",""As massively parallel computers proliferate, there is growing interest in finding ways by which performance of massively parallel codes can be efficiently predicted. This problem arises in diverse contexts such as parallelizing compilers, parallel performance monitoring, and parallel algorithm development. In this paper, we describe one solution where one directly executes the application code, but uses a discrete-event simulator to model details of the presumed parallel machine, such as operating system and communication network behavior. Because this approach is computationally expensive, we are interested in its own parallelization, specifically the parallelization of the discrete-event simulator. We describe methods suitable for parallelized direct execution simulation of message-passing parallel programs, and report on the performance of such a system, LAPSE (Large Application Parallel Simulation Environment), we have built on the Intel Paragon. On all codes measured to date, LAPSE predicts performance well, typically within 10% relative error. Depending on the nature of the application code, we have observed low slowdowns (relative to natively executing code) and high relative speedups using up to 64 processors."",""1558-2183"","""",""10.1109/71.539740"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539740"","""",""Virtual machining";Computational modeling;Concurrent computing;High performance computing;Instruments;Performance analysis;Performance evaluation;Communication networks;NASA;"Space technology"","""",""36"","""",""39"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Performance analysis of finite-buffered asynchronous multistage interconnection networks,""P. Mohapatra";" C. R. Das"",""Departmmt of Electrical and Computer Engineering, Iowa State University, Ames, IA, USA";" Department of Computer Science and Engineering, Pennsylvania State University, University Park, PA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""18"",""25"",""We present a queueing model for performance analysis of finite-buffered multistage interconnection networks. The proposed model captures network behaviour in an asynchronous communication mode and is based on realistic assumptions. A uniform traffic model is developed first and then extended to capture nonuniform traffic in the presence of a hot-spot. Throughput and delay are computed using the proposed model and the results are validated via simulation. The analysis is extended to predict performance of MIN-based multiprocessors. The effects of buffer length, switch size, and the maximum allowable outstanding requests on the system performance are discussed. Various design decisions using this model are drawn with respect to delay, throughput, and system power."",""1558-2183"","""",""10.1109/71.481594"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481594"","""",""Performance analysis";Telecommunication traffic;Traffic control;Throughput;Switches;Queueing analysis;Multiprocessor interconnection networks;Asynchronous communication;Delay;"Computational modeling"","""",""8"","""",""21"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Randomized routing with shorter paths,""E. Upfal"; S. Felperin;" M. Snir"",""Weizmann Institute of Science, Rehovot, Israel"; IBM System Architecture Group, Argentina;" IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""4"",""356"",""362"",""Studies the use of randomized routing in multistage networks. While log N additional randomizing stages are needed to break """"spatial locality"""", within each permutation, only log log N additional randomizing stages are needed to break """"temporal locality"""" among successive permutations. Thus, log N bits of initial randomization per input, followed by log log N bits of randomization per packet are sufficient to ensure that t permutations are delivered in time t+log N. We present simulation results that validate this analysis."",""1558-2183"","""",""10.1109/71.494630"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494630"","""",""Routing";Delay;Switches;Analytical models;Circuit simulation;Context;Switching circuits;Communication switching;Intelligent networks;"Packet switching"","""",""5"","""",""17"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Resource allocation in cube network systems based on the covering radius,""Nian-Feng Tzeng";" Gui-Liang Feng"",""Centev for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA";" Centev for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""4"",""328"",""342"",""When multiple copies of a certain resource exist in a cube network system, it is desirable that every nonresource node can reach the resource in a given number of hops. In this paper, we introduce systematic approaches to resource allocation in a cube system so that each nonresource node is connected with a specified number of resource copies and that the allocation performance measure of interest is optimized. The methodology used is based on the covering radius results of known codes. These codes aid in constructing desired linear codes whose codewords address nodes where resource copies are placed. The resource allocation problem is translated to an integer nonlinear program whose best possible solution can be identified quickly by taking advantage of basic properties derived from the known codes, yielding an optimal or near-optimal allocation result. Those basic properties lead to drastic time complexity reduction (up to several orders of magnitude smaller), in particular for large system sizes. Our approaches are applicable to any cube size, often arriving at more efficient allocation outcomes than what are attainable using prior schemes."",""1558-2183"","""",""10.1109/71.494628"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=494628"","""",""Resource management";Intelligent networks;Hypercubes;Senior members;Size measurement;Time measurement;Optimization methods;Linear code;Lead time reduction;"Block codes"","""",""24"","""",""18"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Routing schemes for multiple random broadcasts in arbitrary network topologies,""E. A. Varvarigos";" A. Banerjee"",""Department of EIectricaI and Computer Engineering, University of California,슠Santa Barbara, Santa Barbara, CA, USA";" Department of EIectricaI and Computer Engineering, University of California,슠Santa Barbara, Santa Barbara, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""8"",""886"",""895"",""We consider the problem where packets are generated at each node of a network according to a Poisson process with rate /spl lambda/, and each of them has to be broadcast to all the other nodes. The network topology is assumed to be an arbitrary bidirectional graph. We derive upper bounds on the maximum achievable broadcast throughput, and lower bounds on the average time required to complete a broadcast. These bounds apply to any network topology, independently of the scheme used to perform the broadcasts. We also propose two dynamic broadcasting schemes, called the indirect and the direct broadcasting scheme, that can be used in a general topology, and we evaluate analytically their throughput and average delay. The throughput achieved by the proposed schemes is equal to the maximum possible, if a half-duplex link model is assumed, and is at least equal to one half of the maximum possible, if a full-duplex model is assumed. The average delay of both schemes is of the order of the diameter of the trees used to perform the broadcasts. The analytical results obtained do not use any approximating assumptions."",""1558-2183"","""",""10.1109/71.532119"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=532119"","""",""Routing";Broadcasting;Intelligent networks;Network topology;Throughput;Hypercubes;Upper bound;Delay;Tree graphs;"Performance evaluation"","""",""9"","""",""20"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Runtime incremental parallel scheduling (RIPS) on distributed memory computers,""Wei Shu";" Min-You Wu"",""Department of Computer Science, State University of New York, University at Buffalo, Buffalo, NY, USA";" Department of Computer Science, State University of New York, University at Buffalo, Buffalo, NY, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""637"",""649"",""Runtime Incremental Parallel Scheduling (RIPS) is an alternative strategy to the commonly used dynamic scheduling. In this scheduling strategy, the system scheduling activity alternates with the underlying computation work. RIPS utilizes the advanced parallel scheduling technique to produce a low overhead, high quality load balancing, as well as adapting to irregular applications. The paper presents methods for scheduling a single job on a dedicated parallel machine."",""1558-2183"","""",""10.1109/71.506702"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506702"","""",""Runtime";Processor scheduling;Concurrent computing;Distributed computing;Dynamic scheduling;Load management;Application software;Parallel machines;Dynamic programming;"Senior members"","""",""20"","""",""40"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"Scheduling in and out forests in the presence of communication delays,""T. A. Varvarigou"; V. P. Roychowdhury; T. Kallath;" E. Lawler"",""Department of Electronic and Computer Engineering, Technical University of Crete, China"; Department of Electrical Engineering, University of California, Los Angeles, Los Angeles, CA, USA; NA;" Department of Electrical Engineering and Computer Science, University of California, Berkeley, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""10"",""1065"",""1074"",""We consider the problem of scheduling tasks on multiprocessor architectures in the presence of communication delays. Given a set of dependent tasks, the scheduling problem is to allocate the tasks to processors such that the pre-specified precedence constraints among the tasks are obeyed and certain cost-measures (such as the computation time) are minimized. Several cases of the scheduling problem have been proven to be NP-complete. Nevertheless, there are polynomial time algorithms for interesting special cases of the general scheduling problem. Most of these results, however, do not take into consideration the delays due to message passing among processors. In this paper we study the increase in time complexity of scheduling problems due to the introduction of communication delays. In particular, we address the open problem of scheduling Out-forests (In-forests) in a multiprocessor system of m identical processors when communication delays are considered. The corresponding problem of scheduling Out-forests (In-forests) without communication delays admits an elegant polynomial time solution as presented first by Hu in 1961";" however, the problem in the presence of communication delays has remained unsolved. We present here first known polynomial time algorithms for the computation of the optimal schedule when the number of available processors is given and bounded and both computation and communication delays are assumed to take one unit of time. Furthermore, we present a linear-time algorithm for computing a near-optimal schedule for unit-delay out-forests. The schedule's length exceeds the optimum by no more than (m-2) time units, where m is the number of processors. Hence for two processors the computed schedule is strictly optimum."",""1558-2183"","""",""10.1109/71.539738"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=539738"","""",""Processor scheduling";Optimal scheduling;Polynomials;Scheduling algorithm;Delay effects;Computer architecture;Message passing;"Multiprocessing systems"","""",""30"","""",""19"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;
"Scheduling soft real-time jobs over dual non-real-time servers,""B. Kao";" H. Garcia-Molina"",""Department of Computer Science, Princeton University, USA";" Department of Computer Science, University of Stanford, Stanford, CA, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""1"",""56"",""68"",""In this paper, we consider soft real-time systems with redundant off-the-shelf processing components (e.g., CPU, disk, network), and show how applications can exploit the redundancy to improve the system's ability of meeting response time goals (soft deadlines). We consider two scheduling policies, one that evenly distributes load (Balance), and one that partitions load according to job slackness (Chop). We evaluate the effectiveness of these policies through analysis and simulation. Our results show that by intelligently distributing jobs by their slackness amount the servers, Chop can significantly improve real-time performance."",""1558-2183"","""",""10.1109/71.481598"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=481598"","""",""Hardware";Real time systems;Network servers;Computer science;Scheduling algorithm;Delay;Timing;Redundancy;Analytical models;"Time factors"","""",""24"",""1"",""36"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
"SPIFFI-a scalable parallel file system for the Intel Paragon,""C. S. Freedman"; J. Burger;" D. J. DeWitt"",""Informix Software, Inc., Portugal"; Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA;" Computer Sciences Department, University of Wisconsin, Madison, Madison, WI, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1185"",""1200"",""This paper presents the design and performance of SPIFFI, a scalable high-performance parallel file system intended for use by extremely I/O intensive applications including """"Grand Challenge"""" scientific applications and multimedia systems. This paper contains experimental results from a SPIFFI prototype on a 64 node/64 disk Intel Paragon. The results show that SPIFFI provides high performance and linear scaleup on real hardware. The paper also explains how shared file pointers (i.e., file pointers that are shared by multiple processes) can simplify the design of a parallel application. By sequentializing I/O accesses and by providing dynamic I/O load balancing, a shared file pointer may even improve an application's performance. This paper also presents the predictions of a SPIFFI simulator that we validated using the prototype. The simulator results show that SPIFFI continues to provide high performance even when it is scaled to configurations with as many as 128 disks or 256 compute nodes."",""1558-2183"","""",""10.1109/71.544358"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544358"","""",""File systems";Hardware;Computational modeling;Prototypes;Supercomputers;Bandwidth;Multimedia systems;High performance computing;Predictive models;"Microprocessors"","""",""16"",""1"",""54"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;
"Square meshes are not optimal for convex hull computation,""D. Bhagavathi"; H. Gurla; S. Olariu; J. L. Schwing;" Jingyuan Zhang"",""Department of Computer Science, Southem Illinois University, Edwardsville, IL, USA"; The Department of Computer Science, Old Dominion University, Norfolk, VA, USA; The Department of Computer Science, Old Dominion University, Norfolk, VA, USA; The Department of Computer Science, Old Dominion University, Norfolk, VA, USA;" Department of Mathematics and Computer Science, Elizabeth City State University, Elizabeth, NC, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""6"",""545"",""554"",""Recently it has been noticed that for semigroup computations and for selection, rectangular meshes with multiple broadcasting yield faster algorithms than their square counterparts. The contribution of the paper is to provide yet another example of a fundamental problem for which this phenomenon occurs. Specifically, we show that the problem of computing the convex hull of a set of n sorted points in the plane can be solved in O(n/sup 1/8/ log /sup 3/4/) time on a rectangular mesh with multiple broadcasting of size n/sup 3/8/ log/sup 1/4/ n/spl times/n/sup 5/8//log/sup 1/4/n. The fastest previously known algorithms on a square mesh of size /spl radic/n/spl times//spl radic/n run in O(n/sup 1/6/) time in case the n points are pixels in a binary image, and in O(n/sup 1/6/log/sup 3/2/ n) time for sorted points in the plane."",""1558-2183"","""",""10.1109/71.506693"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=506693"","""",""Broadcasting";Pattern recognition;Image processing;Computational geometry;Path planning;Parallel architectures;Computer science;Cities and towns;Very large scale integration;"Computer architecture"","""",""9"","""",""42"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals"""
"Static and dynamic evaluation of data dependence analysis techniques,""P. M. Petersen";" D. A. Padua"",""Kuck and Associates, Inc., Champaign, IL, USA";" Center for Supercomputing Research and Development, Coordinatrd Science Laboratory, University of Illinois, Urbana-Champaign, Urbana-Champaign, IL, USA"",""IEEE Transactions on Parallel and Distributed Systems"",""6 Aug 2002"",""1996"",""7"",""11"",""1121"",""1132"",""Data dependence analysis techniques are the main component of today's trategies for automatic detection of parallelism. Parallelism detection strategies are being incorporated in commercial compilers with increasing frequency because of the widespread use of processors capable of exploiting instruction-level parallelism and the growing importance of multiprocessors. An assessment of the accuracy of data dependence tests is therefore of great importance for compiler writers and researchers. The tests evaluated in this study include the generalized greatest common divisor test, three variants of Banerjee's test, and the Omega test. Their effectiveness was measured with respect to the Perfect Benchmarks and the linear algebra libraries, EISPACK and LAPACK. Two methods were applied, one using only compile-time information for the analysis, and the second using information gathered during program execution. The results indicate that Banerjee's test is for all practical purposes as accurate as the more complex Omega test in detecting parallelism. However, the Omega test is quite effective in proving the existence of dependences, in contrast with Banerjee's test, which can only disprove, or break dependences. The capability of the Omega test of proving dependences could have a significant impact on several compiler algorithms not considered in this study."",""1558-2183"","""",""10.1109/71.544354"","""",""https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=544354"","""",""Data analysis";Information analysis;Runtime;Program processors;Linear programming;Senior members;Frequency;Benchmark testing;Linear algebra;"Libraries"","""",""31"",""1"",""25"",""IEEE"",""6 Aug 2002"","""","""",""IEEE"",""IEEE Journals""";;;;;;
